日付,日前,会場,R番号,あれ指数,展示あり,予想TOP3（1-2-3位艇）,予想1位艇,予想1位_base係数,予想1位_tenkai係数,予想1位_tenji係数,1号艇_base係数,1号艇_tenkai係数,1号艇_tenji係数,パターン,推奨点数,買い目点数,買い目組合せ,的中,払戻金(円),的中組合せ,実際の結果,実際の決まり手
2026-05-13,本日,常滑,1,44.7,○,1-3-4,1,0.7501,1.0837,1.0795,0.7501,1.0837,1.0795,高配当1号艇,10,10,1−2−3 / 1−3−2 / 1−2−4 / 1−4−2 / 1−2−5 / 1−5−2 / 3−4−2 / 3−4−1 / 3−4−5 / 3−1−2,的中,660,1-3-2,1-3-2,
2026-05-13,本日,常滑,2,44.7,○,1-6-2,1,0.5288,1.0986,0.9543,0.5288,1.0986,0.9543,高配当1号艇,10,10,1−2−4 / 1−2−3 / 1−2−6 / 1−4−3 / 1−4−2 / 1−4−6 / 6−1−2 / 6−1−3 / 6−1−4 / 6−2−1,外れ,,,1-6-5,
2026-05-13,本日,津,1,44.6,○,1-2-4,1,0.5309,1.0817,1.1179,0.5309,1.0817,1.1179,高配当1号艇,10,10,1−3−2 / 1−3−4 / 1−3−6 / 1−2−4 / 1−2−3 / 1−2−6 / 2−1−3 / 2−3−1 / 2−1−4 / 2−4−1,外れ,,,3-1-4,
2026-05-13,本日,津,2,44.6,○,1-3-4,1,0.6666,1.0615,1.1315,0.6666,1.0615,1.1315,高配当1号艇,10,10,1−3−4 / 1−3−2 / 1−3−5 / 1−2−4 / 1−2−3 / 1−2−5 / 3−1−4 / 3−4−1 / 3−1−5 / 3−5−1,的中,1940,3-1-4,3-1-4,
2026-05-13,本日,びわこ,1,51.3,○,1-3-5,1,0.5251,1.0741,1.1121,0.5251,1.0741,1.1121,高配当1号艇,10,10,1−2−4 / 1−4−2 / 1−2−3 / 1−3−2 / 1−2−5 / 1−5−2 / 3−1−2 / 3−1−5 / 3−1−4 / 3−4−1,外れ,,,2-3-1,
2026-05-13,本日,鳴門,2,54.5,○,2-1-4,2,0.3883,1.1067,1.0821,0.4001,0.8501,1.0320,高配当1号艇,10,10,1−2−4 / 1−4−2 / 1−2−5 / 1−5−2 / 1−2−3 / 1−3−2 / 2−1−3 / 2−3−1 / 2−1−4 / 2−4−1,的中,1870,2-3-1,2-3-1,
2026-05-13,本日,鳴門,4,54.5,○,1-2-5,1,0.6123,1.0059,1.0092,0.6123,1.0059,1.0092,高配当1号艇,10,10,1−2−3 / 1−2−5 / 1−2−4 / 1−4−2 / 1−4−3 / 1−4−5 / 2−3−5 / 2−3−4 / 2−3−1 / 2−4−5,外れ,,,1-3-5,逃げ
2026-05-13,本日,鳴門,6,54.5,○,3-1-4,3,0.3578,1.1617,0.9691,0.3872,0.7559,1.1082,高配当1号艇,10,10,1−3−4 / 1−4−3 / 1−3−5 / 1−5−3 / 1−3−2 / 1−2−3 / 3−4−1 / 3−4−5 / 3−4−2 / 3−1−4,外れ,,,3-2-5,
2026-05-13,本日,児島,2,45.3,○,1-2-4,1,0.6925,1.0970,0.9932,0.6925,1.0970,0.9932,高配当1号艇,10,10,1−2−3 / 1−3−2 / 1−2−4 / 1−4−2 / 1−2−5 / 1−5−2 / 2−4−3 / 2−4−1 / 2−4−6 / 2−3−4,外れ,,,2-3-5,
2026-05-13,本日,徳山,2,40.4,○,4-1-2,4,0.5396,1.0221,1.0228,0.3847,1.0380,1.0715,スイートスポット他艇,10,10,1−2−3 / 1−2−5 / 1−2−4 / 1−3−5 / 1−3−4 / 1−3−2 / 4−1−3 / 4−1−6 / 4−1−2 / 4−2−1,外れ,,,1-2-6,
2026-05-13,本日,徳山,5,40.4,○,1-2-4,1,0.3050,1.0336,1.0539,0.3050,1.0336,1.0539,高配当1号艇,10,10,1−2−6 / 1−6−2 / 1−2−4 / 1−4−2 / 1−2−5 / 1−5−2 / 2−1−3 / 2−3−1 / 2−1−4 / 2−4−1,的中,8890,1-5-2,1-5-2,
2026-05-13,本日,唐津,1,46.9,○,1-2-5,1,0.8713,1.0391,1.1306,0.8713,1.0391,1.1306,高配当1号艇,5,5,1−3−4 / 1−3−2 / 1−3−5 / 1−2−4 / 1−2−3,的中,860,1-2-3,1-2-3,
2026-05-13,本日,唐津,3,46.9,○,1-3-5,1,0.7176,1.0251,1.1062,0.7176,1.0251,1.1062,高配当1号艇,10,10,1−2−3 / 1−2−4 / 1−2−5 / 1−3−2 / 1−3−4 / 1−3−5 / 3−1−4 / 3−4−1 / 3−1−5 / 3−5−1,的中,400,1-3-4,1-3-4,逃げ
2026-05-13,本日,唐津,4,46.9,○,1-2-5,1,0.3497,0.9219,1.0233,0.3497,0.9219,1.0233,高配当1号艇,10,10,1−2−4 / 1−4−2 / 1−2−5 / 1−5−2 / 1−2−3 / 1−3−2 / 2−3−5 / 2−3−4 / 2−3−1 / 2−5−3,外れ,,,4-3-2,差し
2026-05-12,1日前,桐生,1,51.6,○,4-1-5,4,0.4472,1.1665,0.8486,0.3272,0.8362,1.0782,中立他艇,8,8,1−2−3 / 1−2−5 / 1−2−4 / 1−3−5 / 1−3−4 / 1−3−6 / 4−1−5 / 4−1−6,的中,3020,1-3-5,1-3-5,
2026-05-12,1日前,桐生,2,51.6,○,1-3-5,1,0.5469,0.9784,0.9983,0.5469,0.9784,0.9983,高配当1号艇,10,10,1−3−4 / 1−4−3 / 1−3−6 / 1−6−3 / 1−3−5 / 1−5−3 / 5−1−6 / 5−1−2 / 5−1−3 / 5−6−1,外れ,,,5-4-1,
2026-05-12,1日前,桐生,3,51.6,×,1-3-5,1,0.2850,1.0739,,0.2850,1.0739,,中立他艇,8,8,1−3−4 / 1−3−6 / 1−3−2 / 1−2−3 / 1−2−4 / 1−2−6 / 5−1−2 / 5−1−6,外れ,,,1-5-4,
2026-05-12,1日前,桐生,5,51.6,×,1-5-4,1,0.4846,1.0215,,0.4846,1.0215,,高配当1号艇,10,10,1−2−4 / 1−2−3 / 1−2−6 / 1−4−2 / 1−4−3 / 1−4−6 / 5−1−2 / 5−1−6 / 5−1−3 / 5−6−1,的中,1890,1-4-2,1-4-2,
2026-05-12,1日前,桐生,6,51.6,×,1-4-3,1,0.6960,0.9772,,0.6960,0.9772,,高配当1号艇,10,10,1−3−4 / 1−3−2 / 1−3−5 / 1−2−3 / 1−2−4 / 1−2−5 / 4−5−1 / 4−5−2 / 4−5−6 / 4−1−5,的中,1160,1-2-4,1-2-4,
2026-05-12,1日前,桐生,7,51.6,○,1-3-2,1,0.5974,1.0160,1.1481,0.5974,1.0160,1.1481,高配当1号艇,10,10,1−2−3 / 1−2−4 / 1−2−5 / 1−3−4 / 1−3−5 / 1−3−2 / 3−1−5 / 3−1−2 / 3−1−4 / 3−4−5,外れ,,,1-4-2,
2026-05-12,1日前,桐生,8,51.6,○,5-1-2,5,0.3297,1.2252,1.1481,0.3229,0.9354,1.0782,中立他艇,8,8,1−3−2 / 1−3−4 / 1−3−5 / 1−2−4 / 1−2−3 / 1−2−5 / 5−1−2 / 5−1−6,外れ,,,5-4-6,
2026-05-12,1日前,桐生,9,51.6,○,1-3-2,1,0.5111,1.0208,1.0782,0.5111,1.0208,1.0782,高配当1号艇,10,10,1−2−5 / 1−5−2 / 1−2−4 / 1−4−2 / 1−2−3 / 1−3−2 / 3−4−2 / 3−4−1 / 3−4−5 / 3−1−2,的中,810,1-3-2,1-3-2,
2026-05-12,1日前,桐生,10,51.6,○,1-3-5,1,0.7032,1.0886,1.1616,0.7032,1.0886,1.1616,高配当1号艇,10,10,1−3−4 / 1−4−3 / 1−3−2 / 1−2−3 / 1−3−5 / 1−5−3 / 3−1−4 / 3−4−1 / 3−1−5 / 3−5−1,外れ,,,1-5-6,
2026-05-12,1日前,桐生,11,51.6,×,1-2-6,1,0.4910,1.0360,,0.4910,1.0360,,高配当1号艇,10,10,1−2−6 / 1−6−2 / 1−2−4 / 1−4−2 / 1−2−3 / 1−3−2 / 2−1−4 / 2−4−1 / 2−1−3 / 2−3−1,外れ,,,1-2-5,
