日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇
2026-03-28,常滑,1,1,森永　淳,A1,40.00,1,逃◎,77.0168,,0,89.6,0.1444,,,0,低,57,0,逃1%,nan,0,◎,,B,◎,,,0.7045,,0.6449,S,84,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1784, 'est_top_odds': 7.5, 'circle_concentration': 75.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=77.0%（本命度） / 最有力組み合わせ確率: 0.178（推定実オッズ?8倍） / 2着集中度: 上位2艇 75.5%（補正+0.04） / 総合判定確率: 0.218 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,23.9,逃げ狙い,8.21,25.5,4
2026-03-28,常滑,1,2,後藤孝義,B2,34.15,2,,3.8807,15.5,100,38.3,0.1757,,,0,低,104,0,-,nan,0,,,C,△,,0.1108,0.5745,,0.6449,S,84,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1784, 'est_top_odds': 7.5, 'circle_concentration': 75.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=77.0%（本命度） / 最有力組み合わせ確率: 0.178（推定実オッズ?8倍） / 2着集中度: 上位2艇 75.5%（補正+0.04） / 総合判定確率: 0.218 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,23.9,逃げ狙い,8.21,25.5,4
2026-03-28,常滑,1,3,佐口達也,B1,38.55,3,◎,5.4622,60,81,48.4,0.1435,,,0,低,132,0,差ま0%,nan,0,,,C,,,0.324,0.54,,0.6449,S,84,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1784, 'est_top_odds': 7.5, 'circle_concentration': 75.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=77.0%（本命度） / 最有力組み合わせ確率: 0.178（推定実オッズ?8倍） / 2着集中度: 上位2艇 75.5%（補正+0.04） / 総合判定確率: 0.218 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,23.9,逃げ狙い,8.21,25.5,4
2026-03-28,常滑,1,4,赤池修平,B1,27.71,4,▲,9.437,8.5,36,28.3,0.1411,,,0,低,132,0,ま0%,nan,0,,,E,△,,0.3528,0.6225,,0.6449,S,84,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1784, 'est_top_odds': 7.5, 'circle_concentration': 75.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=77.0%（本命度） / 最有力組み合わせ確率: 0.178（推定実オッズ?8倍） / 2着集中度: 上位2艇 75.5%（補正+0.04） / 総合判定確率: 0.218 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,23.9,逃げ狙い,8.21,25.5,4
2026-03-28,常滑,1,5,栗山繁洋,B1,31.52,5,△,3.0931,13.9,73,28.2,0.1695,,,0,低,174,0,差0%,nan,0,,,D,○,,0.2306,0.624,,0.6449,S,84,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1784, 'est_top_odds': 7.5, 'circle_concentration': 75.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=77.0%（本命度） / 最有力組み合わせ確率: 0.178（推定実オッズ?8倍） / 2着集中度: 上位2艇 75.5%（補正+0.04） / 総合判定確率: 0.218 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,23.9,逃げ狙い,8.21,25.5,4
2026-03-28,常滑,1,6,笠野友紀,B1,43.90,6,○,1.1102,2.1,50,16.7,0.195,,,0,低,151,0,-,nan,0,,,B,,,0.1865,0.5485,,0.6449,S,84,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1784, 'est_top_odds': 7.5, 'circle_concentration': 75.5, 'eligible_count': 6, 'bet_adj': 0, 'reason': 'rel_win1=77.0%（本命度） / 最有力組み合わせ確率: 0.178（推定実オッズ?8倍） / 2着集中度: 上位2艇 75.5%（補正+0.04） / 総合判定確率: 0.218 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。'}",,,23.9,逃げ狙い,8.21,25.5,4
2026-03-28,常滑,2,1,岩崎正哉,B1,39.56,1,逃◎,58.1525,,0,94.8,0.166,,,0,低,199,0,逃1%,nan,0,○,,C,△,,,0.621,,0.4354,S,94,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0925, 'est_top_odds': 14.4, 'circle_concentration': 68.5, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=58.2%（本命度） / 最有力組み合わせ確率: 0.093（推定実オッズ?14倍） / 2着集中度: 上位2艇 68.5%（補正+0.00） / 総合判定確率: 0.093 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,26.8,逃げ狙い,13.54,29.3,4
2026-03-28,常滑,2,2,金子猛志,A2,20.69,2,△,10.8788,21.7,77,52.1,0.1639,,,0,低,108,0,差0%,nan,0,,△,E,◎,,0.375,0.647,,0.4354,S,94,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0925, 'est_top_odds': 14.4, 'circle_concentration': 68.5, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=58.2%（本命度） / 最有力組み合わせ確率: 0.093（推定実オッズ?14倍） / 2着集中度: 上位2艇 68.5%（補正+0.00） / 総合判定確率: 0.093 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,26.8,逃げ狙い,13.54,29.3,4
2026-03-28,常滑,2,3,松江秀徳,B1,27.38,3,○,11.076,32.8,100,63.8,0.1584,,,0,低,115,0,差ま0%,nan,0,,○,D,○,,0.3794,0.626,,0.4354,S,94,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0925, 'est_top_odds': 14.4, 'circle_concentration': 68.5, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=58.2%（本命度） / 最有力組み合わせ確率: 0.093（推定実オッズ?14倍） / 2着集中度: 上位2艇 68.5%（補正+0.00） / 総合判定確率: 0.093 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,26.8,逃げ狙い,13.54,29.3,4
2026-03-28,常滑,2,4,濱野斗馬,A2,41.76,4,◎,12.1828,35.6,86,66.7,0.1343,,,0,低,63,0,ま0% 差ま0%,nan,0,,◎,B,△,◎,0.4758,0.6255,0.4921,0.4354,S,94,0,◎1着固定 2-3着流し（5〜8点）,0.5935,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0925, 'est_top_odds': 14.4, 'circle_concentration': 68.5, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=58.2%（本命度） / 最有力組み合わせ確率: 0.093（推定実オッズ?14倍） / 2着集中度: 上位2艇 68.5%（補正+0.00） / 総合判定確率: 0.093 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,26.8,逃げ狙い,13.54,29.3,4
