会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
10,三国,2025/06/06,1,08:32,1,5002,上田健太,29,愛知,52,A2,6.33,50.67,7.10,61.9,58,33.33,42,35.94,461 42,6
10,三国,2025/06/06,1,08:32,2,4035,杉江浩明,46,愛知,53,B1,3.78,23.91,3.97,16.6,44,31.67,44,51.56,461 34,5
10,三国,2025/06/06,1,08:32,3,3793,高橋真吾,52,埼玉,58,B1,4.78,31.76,5.82,39.3,38,20.31,62,27.59,252 14,10
10,三国,2025/06/06,1,08:32,4,3891,谷口健一,49,福井,55,B1,3.96,14.63,3.75,16.3,62,51.67,64,35.94,,7
10,三国,2025/06/06,1,08:32,5,3293,宮内由紀,59,東京,53,B1,4.05,13.51,4.48,18.5,24,34.55,16,27.12,316 54,9
10,三国,2025/06/06,1,08:32,6,5390,高橋涼夏,17,群馬,46,B2,1.19,0.00,0.00,0.0,52,28.07,58,24.59,6 6 66,7
10,三国,2025/06/06,2,08:58,1,4649,和田操拓,41,滋賀,52,A2,5.78,37.29,5.33,33.3,49,39.68,43,44.64,13555,9
10,三国,2025/06/06,2,08:58,2,3251,平石和男,58,埼玉,50,A2,5.63,36.97,6.29,47.3,64,35.71,66,20.00,54242,9
10,三国,2025/06/06,2,08:58,3,5177,松井貫太,28,福岡,52,B1,3.27,11.11,3.39,17.8,11,24.24,60,28.13,5 542,7
10,三国,2025/06/06,2,08:58,4,5282,中本大樹,22,福井,54,B2,4.16,22.67,2.50,7.4,27,43.10,33,18.75,,6
10,三国,2025/06/06,2,08:58,5,5311,小林京平,27,山口,52,B1,3.30,5.19,2.00,0.0,20,12.73,69,34.55,5 544,6
10,三国,2025/06/06,2,08:58,6,3741,松尾基成,51,福岡,57,B1,3.66,15.85,4.88,25.0,31,28.13,63,36.67,3 5661,8
10,三国,2025/06/06,3,09:24,1,4949,横田貴満,32,佐賀,50,A2,6.61,49.56,6.95,52.3,13,33.33,15,22.41,2 3222,11
10,三国,2025/06/06,3,09:24,2,5215,石丸小槙,25,香川,44,B2,3.50,20.00,0.00,0.0,15,38.46,22,32.76,4 465,7
10,三国,2025/06/06,3,09:24,3,4652,酒見峻介,39,佐賀,51,A2,6.28,49.60,0.00,0.0,16,32.73,26,37.50,3 3552,9
10,三国,2025/06/06,3,09:24,4,3339,泉　具巳,60,兵庫,54,B1,4.25,19.30,7.00,57.1,45,31.67,21,28.13,4 635,8
10,三国,2025/06/06,3,09:24,5,3757,畑　和宏,53,広島,53,B1,4.68,26.15,3.63,10.5,35,22.95,17,24.59,3 4446,8
10,三国,2025/06/06,3,09:24,6,4253,西川真人,42,滋賀,57,B1,3.84,16.67,4.29,14.2,42,32.26,14,20.69,625 5,9
10,三国,2025/06/06,4,09:50,1,4003,表　憲一,47,福井,55,A2,4.75,21.88,5.44,31.4,19,27.59,19,32.31,324332,8
10,三国,2025/06/06,4,09:50,2,3294,野中義生,59,静岡,53,B1,4.33,19.70,3.90,28.5,41,39.34,37,44.44,6 611,10
10,三国,2025/06/06,4,09:50,3,5317,長尾萌加,24,岡山,45,B1,3.71,11.39,3.78,11.1,48,52.54,13,32.76,4 3365,8
10,三国,2025/06/06,4,09:50,4,5165,小林愛実,25,岡山,47,B1,4.96,30.14,3.75,25.0,25,42.11,52,40.68,346 4,9
10,三国,2025/06/06,4,09:50,5,3412,鈴木　博,55,埼玉,54,A1,6.73,55.95,6.76,48.4,28,21.15,30,45.00,1 5213,11
10,三国,2025/06/06,4,09:50,6,3842,星野太郎,48,三重,53,A2,5.48,37.62,5.81,40.6,32,33.90,48,26.56,3546F6,
10,三国,2025/06/06,5,10:18,1,5331,佐藤永梧,21,東京,55,B1,3.07,19.51,2.67,0.0,57,30.91,27,36.67,115 56,11
10,三国,2025/06/06,5,10:18,2,5213,湯淺紀香,26,群馬,48,B1,5.53,38.89,4.56,22.2,54,30.43,40,40.98,265 31,10
10,三国,2025/06/06,5,10:18,3,4987,島倉　都,28,群馬,50,B1,3.61,14.29,3.78,16.6,53,33.85,68,42.86,661 3,
10,三国,2025/06/06,5,10:18,4,4828,松山将吾,30,滋賀,51,A2,6.29,45.00,6.09,36.1,65,29.31,49,39.34,4 3441,10
10,三国,2025/06/06,5,10:18,5,4035,杉江浩明,46,愛知,53,B1,3.78,23.91,3.97,16.6,44,31.67,44,51.56,461 34,1
10,三国,2025/06/06,5,10:18,6,4134,杉山貴博,44,東京,55,A1,6.23,40.91,6.89,55.5,69,30.51,72,39.39,152 23,11
10,三国,2025/06/06,6,10:48,1,4209,藤田竜弘,42,静岡,58,B1,5.72,39.42,5.26,42.1,67,40.98,65,42.62,3 3254,10
10,三国,2025/06/06,6,10:48,2,3921,川村正輝,50,福井,52,B1,4.04,16.98,4.83,29.1,59,26.23,53,35.71,332 41,11
10,三国,2025/06/06,6,10:48,3,5282,中本大樹,22,福井,54,B2,4.16,22.67,2.50,7.4,27,43.10,33,18.75,,2
10,三国,2025/06/06,6,10:48,4,5311,小林京平,27,山口,52,B1,3.30,5.19,2.00,0.0,20,12.73,69,34.55,5 544,2
10,三国,2025/06/06,6,10:48,5,5002,上田健太,29,愛知,52,A2,6.33,50.67,7.10,61.9,58,33.33,42,35.94,461 42,1
10,三国,2025/06/06,6,10:48,6,4050,田口節子,44,岡山,46,A1,7.21,58.33,7.85,65.8,36,26.56,29,17.65,141 13,10
10,三国,2025/06/06,7,11:19,1,3692,竹腰正樹,54,福井,54,B1,5.63,40.91,5.09,31.3,18,27.12,59,30.77,2 4331,11
10,三国,2025/06/06,7,11:19,2,5273,山下拓巳,23,兵庫,53,B1,4.56,30.11,2.57,4.3,40,42.37,50,42.37,526 6,
10,三国,2025/06/06,7,11:19,3,3891,谷口健一,49,福井,55,B1,3.96,14.63,3.75,16.3,62,51.67,64,35.94,,1
10,三国,2025/06/06,7,11:19,4,5177,松井貫太,28,福岡,52,B1,3.27,11.11,3.39,17.8,11,24.24,60,28.13,5 542,2
10,三国,2025/06/06,7,11:19,5,5390,高橋涼夏,17,群馬,46,B2,1.19,0.00,0.00,0.0,52,28.07,58,24.59,6 6 66,1
10,三国,2025/06/06,7,11:19,6,5215,石丸小槙,25,香川,44,B2,3.50,20.00,0.00,0.0,15,38.46,22,32.76,4 465,3
10,三国,2025/06/06,8,11:51,1,3741,松尾基成,51,福岡,57,B1,3.66,15.85,4.88,25.0,31,28.13,63,36.67,3 5661,2
10,三国,2025/06/06,8,11:51,2,3757,畑　和宏,53,広島,53,B1,4.68,26.15,3.63,10.5,35,22.95,17,24.59,3 4446,3
10,三国,2025/06/06,8,11:51,3,3339,泉　具巳,60,兵庫,54,B1,4.25,19.30,7.00,57.1,45,31.67,21,28.13,4 635,3
10,三国,2025/06/06,8,11:51,4,5317,長尾萌加,24,岡山,45,B1,3.71,11.39,3.78,11.1,48,52.54,13,32.76,4 3365,4
10,三国,2025/06/06,8,11:51,5,4003,表　憲一,47,福井,55,A2,4.75,21.88,5.44,31.4,19,27.59,19,32.31,324332,4
10,三国,2025/06/06,8,11:51,6,5145,島川海輝,22,山口,54,A1,5.64,37.17,3.60,13.3,51,39.06,34,32.26,613 25,
10,三国,2025/06/06,9,12:24,1,4253,西川真人,42,滋賀,57,B1,3.84,16.67,4.29,14.2,42,32.26,14,20.69,625 5,3
10,三国,2025/06/06,9,12:24,2,3293,宮内由紀,59,東京,53,B1,4.05,13.51,4.48,18.5,24,34.55,16,27.12,316 54,1
10,三国,2025/06/06,9,12:24,3,5165,小林愛実,25,岡山,47,B1,4.96,30.14,3.75,25.0,25,42.11,52,40.68,346 4,4
10,三国,2025/06/06,9,12:24,4,4652,酒見峻介,39,佐賀,51,A2,6.28,49.60,0.00,0.0,16,32.73,26,37.50,3 3552,3
10,三国,2025/06/06,9,12:24,5,3251,平石和男,58,埼玉,50,A2,5.63,36.97,6.29,47.3,64,35.71,66,20.00,54242,2
10,三国,2025/06/06,9,12:24,6,4649,和田操拓,41,滋賀,52,A2,5.78,37.29,5.33,33.3,49,39.68,43,44.64,13555,2
10,三国,2025/06/06,10,13:00,1,4050,田口節子,44,岡山,46,A1,7.21,58.33,7.85,65.8,36,26.56,29,17.65,141 13,6
10,三国,2025/06/06,10,13:00,2,4828,松山将吾,30,滋賀,51,A2,6.29,45.00,6.09,36.1,65,29.31,49,39.34,4 3441,5
10,三国,2025/06/06,10,13:00,3,4209,藤田竜弘,42,静岡,58,B1,5.72,39.42,5.26,42.1,67,40.98,65,42.62,3 3254,6
10,三国,2025/06/06,10,13:00,4,3793,高橋真吾,52,埼玉,58,B1,4.78,31.76,5.82,39.3,38,20.31,62,27.59,252 14,1
10,三国,2025/06/06,10,13:00,5,3294,野中義生,59,静岡,53,B1,4.33,19.70,3.90,28.5,41,39.34,37,44.44,6 611,4
10,三国,2025/06/06,10,13:00,6,5213,湯淺紀香,26,群馬,48,B1,5.53,38.89,4.56,22.2,54,30.43,40,40.98,265 31,5
10,三国,2025/06/06,11,13:33,1,4134,杉山貴博,44,東京,55,A1,6.23,40.91,6.89,55.5,69,30.51,72,39.39,152 23,5
10,三国,2025/06/06,11,13:33,2,3412,鈴木　博,55,埼玉,54,A1,6.73,55.95,6.76,48.4,28,21.15,30,45.00,1 5213,4
10,三国,2025/06/06,11,13:33,3,3692,竹腰正樹,54,福井,54,B1,5.63,40.91,5.09,31.3,18,27.12,59,30.77,2 4331,7
10,三国,2025/06/06,11,13:33,4,5331,佐藤永梧,21,東京,55,B1,3.07,19.51,2.67,0.0,57,30.91,27,36.67,115 56,5
10,三国,2025/06/06,11,13:33,5,4949,横田貴満,32,佐賀,50,A2,6.61,49.56,6.95,52.3,13,33.33,15,22.41,2 3222,3
10,三国,2025/06/06,11,13:33,6,3921,川村正輝,50,福井,52,B1,4.04,16.98,4.83,29.1,59,26.23,53,35.71,332 41,6
10,三国,2025/06/06,12,14:10,1,4364,池永　太,40,福岡,54,A1,6.86,48.05,7.18,47.0,61,22.22,51,22.03,22111,
10,三国,2025/06/06,12,14:10,2,4415,下出卓矢,38,福井,56,A1,6.13,39.09,6.77,52.6,21,32.31,70,30.51,111423,
10,三国,2025/06/06,12,14:10,3,4925,森　悠稀,32,兵庫,53,A2,5.47,33.33,5.69,46.1,55,28.13,67,38.46,22124,
10,三国,2025/06/06,12,14:10,4,5197,中野仁照,23,愛知,52,A1,6.19,40.63,5.94,43.7,22,28.57,46,34.04,43511,
10,三国,2025/06/06,12,14:10,5,4072,森永　淳,44,佐賀,53,A1,6.60,53.00,4.40,40.0,12,38.98,41,40.74,562131,
10,三国,2025/06/06,12,14:10,6,4427,秦　英悟,39,大阪,52,A2,7.34,56.90,7.09,54.5,39,27.87,25,39.34,142324,
