会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
19,下関,2026/03/22,1,15:24,1,4951,新田洋一,32,広島,54,B1,5.33,31.71,5.13,30.0,44,32.58,12,32.08,2 1653,11
19,下関,2026/03/22,1,15:24,2,4129,宇野博之,45,愛知,55,B1,4.07,17.05,4.95,40.0,49,35.32,48,32.09,4 4513,
19,下関,2026/03/22,1,15:24,3,4652,酒見峻介,40,佐賀,52,A2,4.68,29.55,6.08,45.9,41,32.39,61,33.80,3 5555,8
19,下関,2026/03/22,1,15:24,4,3448,高山秀雄,56,群馬,53,B1,4.15,17.81,4.38,8.3,65,40.69,39,33.79,414 12,10
19,下関,2026/03/22,1,15:24,5,5391,出穂和鼓,18,山口,54,B2,1.88,0.00,1.77,0.0,37,36.52,58,41.40,5 656,12
19,下関,2026/03/22,1,15:24,6,4876,梅木敬太,31,福井,53,B1,4.68,30.93,3.62,11.5,19,34.12,11,32.42,664 35,
19,下関,2026/03/22,2,15:52,1,4697,國弘翔平,39,福岡,49,B1,4.19,22.47,5.37,37.1,36,36.89,45,32.09,4 2326,11
19,下関,2026/03/22,2,15:52,2,4365,盛本真輔,40,兵庫,52,B1,5.71,42.42,5.00,30.0,42,33.49,52,34.74,521 62,9
19,下関,2026/03/22,2,15:52,3,4108,吉村正明,46,山口,51,B1,6.08,44.25,6.09,43.4,68,27.41,32,33.18,144 16,8
19,下関,2026/03/22,2,15:52,4,3696,白井友晴,53,埼玉,52,B1,5.00,23.81,0.00,0.0,54,32.59,73,35.98,15563,
19,下関,2026/03/22,2,15:52,5,4402,乙藤智史,41,福岡,55,A2,5.32,38.10,5.93,42.8,47,41.44,66,44.24,332 42,7
19,下関,2026/03/22,2,15:52,6,5342,原村百那,24,山口,48,B2,1.86,1.32,1.58,1.6,31,40.99,46,34.56,6 6S6,12
19,下関,2026/03/22,3,16:22,1,4092,岡部大輔,45,佐賀,53,B1,5.28,30.99,4.95,36.8,63,35.29,15,36.36,21653,10
19,下関,2026/03/22,3,16:22,2,4601,森野正弘,41,山口,55,A2,6.60,49.62,6.87,51.7,60,31.53,27,30.28,56164,7
19,下関,2026/03/22,3,16:22,3,3535,渡　修平,53,兵庫,51,B1,3.62,18.84,4.86,28.5,14,33.95,36,34.10,62166,
19,下関,2026/03/22,3,16:22,4,4797,中山　将,34,三重,54,A2,6.45,50.00,6.14,45.7,16,34.26,49,36.89,364113,9
19,下関,2026/03/22,3,16:22,5,5397,寺田夢生,24,山口,49,B2,1.25,0.00,1.17,0.0,35,31.28,26,29.61,,8
19,下関,2026/03/22,3,16:22,6,3686,鳥居塚孝,51,群馬,50,A2,5.67,35.16,0.00,0.0,53,40.83,65,35.07,22151,10
19,下関,2026/03/22,4,16:48,1,4736,高倉和士,34,福岡,51,A1,6.59,51.46,6.71,54.2,34,42.99,53,36.15,342232,9
19,下関,2026/03/22,4,16:48,2,4785,木幡純也,38,愛知,52,B1,4.89,27.71,3.30,10.0,71,39.74,17,29.06,353 2,10
19,下関,2026/03/22,4,16:48,3,3546,中里昌志,56,埼玉,52,B1,4.42,18.18,0.00,0.0,18,29.91,44,38.07,6 3534,
19,下関,2026/03/22,4,16:48,4,3392,小森信雄,60,三重,53,B1,4.58,23.94,2.11,0.0,11,29.28,67,33.65,364 S5,
19,下関,2026/03/22,4,16:48,5,4545,岡村慶太,38,福岡,58,A1,6.73,48.78,5.27,36.3,51,50.23,69,38.46,41241,9
19,下関,2026/03/22,4,16:48,6,3961,谷村一哉,47,山口,54,A2,6.52,43.55,6.93,55.4,61,33.02,59,30.05,35,8
19,下関,2026/03/22,5,17:17,1,4532,秋元　哲,37,埼玉,51,A1,7.12,55.81,6.00,37.0,64,33.64,57,42.06,152143,9
19,下関,2026/03/22,5,17:17,2,3833,中辻博訓,51,福井,54,A1,6.14,45.86,5.42,42.1,32,38.01,29,33.49,134451,9
19,下関,2026/03/22,5,17:17,3,4315,山崎昂介,41,長崎,54,B1,4.90,30.12,4.61,28.2,45,33.01,25,35.98,554 24,
19,下関,2026/03/22,5,17:17,4,3523,寳田亮治,57,福岡,53,B1,4.29,24.29,4.86,23.0,52,38.71,30,33.81,3 2356,
19,下関,2026/03/22,5,17:17,5,4966,田川大貴,28,長崎,55,A2,5.28,38.83,5.56,29.1,56,42.42,68,38.25,141 32,10
19,下関,2026/03/22,5,17:17,6,5360,高木茉白,19,埼玉,47,B1,3.40,9.41,0.00,0.0,21,29.91,20,35.51,2 5S4F,
19,下関,2026/03/22,6,17:48,1,4484,稲生夏季,35,東京,50,B1,5.00,27.59,5.36,25.0,62,39.34,34,33.95,433 45,12
19,下関,2026/03/22,6,17:48,2,4016,西川新太,46,愛知,55,B1,5.09,31.65,0.00,0.0,57,40.26,22,31.10,343 53,
19,下関,2026/03/22,6,17:48,3,4140,梶野学志,45,東京,54,A1,5.72,42.22,4.63,25.0,27,29.94,70,34.88,522161,10
19,下関,2026/03/22,6,17:48,4,3251,平石和男,59,埼玉,52,A2,5.41,35.29,5.91,43.4,72,35.43,35,38.07,1 4222,11
19,下関,2026/03/22,6,17:48,5,5410,今泉　澪,20,愛知,51,B2,1.71,2.67,0.00,0.0,48,32.44,42,46.54,6 662,12
19,下関,2026/03/22,6,17:48,6,3942,寺田　祥,47,山口,56,A1,6.83,48.18,7.77,65.1,23,31.75,21,41.20,212211,11
19,下関,2026/03/22,7,18:17,1,4402,乙藤智史,41,福岡,55,A2,5.32,38.10,5.93,42.8,47,41.44,66,44.24,332 42,2
19,下関,2026/03/22,7,18:17,2,4017,向井美鈴,46,山口,45,A2,5.27,32.17,5.47,36.6,67,35.02,24,35.07,13344,11
19,下関,2026/03/22,7,18:17,3,4274,長畑友輔,43,東京,52,B1,4.42,23.88,4.87,26.6,30,42.18,16,30.39,5 5314,
19,下関,2026/03/22,7,18:17,4,4600,井内将太,41,広島,52,A2,6.51,49.06,6.13,48.7,33,31.94,18,33.49,21234,11
19,下関,2026/03/22,7,18:17,5,4601,森野正弘,41,山口,55,A2,6.60,49.62,6.87,51.7,60,31.53,27,30.28,56164,3
19,下関,2026/03/22,7,18:17,6,4234,野相弘司,42,福岡,57,B1,5.00,25.58,5.44,38.8,17,29.56,55,35.68,4 5151,
19,下関,2026/03/22,8,18:48,1,4556,竹井奈美,36,福岡,48,A1,6.68,51.65,6.59,52.9,12,30.00,40,45.83,4 1354,12
19,下関,2026/03/22,8,18:48,2,4181,花本夏樹,42,三重,54,B1,4.26,20.55,4.45,9.0,39,37.50,60,31.48,656 26,
19,下関,2026/03/22,8,18:48,3,3961,谷村一哉,47,山口,54,A2,6.52,43.55,6.93,55.4,61,33.02,59,30.05,35,4
19,下関,2026/03/22,8,18:48,4,4108,吉村正明,46,山口,51,B1,6.08,44.25,6.09,43.4,68,27.41,32,33.18,144 16,2
19,下関,2026/03/22,8,18:48,5,4652,酒見峻介,40,佐賀,52,A2,4.68,29.55,6.08,45.9,41,32.39,61,33.80,3 5555,1
19,下関,2026/03/22,8,18:48,6,5397,寺田夢生,24,山口,49,B2,1.25,0.00,1.17,0.0,35,31.28,26,29.61,,3
19,下関,2026/03/22,9,19:16,1,4545,岡村慶太,38,福岡,58,A1,6.73,48.78,5.27,36.3,51,50.23,69,38.46,41241,4
19,下関,2026/03/22,9,19:16,2,4532,秋元　哲,37,埼玉,51,A1,7.12,55.81,6.00,37.0,64,33.64,57,42.06,152143,5
19,下関,2026/03/22,9,19:16,3,4797,中山　将,34,三重,54,A2,6.45,50.00,6.14,45.7,16,34.26,49,36.89,364113,3
19,下関,2026/03/22,9,19:16,4,4736,高倉和士,34,福岡,51,A1,6.59,51.46,6.71,54.2,34,42.99,53,36.15,342232,4
19,下関,2026/03/22,9,19:16,5,4365,盛本真輔,40,兵庫,52,B1,5.71,42.42,5.00,30.0,42,33.49,52,34.74,521 62,2
19,下関,2026/03/22,9,19:16,6,3833,中辻博訓,51,福井,54,A1,6.14,45.86,5.42,42.1,32,38.01,29,33.49,134451,5
19,下関,2026/03/22,10,19:48,1,3686,鳥居塚孝,51,群馬,50,A2,5.67,35.16,0.00,0.0,53,40.83,65,35.07,22151,3
19,下関,2026/03/22,10,19:48,2,4966,田川大貴,28,長崎,55,A2,5.28,38.83,5.56,29.1,56,42.42,68,38.25,141 32,5
19,下関,2026/03/22,10,19:48,3,3448,高山秀雄,56,群馬,53,B1,4.15,17.81,4.38,8.3,65,40.69,39,33.79,414 12,1
19,下関,2026/03/22,10,19:48,4,4140,梶野学志,45,東京,54,A1,5.72,42.22,4.63,25.0,27,29.94,70,34.88,522161,6
19,下関,2026/03/22,10,19:48,5,4785,木幡純也,38,愛知,52,B1,4.89,27.71,3.30,10.0,71,39.74,17,29.06,353 2,4
19,下関,2026/03/22,10,19:48,6,4092,岡部大輔,45,佐賀,53,B1,5.28,30.99,4.95,36.8,63,35.29,15,36.36,21653,3
19,下関,2026/03/22,11,20:17,1,3942,寺田　祥,47,山口,56,A1,6.83,48.18,7.77,65.1,23,31.75,21,41.20,212211,6
19,下関,2026/03/22,11,20:17,2,3251,平石和男,59,埼玉,52,A2,5.41,35.29,5.91,43.4,72,35.43,35,38.07,1 4222,6
19,下関,2026/03/22,11,20:17,3,4600,井内将太,41,広島,52,A2,6.51,49.06,6.13,48.7,33,31.94,18,33.49,21234,7
19,下関,2026/03/22,11,20:17,4,4697,國弘翔平,39,福岡,49,B1,4.19,22.47,5.37,37.1,36,36.89,45,32.09,4 2326,2
19,下関,2026/03/22,11,20:17,5,4017,向井美鈴,46,山口,45,A2,5.27,32.17,5.47,36.6,67,35.02,24,35.07,13344,7
19,下関,2026/03/22,11,20:17,6,4951,新田洋一,32,広島,54,B1,5.33,31.71,5.13,30.0,44,32.58,12,32.08,2 1653,1
19,下関,2026/03/22,12,20:45,1,5254,羽田妃希,23,愛知,46,B1,3.90,15.94,3.00,0.0,55,29.69,63,32.21,2 3664,
19,下関,2026/03/22,12,20:45,2,4484,稲生夏季,35,東京,50,B1,5.00,27.59,5.36,25.0,62,39.34,34,33.95,433 45,6
