会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
15,丸亀,2025/09/04,1,15:21,1,3567,吉岡　誠,55,山口,56,B1,3.84,15.94,3.78,18.7,53,0.00,20,40.74,2,9
15,丸亀,2025/09/04,1,15:21,2,4661,中島昂章,33,佐賀,53,B1,4.64,28.30,6.08,36.0,37,0.00,54,40.00,3,10
15,丸亀,2025/09/04,1,15:21,3,5127,沼田大都,28,愛知,51,B1,4.59,19.42,5.81,43.7,34,0.00,60,39.39,5,6
15,丸亀,2025/09/04,1,15:21,4,4253,西川真人,42,滋賀,57,B1,4.08,18.92,4.80,26.0,11,0.00,59,44.83,6,8
15,丸亀,2025/09/04,1,15:21,5,4982,中村将隆,29,兵庫,54,B1,5.09,31.25,4.33,25.0,2,0.00,15,28.13,5,11
15,丸亀,2025/09/04,1,15:21,6,4094,中島真二,44,福岡,53,B1,4.42,21.15,5.62,38.4,14,0.00,51,34.62,4,7
15,丸亀,2025/09/04,2,15:50,1,3967,鈴木茂高,45,愛知,58,B1,4.38,23.75,5.06,29.4,41,0.00,25,40.00,3,10
15,丸亀,2025/09/04,2,15:50,2,4981,牧山敦也,29,佐賀,53,B1,5.59,40.95,6.21,52.6,44,0.00,36,37.50,6,8
15,丸亀,2025/09/04,2,15:50,3,4832,権藤俊光,38,大阪,52,A2,6.88,51.52,7.17,61.1,4,0.00,10,43.75,11,12
15,丸亀,2025/09/04,2,15:50,4,3826,村田修次,52,東京,53,A2,6.03,40.63,5.06,22.5,10,0.00,23,30.00,23,9
15,丸亀,2025/09/04,2,15:50,5,4656,大崎　翔,38,兵庫,58,B1,4.57,22.68,5.50,22.2,55,0.00,45,31.25,6,7
15,丸亀,2025/09/04,2,15:50,6,5407,中岡　駿,20,香川,53,B2,1.39,0.00,1.36,0.0,35,0.00,43,40.00,66,
15,丸亀,2025/09/04,3,16:18,1,4474,渡辺　崇,37,福岡,57,B1,5.19,32.47,5.77,38.4,5,0.00,22,27.59,55,
15,丸亀,2025/09/04,3,16:18,2,4740,齋藤達希,33,静岡,53,B1,4.44,23.30,3.89,22.2,19,0.00,41,28.57,2,12
15,丸亀,2025/09/04,3,16:18,3,4047,吉永浩則,45,大阪,54,B1,3.86,13.58,4.28,24.1,12,0.00,21,24.14,6,11
15,丸亀,2025/09/04,3,16:18,4,4110,小澤和也,45,埼玉,57,B1,4.21,19.48,3.85,18.5,45,0.00,53,46.67,2,10
