会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
12,住之江,2025/11/02,1,15:27,1,5273,山下拓巳,24,兵庫,52,B1,4.02,23.40,2.11,11.1,15,26.12,88,31.62,5,8
12,住之江,2025/11/02,1,15:27,2,3692,竹腰正樹,54,福井,56,B1,5.20,36.36,4.32,21.4,79,29.13,66,32.79,36,
12,住之江,2025/11/02,1,15:27,3,5065,伊久間陽,27,群馬,53,B1,4.46,29.58,5.06,35.2,14,37.30,52,28.68,1,7
12,住之江,2025/11/02,1,15:27,4,3801,五反田忍,51,大阪,51,B1,5.60,45.00,4.54,40.0,87,31.82,86,31.30,46,
12,住之江,2025/11/02,1,15:27,5,4976,金山立樹,31,東京,53,A2,4.35,19.57,4.78,33.3,66,34.62,94,26.72,3,10
12,住之江,2025/11/02,1,15:27,6,5390,高橋涼夏,18,群馬,45,B2,1.62,0.00,0.00,0.0,82,21.88,13,36.92,6,5
12,住之江,2025/11/02,2,15:53,1,5107,松本真広,26,福岡,47,B1,4.53,20.00,2.88,0.0,67,36.43,73,35.20,4,8
12,住之江,2025/11/02,2,15:53,2,3652,森下　勇,52,群馬,57,B1,3.18,13.51,3.00,6.6,28,37.21,71,27.07,4,7
12,住之江,2025/11/02,2,15:53,3,3984,坂口　周,47,三重,54,A1,5.89,37.93,5.07,28.5,35,27.69,81,33.83,4,12
12,住之江,2025/11/02,2,15:53,4,5251,沼田七華,23,福井,55,B1,2.59,0.00,1.71,0.0,33,44.19,34,45.38,4,9
12,住之江,2025/11/02,2,15:53,5,4220,深川和仁,44,香川,55,A2,5.39,39.60,0.00,0.0,59,30.23,37,27.27,1,11
12,住之江,2025/11/02,2,15:53,6,5380,野田亜湖,21,徳島,52,B2,0.97,0.00,0.00,0.0,71,24.24,63,30.08,6,6
12,住之江,2025/11/02,3,16:23,1,4081,樋口範政,46,愛知,57,B1,3.84,15.58,6.00,60.0,51,29.55,32,42.52,4,9
12,住之江,2025/11/02,3,16:23,2,5310,土屋　蘭,20,岡山,48,B1,3.76,13.75,5.63,37.5,81,29.23,58,40.83,6,7
12,住之江,2025/11/02,3,16:23,3,4713,白神　優,35,岡山,54,A1,6.71,49.15,6.63,41.6,69,42.64,68,32.81,23,11
12,住之江,2025/11/02,3,16:23,4,3568,木村光宏,54,香川,55,B1,5.47,37.84,4.81,27.9,72,28.24,21,25.37,46,
12,住之江,2025/11/02,3,16:23,5,3965,北中元樹,46,滋賀,57,A2,5.73,40.95,4.89,22.2,54,30.53,83,40.60,4,12
