会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
23,唐津,2025/08/15,1,08:32,1,4949,横田貴満,32,佐賀,49,A1,6.80,53.66,5.87,35.9,47,41.77,10,42.99,16143,8
23,唐津,2025/08/15,1,08:32,2,3809,吉田　光,50,佐賀,52,B1,4.42,18.06,5.41,35.9,62,31.92,46,30.28,443 43,6
23,唐津,2025/08/15,1,08:32,3,3998,冨成謙児,46,佐賀,51,B1,4.16,21.88,4.95,31.8,55,40.68,53,25.47,332 4,7
23,唐津,2025/08/15,1,08:32,4,4661,中島昂章,33,佐賀,52,B1,4.56,27.78,5.42,34.8,22,40.60,57,46.23,S 1662,6
23,唐津,2025/08/15,1,08:32,5,5223,森清友翔,24,福岡,54,B1,4.44,28.04,2.57,10.2,25,31.22,43,26.17,6 4463,8
23,唐津,2025/08/15,1,08:32,6,3508,久富政弘,54,佐賀,55,B1,4.84,29.13,4.71,26.2,42,36.90,20,26.60,344 5,5
23,唐津,2025/08/15,2,08:58,1,4879,山崎鉄平,30,佐賀,52,A2,4.90,31.40,5.00,27.6,60,37.45,33,41.18,24S 45,9
23,唐津,2025/08/15,2,08:58,2,5026,安河内健,29,佐賀,55,A1,6.54,47.90,6.44,52.0,34,27.80,3,29.13,45136,11
23,唐津,2025/08/15,2,08:58,3,4224,大橋栄里,43,福岡,48,B1,5.44,40.40,4.51,30.7,31,31.90,13,40.71,S25 66,7
23,唐津,2025/08/15,2,08:58,4,4778,堤　啓輔,39,佐賀,51,B1,4.62,28.57,5.34,36.5,68,32.78,51,26.61,465 1,8
23,唐津,2025/08/15,2,08:58,5,4252,松下哲也,42,福岡,52,B1,4.35,27.27,4.04,19.7,29,35.37,52,31.62,6 4353,7
23,唐津,2025/08/15,2,08:58,6,4006,小野勇作,47,佐賀,51,B1,4.54,27.84,4.99,30.1,48,34.45,59,45.54,5 5354,
23,唐津,2025/08/15,3,09:24,1,4938,小芦るり,27,佐賀,48,A2,6.34,43.62,6.53,48.2,52,29.10,9,31.82,532 53,
23,唐津,2025/08/15,3,09:24,2,3434,松尾宣邦,56,福岡,55,B1,4.72,31.00,4.28,26.0,20,48.99,38,34.82,5 4335,8
23,唐津,2025/08/15,3,09:24,3,4503,上野真之,37,佐賀,53,A1,7.33,51.20,7.71,63.1,64,36.50,55,33.63,23132,10
23,唐津,2025/08/15,3,09:24,4,3471,赤峰和也,55,佐賀,53,B1,3.94,16.67,4.18,20.0,18,39.41,19,39.13,2 464,7
23,唐津,2025/08/15,3,09:24,5,4942,柴田朋哉,35,福岡,54,B1,5.17,25.00,5.40,30.0,23,40.76,11,39.81,5 311,7
23,唐津,2025/08/15,3,09:24,6,3617,竹田広樹,52,佐賀,53,B1,3.61,21.11,4.36,25.3,15,26.13,40,30.28,462 6,
23,唐津,2025/08/15,4,09:50,1,5312,川辺郭人,25,佐賀,54,B2,2.44,3.90,2.19,2.9,40,36.65,7,34.58,3 626,8
23,唐津,2025/08/15,4,09:50,2,4873,蒲原健太,31,佐賀,52,A2,5.97,39.39,5.78,38.6,51,40.94,36,45.54,2 4224,10
23,唐津,2025/08/15,4,09:50,3,4515,藤田浩人,39,佐賀,54,A2,5.59,34.62,5.69,40.2,43,42.44,5,38.83,1 2425,11
23,唐津,2025/08/15,4,09:50,4,4143,浦田晃嗣,44,佐賀,56,B1,4.46,26.26,4.85,26.6,38,28.17,56,36.36,5 535,
23,唐津,2025/08/15,4,09:50,5,3284,渡邊伸太,57,佐賀,54,B1,5.47,32.97,4.98,25.5,17,36.75,6,26.13,445 21,9
23,唐津,2025/08/15,4,09:50,6,4718,北川太一,32,佐賀,51,A2,5.53,38.78,5.94,40.6,61,40.08,35,37.86,115 12,10
23,唐津,2025/08/15,5,10:18,1,4552,杉山勝匡,36,佐賀,51,A2,5.27,36.11,4.66,28.6,27,28.76,60,36.84,4 2525,9
23,唐津,2025/08/15,5,10:18,2,5270,小玉啓太,24,佐賀,52,B1,3.12,10.53,2.44,5.8,26,28.99,4,30.00,234 46,
23,唐津,2025/08/15,5,10:18,3,3508,久富政弘,54,佐賀,55,B1,4.84,29.13,4.71,26.2,42,36.90,20,26.60,344 5,1
23,唐津,2025/08/15,5,10:18,4,3265,今村暢孝,60,福岡,52,A1,6.61,55.66,6.99,59.7,69,32.37,8,29.63,321314,10
23,唐津,2025/08/15,5,10:18,5,4196,田中太一,43,佐賀,53,B1,5.03,36.84,5.31,36.0,39,36.10,31,37.50,625 42,9
23,唐津,2025/08/15,5,10:18,6,4072,森永　淳,44,佐賀,53,A1,7.15,62.86,6.31,50.0,49,30.49,23,25.25,12632,11
23,唐津,2025/08/15,6,10:46,1,4981,牧山敦也,29,佐賀,52,B1,5.68,40.43,5.25,32.1,19,34.44,34,36.54,1 3126,10
23,唐津,2025/08/15,6,10:46,2,5214,田中宏典,26,佐賀,53,B1,5.38,29.07,3.19,13.1,24,33.66,24,45.79,3 3433,11
23,唐津,2025/08/15,6,10:46,3,4661,中島昂章,33,佐賀,52,B1,4.56,27.78,5.42,34.8,22,40.60,57,46.23,S 1662,1
23,唐津,2025/08/15,6,10:46,4,4027,松江秀徳,47,佐賀,55,A2,5.60,35.11,5.94,41.2,41,40.38,44,33.64,145 52,11
23,唐津,2025/08/15,6,10:46,5,3809,吉田　光,50,佐賀,52,B1,4.42,18.06,5.41,35.9,62,31.92,46,30.28,443 43,1
23,唐津,2025/08/15,6,10:46,6,4652,酒見峻介,40,佐賀,51,A2,6.40,52.94,5.76,43.5,16,35.17,22,36.89,3 2624,10
23,唐津,2025/08/15,7,11:21,1,3471,赤峰和也,55,佐賀,53,B1,3.94,16.67,4.18,20.0,18,39.41,19,39.13,2 464,3
23,唐津,2025/08/15,7,11:21,2,4092,岡部大輔,44,佐賀,54,B1,5.31,31.82,5.84,40.1,56,37.82,45,35.19,2 1536,11
23,唐津,2025/08/15,7,11:21,3,4252,松下哲也,42,福岡,52,B1,4.35,27.27,4.04,19.7,29,35.37,52,31.62,6 4353,2
23,唐津,2025/08/15,7,11:21,4,4942,柴田朋哉,35,福岡,54,B1,5.17,25.00,5.40,30.0,23,40.76,11,39.81,5 311,3
23,唐津,2025/08/15,7,11:21,5,4224,大橋栄里,43,福岡,48,B1,5.44,40.40,4.51,30.7,31,31.90,13,40.71,S25 66,2
23,唐津,2025/08/15,7,11:21,6,3998,冨成謙児,46,佐賀,51,B1,4.16,21.88,4.95,31.8,55,40.68,53,25.47,332 4,1
23,唐津,2025/08/15,8,11:52,1,4778,堤　啓輔,39,佐賀,51,B1,4.62,28.57,5.34,36.5,68,32.78,51,26.61,465 1,2
23,唐津,2025/08/15,8,11:52,2,5223,森清友翔,24,福岡,54,B1,4.44,28.04,2.57,10.2,25,31.22,43,26.17,6 4463,1
23,唐津,2025/08/15,8,11:52,3,5312,川辺郭人,25,佐賀,54,B2,2.44,3.90,2.19,2.9,40,36.65,7,34.58,3 626,4
23,唐津,2025/08/15,8,11:52,4,4949,横田貴満,32,佐賀,49,A1,6.80,53.66,5.87,35.9,47,41.77,10,42.99,16143,1
23,唐津,2025/08/15,8,11:52,5,3434,松尾宣邦,56,福岡,55,B1,4.72,31.00,4.28,26.0,20,48.99,38,34.82,5 4335,3
