会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
05,多摩川,2025/06/18,1,12:26,1,5075,中島秀治,29,滋賀,54,A1,6.67,47.06,6.40,50.0,55,24.44,28,32.35,411 63,6
05,多摩川,2025/06/18,1,12:26,2,4984,森下愛梨,28,静岡,50,B1,5.35,29.46,3.88,12.5,57,38.46,44,33.33,5 4 63,7
05,多摩川,2025/06/18,1,12:26,3,5216,長谷川晴,25,群馬,54,B1,6.20,48.31,3.98,22.4,12,28.30,54,20.51,4 655,5
05,多摩川,2025/06/18,1,12:26,4,4960,黒野元基,29,愛知,53,A1,6.34,45.28,7.30,61.7,20,25.00,37,58.33,363 62,6
05,多摩川,2025/06/18,1,12:26,5,5256,中山翔太,21,三重,51,A2,6.32,46.15,4.47,25.5,56,21.28,71,32.61,236 4,5
05,多摩川,2025/06/18,1,12:26,6,5066,鈴木孝明,26,埼玉,55,B1,5.55,38.82,5.94,38.8,48,21.57,75,30.23,4 3 35,6
05,多摩川,2025/06/18,2,12:56,1,5010,宇留田翔,28,三重,54,A2,5.71,39.29,4.04,12.0,42,37.25,34,41.67,6 346,7
05,多摩川,2025/06/18,2,12:56,2,5038,金田智博,27,福井,52,A2,5.63,34.19,6.35,35.2,66,32.61,42,44.68,5 253,6
05,多摩川,2025/06/18,2,12:56,3,5220,青木　蓮,24,埼玉,51,A2,6.24,47.97,4.95,25.0,41,48.65,32,34.78,6 541,6
05,多摩川,2025/06/18,2,12:56,4,5229,吉川晴人,22,滋賀,56,B1,6.01,44.00,4.41,18.1,16,36.36,25,43.90,561 5,7
05,多摩川,2025/06/18,2,12:56,5,4989,石原　翼,28,静岡,53,A2,6.63,57.95,7.14,62.1,14,50.00,30,30.95,156 34,8
05,多摩川,2025/06/18,2,12:56,6,5137,川原　涼,25,愛知,54,B1,5.54,38.00,4.94,32.2,26,41.82,21,42.22,6 555,6
05,多摩川,2025/06/18,3,13:31,1,5002,上田健太,29,愛知,52,A2,6.25,49.41,5.75,47.7,25,48.94,29,44.19,313 26,11
05,多摩川,2025/06/18,3,13:31,2,5004,河野主樹,29,大阪,51,A2,4.61,24.19,5.42,39.3,22,35.29,82,22.22,5 144,8
05,多摩川,2025/06/18,3,13:31,3,5091,為本智也,24,福井,53,A2,5.40,38.95,6.06,50.0,29,37.74,51,30.56,4 355,7
05,多摩川,2025/06/18,3,13:31,4,5226,藤田俊祐,23,東京,52,A1,5.89,42.75,5.75,42.4,36,41.82,59,42.22,4 513,7
05,多摩川,2025/06/18,3,13:31,5,5042,畑田汰一,26,埼玉,54,A1,7.06,53.85,6.94,44.4,45,26.67,65,33.33,615 55,7
05,多摩川,2025/06/18,3,13:31,6,5279,石渡翔一,22,東京,53,B1,5.16,30.91,4.49,25.7,62,27.66,66,54.35,6 452,8
05,多摩川,2025/06/18,4,14:05,1,5115,香川颯太,25,滋賀,52,B1,6.06,46.72,5.94,33.3,68,50.00,70,39.13,326 1,8
05,多摩川,2025/06/18,4,14:05,2,5213,湯淺紀香,26,群馬,46,B1,5.51,39.00,4.35,23.5,44,39.53,56,26.32,4 6 54,9
05,多摩川,2025/06/18,4,14:05,3,5069,山崎小葉,24,群馬,44,A2,5.05,32.35,0.00,0.0,69,25.64,72,34.09,5 661,9
05,多摩川,2025/06/18,4,14:05,4,5132,中野希一,26,埼玉,53,A2,6.30,47.54,4.67,28.2,64,40.43,80,45.00,153 56,8
05,多摩川,2025/06/18,4,14:05,5,5197,中野仁照,23,愛知,54,A1,6.31,42.45,3.50,0.0,11,40.91,57,33.33,632 61,9
05,多摩川,2025/06/18,4,14:05,6,5005,石田貴洋,29,埼玉,52,A2,4.78,25.00,4.75,18.7,30,50.00,47,33.33,1 26F,8
05,多摩川,2025/06/18,5,14:41,1,5087,佐藤　航,25,埼玉,54,A2,5.96,44.23,5.23,34.2,18,51.11,33,33.33,126 43,12
05,多摩川,2025/06/18,5,14:41,2,5256,中山翔太,21,三重,51,A2,6.32,46.15,4.47,25.5,56,21.28,71,32.61,236 4,1
05,多摩川,2025/06/18,5,14:41,3,4967,中村魁生,26,大阪,52,A2,6.13,42.31,5.35,32.2,70,34.09,61,34.09,242 61,9
05,多摩川,2025/06/18,5,14:41,4,5036,福田翔吾,27,大阪,54,B1,4.71,30.00,0.00,0.0,28,20.51,39,28.57,6 5 52,9
05,多摩川,2025/06/18,5,14:41,5,5357,田中瀬里,20,埼玉,55,B2,1.57,1.30,0.00,0.0,37,20.00,63,20.51,,9
05,多摩川,2025/06/18,5,14:41,6,5216,長谷川晴,25,群馬,54,B1,6.20,48.31,3.98,22.4,12,28.30,54,20.51,4 655,1
05,多摩川,2025/06/18,6,15:10,1,4960,黒野元基,29,愛知,53,A1,6.34,45.28,7.30,61.7,20,25.00,37,58.33,363 62,1
05,多摩川,2025/06/18,6,15:10,2,5066,鈴木孝明,26,埼玉,55,B1,5.55,38.82,5.94,38.8,48,21.57,75,30.23,4 3 35,1
05,多摩川,2025/06/18,6,15:10,3,5137,川原　涼,25,愛知,54,B1,5.54,38.00,4.94,32.2,26,41.82,21,42.22,6 555,2
05,多摩川,2025/06/18,6,15:10,4,5075,中島秀治,29,滋賀,54,A1,6.67,47.06,6.40,50.0,55,24.44,28,32.35,411 63,1
05,多摩川,2025/06/18,6,15:10,5,5038,金田智博,27,福井,52,A2,5.63,34.19,6.35,35.2,66,32.61,42,44.68,5 253,2
05,多摩川,2025/06/18,6,15:10,6,5220,青木　蓮,24,埼玉,51,A2,6.24,47.97,4.95,25.0,41,48.65,32,34.78,6 541,2
05,多摩川,2025/06/18,7,15:43,1,5226,藤田俊祐,23,東京,52,A1,5.89,42.75,5.75,42.4,36,41.82,59,42.22,4 513,3
05,多摩川,2025/06/18,7,15:43,2,5042,畑田汰一,26,埼玉,54,A1,7.06,53.85,6.94,44.4,45,26.67,65,33.33,615 55,3
