会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
24,大村,2025/10/28,1,15:15,1,3843,上之晃弘,49,長崎,55,B1,4.75,31.13,5.07,29.5,49,41.33,65,35.96,343,11
24,大村,2025/10/28,1,15:15,2,4047,吉永浩則,45,大阪,55,B1,4.03,15.56,3.84,20.4,67,29.76,28,23.38,6 36,8
24,大村,2025/10/28,1,15:15,3,3880,浅見宗孝,52,埼玉,56,B1,4.56,26.67,5.10,26.6,26,40.24,25,38.04,416,7
24,大村,2025/10/28,1,15:15,4,3448,高山秀雄,55,群馬,54,B1,4.48,18.56,3.60,6.6,19,26.74,23,35.63,562,6
24,大村,2025/10/28,1,15:15,5,3796,長野道臣,52,静岡,55,B1,4.97,31.30,5.14,37.9,18,35.96,20,36.59,642,10
24,大村,2025/10/28,1,15:15,6,3656,伯母芳恒,52,東京,55,B1,5.23,34.62,6.22,44.4,35,22.35,36,23.81,362,9
24,大村,2025/10/28,2,15:44,1,4036,金田　諭,46,埼玉,52,A2,6.64,52.63,6.54,53.8,31,30.12,12,39.77,645,11
24,大村,2025/10/28,2,15:44,2,3514,山一鉄也,58,福岡,52,B2,5.95,44.09,6.15,39.1,28,33.33,27,34.83,2 25,
24,大村,2025/10/28,2,15:44,3,3852,澤　大介,53,三重,52,B1,5.10,32.26,3.88,23.5,32,35.29,60,24.10,665,8
24,大村,2025/10/28,2,15:44,4,4004,山本浩輔,47,長崎,53,B1,4.47,22.22,4.73,28.2,44,32.94,73,27.17,135,10
24,大村,2025/10/28,2,15:44,5,3473,石川真二,55,福岡,52,A1,6.58,51.56,6.95,48.0,64,45.78,31,34.07,311,12
24,大村,2025/10/28,2,15:44,6,3983,須藤博倫,48,埼玉,51,A1,5.82,37.59,7.24,52.9,75,24.42,74,30.49,5341,7
24,大村,2025/10/28,3,16:10,1,4104,木下陽介,46,東京,59,B1,4.87,31.52,5.16,37.5,68,20.45,71,30.11,6556,7
24,大村,2025/10/28,3,16:10,2,3788,一宮稔弘,54,徳島,52,B1,5.85,45.65,5.88,41.6,11,52.44,77,30.68,1 14,12
24,大村,2025/10/28,3,16:10,3,3920,正木聖賢,50,広島,55,B1,5.53,35.79,5.22,33.3,70,22.73,67,25.00,524,8
24,大村,2025/10/28,3,16:10,4,3741,松尾基成,51,福岡,58,B1,3.40,12.50,4.38,21.8,66,42.17,39,28.24,461,9
24,大村,2025/10/28,3,16:10,5,4066,東本勝利,45,三重,51,A1,6.25,40.32,5.83,27.7,65,43.82,17,34.09,2 16,11
24,大村,2025/10/28,3,16:10,6,3822,平尾崇典,53,岡山,50,A1,6.94,55.63,6.09,27.2,43,36.78,63,30.00,11S,10
24,大村,2025/10/28,4,16:36,1,3730,塩崎優司,53,愛知,53,B1,4.23,22.61,4.94,31.2,53,32.58,68,30.86,2566,10
24,大村,2025/10/28,4,16:36,2,3714,梶原　正,50,福岡,56,B1,4.17,20.59,4.88,34.6,25,38.64,47,40.91,3 14,
24,大村,2025/10/28,4,16:36,3,3944,山口裕二,46,長崎,53,A1,5.93,43.43,5.92,40.9,52,34.52,29,35.87,255,11
