会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
17,宮島,2025/06/13,1,10:54,1,3837,秋山広一,50,香川,52,A2,6.16,44.55,6.11,44.6,63,35.67,31,35.91,23,11
17,宮島,2025/06/13,1,10:54,2,4880,澤崎雄哉,30,東京,53,B1,5.12,34.74,2.50,0.0,77,33.33,28,31.29,3,10
17,宮島,2025/06/13,1,10:54,3,4785,木幡純也,37,愛知,52,B1,4.87,21.33,4.33,33.3,18,39.38,16,33.33,2,8
17,宮島,2025/06/13,1,10:54,4,3690,河合三弘,54,愛知,53,B1,4.95,33.65,4.00,10.0,16,32.69,64,32.77,5,6
17,宮島,2025/06/13,1,10:54,5,5392,安武一也,24,福岡,51,B2,1.47,0.00,0.00,0.0,81,31.79,63,21.88,6,9
17,宮島,2025/06/13,1,10:54,6,3562,山下和彦,56,広島,52,A1,5.87,39.55,5.65,25.0,32,33.13,62,29.94,11,7
17,宮島,2025/06/13,2,11:31,1,4429,豊田泰洋,39,広島,59,B1,4.03,18.49,4.46,23.8,24,36.59,33,27.04,35,
17,宮島,2025/06/13,2,11:31,2,4992,廣瀬篤哉,27,滋賀,57,B1,4.23,22.73,0.00,0.0,17,33.33,37,29.65,5,10
17,宮島,2025/06/13,2,11:31,3,3430,角浜　修,57,広島,55,B1,3.94,23.38,4.47,28.2,13,23.42,38,23.02,2,7
17,宮島,2025/06/13,2,11:31,4,5308,藤森拓海,20,福岡,54,B1,3.40,8.75,2.14,3.5,11,37.34,15,35.53,2,9
17,宮島,2025/06/13,2,11:31,5,5302,秋末秦悟,22,大阪,53,B2,1.53,1.33,1.24,0.0,62,36.59,75,36.63,4,8
17,宮島,2025/06/13,2,11:31,6,4176,樋口喜彦,42,兵庫,54,B1,3.51,15.66,3.71,14.2,61,43.75,24,24.17,56,
17,宮島,2025/06/13,3,12:00,1,4630,岩永雅人,38,愛知,53,A2,6.36,43.94,5.60,30.0,26,38.01,67,38.97,15,11
17,宮島,2025/06/13,3,12:00,2,3556,田中信一,52,大阪,54,A1,6.69,49.02,7.69,53.8,54,36.69,71,36.20,12,8
17,宮島,2025/06/13,3,12:00,3,3910,松下知幸,51,香川,52,B1,4.26,23.00,4.06,16.6,19,36.36,59,43.02,33,9
17,宮島,2025/06/13,3,12:00,4,3613,角谷健吾,52,東京,53,A2,6.54,51.40,5.48,32.0,58,35.48,60,43.02,12,10
17,宮島,2025/06/13,3,12:00,5,5325,澁川　夏,21,大阪,52,B1,3.82,11.21,3.33,16.6,56,27.07,66,49.65,5,7
17,宮島,2025/06/13,3,12:00,6,4100,松田隆司,46,福岡,54,B1,5.11,28.26,5.36,37.7,15,37.27,73,35.29,1,12
17,宮島,2025/06/13,4,12:31,1,4903,吉田凌太,31,愛知,54,A1,6.57,54.08,5.74,42.1,34,34.32,18,30.19,35,9
