会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
13,尼崎,2026/05/31,1,10:40,1,5283,植木美帆,22,東京,47,B1,2.31,4.17,1.56,0.0,24,48.28,54,18.52,,5
13,尼崎,2026/05/31,1,10:40,2,3516,吉原聖人,58,広島,51,B1,4.11,24.00,3.95,20.0,47,26.67,61,17.86,,9
13,尼崎,2026/05/31,1,10:40,3,4654,篠田優也,39,兵庫,55,A2,6.40,45.38,6.47,48.5,51,22.22,50,24.00,,10
13,尼崎,2026/05/31,1,10:40,4,5299,西丸敦基,23,香川,53,B1,5.60,40.00,4.33,22.2,23,79.31,39,80.00,,7
13,尼崎,2026/05/31,1,10:40,5,4487,三原　司,40,福岡,52,B1,4.75,25.74,4.96,20.0,7,21.43,11,39.13,,
13,尼崎,2026/05/31,1,10:40,6,4901,出口舞有,33,愛知,45,B2,4.67,23.17,0.00,0.0,11,30.00,49,42.86,,11
13,尼崎,2026/05/31,2,11:09,1,4837,酒井陽祐,37,愛知,51,B1,4.39,19.32,4.24,23.5,40,29.63,53,38.10,,7
13,尼崎,2026/05/31,2,11:09,2,4931,木谷賢太,30,香川,54,A1,6.71,45.86,6.50,50.0,28,19.23,24,19.23,,10
13,尼崎,2026/05/31,2,11:09,3,4071,古賀千晶,45,兵庫,46,B1,4.71,22.86,4.82,28.5,49,6.25,68,11.11,,9
13,尼崎,2026/05/31,2,11:09,4,3853,岩崎正哉,53,福岡,56,B1,5.77,38.68,5.95,40.0,32,51.72,62,16.13,,
13,尼崎,2026/05/31,2,11:09,5,4575,戸塚邦好,37,東京,51,A1,6.16,43.56,6.13,50.0,62,17.86,58,26.92,,11
13,尼崎,2026/05/31,2,11:09,6,4651,佐藤大騎,41,大阪,52,B1,3.75,15.09,5.00,33.3,34,33.33,70,23.81,,8
13,尼崎,2026/05/31,3,11:43,1,5264,登みひ果,26,兵庫,44,B1,5.08,25.00,4.04,19.8,17,25.00,20,22.22,,
13,尼崎,2026/05/31,3,11:43,2,4083,福島勇樹,46,東京,52,A1,7.41,61.15,6.10,54.8,56,5.56,22,36.67,,12
13,尼崎,2026/05/31,3,11:43,3,4842,山下昂大,34,岡山,55,A2,6.10,42.86,5.67,30.5,19,15.38,27,12.90,,11
13,尼崎,2026/05/31,3,11:43,4,4811,向井田佑,37,広島,50,B1,4.49,23.28,4.92,27.0,45,33.33,28,16.67,,10
13,尼崎,2026/05/31,3,11:43,5,3773,津留浩一,52,長崎,58,B1,3.83,17.98,4.00,20.0,22,26.67,63,24.00,,8
13,尼崎,2026/05/31,3,11:43,6,4803,飯田庄吾,32,福岡,58,B1,3.71,15.22,2.89,0.0,36,22.22,40,24.00,,
13,尼崎,2026/05/31,4,12:12,1,4731,間野兼礼,37,愛知,53,B1,5.23,32.61,5.25,37.5,46,33.33,44,37.04,,10
13,尼崎,2026/05/31,4,12:12,2,4051,清水敦揮,45,岡山,56,A1,6.72,47.83,7.43,61.3,27,30.00,69,18.52,,12
13,尼崎,2026/05/31,4,12:12,3,4452,松尾　祭,38,香川,53,A2,5.35,35.38,6.26,36.8,25,41.38,51,8.00,,11
13,尼崎,2026/05/31,4,12:12,4,5333,山下智己,22,兵庫,50,B1,4.51,31.11,2.67,11.7,30,37.50,67,27.59,,
13,尼崎,2026/05/31,4,12:12,5,4958,溝口海義,30,福岡,55,A2,6.27,41.22,6.31,38.4,33,23.33,66,32.00,,9
13,尼崎,2026/05/31,4,12:12,6,4781,西舘果里,39,東京,51,B2,5.00,34.78,5.94,23.5,1,32.14,38,31.58,,
13,尼崎,2026/05/31,5,12:41,1,3339,泉　具巳,61,兵庫,56,B1,4.49,30.39,4.69,23.8,39,41.38,26,39.29,,
13,尼崎,2026/05/31,5,12:41,2,4967,中村魁生,27,大阪,50,A1,6.66,48.51,7.33,66.6,8,27.59,17,17.86,,12
13,尼崎,2026/05/31,5,12:41,3,5283,植木美帆,22,東京,47,B1,2.31,4.17,1.56,0.0,24,48.28,54,18.52,,1
13,尼崎,2026/05/31,5,12:41,4,3777,樋口　亮,50,長崎,53,A2,5.98,44.44,5.37,36.8,57,31.03,45,26.32,,11
13,尼崎,2026/05/31,5,12:41,5,5111,三村岳人,26,岡山,52,B2,5.78,44.58,5.07,28.5,53,21.05,59,46.43,,9
13,尼崎,2026/05/31,5,12:41,6,4433,川野芽唯,40,福岡,47,A1,6.94,52.03,6.67,47.6,43,4.00,72,30.00,,10
13,尼崎,2026/05/31,6,13:12,1,3256,三角哲男,59,東京,51,A2,6.54,50.00,0.00,0.0,21,12.90,23,45.83,,10
