会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
08,常滑,2025/06/28,1,10:25,1,3905,天野友和,47,愛知,53,A2,5.93,43.24,6.12,41.5,38,34.04,24,0.00,,11
08,常滑,2025/06/28,1,10:25,2,3692,竹腰正樹,54,福井,53,B1,5.58,39.82,5.11,36.1,37,38.46,60,0.00,,9
08,常滑,2025/06/28,1,10:25,3,5039,倉田茂将,27,愛知,56,B1,5.01,31.82,4.27,27.0,36,34.72,13,0.00,,6
08,常滑,2025/06/28,1,10:25,4,5064,品川二千,26,山口,53,B1,5.40,34.44,4.08,16.6,21,33.58,63,0.00,,8
08,常滑,2025/06/28,1,10:25,5,4229,市川美宏,42,静岡,53,B1,4.50,19.23,4.53,20.0,15,44.08,20,0.00,,10
08,常滑,2025/06/28,1,10:25,6,4111,奥田　誠,45,広島,55,B1,5.10,28.57,5.25,33.3,11,36.81,30,0.00,,
08,常滑,2025/06/28,2,10:53,1,3661,柳瀬興志,55,山口,58,B1,5.34,27.88,5.43,14.2,13,32.39,58,0.00,,
08,常滑,2025/06/28,2,10:53,2,4336,松田竜馬,41,福岡,54,A2,5.07,32.73,5.60,30.0,5,33.33,53,0.00,,10
08,常滑,2025/06/28,2,10:53,3,4557,松尾光広,35,岡山,55,B1,4.89,30.68,4.80,20.0,1,28.46,52,0.00,,7
08,常滑,2025/06/28,2,10:53,4,4105,松下直也,45,兵庫,53,A2,5.53,33.09,7.46,69.2,40,29.29,48,0.00,,8
08,常滑,2025/06/28,2,10:53,5,3158,島川光男,60,広島,53,A1,5.69,41.38,6.00,42.1,39,28.78,16,0.00,,11
08,常滑,2025/06/28,2,10:53,6,3889,須藤隆雄,50,群馬,58,B1,3.82,20.88,4.38,26.4,51,49.04,46,0.00,,
08,常滑,2025/06/28,3,11:30,1,4180,上野秀和,42,福岡,58,B1,4.37,24.24,5.18,39.2,41,35.46,15,0.00,,11
08,常滑,2025/06/28,3,11:30,2,4538,笠置博之,34,大阪,55,A2,5.80,40.68,4.68,27.5,45,35.62,45,0.00,,10
08,常滑,2025/06/28,3,11:30,3,4420,津久井拓,37,群馬,52,A2,5.66,40.60,5.76,42.1,58,27.07,28,0.00,,9
08,常滑,2025/06/28,3,11:30,4,4031,飯島　誠,46,埼玉,55,B1,4.47,18.95,5.48,38.1,35,35.25,26,0.00,,7
08,常滑,2025/06/28,3,11:30,5,5371,早川颯太,22,東京,56,B2,1.33,0.00,0.00,0.0,10,35.37,14,0.00,,8
08,常滑,2025/06/28,3,11:30,6,4290,稲田浩二,40,兵庫,51,A1,7.11,47.48,4.67,0.0,43,20.33,18,0.00,,12
08,常滑,2025/06/28,4,11:59,1,4377,濱本優一,41,大阪,50,A2,6.25,44.44,7.48,56.5,49,27.89,17,0.00,,
08,常滑,2025/06/28,4,11:59,2,4708,半田尚也,36,広島,56,B1,4.59,21.90,3.07,0.0,46,31.33,64,0.00,,8
08,常滑,2025/06/28,4,11:59,3,4516,野口勝弘,38,愛知,50,A1,6.31,43.08,6.88,48.5,60,36.94,61,0.00,,12
08,常滑,2025/06/28,4,11:59,4,3838,伊藤啓三,50,埼玉,54,A2,5.74,36.09,5.74,37.2,30,17.12,62,0.00,,11
08,常滑,2025/06/28,4,11:59,5,4382,高山智至,40,滋賀,55,B1,4.45,19.05,5.13,29.1,12,24.46,44,0.00,,9
08,常滑,2025/06/28,4,11:59,6,5041,荒牧凪沙,26,福岡,53,B1,4.70,22.89,6.33,40.0,42,26.32,29,0.00,,10
08,常滑,2025/06/28,5,12:32,1,4861,田中宏樹,37,福岡,53,B1,5.57,37.93,5.21,28.5,55,32.26,55,0.00,,
08,常滑,2025/06/28,5,12:32,2,4120,柘植政浩,43,滋賀,52,A2,5.55,33.64,5.60,30.0,52,31.08,25,0.00,,9
08,常滑,2025/06/28,5,12:32,3,5154,村松栄太,29,広島,54,B1,4.74,30.11,3.17,0.0,9,18.84,27,0.00,,10
08,常滑,2025/06/28,5,12:32,4,3024,西島義則,63,広島,57,A1,6.94,57.75,6.87,60.8,61,41.61,51,0.00,,12
08,常滑,2025/06/28,5,12:32,5,3787,天野　誠,53,岡山,53,B1,4.06,21.15,4.69,23.0,7,28.21,21,0.00,,
08,常滑,2025/06/28,5,12:32,6,4114,深澤達徳,44,東京,53,A2,5.67,32.48,5.43,28.5,47,35.57,49,0.00,,11
08,常滑,2025/06/28,6,13:04,1,4140,梶野学志,44,東京,54,A1,6.02,43.21,6.37,50.0,34,39.58,31,0.00,,12
08,常滑,2025/06/28,6,13:04,2,4306,畔柳俊吾,41,愛知,51,B1,5.04,22.61,5.51,35.7,62,25.18,54,0.00,,
08,常滑,2025/06/28,6,13:04,3,4173,岡谷健吾,42,広島,56,B1,4.88,30.56,5.65,37.8,54,35.00,56,0.00,,
08,常滑,2025/06/28,6,13:04,4,5039,倉田茂将,27,愛知,56,B1,5.01,31.82,4.27,27.0,36,34.72,13,0.00,,1
08,常滑,2025/06/28,6,13:04,5,3804,中渡修作,51,福岡,55,B1,4.30,25.00,4.17,16.6,26,36.65,12,0.00,,
08,常滑,2025/06/28,6,13:04,6,4277,金田大輔,41,岡山,52,B1,4.99,33.33,4.00,18.7,59,38.00,43,0.00,,
08,常滑,2025/06/28,7,13:37,1,4251,川崎誠志,42,山口,51,B1,4.48,23.39,5.38,34.6,2,43.33,22,0.00,,11
08,常滑,2025/06/28,7,13:37,2,4391,松田祐季,39,福井,52,A1,7.01,52.80,6.28,40.6,50,29.66,50,0.00,,12
08,常滑,2025/06/28,7,13:37,3,4031,飯島　誠,46,埼玉,55,B1,4.47,18.95,5.48,38.1,35,35.25,26,0.00,,3
08,常滑,2025/06/28,7,13:37,4,5344,谷口　丞,22,滋賀,54,B2,2.63,8.96,1.84,5.2,6,41.72,32,0.00,,
08,常滑,2025/06/28,7,13:37,5,4293,鈴木智啓,39,愛知,59,A2,6.00,45.10,5.89,43.2,4,32.65,47,0.00,,
08,常滑,2025/06/28,7,13:37,6,4557,松尾光広,35,岡山,55,B1,4.89,30.68,4.80,20.0,1,28.46,52,0.00,,2
08,常滑,2025/06/28,8,14:06,1,3831,安藤裕貴,50,愛知,53,B2,4.14,25.00,4.33,25.0,8,28.47,11,0.00,,
08,常滑,2025/06/28,8,14:06,2,5064,品川二千,26,山口,53,B1,5.40,34.44,4.08,16.6,21,33.58,63,0.00,,1
08,常滑,2025/06/28,8,14:06,3,4105,松下直也,45,兵庫,53,A2,5.53,33.09,7.46,69.2,40,29.29,48,0.00,,2
08,常滑,2025/06/28,8,14:06,4,5371,早川颯太,22,東京,56,B2,1.33,0.00,0.00,0.0,10,35.37,14,0.00,,3
08,常滑,2025/06/28,8,14:06,5,4708,半田尚也,36,広島,56,B1,4.59,21.90,3.07,0.0,46,31.33,64,0.00,,4
08,常滑,2025/06/28,8,14:06,6,4287,今井貴士,40,福岡,57,A1,6.60,50.34,5.79,41.6,32,14.05,57,0.00,,12
08,常滑,2025/06/28,9,14:33,1,4420,津久井拓,37,群馬,52,A2,5.66,40.60,5.76,42.1,58,27.07,28,0.00,,3
08,常滑,2025/06/28,9,14:33,2,4382,高山智至,40,滋賀,55,B1,4.45,19.05,5.13,29.1,12,24.46,44,0.00,,4
08,常滑,2025/06/28,9,14:33,3,3502,渡邉英児,55,静岡,51,A2,5.32,33.09,6.29,46.7,27,29.71,59,0.00,,
08,常滑,2025/06/28,9,14:33,4,4332,村上彰一,41,福岡,57,B1,4.53,22.89,0.00,0.0,19,37.75,19,0.00,,
08,常滑,2025/06/28,9,14:33,5,3692,竹腰正樹,54,福井,53,B1,5.58,39.82,5.11,36.1,37,38.46,60,0.00,,1
08,常滑,2025/06/28,9,14:33,6,4120,柘植政浩,43,滋賀,52,A2,5.55,33.64,5.60,30.0,52,31.08,25,0.00,,5
08,常滑,2025/06/28,10,15:00,1,4015,前野竜一,45,山口,60,A2,6.22,44.44,5.93,33.3,31,30.61,23,0.00,,
08,常滑,2025/06/28,10,15:00,2,4229,市川美宏,42,静岡,53,B1,4.50,19.23,4.53,20.0,15,44.08,20,0.00,,1
08,常滑,2025/06/28,10,15:00,3,5041,荒牧凪沙,26,福岡,53,B1,4.70,22.89,6.33,40.0,42,26.32,29,0.00,,4
08,常滑,2025/06/28,10,15:00,4,5154,村松栄太,29,広島,54,B1,4.74,30.11,3.17,0.0,9,18.84,27,0.00,,5
08,常滑,2025/06/28,10,15:00,5,4538,笠置博之,34,大阪,55,A2,5.80,40.68,4.68,27.5,45,35.62,45,0.00,,3
08,常滑,2025/06/28,10,15:00,6,4336,松田竜馬,41,福岡,54,A2,5.07,32.73,5.60,30.0,5,33.33,53,0.00,,2
08,常滑,2025/06/28,11,15:28,1,3158,島川光男,60,広島,53,A1,5.69,41.38,6.00,42.1,39,28.78,16,0.00,,2
08,常滑,2025/06/28,11,15:28,2,4114,深澤達徳,44,東京,53,A2,5.67,32.48,5.43,28.5,47,35.57,49,0.00,,5
08,常滑,2025/06/28,11,15:28,3,4251,川崎誠志,42,山口,51,B1,4.48,23.39,5.38,34.6,2,43.33,22,0.00,,7
08,常滑,2025/06/28,11,15:28,4,3905,天野友和,47,愛知,53,A2,5.93,43.24,6.12,41.5,38,34.04,24,0.00,,1
08,常滑,2025/06/28,11,15:28,5,4180,上野秀和,42,福岡,58,B1,4.37,24.24,5.18,39.2,41,35.46,15,0.00,,3
