会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
18,徳山,2026/03/12,1,08:51,1,4927,関野　文,32,大阪,44,A2,5.45,31.53,6.66,57.1,42,36.07,72,34.88,1343,10
18,徳山,2026/03/12,1,08:51,2,4045,佐々木裕,46,山口,48,B1,4.34,28.36,5.65,41.0,59,33.99,17,32.14,365,6
18,徳山,2026/03/12,1,08:51,3,5291,三嶌ここ,24,香川,52,B1,3.39,11.43,1.65,0.0,56,29.61,36,27.91,6 34,7
18,徳山,2026/03/12,1,08:51,4,5146,野田彩加,22,山口,50,B1,5.57,33.77,4.93,28.8,74,50.49,61,25.56,161,12
18,徳山,2026/03/12,1,08:51,5,4569,中澤宏奈,37,東京,47,B2,4.83,35.94,5.41,52.9,28,35.96,29,33.33,655,9
18,徳山,2026/03/12,1,08:51,6,4548,篠木亜衣,37,三重,50,B2,3.42,13.33,4.75,25.0,26,35.68,66,37.21,4 35,
18,徳山,2026/03/12,2,09:17,1,4123,細川裕子,44,愛知,47,A1,6.49,44.74,8.00,63.6,51,32.58,24,32.53,4 44,8
18,徳山,2026/03/12,2,09:17,2,5118,野田なづ,25,佐賀,44,B1,6.13,45.88,4.67,22.2,68,43.84,49,35.23,233,11
18,徳山,2026/03/12,2,09:17,3,4589,塩崎桐加,33,三重,49,A2,4.24,23.91,5.23,34.6,65,33.64,31,27.71,442,9
18,徳山,2026/03/12,2,09:17,4,4456,鎌倉　涼,36,大阪,45,A1,7.20,60.42,7.20,60.0,63,41.38,53,30.34,324,10
18,徳山,2026/03/12,2,09:17,5,4065,金田幸子,46,岡山,43,B1,4.74,35.14,6.78,52.1,29,39.25,35,33.33,426,6
18,徳山,2026/03/12,2,09:17,6,4965,福岡泉水,28,兵庫,51,B1,4.60,23.81,0.00,0.0,61,38.28,13,40.96,522,7
18,徳山,2026/03/12,3,09:43,1,5045,平川香織,25,埼玉,47,A2,5.76,37.70,5.33,22.2,52,33.33,54,32.22,551,7
18,徳山,2026/03/12,3,09:43,2,4720,西澤日花,31,長崎,48,B1,4.16,14.86,4.00,11.1,58,37.72,74,38.46,145,9
18,徳山,2026/03/12,3,09:43,3,3175,渡辺千草,62,東京,48,B1,4.51,22.22,4.71,29.4,70,32.24,51,31.46,351,10
