会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
02,戸田,2026/04/07,1,10:47,1,5248,本田　愛,24,静岡,47,B1,4.47,19.74,4.79,31.0,27,34.19,45,26.76,363,12
02,戸田,2026/04/07,1,10:47,2,4377,濱本優一,41,大阪,50,A1,6.49,53.10,7.19,56.2,45,23.48,66,29.45,4556,
02,戸田,2026/04/07,1,10:47,3,4942,柴田朋哉,35,福岡,55,A2,5.27,32.88,4.91,30.4,7,32.69,29,40.56,6 16,10
02,戸田,2026/04/07,1,10:47,4,4813,宮内直哉,36,東京,52,B1,3.62,15.58,3.81,15.3,60,31.85,53,27.27,5 54,
02,戸田,2026/04/07,1,10:47,5,3517,高橋　勲,58,東京,58,A2,5.18,31.37,5.03,25.0,24,37.84,58,31.25,5 12,9
02,戸田,2026/04/07,1,10:47,6,4225,土屋千明,43,群馬,46,A2,5.84,39.71,5.98,41.6,63,38.99,11,30.82,243,6
02,戸田,2026/04/07,2,11:16,1,3448,高山秀雄,56,群馬,53,B1,4.62,22.54,4.44,23.5,62,32.58,15,34.53,454,7
02,戸田,2026/04/07,2,11:16,2,4424,松尾昂明,40,福岡,53,A2,6.17,42.61,5.00,27.0,1,28.03,67,30.07,4 41,12
02,戸田,2026/04/07,2,11:16,3,5050,木下雄介,31,滋賀,53,A2,5.86,40.51,5.00,33.3,38,31.54,56,46.76,262,8
02,戸田,2026/04/07,2,11:16,4,4857,加藤翔馬,28,兵庫,55,A1,6.98,54.55,5.21,30.3,54,39.33,47,31.72,S 44,9
02,戸田,2026/04/07,2,11:16,5,4413,水摩　敦,39,福岡,52,A2,5.98,38.52,3.86,28.5,33,27.86,40,35.04,2 53,11
02,戸田,2026/04/07,2,11:16,6,4274,長畑友輔,43,東京,53,B1,4.39,22.67,4.17,33.3,32,29.94,73,34.06,322,10
02,戸田,2026/04/07,3,11:45,1,4317,木村紗友,41,静岡,48,B1,4.31,31.43,3.89,22.2,53,33.33,36,37.59,526,7
02,戸田,2026/04/07,3,11:45,2,4099,吉永則雄,47,大阪,53,A1,6.22,41.07,5.57,43.4,61,39.61,59,39.13,4 34,10
02,戸田,2026/04/07,3,11:45,3,3827,今泉　徹,52,群馬,53,B1,4.03,15.79,4.00,22.2,40,38.26,28,28.57,5 56,
02,戸田,2026/04/07,3,11:45,4,4363,大野芳顕,41,福岡,54,A2,5.79,37.50,4.97,25.0,25,35.76,21,34.53,2 25,9
02,戸田,2026/04/07,3,11:45,5,4286,平田さや,41,東京,48,A2,5.63,35.83,5.30,29.6,48,17.54,32,30.14,3 44,8
02,戸田,2026/04/07,3,11:45,6,4124,池田雄一,44,静岡,53,A1,5.96,42.11,8.14,71.4,42,33.54,77,32.67,S321,12
02,戸田,2026/04/07,4,12:14,1,3934,鋤柄貴俊,49,愛知,53,B1,4.93,26.37,5.40,30.0,35,25.00,44,33.33,356,8
02,戸田,2026/04/07,4,12:14,2,3983,須藤博倫,48,埼玉,53,A2,6.32,42.16,6.80,52.5,57,32.19,39,38.46,131,12
02,戸田,2026/04/07,4,12:14,3,4794,和田拓也,35,兵庫,55,A1,6.46,45.68,5.42,42.1,4,42.60,19,30.22,122,9
02,戸田,2026/04/07,4,12:14,4,4876,梅木敬太,31,福井,53,B1,4.71,30.21,4.76,23.5,2,40.24,27,41.67,142,11
02,戸田,2026/04/07,4,12:14,5,3772,一柳和孝,52,埼玉,53,B1,5.30,28.57,5.31,30.4,56,28.89,16,38.03,324,10
