レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,08:44,1,古結　宏,A1,75.47,75.47
1R,08:44,2,眞崎武蔵,B2,0.0,0.0
1R,08:44,3,片橋幸貴,B2,3.06,3.06
1R,08:44,4,岸蔭　亮,B1,1.63,1.63
1R,08:44,5,市川健太,B1,12.04,12.04
1R,08:44,6,岩津徹郎,B1,7.81,7.81
2R,09:10,1,村上功祐,A2,17.28,12.66
2R,09:10,2,中里英夫,A2,11.62,34.04
2R,09:10,3,白井友晴,B1,32.76,25.2
2R,09:10,4,幸野史明,B1,11.98,8.78
2R,09:10,5,山田和佐,B1,20.34,14.9
2R,09:10,6,関　裕也,B1,6.03,4.42
3R,09:36,1,安田政彦,A2,68.08,19.93
3R,09:36,2,岡　暢祐,B1,7.21,18.1
3R,09:36,3,小池公生,A1,7.98,20.02
3R,09:36,4,一色凌雅,B1,5.37,13.47
3R,09:36,5,磯村　匠,B1,0.66,1.65
3R,09:36,6,新田智彰,B1,10.69,26.83
4R,10:02,1,藤田浩人,A2,81.82,21.46
4R,10:02,2,渡邊哲也,B1,0.5,1.63
4R,10:02,3,上田隆章,B1,2.05,6.66
4R,10:02,4,飯島昌弘,A1,12.03,39.07
4R,10:02,5,吉田俊彦,A1,3.6,31.18
4R,10:02,6,早川理稀,B2,0.0,0.0
5R,10:30,1,松本博昭,A2,27.76,26.99
5R,10:30,2,市川健太,B1,8.41,8.17
5R,10:30,3,寺嶋　雄,B1,5.68,8.28
5R,10:30,4,牧山敦也,B1,20.58,20.01
5R,10:30,5,乙藤智史,A2,13.54,13.17
5R,10:30,6,作間　章,A1,24.03,23.37
6R,10:57,1,大久保信,B1,44.23,36.46
6R,10:57,2,松尾　祭,A2,6.27,5.17
6R,10:57,3,川島拓郎,B1,9.21,7.6
6R,10:57,4,枝尾　賢,A2,16.88,13.92
6R,10:57,5,中里英夫,A2,10.65,26.34
6R,10:57,6,長尾章平,A1,12.75,10.51
7R,11:26,1,川北浩貴,B1,65.67,55.35
7R,11:26,2,東口　晃,B1,3.93,5.58
7R,11:26,3,中村栄治,B1,0.58,1.79
7R,11:26,4,片橋幸貴,B2,1.36,1.7
7R,11:26,5,岡　暢祐,B1,9.82,12.28
7R,11:26,6,毒島　誠,B2,18.64,23.3
8R,11:57,1,関　裕也,B1,4.0,3.49
8R,11:57,2,大田直弥,A2,17.17,14.98
8R,11:57,3,岸蔭　亮,B1,2.89,1.55
8R,11:57,4,松村康太,A2,27.04,37.34
8R,11:57,5,太田和美,A1,10.88,9.49
8R,11:57,6,安田政彦,A2,38.02,33.16
9R,12:28,1,岩津徹郎,B1,4.11,4.26
9R,12:28,2,松本一毅,A2,19.48,16.47
9R,12:28,3,真庭明志,A2,21.53,22.34
9R,12:28,4,上田隆章,B1,5.03,5.22
9R,12:28,5,平尾崇典,A1,28.93,30.01
9R,12:28,6,松本博昭,A2,20.92,21.7
10R,12:58,1,長尾章平,A1,8.99,8.99
10R,12:58,2,乙藤智史,A2,15.49,15.49
10R,12:58,3,飯島昌弘,A1,44.8,44.8
10R,12:58,4,小池公生,A1,19.54,19.54
10R,12:58,5,眞崎武蔵,B2,0.0,0.0
10R,12:58,6,村上功祐,A2,11.17,11.17
11R,13:34,1,毒島　誠,B2,15.58,26.34
11R,13:34,2,吉田俊彦,A1,47.78,11.06
11R,13:34,3,枝尾　賢,A2,5.53,9.35
11R,13:34,4,中村栄治,B1,1.02,2.4
11R,13:34,5,松尾　祭,A2,2.05,3.47
11R,13:34,6,古結　宏,A1,28.03,47.37
12R,14:12,1,作間　章,A1,47.31,8.83
12R,14:12,2,太田和美,A1,5.44,6.49
12R,14:12,3,一色凌雅,B1,6.74,8.05
12R,14:12,4,川北浩貴,B1,7.9,37.71
12R,14:12,5,大田直弥,A2,8.58,10.24
12R,14:12,6,藤田浩人,A2,24.03,28.68
