レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,17:41,1,藤井公人,B2,23.74,25.77
1R,17:41,2,宮地博士,B1,0.41,0.44
1R,17:41,3,柳橋宏紀,B1,1.66,5.18
1R,17:41,4,長谷川充,B1,15.06,16.34
1R,17:41,5,広次　修,B1,21.18,19.02
1R,17:41,6,桑原将光,B1,37.95,33.26
2R,18:08,1,新出浩司,B1,13.07,18.17
2R,18:08,2,松田隆司,B1,8.62,11.98
2R,18:08,3,石渡鉄兵,A1,35.16,48.89
2R,18:08,4,山田雄太,B1,42.12,19.52
2R,18:08,5,中岡　駿,B2,0.0,0.0
2R,18:08,6,岩永節也,B1,1.03,1.43
3R,18:34,1,高村　諒,B2,0.0,0.0
3R,18:34,2,吉永泰弘,B1,18.33,18.33
3R,18:34,3,黒柳浩孝,A2,3.57,3.57
3R,18:34,4,柴田　光,A1,32.46,32.46
3R,18:34,5,森　貴洋,B2,28.02,28.02
3R,18:34,6,池永　太,A1,17.62,17.62
4R,19:03,1,秋末秦悟,B1,3.48,2.33
4R,19:03,2,末永祐輝,A2,11.18,37.47
4R,19:03,3,一瀬　明,A2,12.89,8.64
4R,19:03,4,興津　藍,A2,38.53,25.82
4R,19:03,5,熊本英一,B1,8.94,8.99
4R,19:03,6,佐竹恒彦,B1,24.98,16.74
5R,19:30,1,藤森陸斗,A2,21.47,18.32
5R,19:30,2,木場雄二,B1,22.02,18.79
5R,19:30,3,田中太一,B1,22.02,18.79
5R,19:30,4,植田太一,A1,8.61,22.03
5R,19:30,5,西村拓也,A1,24.15,20.6
5R,19:30,6,石田政吾,B1,1.73,1.47
6R,19:56,1,松尾光広,B1,43.31,3.37
6R,19:56,2,山崎　祥,B1,7.09,9.98
6R,19:56,3,北村征嗣,A1,19.85,21.11
6R,19:56,4,林　美憲,A1,7.66,35.3
6R,19:56,5,松田隆司,B1,3.17,10.11
6R,19:56,6,山一鉄也,A2,18.92,20.13
7R,20:25,1,登玉隼百,A2,19.2,19.2
7R,20:25,2,佐藤　旭,B1,28.21,28.21
7R,20:25,3,岩永節也,B1,0.82,0.82
7R,20:25,4,竹腰正樹,A2,3.23,3.23
7R,20:25,5,吉川喜継,A1,34.9,34.9
7R,20:25,6,井上大輔,B1,13.65,13.65
8R,20:56,1,森　貴洋,B2,19.96,18.45
8R,20:56,2,重木輝彦,A1,31.55,29.17
8R,20:56,3,広次　修,B1,8.17,15.11
8R,20:56,4,渡邉俊介,A2,36.42,33.66
8R,20:56,5,秋末秦悟,B1,3.9,3.61
8R,20:56,6,中岡　駿,B2,0.0,0.0
9R,21:19,1,山本英志,A2,29.85,29.33
9R,21:19,2,三川昂暁,A2,5.28,5.19
9R,21:19,3,高村　諒,B2,0.0,0.0
9R,21:19,4,田中太一,B1,29.08,28.57
9R,21:19,5,高橋　勲,A2,34.02,33.43
9R,21:19,6,柳橋宏紀,B1,1.77,3.48
10R,21:42,1,石渡鉄兵,A1,16.73,20.46
10R,21:42,2,柴田　光,A1,24.07,7.13
10R,21:42,3,藤井公人,B2,14.18,17.34
10R,21:42,4,藤森陸斗,A2,15.89,19.43
10R,21:42,5,小野寺智,B1,16.29,19.93
10R,21:42,6,北村征嗣,A1,12.85,15.71
11R,22:05,1,林　美憲,A1,72.98,27.66
11R,22:05,2,植田太一,A1,12.06,12.82
11R,22:05,3,末永祐輝,A2,5.71,32.62
11R,22:05,4,黒柳浩孝,A2,1.16,1.23
11R,22:05,5,佐藤　旭,B1,7.97,25.42
11R,22:05,6,宮地博士,B1,0.12,0.25
12R,22:30,1,吉川喜継,A1,79.69,18.95
12R,22:30,2,山田雄太,B1,2.0,7.72
12R,22:30,3,池永　太,A1,2.71,10.45
12R,22:30,4,西村拓也,A1,8.04,30.97
12R,22:30,5,重木輝彦,A1,6.82,26.26
12R,22:30,6,山崎　祥,B1,0.73,5.65
