レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,15:30,1,上原健次,A2,27.0,27.0
1R,15:30,2,西村　勝,B1,7.79,7.79
1R,15:30,3,柳瀬幹太,B1,27.99,27.99
1R,15:30,4,片岡秀樹,B1,10.22,10.22
1R,15:30,5,向井田直,B2,27.0,27.0
1R,15:30,6,上岡巧汰,B2,0.0,0.0
2R,16:07,1,沖島広和,B1,15.28,18.73
2R,16:07,2,赤峰和也,B1,2.56,3.13
2R,16:07,3,島川海輝,A2,18.41,22.56
2R,16:07,4,楠原正剛,A2,30.68,15.04
2R,16:07,5,町田洸希,B1,2.9,3.55
2R,16:07,6,堀越雄貴,B1,30.17,36.98
3R,16:32,1,中村辰也,A2,45.84,24.23
3R,16:32,2,北川敏弘,B1,2.17,2.7
3R,16:32,3,清水攻二,A2,3.17,12.4
3R,16:32,4,重富伸也,B1,11.12,13.83
3R,16:32,5,秋田健太,B1,17.16,21.32
3R,16:32,6,濱野斗馬,A2,20.53,25.52
4R,17:06,1,三馬崇史,A2,7.36,11.94
4R,17:06,2,金田　諭,A1,69.03,49.76
4R,17:06,3,寺本重宣,A2,7.76,12.59
4R,17:06,4,飯山　泰,A1,8.43,13.67
4R,17:06,5,品田直樹,B1,5.76,9.35
4R,17:06,6,川田正人,B1,1.65,2.68
5R,17:32,1,麻生慎介,A1,19.9,17.7
5R,17:32,2,長谷川親,B1,43.65,44.37
5R,17:32,3,上瀧絢也,B2,12.0,12.2
5R,17:32,4,高橋直哉,B1,23.57,23.96
5R,17:32,5,上岡巧汰,B2,0.0,0.0
5R,17:32,6,佐藤大佑,A2,0.87,1.77
6R,17:56,1,藤田靖弘,A2,61.55,9.0
6R,17:56,2,長谷川雅,B1,19.31,45.71
6R,17:56,3,大澤大夢,B1,2.09,4.95
6R,17:56,4,町田洸希,B1,1.64,3.89
6R,17:56,5,葛原大陽,A1,9.49,22.47
6R,17:56,6,近藤友宝,B1,5.91,13.98
7R,18:21,1,岡村慶太,A1,15.18,15.18
7R,18:21,2,滝沢　崚,B2,4.22,4.22
7R,18:21,3,向井田直,B2,53.91,53.91
7R,18:21,4,北川敏弘,B1,6.83,6.83
7R,18:21,5,赤峰和也,B1,4.04,4.04
7R,18:21,6,川上　剛,A2,15.81,15.81
8R,18:47,1,津田陸翔,A2,29.18,29.18
8R,18:47,2,土井歩夢,B1,14.5,14.5
8R,18:47,3,秋田健太,B1,26.44,26.44
8R,18:47,4,茅原悠紀,A1,13.79,13.79
8R,18:47,5,石原　光,B1,4.23,4.23
8R,18:47,6,沖島広和,B1,11.86,11.86
9R,19:16,1,島川海輝,A2,11.74,20.57
9R,19:16,2,松井　繁,A1,49.99,12.0
9R,19:16,3,西村　勝,B1,6.27,10.99
9R,19:16,4,三馬崇史,A2,10.0,17.53
9R,19:16,5,長谷川親,B1,21.74,38.1
9R,19:16,6,野間大樹,B1,0.27,0.82
10R,19:43,1,白水勝也,A1,64.92,15.26
10R,19:43,2,山地正樹,B1,4.89,14.22
10R,19:43,3,上原健次,A2,10.74,31.25
10R,19:43,4,上瀧絢也,B2,2.95,8.59
10R,19:43,5,近藤友宝,B1,6.57,19.12
10R,19:43,6,清水攻二,A2,9.93,11.56
11R,20:09,1,上條嘉嗣,A1,87.26,69.16
11R,20:09,2,中村辰也,A2,3.45,8.66
11R,20:09,3,佐藤大佑,A2,0.32,0.81
11R,20:09,4,寺本重宣,A2,3.9,9.76
11R,20:09,5,大澤大夢,B1,2.18,4.36
11R,20:09,6,楠原正剛,A2,2.89,7.25
12R,20:38,1,茅原悠紀,A1,13.83,11.48
12R,20:38,2,濱野斗馬,A2,31.73,26.34
12R,20:38,3,藤田靖弘,A2,4.97,16.51
12R,20:38,4,麻生慎介,A1,20.15,16.73
12R,20:38,5,川上　剛,A2,3.89,7.84
12R,20:38,6,金田　諭,A1,25.41,21.1
