レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,10:53,1,永田秀二,A2,11.21,10.49
1R,10:53,2,木下陽介,B1,32.25,30.16
1R,10:53,3,岩田　凌,B2,10.68,9.99
1R,10:53,4,笠　雅雄,B1,41.0,38.35
1R,10:53,5,浮田圭浩,B1,4.38,10.56
1R,10:53,6,庄島潤成,B2,0.48,0.45
2R,11:21,1,山田佑樹,B1,54.46,26.57
2R,11:21,2,吉田宗弘,B1,17.36,18.84
2R,11:21,3,谷本幸司,B1,4.32,4.69
2R,11:21,4,岡村将也,A2,12.79,13.88
2R,11:21,5,伊藤啓三,B1,11.07,36.03
2R,11:21,6,福田柊人,B2,0.0,0.0
3R,11:47,1,蒲原健太,A2,39.49,22.48
3R,11:47,2,黒野元基,A1,35.81,45.87
3R,11:47,3,村松将平,B1,6.95,8.9
3R,11:47,4,山川雄大,B1,12.51,16.03
3R,11:47,5,山口修路,B1,5.24,6.71
3R,11:47,6,出口飛龍,B2,0.0,0.0
4R,12:17,1,平石和男,A2,33.71,4.12
4R,12:17,2,井上尚悟,B1,17.2,24.87
4R,12:17,3,福田雅一,B1,14.0,20.25
4R,12:17,4,角谷健吾,A1,3.19,4.62
4R,12:17,5,坂井康嗣,B1,7.09,10.25
4R,12:17,6,前田将太,A1,24.81,35.88
5R,12:47,1,北川潤二,A2,57.26,8.4
5R,12:47,2,前川守嗣,B1,19.33,9.63
5R,12:47,3,大井清貴,B1,0.17,0.43
5R,12:47,4,金子和之,A2,4.15,32.21
5R,12:47,5,嶋田貴支,B1,7.94,20.51
5R,12:47,6,佐々木康,A1,11.15,28.82
6R,13:20,1,中村魁生,A1,20.6,20.6
6R,13:20,2,萩原知哉,B1,9.15,9.15
6R,13:20,3,石田勇斗,B1,0.85,0.85
6R,13:20,4,原田秀弥,B1,29.57,29.57
6R,13:20,5,馬袋義則,A1,32.72,32.72
6R,13:20,6,高橋英之,A2,7.11,7.11
7R,13:54,1,中越博紀,A2,28.87,18.26
7R,13:54,2,伊藤啓三,B1,13.56,45.33
7R,13:54,3,笠　雅雄,B1,16.4,10.37
7R,13:54,4,島田一生,B1,5.21,3.3
7R,13:54,5,鶴本崇文,A1,6.06,3.84
7R,13:54,6,江本真治,A2,29.9,18.91
8R,14:35,1,水摩　敦,A2,12.44,12.44
8R,14:35,2,山川雄大,B1,24.24,24.24
8R,14:35,3,鈴木裕隆,A2,13.06,13.06
8R,14:35,4,福田雅一,B1,18.25,18.25
8R,14:35,5,西村秀樹,B1,0.68,0.68
8R,14:35,6,中田元泰,A1,31.32,31.32
9R,15:07,1,川崎智幸,A1,78.6,59.07
9R,15:07,2,山口修路,B1,2.33,4.45
9R,15:07,3,北川潤二,A2,4.35,8.32
9R,15:07,4,平石和男,A2,1.62,3.1
9R,15:07,5,吉田宗弘,B1,6.51,12.44
9R,15:07,6,木下大將,A2,6.6,12.62
10R,15:47,1,前田将太,A1,10.31,29.86
10R,15:47,2,中村魁生,A1,74.79,13.38
10R,15:47,3,角谷健吾,A1,1.33,3.84
10R,15:47,4,村松将平,B1,4.29,12.43
10R,15:47,5,前川守嗣,B1,6.94,20.11
10R,15:47,6,山田佑樹,B1,2.35,20.38
11R,16:17,1,佐々木康,A1,21.6,21.39
11R,16:17,2,浮田圭浩,B1,4.16,5.11
11R,16:17,3,原田秀弥,B1,25.02,24.77
11R,16:17,4,蒲原健太,A2,10.73,10.62
11R,16:17,5,井上尚悟,B1,14.15,14.01
11R,16:17,6,中越博紀,A2,24.34,24.1
12R,16:50,1,馬袋義則,A1,68.95,41.14
12R,16:50,2,鶴本崇文,A1,2.31,3.51
12R,16:50,3,金子和之,A2,3.64,17.35
12R,16:50,4,永田秀二,A2,1.71,2.59
12R,16:50,5,黒野元基,A1,19.82,30.03
12R,16:50,6,水摩　敦,A2,3.55,5.38
