レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,10:33,1,小池修平,A1,22.23,22.23
1R,10:33,2,原田幸哉,A1,17.04,17.04
1R,10:33,3,上野真之,A1,14.61,14.61
1R,10:33,4,辻　栄蔵,A1,18.63,18.63
1R,10:33,5,横澤剛治,A1,16.39,16.39
1R,10:33,6,岩瀬裕亮,A1,11.1,11.1
2R,11:03,1,中野次郎,A1,61.12,14.29
2R,11:03,2,石本裕武,A1,3.85,11.15
2R,11:03,3,北野輝季,A1,11.23,5.69
2R,11:03,4,中嶋健一,A1,4.93,14.26
2R,11:03,5,桑原　悠,A1,8.66,25.08
2R,11:03,6,馬場貴也,A1,10.2,29.53
3R,11:33,1,松本純平,A1,29.14,3.21
3R,11:33,2,鰐部太空,A1,10.07,13.76
3R,11:33,3,中島孝平,A1,18.32,25.02
3R,11:33,4,遠藤エミ,A1,18.96,25.89
3R,11:33,5,瓜生正義,A1,12.64,17.27
3R,11:33,6,久田敏之,A1,10.86,14.84
4R,12:03,1,石橋道友,A1,39.68,5.0
4R,12:03,2,澤田尚也,A1,6.9,14.06
4R,12:03,3,海野康志,A1,3.75,7.64
4R,12:03,4,竹田和哉,A1,3.22,6.56
4R,12:03,5,池田浩二,A1,42.06,57.79
4R,12:03,6,桐生順平,A1,4.39,8.94
5R,12:33,1,新田雄史,A1,32.37,32.37
5R,12:33,2,山崎　郡,A1,8.28,8.28
5R,12:33,3,守屋美穂,A1,5.09,5.09
5R,12:33,4,上野真之,A1,11.83,11.83
5R,12:33,5,永井彪也,A1,26.1,26.1
5R,12:33,6,赤岩善生,A1,16.34,16.34
6R,13:05,1,土屋智則,A1,5.5,7.12
6R,13:05,2,西山貴浩,A1,13.73,17.78
6R,13:05,3,村岡賢人,A1,8.64,11.19
6R,13:05,4,山口　剛,A1,13.65,17.68
6R,13:05,5,吉田裕平,A1,51.01,36.56
6R,13:05,6,横澤剛治,A1,7.48,9.68
7R,13:37,1,鎌倉　涼,A1,11.84,8.35
7R,13:37,2,岩瀬裕亮,A1,11.24,7.93
7R,13:37,3,遠藤エミ,A1,13.92,39.28
7R,13:37,4,松尾　充,A1,17.93,12.65
7R,13:37,5,白井英治,A1,19.06,13.45
7R,13:37,6,桑原　悠,A1,26.01,18.35
8R,14:09,1,中島孝平,A1,12.27,16.16
8R,14:09,2,磯部　誠,A1,55.34,41.2
8R,14:09,3,馬場貴也,A1,13.97,18.39
8R,14:09,4,今泉友吾,A1,5.65,7.43
8R,14:09,5,原田幸哉,A1,7.87,10.37
8R,14:09,6,羽野直也,A1,4.9,6.46
9R,14:45,1,菊地孝平,A1,8.37,9.56
9R,14:45,2,中野次郎,A1,21.69,24.75
9R,14:45,3,定松勇樹,A1,9.34,10.66
9R,14:45,4,松本純平,A1,5.06,5.77
9R,14:45,5,平本真之,A1,34.62,25.39
9R,14:45,6,澤田尚也,A1,20.92,23.87
10R,15:22,1,海野康志,A1,12.49,12.0
10R,15:22,2,小池修平,A1,19.01,18.26
10R,15:22,3,瓜生正義,A1,15.68,15.06
10R,15:22,4,村岡賢人,A1,16.2,15.56
10R,15:22,5,新田雄史,A1,34.18,32.84
10R,15:22,6,杉山正樹,A1,2.45,6.27
11R,15:59,1,大上卓人,A1,6.87,11.19
11R,15:59,2,桐生順平,A1,6.87,11.19
11R,15:59,3,吉田裕平,A1,62.64,39.2
11R,15:59,4,赤岩善生,A1,8.12,13.21
11R,15:59,5,松尾　充,A1,7.12,11.59
11R,15:59,6,井上忠政,A1,8.37,13.63
12R,16:40,1,白井英治,A1,6.5,15.73
12R,16:40,2,久田敏之,A1,5.44,13.16
12R,16:40,3,白神　優,A1,11.75,28.44
12R,16:40,4,池田浩二,A1,66.43,18.76
12R,16:40,5,中村晃朋,A1,4.83,11.7
12R,16:40,6,佐々木完,A1,5.04,12.21
