レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,15:25,1,森　弘行,B1,67.35,37.76
1R,15:25,2,高木圭大,B1,1.32,2.51
1R,15:25,3,河野真也,A2,5.61,10.69
1R,15:25,4,吉田一郎,A2,4.19,7.98
1R,15:25,5,尾形栄治,B1,13.01,24.8
1R,15:25,6,荒川健太,A2,8.53,16.26
2R,15:57,1,今坂晃広,B1,1.27,1.27
2R,15:57,2,吉田一心,B1,8.45,8.45
2R,15:57,3,廣瀬真也,A2,3.86,3.86
2R,15:57,4,大澤真菜,B1,5.76,5.76
2R,15:57,5,鈴木孝明,A2,54.46,54.46
2R,15:57,6,栗原直也,A2,26.2,26.2
3R,16:35,1,細川明人,B1,14.07,13.95
3R,16:35,2,菊地敬介,B1,9.54,9.46
3R,16:35,3,出口舞有,B2,36.24,35.92
3R,16:35,4,向井美鈴,A2,17.82,17.66
3R,16:35,5,本橋克洋,A2,9.83,10.61
3R,16:35,6,木谷賢太,A1,12.5,12.39
4R,17:13,1,笠野友紀,B1,34.28,36.48
4R,17:13,2,小坂宗司,A2,6.23,6.63
4R,17:13,3,川上清人,B1,6.63,7.05
4R,17:13,4,若林樹蘭,B2,12.28,13.07
4R,17:13,5,芦澤　望,A2,31.32,26.92
4R,17:13,6,仲口博崇,A1,9.26,9.85
5R,17:37,1,冨田秀幸,B1,1.8,1.27
5R,17:37,2,岡本翔太,B1,30.79,21.79
5R,17:37,3,土屋太朗,B1,11.8,37.58
5R,17:37,4,大野芳顕,A2,5.23,3.7
5R,17:37,5,前田　翔,A1,25.65,18.16
5R,17:37,6,山田亮太,A2,24.73,17.5
6R,18:04,1,吉永則雄,A1,24.6,24.49
6R,18:04,2,高石梨菜,B2,16.38,16.31
6R,18:04,3,山田真聖,B1,7.61,7.57
6R,18:04,4,今坂晃広,B1,0.56,1.03
6R,18:04,5,古場輝義,B1,8.69,8.64
6R,18:04,6,尾形栄治,B1,42.16,41.96
7R,18:28,1,吉田一郎,A2,10.71,10.71
7R,18:28,2,石原凪紗,B2,8.82,8.82
7R,18:28,3,尾上雅也,A1,19.27,19.27
7R,18:28,4,汐崎正則,B1,30.24,30.24
7R,18:28,5,細川明人,B1,8.64,8.64
7R,18:28,6,中里優子,B1,22.31,22.31
8R,18:54,1,本橋克洋,A2,39.48,21.98
8R,18:54,2,川上清人,B1,8.95,11.54
8R,18:54,3,大澤真菜,B1,8.41,10.85
8R,18:54,4,高木圭大,B1,7.02,9.06
8R,18:54,5,清水愛海,A1,19.53,25.18
8R,18:54,6,加木　郁,B1,16.6,21.4
9R,19:23,1,鈴木孝明,A2,36.93,37.84
9R,19:23,2,仲口博崇,A1,12.57,10.41
9R,19:23,3,山田亮太,A2,17.26,17.69
9R,19:23,4,小林文彦,B1,4.87,4.99
9R,19:23,5,森　弘行,B1,19.59,20.08
9R,19:23,6,若林義人,A1,8.77,8.99
10R,19:50,1,芦澤　望,A2,48.31,23.68
10R,19:50,2,前田　翔,A1,14.14,19.71
10R,19:50,3,荒川健太,A2,16.66,23.21
10R,19:50,4,吉田一心,B1,4.53,6.31
10R,19:50,5,吉永則雄,A1,14.82,20.65
10R,19:50,6,崎　利仁,B1,1.54,6.44
11R,20:16,1,尾上雅也,A1,23.77,26.98
11R,20:16,2,廣瀬真也,A2,6.44,8.66
11R,20:16,3,米田隆弘,B1,6.99,7.94
11R,20:16,4,松尾　拓,A1,35.27,25.2
11R,20:16,5,若林樹蘭,B2,9.83,11.15
11R,20:16,6,河野真也,A2,17.69,20.08
12R,20:45,1,清水愛海,A1,10.72,8.72
12R,20:45,2,木谷賢太,A1,8.77,7.13
12R,20:45,3,小坂宗司,A2,10.01,9.7
12R,20:45,4,岡本翔太,B1,25.42,20.68
12R,20:45,5,栗原直也,A2,10.51,25.64
12R,20:45,6,汐崎正則,B1,34.57,28.12
