レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,11:14,1,坂井滉哉,B1,12.98,13.58
1R,11:14,2,成貞琳平,B1,7.63,3.38
1R,11:14,3,川辺郭人,B1,10.26,10.74
1R,11:14,4,藤原仙二,A2,38.24,40.0
1R,11:14,5,網代良芽,B1,22.14,23.16
1R,11:14,6,沼田大都,B1,8.75,9.16
2R,11:41,1,鐘ヶ江真,B1,27.0,26.78
2R,11:41,2,西岡蒼志,B1,1.62,1.61
2R,11:41,3,澁川　夏,B1,20.7,20.53
2R,11:41,4,水谷理人,A2,49.09,48.7
2R,11:41,5,熊倉幹太,B2,0.0,0.0
2R,11:41,6,佐藤右京,B1,1.6,2.38
3R,12:08,1,小林孝彰,A2,29.57,29.57
3R,12:08,2,佃　來紀,B1,10.24,10.24
3R,12:08,3,塩嶋泰空,B2,0.0,0.0
3R,12:08,4,八戸琉楓,B1,17.33,17.33
3R,12:08,5,福西広太,B1,24.47,24.47
3R,12:08,6,竹間隆晟,A1,18.39,18.39
4R,12:35,1,米玉利大,B1,28.89,24.46
4R,12:35,2,坂本一真,B1,0.22,0.18
4R,12:35,3,竹下大樹,A1,53.53,54.02
4R,12:35,4,西川拓利,B1,9.41,14.61
4R,12:35,5,小坂風太,B1,0.87,0.73
4R,12:35,6,出畑孝成,B1,7.08,5.99
5R,13:02,1,富永夏哉,B1,37.12,37.12
5R,13:02,2,沼田大都,B1,5.38,5.38
5R,13:02,3,城間盛渚,B1,34.95,34.95
5R,13:02,4,有山　望,B1,5.2,5.2
5R,13:02,5,仲道大輔,A2,17.2,17.2
5R,13:02,6,高山弘斗,B1,0.15,0.15
6R,13:29,1,小玉啓太,B1,2.21,2.21
6R,13:29,2,網代良芽,B1,9.16,9.16
6R,13:29,3,西丸侑太,A1,24.98,24.98
6R,13:29,4,山下智己,B1,13.7,13.7
6R,13:29,5,石渡翔一,B1,24.98,24.98
6R,13:29,6,品川二千,A2,24.98,24.98
7R,13:56,1,樅山拓馬,B1,61.45,44.91
7R,13:56,2,松井貫太,B1,1.2,5.51
7R,13:56,3,安河内鈴,A2,18.41,24.22
7R,13:56,4,福西広太,B1,18.41,24.22
7R,13:56,5,成貞琳平,B1,0.54,1.15
7R,13:56,6,熊倉幹太,B2,0.0,0.0
8R,14:24,1,澁川　夏,B1,33.96,33.93
8R,14:24,2,廣瀬　凜,A2,45.26,45.21
8R,14:24,3,坂井滉哉,B1,9.52,9.51
8R,14:24,4,塩嶋泰空,B2,0.0,0.0
8R,14:24,5,出畑孝成,B1,10.85,10.84
8R,14:24,6,早川颯太,B2,0.41,0.5
9R,14:52,1,藤原仙二,A2,33.3,33.28
9R,14:52,2,花田凱成,B1,0.44,0.44
9R,14:52,3,齊藤　廉,B1,38.21,38.19
9R,14:52,4,佃　來紀,B1,22.0,21.98
9R,14:52,5,黒田　剛,B1,5.65,5.65
9R,14:52,6,坂本一真,B1,0.39,0.46
10R,15:22,1,佐藤右京,B1,2.01,5.94
10R,15:22,2,川辺郭人,B1,5.78,5.53
10R,15:22,3,米玉利大,B1,33.99,32.55
10R,15:22,4,西丸侑太,A1,33.99,32.55
10R,15:22,5,高山弘斗,B1,0.14,0.37
10R,15:22,6,八戸琉楓,B1,24.08,23.06
11R,15:53,1,品川二千,A2,14.53,14.81
11R,15:53,2,仲道大輔,A2,6.73,6.86
11R,15:53,3,水谷理人,A2,26.42,26.92
11R,15:53,4,竹下大樹,A1,33.82,30.95
11R,15:53,5,松井貫太,B1,0.94,2.57
11R,15:53,6,小林孝彰,A2,17.56,17.89
12R,16:25,1,竹間隆晟,A1,19.07,12.03
12R,16:25,2,石渡翔一,B1,25.38,16.0
12R,16:25,3,西川拓利,B1,8.27,20.11
12R,16:25,4,城間盛渚,B1,11.95,21.66
12R,16:25,5,廣瀬　凜,A2,25.93,16.35
12R,16:25,6,樅山拓馬,B1,9.41,13.85
