レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,11:37,1,川合理司,B1,0.0,0.0
1R,11:37,2,池田浩美,B1,4.74,1.94
1R,11:37,3,菅野はや,B2,47.06,53.13
1R,11:37,4,原加央理,B1,27.22,30.73
1R,11:37,5,石岡将太,B1,20.98,14.21
1R,11:37,6,堀井涼平,B2,0.0,0.0
2R,12:12,1,村岡　賢,B1,14.45,17.53
2R,12:12,2,重野哲之,A1,47.75,37.23
2R,12:12,3,谷口健一,B1,2.56,2.5
2R,12:12,4,木下虎之,B2,20.21,24.51
2R,12:12,5,森清友翔,B1,3.87,4.7
2R,12:12,6,相原利章,A2,11.15,13.52
3R,12:42,1,寳田亮治,B1,7.2,7.2
3R,12:42,2,塩田北斗,A1,13.83,13.83
3R,12:42,3,中山　将,A2,35.06,35.06
3R,12:42,4,関根彰人,B1,8.02,8.02
3R,12:42,5,三松直美,B2,5.04,5.04
3R,12:42,6,山本景士,B1,30.85,30.85
4R,13:12,1,島川光男,A2,58.35,36.53
4R,13:12,2,森安弘雅,B1,5.61,7.48
4R,13:12,3,深川和仁,B1,13.04,17.38
4R,13:12,4,後藤正宗,B1,9.71,12.94
4R,13:12,5,中村裕将,B1,2.98,11.93
4R,13:12,6,待鳥雄紀,B1,10.3,13.73
5R,13:45,1,寺本昇平,B1,42.32,20.72
5R,13:45,2,坪井爽佑,B1,1.89,2.57
5R,13:45,3,藤山翔大,A2,10.9,14.81
5R,13:45,4,土屋千明,A2,23.54,31.98
5R,13:45,5,池田浩美,B1,0.68,1.85
5R,13:45,6,福島勇樹,A1,20.67,28.07
6R,14:14,1,桐本康臣,A2,91.26,39.19
6R,14:14,2,武藤綾子,B1,0.48,3.0
6R,14:14,3,金田智博,A2,5.32,33.22
6R,14:14,4,石岡将太,B1,0.78,9.74
6R,14:14,5,谷口健一,B1,0.25,2.92
6R,14:14,6,田口節子,A1,1.91,11.92
7R,14:41,1,酒井俊弘,B1,12.68,12.68
7R,14:41,2,富永大一,A2,31.69,31.69
7R,14:41,3,三松直美,B2,3.99,3.99
7R,14:41,4,渡邉雄朗,A1,29.35,29.35
7R,14:41,5,堀井涼平,B2,0.0,0.0
7R,14:41,6,永嶋裕一,A2,22.29,22.29
8R,15:13,1,永井聖美,A2,19.26,19.26
8R,15:13,2,菅野はや,B2,23.72,23.72
8R,15:13,3,中村裕将,B1,5.34,5.34
8R,15:13,4,中田竜太,A1,22.42,22.42
8R,15:13,5,寳田亮治,B1,5.54,5.54
8R,15:13,6,木下虎之,B2,23.72,23.72
9R,15:40,1,関口智久,B1,5.8,5.45
9R,15:40,2,土屋千明,A2,17.33,16.31
9R,15:40,3,山本景士,B1,33.44,31.46
9R,15:40,4,川合理司,B1,0.0,0.0
9R,15:40,5,重野哲之,A1,36.36,40.12
9R,15:40,6,森安弘雅,B1,7.08,6.66
10R,16:11,1,藤山翔大,A2,8.98,9.51
10R,16:11,2,原加央理,B1,21.64,22.92
10R,16:11,3,森清友翔,B1,7.17,7.59
10R,16:11,4,中山　将,A2,42.53,45.04
10R,16:11,5,田口節子,A1,8.17,8.65
10R,16:11,6,後藤正宗,B1,11.51,6.29
11R,16:43,1,渡邉雄朗,A1,26.72,27.72
11R,16:43,2,桐本康臣,A2,30.43,31.57
11R,16:43,3,待鳥雄紀,B1,18.74,15.7
11R,16:43,4,中本大樹,B1,13.21,13.7
11R,16:43,5,塩田北斗,A1,9.98,10.36
11R,16:43,6,坪井爽佑,B1,0.93,0.96
12R,17:10,1,中田竜太,A1,23.84,23.84
12R,17:10,2,相原利章,A2,13.92,13.92
12R,17:10,3,福島勇樹,A1,11.48,11.48
12R,17:10,4,永嶋裕一,A2,23.0,23.0
12R,17:10,5,金田智博,A2,15.35,15.35
12R,17:10,6,深川和仁,B1,12.41,12.41
