レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,12:33,1,川野芽唯,A1,51.27,7.15
1R,12:33,2,仁科さや,B1,21.68,41.3
1R,12:33,3,本部めぐ,B1,21.68,41.3
1R,12:33,4,白石有美,B1,0.0,0.0
1R,12:33,5,犬童千秋,B1,5.38,10.25
1R,12:33,6,池田美優,B2,0.0,0.0
2R,13:01,1,沼田七華,B2,0.0,0.0
2R,13:01,2,竹井奈美,A1,19.44,25.94
2R,13:01,3,神里琴音,B1,48.01,30.6
2R,13:01,4,藤堂里香,A2,9.2,12.28
2R,13:01,5,中曽瑠華,B2,2.53,3.38
2R,13:01,6,大橋栄里,A2,20.82,27.8
3R,13:29,1,五反田忍,B2,8.15,8.15
3R,13:29,2,坂本奈央,B2,3.03,3.03
3R,13:29,3,海野ゆか,A1,43.29,43.29
3R,13:29,4,真子奈津,B1,43.29,43.29
3R,13:29,5,福島陽子,B1,1.3,1.3
3R,13:29,6,古賀千晶,B1,0.94,0.94
4R,13:57,1,喜多那由,B1,19.08,19.08
4R,13:57,2,大瀧明日,A1,19.08,19.08
4R,13:57,3,戸敷晃美,A2,2.83,2.83
4R,13:57,4,嶋田有里,B1,4.45,4.45
4R,13:57,5,高憧四季,A1,35.46,35.46
4R,13:57,6,西澤日花,B1,19.08,19.08
5R,14:25,1,薮内瑞希,B1,14.05,14.05
5R,14:25,2,金田幸子,B1,9.25,9.25
5R,14:25,3,今井美亜,A2,33.22,33.22
5R,14:25,4,長嶋万記,A1,14.72,14.72
5R,14:25,5,池田美優,B2,0.0,0.0
5R,14:25,6,平田さや,A2,28.76,28.76
6R,14:53,1,中曽瑠華,B2,3.02,3.02
6R,14:53,2,落合直子,A2,18.79,18.79
6R,14:53,3,喜井つか,A2,24.78,24.78
6R,14:53,4,犬童千秋,B1,6.15,6.15
6R,14:53,5,新田芳美,B1,22.47,22.47
6R,14:53,6,若狭奈美,A1,24.78,24.78
7R,15:21,1,白石有美,B1,0.0,0.0
7R,15:21,2,大橋栄里,A2,34.4,41.61
7R,15:21,3,中澤宏奈,B2,4.99,6.03
7R,15:21,4,坂本奈央,B2,2.41,2.91
7R,15:21,5,小野生奈,A1,43.29,31.41
7R,15:21,6,今井裕梨,A2,14.91,18.03
8R,15:51,1,戸敷晃美,A2,4.62,4.62
8R,15:51,2,堀之内紀,A1,31.16,31.16
8R,15:51,3,古賀千晶,B1,0.68,0.68
8R,15:51,4,竹井奈美,A1,29.08,29.08
8R,15:51,5,本部めぐ,B1,31.16,31.16
8R,15:51,6,樫葉新心,B1,3.3,3.3
9R,16:21,1,塩崎桐加,A2,6.7,6.7
9R,16:21,2,魚谷香織,A2,6.06,6.06
9R,16:21,3,平田さや,A2,27.36,27.36
9R,16:21,4,五反田忍,B2,5.15,5.15
9R,16:21,5,喜多那由,B1,27.36,27.36
9R,16:21,6,滝川真由,B1,27.36,27.36
10R,16:53,1,海野ゆか,A1,20.93,18.43
10R,16:53,2,若狭奈美,A1,20.93,18.43
10R,16:53,3,中川りな,A2,5.42,16.72
10R,16:53,4,今井美亜,A2,24.18,21.29
10R,16:53,5,山下友貴,B1,7.61,6.7
10R,16:53,6,仁科さや,B1,20.93,18.43
11R,17:25,1,細川裕子,A1,18.4,18.4
11R,17:25,2,長嶋万記,A1,13.74,13.74
11R,17:25,3,大瀧明日,A1,26.86,26.86
11R,17:25,4,今井裕梨,A2,11.64,11.64
11R,17:25,5,小野　桜,B1,2.51,2.51
11R,17:25,6,喜井つか,A2,26.86,26.86
12R,18:00,1,高憧四季,A1,28.64,30.26
12R,18:00,2,小野生奈,A1,34.91,20.49
12R,18:00,3,藤堂里香,A2,6.81,7.19
12R,18:00,4,落合直子,A2,11.69,12.35
12R,18:00,5,川野芽唯,A1,2.54,13.43
12R,18:00,6,堀之内紀,A1,15.41,16.28
