レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,08:32,1,百武　翔,A2,45.05,29.35
1R,08:32,2,永田義紘,B1,26.0,48.7
1R,08:32,3,土井祥伍,B1,2.16,1.41
1R,08:32,4,増本杏珠,B1,0.0,0.0
1R,08:32,5,木幡純也,B1,2.85,4.95
1R,08:32,6,岡部大輝,B1,23.93,15.59
2R,08:58,1,片岡恵里,A2,15.96,15.58
2R,08:58,2,若林　麗,B1,4.95,4.83
2R,08:58,3,倉富大誠,B1,37.66,36.75
2R,08:58,4,長田頼宗,A1,38.45,37.52
2R,08:58,5,田中宏樹,B1,2.98,5.33
2R,08:58,6,星田夢結,B2,0.0,0.0
3R,09:24,1,是澤孝宏,A2,34.22,37.51
3R,09:24,2,谷　勝幸,B1,0.76,2.51
3R,09:24,3,井上遥妃,A1,28.37,31.1
3R,09:24,4,木山誠一,B1,2.4,7.89
3R,09:24,5,石川吉鎬,A2,19.11,4.4
3R,09:24,6,占部一真,B1,15.13,16.59
4R,09:50,1,市橋卓士,A1,31.75,3.0
4R,09:50,2,藤本紗弥,B2,13.71,21.39
4R,09:50,3,吉川勇作,B1,6.65,10.38
4R,09:50,4,吉村正明,B1,9.51,5.37
4R,09:50,5,横田貴満,A1,22.53,35.15
4R,09:50,6,田村　慶,B1,15.84,24.71
5R,10:18,1,高橋竜矢,A1,26.55,23.02
5R,10:18,2,大塚雅治,B1,10.41,9.03
5R,10:18,3,久田　武,B1,3.68,16.49
5R,10:18,4,三嶌さら,B1,31.55,27.35
5R,10:18,5,大神康司,A2,17.77,15.41
5R,10:18,6,小林一樹,A2,10.04,8.71
6R,10:48,1,山室展弘,B1,17.07,18.61
6R,10:48,2,百武　翔,A2,16.85,18.37
6R,10:48,3,北村寧々,B1,21.09,23.0
6R,10:48,4,冨成謙児,B1,22.38,15.36
6R,10:48,5,大谷直弘,B1,2.45,2.67
6R,10:48,6,山本寛久,A1,20.16,21.98
7R,11:18,1,川添英正,B1,10.62,0.48
7R,11:18,2,岡部　浩,B1,38.4,64.3
7R,11:18,3,中島友和,B1,36.18,28.13
7R,11:18,4,土井祥伍,B1,3.54,1.69
7R,11:18,5,三村岳人,B2,11.26,5.39
7R,11:18,6,星田夢結,B2,0.0,0.0
8R,11:49,1,中嶋誠一,B1,17.6,21.41
8R,11:49,2,里岡右貴,A1,55.83,46.25
8R,11:49,3,増本杏珠,B1,0.0,0.0
8R,11:49,4,田村　慶,B1,20.33,24.73
8R,11:49,5,若林　麗,B1,1.29,1.57
8R,11:49,6,村松修二,A2,4.96,6.03
9R,12:20,1,吉村正明,B1,52.24,16.65
9R,12:20,2,石川吉鎬,A2,4.26,21.04
9R,12:20,3,木幡純也,B1,2.56,5.04
9R,12:20,4,田中宏樹,B1,1.56,5.09
9R,12:20,5,久田　武,B1,4.11,19.22
9R,12:20,6,山口真喜,A2,35.27,32.95
10R,12:51,1,大神康司,A2,47.63,29.53
10R,12:51,2,倉富大誠,B1,11.41,11.5
10R,12:51,3,永田義紘,B1,13.51,30.62
10R,12:51,4,谷　勝幸,B1,0.49,1.21
10R,12:51,5,藤本紗弥,B2,20.44,20.59
10R,12:51,6,鈴木勝博,A2,6.51,6.56
11R,13:25,1,横田貴満,A1,65.32,36.72
11R,13:25,2,中島友和,B1,2.42,13.84
11R,13:25,3,山室展弘,B1,13.32,20.42
11R,13:25,4,片岡恵里,A2,2.72,4.17
11R,13:25,5,是澤孝宏,A2,12.42,19.04
11R,13:25,6,大塚雅治,B1,3.79,5.81
12R,14:03,1,長田頼宗,A1,10.43,8.77
12R,14:03,2,山本寛久,A1,25.07,21.08
12R,14:03,3,市橋卓士,A1,2.44,8.89
12R,14:03,4,里岡右貴,A1,30.26,34.53
12R,14:03,5,高橋竜矢,A1,15.4,12.95
12R,14:03,6,井上遥妃,A1,16.41,13.79
