レース,締切時刻,艇番,選手名,級別,新・オリジナル1着率(%),新・オリジナル3連対率(%)
1R,15:18,1,吉田祐貴,B2,3.36,3.36
1R,15:18,2,小松卓司,B1,11.68,11.68
1R,15:18,3,石倉拓美,B2,0.0,0.0
1R,15:18,4,尾崎雄二,B1,40.49,40.49
1R,15:18,5,黄金井力,B1,36.7,36.7
1R,15:18,6,雑賀勇貴,B1,7.77,7.77
2R,16:01,1,赤池修平,B1,4.75,5.14
2R,16:01,2,渡辺　崇,B1,44.48,22.55
2R,16:01,3,中島昂章,B1,8.0,25.99
2R,16:01,4,藤田竜弘,B1,20.51,22.21
2R,16:01,5,加藤政彦,A1,11.63,12.6
2R,16:01,6,村田　敦,B1,10.63,11.51
3R,16:28,1,金山立樹,B2,6.79,10.06
3R,16:28,2,竹田吉行,A2,40.37,34.35
3R,16:28,3,服部達哉,B1,6.52,9.66
3R,16:28,4,宮内直哉,B1,4.72,6.99
3R,16:28,5,山口　亮,B1,3.33,4.94
3R,16:28,6,金子　萌,A2,38.27,34.01
4R,17:00,1,春園功太,A2,51.03,45.93
4R,17:00,2,内山峻輔,B2,3.89,3.5
4R,17:00,3,神田達也,B1,9.6,8.64
4R,17:00,4,高倉孝太,B1,14.66,13.2
4R,17:00,5,古賀智之,A2,8.14,17.31
4R,17:00,6,長岡良也,A1,12.68,11.42
5R,17:24,1,三浦洋次,A2,21.75,27.52
5R,17:24,2,濱本優一,A1,14.64,18.53
5R,17:24,3,岩橋裕馬,B1,4.2,5.31
5R,17:24,4,森晋太郎,A2,39.75,24.4
5R,17:24,5,吉田祐貴,B2,2.99,3.15
5R,17:24,6,多田有佑,B1,16.67,21.1
6R,17:50,1,佐藤　悠,A2,15.71,10.88
6R,17:50,2,藤田竜弘,B1,15.25,42.25
6R,17:50,3,松田憲幸,B1,26.79,12.64
6R,17:50,4,中島浩哉,B1,3.58,7.44
6R,17:50,5,雑賀勇貴,B1,6.5,4.5
6R,17:50,6,前田聖文,A1,32.18,22.29
7R,18:14,1,島田賢人,A2,15.2,13.56
7R,18:14,2,山口　亮,B1,7.5,7.65
7R,18:14,3,黄金井力,B1,33.34,33.99
7R,18:14,4,石倉拓美,B2,0.0,0.0
7R,18:14,5,宮内直哉,B1,10.61,10.82
7R,18:14,6,木田峰由,A2,33.34,33.99
8R,18:40,1,加藤政彦,A1,12.39,16.04
8R,18:40,2,古賀智之,A2,27.31,20.32
8R,18:40,3,竹田吉行,A2,31.24,26.0
8R,18:40,4,内山峻輔,B2,1.94,2.52
8R,18:40,5,金山立樹,B2,10.08,13.05
8R,18:40,6,中島昂章,B1,17.04,22.07
9R,19:09,1,金子　萌,A2,91.56,23.21
9R,19:09,2,森晋太郎,A2,2.24,36.79
9R,19:09,3,長岡良也,A1,3.01,12.33
9R,19:09,4,岩橋裕馬,B1,0.52,2.14
9R,19:09,5,星　栄爾,B1,1.01,4.14
9R,19:09,6,小松卓司,B1,1.66,21.4
10R,19:36,1,前田聖文,A1,18.38,22.42
10R,19:36,2,春園功太,A2,20.34,24.81
10R,19:36,3,渡辺　崇,B1,33.75,28.31
10R,19:36,4,松田憲幸,B1,9.88,2.92
10R,19:36,5,濱本優一,A1,11.81,14.4
10R,19:36,6,高倉孝太,B1,5.84,7.13
11R,20:02,1,木田峰由,A2,23.46,18.63
11R,20:02,2,三浦洋次,A2,23.46,18.63
11R,20:02,3,尾崎雄二,B1,12.94,30.84
11R,20:02,4,服部達哉,B1,10.32,8.2
11R,20:02,5,島田賢人,A2,17.83,14.16
11R,20:02,6,佐藤　悠,A2,12.0,9.53
12R,20:31,1,堀本和也,A1,16.69,18.1
12R,20:31,2,今井貴士,A1,39.96,34.86
12R,20:31,3,藤山雅弘,A1,12.87,13.96
12R,20:31,4,溝口海義,A2,14.4,15.63
12R,20:31,5,西野雄貴,A1,13.32,14.46
12R,20:31,6,南　佑典,A2,2.76,3.0
