会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
09,津,2025/12/01,1,10:31,1,4797,中山　将,33,三重,53,A2,6.20,46.30,5.90,44.5,73,31.51,49,29.61,412 45,10
09,津,2025/12/01,1,10:31,2,5035,櫻井　優,27,埼玉,53,B1,5.21,31.43,2.89,0.0,59,30.52,68,33.19,565 22,5
09,津,2025/12/01,1,10:31,3,3904,森　貴洋,48,大阪,55,B1,5.35,32.35,0.00,0.0,37,44.06,23,37.44,1 1446,11
09,津,2025/12/01,1,10:31,4,3747,國崎良春,50,福岡,53,B1,5.30,40.74,4.47,29.4,19,40.39,32,38.79,352 43,8
09,津,2025/12/01,1,10:31,5,5107,松本真広,26,福岡,49,B1,4.51,20.29,3.00,0.0,74,34.50,72,42.92,664 52,
09,津,2025/12/01,1,10:31,6,5063,大塚雅治,28,東京,53,B1,4.77,31.03,4.28,20.0,63,39.88,20,39.18,666 5,
09,津,2025/12/01,2,11:00,1,4431,石塚裕介,39,三重,53,B1,4.95,23.53,5.71,38.6,41,42.93,59,31.46,143 56,9
09,津,2025/12/01,2,11:00,2,3976,内田　圭,48,山口,53,B1,4.11,22.22,4.15,25.5,31,39.36,70,34.87,2 2636,
09,津,2025/12/01,2,11:00,3,3863,海老澤泰,51,東京,57,B1,3.84,15.79,0.00,0.0,21,34.25,19,30.61,4 664,
09,津,2025/12/01,2,11:00,4,5335,森　陽多,20,長崎,48,B1,2.66,12.12,2.12,5.8,25,40.28,60,34.74,3 642,
09,津,2025/12/01,2,11:00,5,3175,渡辺千草,61,東京,49,B1,4.59,21.69,4.45,35.0,32,34.26,67,31.92,525 24,6
09,津,2025/12/01,2,11:00,6,5032,谷口知優,27,香川,53,B1,5.37,35.44,4.65,30.0,29,40.00,44,35.68,3 3353,7
09,津,2025/12/01,3,11:29,1,4234,野相弘司,42,福岡,59,B1,4.29,26.67,4.90,34.0,12,40.45,64,43.00,334 1,12
09,津,2025/12/01,3,11:29,2,5129,山口真喜,28,長崎,48,A2,5.63,33.87,4.75,25.0,36,24.56,40,30.81,645 55,9
09,津,2025/12/01,3,11:29,3,4649,和田操拓,41,滋賀,52,A2,5.45,31.82,5.59,33.3,34,36.62,29,32.09,S62 56,7
09,津,2025/12/01,3,11:29,4,4903,吉田凌太,32,愛知,52,A1,6.67,48.61,6.41,48.1,65,32.06,53,30.77,132623,10
09,津,2025/12/01,3,11:29,5,4932,新開　航,29,福岡,52,A1,6.65,41.59,6.47,57.8,46,32.77,50,33.15,321123,10
09,津,2025/12/01,3,11:29,6,4818,伏見俊介,34,東京,57,B1,3.65,29.41,0.00,0.0,38,29.11,34,32.91,51F 6,
09,津,2025/12/01,4,11:57,1,4121,富永修一,44,福岡,52,A2,6.28,42.50,6.97,53.3,48,31.72,58,35.81,551 1,10
09,津,2025/12/01,4,11:57,2,3687,花田和明,55,愛知,53,B1,4.71,23.17,5.63,37.2,75,37.56,56,34.31,1 644,8
09,津,2025/12/01,4,11:57,3,4709,岡村将也,36,福岡,55,A2,5.98,42.11,5.36,36.3,69,43.21,21,32.43,1 2244,9
09,津,2025/12/01,4,11:57,4,3422,服部幸男,54,静岡,55,A1,6.67,52.38,5.90,40.0,22,37.74,14,36.82,216 12,11
09,津,2025/12/01,4,11:57,5,3994,小野　桜,46,滋賀,46,B1,5.27,28.79,0.00,0.0,26,37.72,57,40.27,5 516,
09,津,2025/12/01,4,11:57,6,4953,尾上雅也,31,埼玉,54,A1,6.60,48.41,6.88,50.0,43,28.64,75,29.93,2 1312,11
09,津,2025/12/01,5,12:26,1,3415,松井　繁,56,大阪,52,A1,6.69,31.30,7.56,44.4,15,38.43,27,28.80,233 21,10
09,津,2025/12/01,5,12:26,2,3246,星野政彦,61,兵庫,52,B1,3.55,15.00,0.00,0.0,68,40.23,48,27.92,2 361,9
09,津,2025/12/01,5,12:26,3,5035,櫻井　優,27,埼玉,53,B1,5.21,31.43,2.89,0.0,59,30.52,68,33.19,565 22,1
09,津,2025/12/01,5,12:26,4,4895,門間雄大,34,東京,55,B1,5.02,26.13,4.56,20.5,39,44.44,71,33.48,1 343,12
09,津,2025/12/01,5,12:26,5,3419,栗原謙治,55,群馬,56,B1,2.76,5.88,4.31,31.2,56,31.64,74,31.08,6 263,
09,津,2025/12/01,5,12:26,6,4941,孫崎百世,37,滋賀,46,B2,4.28,22.09,3.42,15.3,27,33.93,45,28.19,4 544,
09,津,2025/12/01,6,12:55,1,4120,柘植政浩,44,滋賀,52,A2,6.35,45.97,4.74,31.5,24,38.18,51,35.35,5 423,11
09,津,2025/12/01,6,12:55,2,3175,渡辺千草,61,東京,49,B1,4.59,21.69,4.45,35.0,32,34.26,67,31.92,525 24,2
09,津,2025/12/01,6,12:55,3,4739,中村晃朋,34,香川,50,A1,6.68,46.15,6.28,38.8,51,39.22,38,32.11,2 1532,11
09,津,2025/12/01,6,12:55,4,3942,寺田　祥,47,山口,55,A1,6.48,40.98,4.25,12.5,64,33.80,43,34.11,24313,12
09,津,2025/12/01,6,12:55,5,3977,山本兼士,48,大阪,53,B1,4.59,23.08,5.72,38.4,54,39.17,65,40.64,561 6,
09,津,2025/12/01,6,12:55,6,4951,新田洋一,32,広島,54,A2,5.05,27.91,6.80,60.0,60,32.67,69,30.60,2 1321,10
09,津,2025/12/01,7,13:24,1,4793,金子　萌,35,静岡,52,A2,5.97,44.35,3.69,15.3,72,29.52,52,32.38,232 35,11
09,津,2025/12/01,7,13:24,2,4649,和田操拓,41,滋賀,52,A2,5.45,31.82,5.59,33.3,34,36.62,29,32.09,S62 56,3
09,津,2025/12/01,7,13:24,3,5032,谷口知優,27,香川,53,B1,5.37,35.44,4.65,30.0,29,40.00,44,35.68,3 3353,2
09,津,2025/12/01,7,13:24,4,4289,落合直子,41,大阪,48,B1,6.15,43.10,6.22,43.1,13,31.63,54,33.78,433 34,
09,津,2025/12/01,7,13:24,5,4856,豊田健士,29,三重,53,A1,6.37,44.97,7.58,64.8,55,30.45,63,33.33,131 11,12
09,津,2025/12/01,7,13:24,6,4301,関　裕也,42,福岡,55,B1,4.78,26.03,4.17,22.2,50,37.95,35,38.07,4 531,
09,津,2025/12/01,8,13:53,1,4539,金子賢志,35,群馬,54,A1,6.25,48.18,6.44,47.2,20,29.96,28,31.96,14564,12
09,津,2025/12/01,8,13:53,2,3747,國崎良春,50,福岡,53,B1,5.30,40.74,4.47,29.4,19,40.39,32,38.79,352 43,1
09,津,2025/12/01,8,13:53,3,3908,重成一人,47,香川,57,A1,7.10,50.00,6.15,34.6,28,36.21,73,41.15,46421,12
09,津,2025/12/01,8,13:53,4,3687,花田和明,55,愛知,53,B1,4.71,23.17,5.63,37.2,75,37.56,56,34.31,1 644,4
09,津,2025/12/01,8,13:53,5,4816,村松修二,34,広島,56,A2,5.51,35.29,5.45,36.3,52,34.85,17,43.39,5 555,
09,津,2025/12/01,8,13:53,6,4286,平田さや,41,東京,48,A2,5.44,31.43,5.17,22.9,76,40.96,11,34.47,1 2551,
09,津,2025/12/01,9,14:24,1,4290,稲田浩二,40,兵庫,54,A1,6.18,36.56,7.44,44.4,71,30.86,31,26.06,255165,
09,津,2025/12/01,9,14:24,2,4709,岡村将也,36,福岡,55,A2,5.98,42.11,5.36,36.3,69,43.21,21,32.43,1 2244,4
09,津,2025/12/01,9,14:24,3,4431,石塚裕介,39,三重,53,B1,4.95,23.53,5.71,38.6,41,42.93,59,31.46,143 56,2
09,津,2025/12/01,9,14:24,4,3246,星野政彦,61,兵庫,52,B1,3.55,15.00,0.00,0.0,68,40.23,48,27.92,2 361,5
09,津,2025/12/01,9,14:24,5,5129,山口真喜,28,長崎,48,A2,5.63,33.87,4.75,25.0,36,24.56,40,30.81,645 55,3
09,津,2025/12/01,9,14:24,6,5053,山口広樹,30,福岡,55,A2,4.87,35.64,0.00,0.0,61,35.86,18,36.89,4 436,
09,津,2025/12/01,10,14:58,1,4951,新田洋一,32,広島,54,A2,5.05,27.91,6.80,60.0,60,32.67,69,30.60,2 1321,6
09,津,2025/12/01,10,14:58,2,4932,新開　航,29,福岡,52,A1,6.65,41.59,6.47,57.8,46,32.77,50,33.15,321123,3
09,津,2025/12/01,10,14:58,3,4903,吉田凌太,32,愛知,52,A1,6.67,48.61,6.41,48.1,65,32.06,53,30.77,132623,3
09,津,2025/12/01,10,14:58,4,3415,松井　繁,56,大阪,52,A1,6.69,31.30,7.56,44.4,15,38.43,27,28.80,233 21,5
09,津,2025/12/01,10,14:58,5,4121,富永修一,44,福岡,52,A2,6.28,42.50,6.97,53.3,48,31.72,58,35.81,551 1,4
09,津,2025/12/01,10,14:58,6,4797,中山　将,33,三重,53,A2,6.20,46.30,5.90,44.5,73,31.51,49,29.61,412 45,1
09,津,2025/12/01,11,15:33,1,4953,尾上雅也,31,埼玉,54,A1,6.60,48.41,6.88,50.0,43,28.64,75,29.93,2 1312,4
09,津,2025/12/01,11,15:33,2,4739,中村晃朋,34,香川,50,A1,6.68,46.15,6.28,38.8,51,39.22,38,32.11,2 1532,6
09,津,2025/12/01,11,15:33,3,3422,服部幸男,54,静岡,55,A1,6.67,52.38,5.90,40.0,22,37.74,14,36.82,216 12,4
09,津,2025/12/01,11,15:33,4,3904,森　貴洋,48,大阪,55,B1,5.35,32.35,0.00,0.0,37,44.06,23,37.44,1 1446,1
09,津,2025/12/01,11,15:33,5,4793,金子　萌,35,静岡,52,A2,5.97,44.35,3.69,15.3,72,29.52,52,32.38,232 35,7
09,津,2025/12/01,11,15:33,6,4120,柘植政浩,44,滋賀,52,A2,6.35,45.97,4.74,31.5,24,38.18,51,35.35,5 423,6
09,津,2025/12/01,12,16:10,1,4856,豊田健士,29,三重,53,A1,6.37,44.97,7.58,64.8,55,30.45,63,33.33,131 11,7
09,津,2025/12/01,12,16:10,2,3942,寺田　祥,47,山口,55,A1,6.48,40.98,4.25,12.5,64,33.80,43,34.11,24313,6
09,津,2025/12/01,12,16:10,3,4895,門間雄大,34,東京,55,B1,5.02,26.13,4.56,20.5,39,44.44,71,33.48,1 343,5
09,津,2025/12/01,12,16:10,4,3908,重成一人,47,香川,57,A1,7.10,50.00,6.15,34.6,28,36.21,73,41.15,46421,8
09,津,2025/12/01,12,16:10,5,4539,金子賢志,35,群馬,54,A1,6.25,48.18,6.44,47.2,20,29.96,28,31.96,14564,8
09,津,2025/12/01,12,16:10,6,4234,野相弘司,42,福岡,59,B1,4.29,26.67,4.90,34.0,12,40.45,64,43.00,334 1,3
