会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
06,浜名湖,2025/08/11,1,10:45,1,5129,山口真喜,28,長崎,47,A2,5.78,36.46,5.12,24.0,36,44.30,69,29.59,3 5 23,10
06,浜名湖,2025/08/11,1,10:45,2,4773,中川りな,32,福岡,49,A2,5.63,37.50,0.00,0.0,55,30.77,11,34.27,4 3 64,
06,浜名湖,2025/08/11,1,10:45,3,4373,若狭奈美,37,岡山,46,A2,6.54,50.51,6.10,45.0,51,25.68,55,35.90,1 564,
06,浜名湖,2025/08/11,1,10:45,4,3999,大瀧明日,46,愛知,46,A1,6.64,49.19,6.38,43.4,64,25.64,61,34.43,455 2,8
06,浜名湖,2025/08/11,1,10:45,5,4478,櫻本あゆ,37,群馬,48,A2,5.93,45.36,5.58,37.5,24,24.64,15,31.69,2 513,
06,浜名湖,2025/08/11,1,10:45,6,4845,前田紗希,32,埼玉,47,A2,6.91,54.37,0.00,0.0,4,28.38,19,31.79,531 3,7
06,浜名湖,2025/08/11,2,11:12,1,3611,岩崎芳美,52,徳島,48,A2,6.19,45.05,6.73,56.6,54,46.15,45,40.10,2 246,10
06,浜名湖,2025/08/11,2,11:12,2,4286,平田さや,41,東京,48,A2,5.46,32.79,5.18,28.8,52,28.33,64,34.27,5 6 63,
06,浜名湖,2025/08/11,2,11:12,3,5088,高憧四季,25,大阪,43,A1,6.97,50.46,6.86,52.0,44,42.25,46,36.32,245 5,8
06,浜名湖,2025/08/11,2,11:12,4,3645,淺田千亜,52,徳島,46,B1,5.52,33.33,6.00,43.7,50,30.88,74,31.96,446 5,7
06,浜名湖,2025/08/11,2,11:12,5,4017,向井美鈴,45,山口,45,A2,6.14,47.47,5.39,27.7,1,32.86,53,34.85,1 625,11
06,浜名湖,2025/08/11,2,11:12,6,4825,倉持莉々,31,東京,47,A2,6.21,48.68,5.50,40.0,39,45.59,16,35.79,323 2,
06,浜名湖,2025/08/11,3,11:40,1,4627,藤原菜希,39,東京,47,A2,5.64,39.47,7.50,70.0,34,48.72,28,34.39,361 1,11
06,浜名湖,2025/08/11,3,11:40,2,5163,清水愛海,25,山口,46,A1,6.31,44.59,6.00,44.4,9,28.99,63,37.69,365 6,9
06,浜名湖,2025/08/11,3,11:40,3,3900,香川素子,48,滋賀,47,A2,6.90,61.54,4.94,18.7,22,30.14,34,35.57,4 1 35,
06,浜名湖,2025/08/11,3,11:40,4,4963,實森美祐,28,広島,46,A1,6.80,51.72,6.97,54.8,19,48.10,22,31.55,4 641,8
06,浜名湖,2025/08/11,3,11:40,5,4758,富樫麗加,35,東京,52,B1,5.45,31.08,5.84,36.8,37,27.69,13,35.38,5 1 12,10
06,浜名湖,2025/08/11,3,11:40,6,4014,片岡恵里,45,山口,47,A2,5.94,43.27,0.00,0.0,18,43.48,23,32.31,5 6 26,
06,浜名湖,2025/08/11,4,12:09,1,3618,海野ゆか,51,広島,44,A2,6.09,40.91,7.25,50.0,62,30.43,54,39.29,3 321,11
06,浜名湖,2025/08/11,4,12:09,2,3845,中谷朋子,48,兵庫,45,A2,6.35,51.19,7.20,56.1,28,28.13,76,36.92,665 5,
06,浜名湖,2025/08/11,4,12:09,3,5205,刑部亜里,28,静岡,48,A2,5.72,42.31,5.31,34.4,7,27.42,44,35.26,4 1 12,10
06,浜名湖,2025/08/11,4,12:09,4,4240,今井裕梨,41,群馬,45,A1,5.70,43.56,4.71,29.4,53,50.00,62,35.03,6 552,
06,浜名湖,2025/08/11,4,12:09,5,4546,浜田亜理,37,埼玉,47,A1,6.54,45.54,6.75,52.7,17,31.51,32,34.92,5 444,9
06,浜名湖,2025/08/11,4,12:09,6,4117,廣中智紗,44,東京,46,A2,6.45,48.42,6.63,42.5,32,55.56,48,38.27,6 213,
06,浜名湖,2025/08/11,5,12:39,1,4804,高田ひか,31,三重,49,A2,5.91,37.25,5.46,34.2,63,26.32,30,35.98,1 543,11
06,浜名湖,2025/08/11,5,12:39,2,4746,大豆生蒼,30,埼玉,46,A2,6.35,45.95,6.50,31.2,60,33.78,50,31.96,6 625,
06,浜名湖,2025/08/11,5,12:39,3,4190,長嶋万記,44,静岡,49,A1,6.03,45.36,6.61,45.7,61,27.69,47,34.22,214 6,10
06,浜名湖,2025/08/11,5,12:39,4,4433,川野芽唯,39,福岡,47,A1,6.53,48.76,7.79,63.1,43,43.42,33,33.15,463 3,9
06,浜名湖,2025/08/11,5,12:39,5,3232,山川美由,58,香川,46,B1,5.90,36.11,6.44,48.1,6,30.16,58,40.10,212 4,
