会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
22,福岡,2025/10/23,1,11:03,1,5270,小玉啓太,24,佐賀,52,B1,3.52,10.39,2.23,3.1,57,21.78,02,26.61,4 1434,11
22,福岡,2025/10/23,1,11:03,2,4918,川島拓郎,36,静岡,53,B1,4.81,25.22,5.05,25.0,65,29.09,14,32.31,353 35,7
22,福岡,2025/10/23,1,11:03,3,5244,黒田　剛,25,福岡,52,B1,3.64,11.11,2.75,7.8,14,32.89,29,28.95,4 343,9
22,福岡,2025/10/23,1,11:03,4,5011,高木圭大,28,長崎,53,B2,3.85,16.47,4.23,7.6,15,25.17,50,30.65,5 5S5,6
22,福岡,2025/10/23,1,11:03,5,4269,杉山裕也,40,愛知,53,A1,7.09,57.26,6.19,32.2,29,35.04,17,31.09,3 211,10
22,福岡,2025/10/23,1,11:03,6,5352,西岡蒼志,21,香川,55,B1,4.28,15.79,3.00,0.0,33,31.88,42,25.64,4 F45,
22,福岡,2025/10/23,2,11:33,1,5212,西川拓利,27,福岡,54,B1,5.22,33.33,3.47,15.2,63,34.97,36,43.61,341324,10
22,福岡,2025/10/23,2,11:33,2,5307,富永夏哉,22,佐賀,50,B1,4.96,29.41,3.80,20.0,24,30.00,46,33.33,43123,9
22,福岡,2025/10/23,2,11:33,3,5262,鈴木章司,27,愛知,53,B1,3.85,13.10,4.40,20.0,67,35.15,59,37.78,5 524,8
22,福岡,2025/10/23,2,11:33,4,5294,豊田祥生,23,静岡,50,B1,3.70,19.05,0.00,0.0,39,29.46,61,42.52,5 424,7
22,福岡,2025/10/23,2,11:33,5,4064,原田篤志,45,山口,52,A1,7.27,58.54,6.08,25.0,73,30.59,38,31.62,212 22,11
22,福岡,2025/10/23,2,11:33,6,5076,石原　光,29,静岡,55,B1,5.30,34.48,0.00,0.0,18,30.94,66,26.96,54F66,
22,福岡,2025/10/23,3,12:03,1,4723,寺島吉彦,39,東京,50,B1,4.65,26.09,5.50,30.0,45,37.30,53,28.81,311 66,11
22,福岡,2025/10/23,3,12:03,2,4875,大塚康雅,31,東京,51,B1,4.71,31.63,5.22,40.7,48,27.33,07,22.00,3 S23,7
22,福岡,2025/10/23,3,12:03,3,4684,楠原翔太,34,福岡,56,B1,5.44,33.65,5.59,37.5,40,30.95,58,44.72,33251,10
22,福岡,2025/10/23,3,12:03,4,5223,森清友翔,24,福岡,55,B1,4.30,21.21,3.22,9.2,71,30.00,01,32.52,446 22,
22,福岡,2025/10/23,3,12:03,5,5409,宮本琉正,20,福岡,56,B2,1.43,0.00,1.44,0.0,34,30.36,62,23.64,6S5 66,9
22,福岡,2025/10/23,3,12:03,6,4932,新開　航,29,福岡,52,A1,6.70,44.35,7.19,56.2,41,31.88,47,42.86,111 41,12
22,福岡,2025/10/23,4,12:33,1,5071,野見山拓,31,福岡,52,B1,4.88,25.58,5.44,35.6,19,12.09,03,30.77,422 13,12
22,福岡,2025/10/23,4,12:33,2,4567,上村慎太,37,山口,52,B1,3.47,10.17,3.64,10.7,51,30.37,68,35.07,626 43,8
22,福岡,2025/10/23,4,12:33,3,5033,藤原孝斗,27,愛知,57,B1,3.79,17.65,3.89,21.0,28,32.09,04,29.84,5 4455,9
22,福岡,2025/10/23,4,12:33,4,4497,桑原　悠,38,長崎,53,A1,6.41,42.05,7.39,55.5,55,22.81,52,26.72,1 323,10
22,福岡,2025/10/23,4,12:33,5,4982,中村将隆,29,兵庫,55,B1,5.09,32.47,0.00,0.0,66,17.86,56,33.88,334516,
22,福岡,2025/10/23,4,12:33,6,5407,中岡　駿,20,香川,52,B2,1.62,1.67,0.00,0.0,46,37.41,72,33.90,6 656,
22,福岡,2025/10/23,5,13:00,1,4727,安部慎一,38,福岡,55,B1,4.86,27.78,4.74,31.8,25,31.50,74,22.33,252 13,12
22,福岡,2025/10/23,5,13:00,2,5133,堀越雄貴,26,東京,52,B1,4.83,26.67,0.00,0.0,20,26.47,65,35.66,463 51,
22,福岡,2025/10/23,5,13:00,3,5237,永松良教,26,福岡,55,B1,4.47,24.36,3.27,16.8,75,27.91,19,29.63,226 11,11
22,福岡,2025/10/23,5,13:00,4,5127,沼田大都,29,愛知,51,B1,4.66,19.82,3.90,20.0,12,29.45,21,36.59,55533,
22,福岡,2025/10/23,5,13:00,5,5034,若林義人,27,静岡,56,A1,6.63,50.37,7.65,70.5,21,40.60,24,28.23,2 311,10
22,福岡,2025/10/23,5,13:00,6,5179,藤本元輝,28,兵庫,54,B1,4.61,29.35,2.80,20.0,47,32.60,71,39.37,1F6 6,
22,福岡,2025/10/23,6,13:27,1,4747,山戸信二,40,長崎,52,B1,3.99,17.17,3.63,17.5,43,45.45,32,41.98,5 3322,10
22,福岡,2025/10/23,6,13:27,2,3908,重成一人,47,香川,56,A1,6.89,46.62,7.74,50.0,56,41.61,33,34.91,361 43,12
22,福岡,2025/10/23,6,13:27,3,5011,高木圭大,28,長崎,53,B2,3.85,16.47,4.23,7.6,15,25.17,50,30.65,5 5S5,1
22,福岡,2025/10/23,6,13:27,4,5131,江藤敦宏,26,福岡,52,B1,3.80,16.30,3.78,18.0,61,31.78,23,38.39,5 3523,
22,福岡,2025/10/23,6,13:27,5,4295,小坂尚哉,39,兵庫,53,A1,6.46,50.00,0.00,0.0,17,31.69,20,31.20,3 135,11
22,福岡,2025/10/23,6,13:27,6,4952,吉武真也,31,福岡,54,B1,4.28,20.22,4.47,14.5,16,26.57,57,28.44,1 345F,
22,福岡,2025/10/23,7,13:55,1,4148,枝尾　賢,43,福岡,52,B2,5.38,33.98,7.47,55.8,42,40.91,48,35.66,221 42,11
22,福岡,2025/10/23,7,13:55,2,5294,豊田祥生,23,静岡,50,B1,3.70,19.05,0.00,0.0,39,29.46,61,42.52,5 424,2
22,福岡,2025/10/23,7,13:55,3,4875,大塚康雅,31,東京,51,B1,4.71,31.63,5.22,40.7,48,27.33,07,22.00,3 S23,3
22,福岡,2025/10/23,7,13:55,4,4715,村上　遼,33,長崎,53,A1,6.73,51.43,6.98,56.8,53,28.07,67,34.92,214 41,12
22,福岡,2025/10/23,7,13:55,5,4918,川島拓郎,36,静岡,53,B1,4.81,25.22,5.05,25.0,65,29.09,14,32.31,353 35,1
22,福岡,2025/10/23,7,13:55,6,5321,一色颯輝,23,愛知,56,B1,4.85,31.51,0.00,0.0,30,34.18,25,36.89,1 2F6,
