会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
21,芦屋,2025/11/22,1,08:35,1,4036,金田　諭,47,埼玉,52,A2,6.41,48.89,5.85,38.4,42,35.42,32,42.19,32612,11
21,芦屋,2025/11/22,1,08:35,2,3920,正木聖賢,50,広島,56,B1,5.58,36.67,5.92,50.0,11,37.96,13,28.91,463 55,5
21,芦屋,2025/11/22,1,08:35,3,4257,古川　健,42,広島,52,B1,4.65,29.33,4.25,16.6,4,28.57,23,32.82,454 22,5
21,芦屋,2025/11/22,1,08:35,4,4945,上村宏太,33,東京,54,B1,3.78,14.63,6.50,50.0,44,47.46,36,28.57,4 336,6
21,芦屋,2025/11/22,1,08:35,5,4158,木場雄二,44,山口,57,B1,4.56,32.32,4.94,28.5,43,37.80,58,34.09,233 11,9
21,芦屋,2025/11/22,1,08:35,6,4110,小澤和也,45,埼玉,57,B1,4.36,24.68,2.63,0.0,1,40.18,68,32.84,3 436,7
21,芦屋,2025/11/22,2,09:01,1,3885,久田　武,51,愛知,53,A2,4.98,30.30,5.11,31.5,12,22.66,39,34.85,5 1322,10
21,芦屋,2025/11/22,2,09:01,2,3843,上之晃弘,49,長崎,54,B1,4.72,31.37,4.11,17.8,6,35.77,45,41.10,3 335,
21,芦屋,2025/11/22,2,09:01,3,4995,田邉亮蔵,34,東京,56,B1,4.67,28.44,4.52,20.0,15,33.58,28,20.16,653 33,6
21,芦屋,2025/11/22,2,09:01,4,4236,松村　敏,42,福岡,55,A1,7.72,63.20,7.92,68.9,3,21.64,59,33.80,15123,9
21,芦屋,2025/11/22,2,09:01,5,5298,水谷理人,23,香川,50,B1,6.66,45.90,1.11,0.0,17,46.15,42,29.06,224 31,11
21,芦屋,2025/11/22,2,09:01,6,3539,金子順一,57,山口,52,B1,3.85,20.21,3.23,15.3,16,29.45,54,40.00,2 46S,7
21,芦屋,2025/11/22,3,09:27,1,4195,前川守嗣,43,福岡,57,A2,4.45,21.28,5.33,37.1,28,46.15,43,29.27,143 12,10
21,芦屋,2025/11/22,3,09:27,2,4368,山口隆史,40,福岡,54,B1,4.26,21.28,4.26,19.1,57,31.62,55,33.83,565 51,8
21,芦屋,2025/11/22,3,09:27,3,4364,池永　太,40,福岡,54,A1,6.99,56.59,7.17,55.7,38,35.66,38,25.21,11221,12
21,芦屋,2025/11/22,3,09:27,4,4778,堤　啓輔,40,佐賀,52,B1,5.04,34.52,4.63,21.0,2,33.07,15,22.13,6 366,7
21,芦屋,2025/11/22,3,09:27,5,4703,森永　隆,37,山口,51,A1,6.02,44.12,6.43,46.4,21,33.33,31,30.00,1 15S1,11
21,芦屋,2025/11/22,3,09:27,6,3339,泉　具巳,60,兵庫,57,B1,4.69,30.00,6.67,55.5,14,31.25,46,36.81,5 555,
21,芦屋,2025/11/22,4,09:53,1,4042,丸岡正典,46,大阪,52,A1,6.05,38.79,8.00,65.7,56,29.77,18,34.38,422 41,9
21,芦屋,2025/11/22,4,09:53,2,3224,栗山繁洋,60,佐賀,53,B1,3.82,18.28,4.27,20.4,40,24.31,60,43.45,5 246,9
21,芦屋,2025/11/22,4,09:53,3,4254,川島圭司,42,滋賀,53,A2,6.04,44.35,5.35,30.4,30,28.68,47,34.81,3 1445,12
21,芦屋,2025/11/22,4,09:53,4,3997,北村征嗣,46,大阪,54,A1,6.81,47.45,7.48,58.6,26,42.72,19,37.41,2321S3,
21,芦屋,2025/11/22,4,09:53,5,4393,田中孝明,39,福岡,58,B1,4.23,17.89,4.25,20.3,9,54.63,34,29.60,221 42,10
21,芦屋,2025/11/22,4,09:53,6,5375,庄島潤成,21,山口,55,B2,1.65,0.00,1.67,0.0,47,27.54,12,28.33,564 46,
