会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
07,蒲郡,2026/02/14,1,15:21,1,3981,今坂晃広,48,静岡,53,B1,4.06,18.82,3.71,13.1,34,45.71,37,36.36,1 1334,9
07,蒲郡,2026/02/14,1,15:21,2,4100,松田隆司,47,福岡,56,B1,5.18,34.69,5.11,27.7,21,44.95,61,41.22,2 423,8
07,蒲郡,2026/02/14,1,15:21,3,4520,高倉孝太,38,福井,50,B1,5.90,41.86,5.05,36.3,40,42.54,23,31.63,3 543,7
07,蒲郡,2026/02/14,1,15:21,4,3730,塩崎優司,53,愛知,54,B1,4.45,26.53,3.93,26.1,56,30.20,57,26.79,3 163,5
07,蒲郡,2026/02/14,1,15:21,5,4355,小川広大,42,福岡,61,B1,2.94,8.97,3.81,12.5,52,32.03,75,32.74,455 36,
07,蒲郡,2026/02/14,1,15:21,6,5424,熊倉幹太,23,東京,56,B2,1.47,3.13,0.00,0.0,70,36.07,66,38.24,666 66,6
07,蒲郡,2026/02/14,2,15:47,1,5276,大島隆乃,23,福岡,50,B1,4.64,24.42,0.00,0.0,20,30.51,36,37.10,4 4343,9
07,蒲郡,2026/02/14,2,15:47,2,4460,後藤翔之,39,東京,56,A2,6.16,41.03,6.82,54.5,29,35.34,47,36.67,21452,10
07,蒲郡,2026/02/14,2,15:47,3,3687,花田和明,56,愛知,53,B1,5.04,28.75,4.60,23.3,68,34.91,30,36.51,123 54,11
07,蒲郡,2026/02/14,2,15:47,4,5331,佐藤永梧,22,東京,55,B1,3.75,20.55,0.00,0.0,72,37.93,63,24.21,5 234,12
07,蒲郡,2026/02/14,2,15:47,5,5383,中村　楓,21,三重,53,B2,1.88,1.35,1.88,12.5,31,38.13,67,27.45,666 46,7
07,蒲郡,2026/02/14,2,15:47,6,4715,村上　遼,33,長崎,54,A1,6.42,43.53,7.30,59.4,55,38.24,50,31.75,264 23,8
07,蒲郡,2026/02/14,3,16:15,1,5120,山本稔太,24,愛知,54,B1,5.76,43.90,5.07,30.9,48,31.00,68,33.70,1 561,9
07,蒲郡,2026/02/14,3,16:15,2,4625,渡邊裕貴,39,静岡,52,B1,3.92,21.33,4.40,30.0,54,43.52,29,22.83,4 131,10
07,蒲郡,2026/02/14,3,16:15,3,5190,大月遊雅,25,東京,51,B1,4.70,29.51,4.27,23.3,11,28.75,46,31.09,3 3155,
07,蒲郡,2026/02/14,3,16:15,4,4438,森作雄大,39,東京,54,A2,5.04,35.42,4.47,31.5,19,32.37,52,30.30,1 5524,7
07,蒲郡,2026/02/14,3,16:15,5,4069,山本修一,45,岡山,53,A1,6.31,45.05,0.00,0.0,60,45.13,35,36.64,24213,8
07,蒲郡,2026/02/14,3,16:15,6,5394,福西広太,24,埼玉,52,B1,2.85,7.35,0.00,0.0,33,42.48,26,29.00,566 62,12
07,蒲郡,2026/02/14,4,16:42,1,4054,福嶋智之,47,岡山,53,B1,4.46,27.96,5.35,35.0,49,36.72,11,29.59,535 21,8
07,蒲郡,2026/02/14,4,16:42,2,4367,山口修路,40,福岡,53,B1,4.36,13.70,5.08,33.3,27,34.92,34,30.56,35555,
07,蒲郡,2026/02/14,4,16:42,3,4496,内堀　学,38,東京,54,A2,6.98,62.10,8.04,77.7,58,39.58,41,28.26,4 152,12
07,蒲郡,2026/02/14,4,16:42,4,4794,和田拓也,35,兵庫,56,A1,6.47,46.51,7.09,54.5,77,46.15,64,26.92,32121,9
07,蒲郡,2026/02/14,4,16:42,5,5005,石田貴洋,29,埼玉,51,B1,5.84,38.82,4.92,38.4,26,38.93,33,33.93,1 1321,11
07,蒲郡,2026/02/14,4,16:42,6,5425,西山　育,23,三重,60,B2,1.03,0.00,0.00,0.0,24,33.33,27,30.53,6 656,
07,蒲郡,2026/02/14,5,17:09,1,3730,塩崎優司,53,愛知,54,B1,4.45,26.53,3.93,26.1,56,30.20,57,26.79,3 163,1
07,蒲郡,2026/02/14,5,17:09,2,4415,下出卓矢,39,福井,57,A2,6.16,44.86,6.57,54.2,22,31.45,54,31.01,552 45,10
07,蒲郡,2026/02/14,5,17:09,3,5009,大賀龍之,29,福岡,56,B1,5.03,34.75,3.33,0.0,64,42.20,55,33.33,6 243,12
07,蒲郡,2026/02/14,5,17:09,4,3741,松尾基成,51,福岡,58,B1,3.49,12.99,0.00,0.0,57,35.77,69,28.26,6 443,
07,蒲郡,2026/02/14,5,17:09,5,4298,宮下元胤,43,愛知,54,A1,6.23,40.20,6.52,50.4,46,29.27,38,30.36,232 23,9
