会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
14,鳴門,2025/08/05,1,08:40,1,4704,河野　大,37,徳島,51,A1,6.20,44.88,6.48,46.7,69,34.85,25,42.62,34,9
14,鳴門,2025/08/05,1,08:40,2,4904,松本一毅,30,大阪,53,B1,5.49,31.91,5.63,29.6,17,37.14,68,33.33,6,7
14,鳴門,2025/08/05,1,08:40,3,3584,佐々木英,52,広島,52,B1,4.80,30.61,5.24,36.0,22,34.29,51,42.19,6,8
14,鳴門,2025/08/05,1,08:40,4,4390,松本弓雄,39,徳島,52,B1,4.25,20.83,4.30,19.8,24,44.93,36,43.33,54,
14,鳴門,2025/08/05,1,08:40,5,3875,廣中良一,48,山口,52,B1,4.78,25.56,5.12,33.3,16,32.31,11,32.43,6,6
14,鳴門,2025/08/05,1,08:40,6,4458,抹香雄三,39,広島,53,B1,5.35,35.51,5.57,42.8,32,41.79,39,40.85,4,10
14,鳴門,2025/08/05,2,09:06,1,4708,半田尚也,36,広島,55,B1,4.32,18.68,3.29,8.8,77,44.07,80,34.85,2,11
14,鳴門,2025/08/05,2,09:06,2,4005,瀬川公則,47,山口,55,B1,3.08,10.17,3.48,13.0,75,26.79,22,55.17,61,
14,鳴門,2025/08/05,2,09:06,3,3976,内田　圭,48,山口,53,B1,3.75,20.99,3.67,20.0,53,55.38,52,41.54,2,12
14,鳴門,2025/08/05,2,09:06,4,4571,菅　章哉,37,徳島,53,A1,6.43,45.12,7.21,58.7,23,42.03,78,39.34,23,8
14,鳴門,2025/08/05,2,09:06,5,3820,樫葉次郎,53,徳島,60,B2,3.12,4.55,4.30,23.0,81,26.67,27,42.62,4,9
14,鳴門,2025/08/05,2,09:06,6,4116,川田正人,44,徳島,50,A2,5.43,35.00,5.03,30.5,19,39.44,24,38.46,22,10
14,鳴門,2025/08/05,3,09:32,1,4063,市橋卓士,45,徳島,54,A1,6.25,43.36,6.96,52.0,83,48.33,37,33.33,42,10
14,鳴門,2025/08/05,3,09:32,2,5172,田村　慶,24,徳島,52,A2,5.05,30.51,5.21,31.5,58,33.33,64,37.88,1,11
14,鳴門,2025/08/05,3,09:32,3,3176,長谷川巌,61,山口,51,B1,3.99,17.05,4.57,26.8,65,35.00,72,37.31,52,
14,鳴門,2025/08/05,3,09:32,4,4811,向井田佑,36,広島,50,B1,4.93,27.27,5.23,35.4,56,33.33,53,37.50,53,
14,鳴門,2025/08/05,3,09:32,5,3872,岡田憲行,49,大阪,54,A2,5.87,36.79,6.53,55.8,33,33.33,59,40.00,56,9
14,鳴門,2025/08/05,3,09:32,6,4138,中井俊祐,44,大阪,53,B1,4.27,24.66,4.10,22.5,72,41.07,74,30.91,14,8
14,鳴門,2025/08/05,4,09:58,1,3841,佐々木和,49,徳島,55,A2,6.44,47.57,6.33,45.4,70,50.85,58,31.34,32,9
14,鳴門,2025/08/05,4,09:58,2,4596,葛原大陽,42,徳島,52,A1,6.38,43.86,6.47,48.1,82,30.30,69,47.76,44,12
14,鳴門,2025/08/05,4,09:58,3,4757,山田祐也,36,徳島,52,A1,6.83,55.46,7.04,57.3,31,36.36,20,43.08,31,
14,鳴門,2025/08/05,4,09:58,4,4219,本岡勝利,43,広島,55,B1,4.16,16.67,4.72,20.0,15,33.82,18,42.42,4,8
14,鳴門,2025/08/05,4,09:58,5,4374,永田義紘,41,広島,51,B1,4.70,20.41,5.38,29.1,25,41.18,82,40.85,1,11
14,鳴門,2025/08/05,4,09:58,6,5376,吉田一心,21,大阪,53,B1,2.79,7.58,2.67,0.0,60,36.36,75,35.94,54,
