chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
,1.0,2026-05-04,2026-05-14 23:56:56,1,B1,0.0,,37.63,11.4,54.0,19.0,45.5,45.5,,,1,松下 直也,0.04,6.82,4,0.5,amagasaki,17.9,0.0,晴,20.9,52.2,0.0,14.0,西北西,4.0
,2.0,2026-05-04,2026-05-14 23:56:56,2,B1,0.0,,38.51,11.65,50.0,18.0,45.5,81.8,,,1,岸蔭 亮,0.06,6.81,3,0.5,amagasaki,17.9,0.0,晴,20.9,52.3,0.0,14.0,西北西,4.0
,3.0,2026-05-04,2026-05-14 23:56:56,3,A1,0.0,,37.65,11.36,55.0,4.0,70.0,70.0,,,1,尾嶋 一広,0.03,6.76,2,0.5,amagasaki,17.9,0.0,晴,20.9,55.4,0.0,14.0,西北西,4.0
,4.0,2026-05-04,2026-05-14 23:56:56,4,B1,0.0,,38.74,11.43,19.0,44.0,16.7,16.7,,,1,山下 拓巳,0.16,6.85,6,0.0,amagasaki,17.9,0.0,晴,20.9,52.0,0.0,14.0,西北西,4.0
,5.0,2026-05-04,2026-05-14 23:56:56,5,B1,0.0,,39.09,11.58,26.0,13.0,50.0,65.0,,麻生 慎介,1,南 彩寧,0.28,6.75,1,0.0,amagasaki,17.9,0.0,晴,20.9,46.5,0.5,14.0,西北西,4.0
,6.0,2026-05-04,2026-05-14 23:56:56,6,B2,0.0,,38.53,11.57,37.0,39.0,25.0,65.0,,,1,今村 天次朗,0.15,6.83,5,0.0,amagasaki,17.9,0.0,晴,20.9,52.0,0.0,14.0,西北西,4.0
,1.0,2026-05-04,2026-05-14 23:57:03,1,B1,0.0,,37.61,11.33,63.0,14.0,50.0,60.0,,,2,福岡 泉水,0.13,6.81,1,0.0,amagasaki,17.9,4.0,晴,21.4,50.3,0.0,14.0,西北西,6.0
,2.0,2026-05-04,2026-05-14 23:57:03,2,A1,0.0,,37.38,11.32,46.0,27.0,35.7,50.0,,滝沢 芳行,2,小坂 尚哉,0.3,6.86,6,0.0,amagasaki,17.9,4.0,晴,21.4,52.3,0.0,14.0,西北西,6.0
,3.0,2026-05-04,2026-05-14 23:57:03,3,A2,0.0,,38.18,11.64,35.0,15.0,47.6,66.7,,,2,篠田 優也,0.1,6.81,1,0.0,amagasaki,17.9,4.0,晴,21.4,52.5,0.0,14.0,西北西,6.0
,4.0,2026-05-04,2026-05-14 23:57:03,4,B1,0.0,,37.77,11.47,39.0,12.0,50.0,65.0,,,2,妻鳥 晋也,0.36,6.82,3,0.0,amagasaki,17.9,4.0,晴,21.4,55.2,0.0,14.0,西北西,6.0
