venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
amagasaki,2026-05-26,1,1,小川 竜太朗,B1,36.83,11.43,,6.82,1,0.0,1,,,52.1,0.0,2026-05-26 20:36:39,8,21.4,42.9,33,森永 淳,0.24,False,晴,27.4,23.4,2,14,西北西,0
amagasaki,2026-05-26,1,2,有山 望,B1,36.9,11.36,,6.83,2,-0.5,2,,,50.5,1.5,2026-05-26 20:36:39,15,33.3,43.3,16,藤岡 俊介,0.31,False,晴,27.4,23.4,2,14,西北西,0
amagasaki,2026-05-26,1,3,田中 駿兵,A1,37.27,11.44,,6.85,4,-0.5,3,,リング×４,52.1,0.0,2026-05-26 20:36:39,13,40.9,50.0,9,大町 利克,0.14,False,晴,27.4,23.4,2,14,西北西,0
amagasaki,2026-05-26,1,4,垂水 悠,B1,37.28,11.39,,6.85,4,-0.5,4,,,55.3,0.0,2026-05-26 20:36:39,47,24.1,51.7,28,落合 直子,0.09,False,晴,27.4,23.4,2,14,西北西,0
amagasaki,2026-05-26,1,5,石渡 翔一郎,B1,37.35,11.58,,6.86,6,0.0,5,,,53.2,0.0,2026-05-26 20:36:39,3,32.0,44.0,18,日隈 茜,0.11,False,晴,27.4,23.4,2,14,西北西,0
amagasaki,2026-05-26,1,6,金子 龍斗,B1,37.31,11.44,,6.83,2,0.0,6,,,51.0,1.0,2026-05-26 20:36:39,61,11.8,17.6,42,角山 雄哉,0.08,False,晴,27.4,23.4,2,14,西北西,0
amagasaki,2026-05-26,2,1,大森 翼,B1,36.54,11.31,,6.83,2,0.0,1,,,52.3,0.0,2026-05-26 20:36:45,51,5.9,11.8,44,小林 文彦,0.23,False,晴,28.2,23.5,0,17,不明,0
amagasaki,2026-05-26,2,2,野田 昇吾,B1,37.62,11.82,,6.89,4,0.0,2,,,57.0,0.0,2026-05-26 20:36:45,58,40.0,46.7,10,宇留田 翔平,0.02,False,晴,28.2,23.5,0,17,不明,0
amagasaki,2026-05-26,2,3,藤井 太雅,B1,37.41,11.61,,6.93,5,-0.5,3,,,52.8,0.0,2026-05-26 20:36:45,49,5.9,5.9,45,中村 守成,-0.01,False,晴,28.2,23.5,0,17,不明,0
amagasaki,2026-05-26,2,4,森清 友翔,B1,37.22,11.49,,6.88,3,0.0,4,,,53.4,0.0,2026-05-26 20:36:45,60,25.0,60.0,25,樋口 喜彦,0.02,False,晴,28.2,23.5,0,17,不明,0
amagasaki,2026-05-26,2,5,堀本 翔太,B1,37.63,11.65,,6.93,5,0.0,5,,,48.5,3.5,2026-05-26 20:36:45,10,35.7,46.4,14,貫地谷 直人,-0.07,False,晴,28.2,23.5,0,17,不明,0
amagasaki,2026-05-26,2,6,岡崎 凪汰,B1,37.64,11.47,,6.82,1,0.0,6,,,52.2,0.0,2026-05-26 20:36:45,17,25.0,32.1,27,藤田 竜弘,-0.15,False,晴,28.2,23.5,0,17,不明,0
amagasaki,2026-05-26,3,1,山口 晃朋,B1,36.77,11.47,,6.76,1,0.0,1,,,52.0,0.0,2026-05-26 20:36:50,16,34.6,65.4,15,坂本 雄紀,0.05,False,晴,28.3,23.6,0,17,不明,0
amagasaki,2026-05-26,3,2,城間 盛渚,B1,36.81,11.37,,6.83,6,0.0,2,,,52.2,0.0,2026-05-26 20:36:50,36,19.2,38.5,38,中辻 博訓,0.08,False,晴,28.3,23.6,0,17,不明,0
amagasaki,2026-05-26,3,3,登玉 隼百,A2,37.31,11.58,,6.78,2,0.0,3,,,53.2,0.0,2026-05-26 20:36:50,37,21.6,46.0,32,池田 浩美,-0.01,False,晴,28.3,23.6,0,17,不明,0
amagasaki,2026-05-26,3,4,青木 蓮,A1,37.75,11.9,,6.79,3,0.0,4,,,50.5,1.5,2026-05-26 20:36:50,12,55.2,69.0,2,吉村 正明,-0.03,False,晴,28.3,23.6,0,17,不明,0
amagasaki,2026-05-26,3,5,島川 海輝,A2,37.47,11.87,,6.79,3,0.0,5,,,52.5,0.0,2026-05-26 20:36:50,48,42.9,60.7,8,平田 健之佑,0.12,False,晴,28.3,23.6,0,17,不明,0
amagasaki,2026-05-26,3,6,中岡 駿,B2,37.19,11.58,,6.8,5,0.0,6,,,52.2,0.0,2026-05-26 20:36:50,6,14.8,33.3,40,和田 兼輔,-0.17,False,晴,28.3,23.6,0,17,不明,0
amagasaki,2026-05-26,4,1,岩下 巧斗,B1,36.76,11.24,,6.79,1,-0.5,1,,,52.5,0.0,2026-05-26 20:36:56,45,31.4,48.6,19,坂口 諒宗,-0.1,False,晴,29.0,23.9,0,17,不明,0
amagasaki,2026-05-26,4,2,竹間 隆晟,A1,36.96,11.09,,6.81,3,0.0,2,,,52.3,0.0,2026-05-26 20:36:56,59,21.1,31.6,34,永井 亮次,0.23,False,晴,29.0,23.9,0,17,不明,0
amagasaki,2026-05-26,4,3,藤森 拓海,B1,37.12,11.49,,6.79,1,0.0,3,,,54.1,0.0,2026-05-26 20:36:56,4,48.3,62.1,5,永井 源,0.16,False,晴,29.0,23.9,0,17,不明,0
amagasaki,2026-05-26,4,4,井本 昌也,A1,37.09,11.33,,6.82,4,0.0,4,,,52.4,0.0,2026-05-26 20:36:56,44,31.2,50.0,20,板倉 敦史,0.14,False,晴,29.0,23.9,0,17,不明,0
amagasaki,2026-05-26,4,5,高井 雄基,A2,37.62,11.64,,6.88,6,0.0,5,,,53.3,0.0,2026-05-26 20:36:56,21,13.8,48.3,41,齋藤 真之,0.3,False,晴,29.0,23.9,0,17,不明,0
