venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
ashiya,2026-04-20,1,1,井内 将太郎,A2,36.31,7.65,7.62,6.73,1,-0.5,1,,,52.8,0.0,2026-05-15 00:14:19,47,50.0,83.3,12,,0.1,False,曇り,17.6,19.5,0,17,不明,1
ashiya,2026-04-20,1,2,宮本 夏樹,B1,36.17,7.61,7.67,6.74,2,0.0,2,,,54.1,0.0,2026-05-15 00:14:19,12,50.0,66.7,14,,0.07,False,曇り,17.6,19.5,0,17,不明,1
ashiya,2026-04-20,1,3,木村 光宏,B1,36.99,7.87,7.73,6.74,2,-0.5,3,,,55.0,0.0,2026-05-15 00:14:19,1,16.7,50.0,31,,0.22,False,曇り,17.6,19.5,0,17,不明,1
ashiya,2026-04-20,1,4,夏山 亮平,B1,37.06,7.85,7.68,6.76,4,-0.5,4,,,57.0,0.0,2026-05-15 00:14:19,30,16.7,16.7,26,,0.26,False,曇り,17.6,19.5,0,17,不明,1
ashiya,2026-04-20,1,5,下河 雅史,B1,37.37,8.09,7.75,6.84,6,0.0,5,,,55.1,0.0,2026-05-15 00:14:19,44,16.7,33.3,29,,0.17,False,曇り,17.6,19.5,0,17,不明,1
ashiya,2026-04-20,1,6,山本 凱立,B2,37.43,8.04,7.75,6.8,5,0.0,6,,,52.0,0.0,2026-05-15 00:14:19,23,0.0,0.0,45,,0.08,False,曇り,17.6,19.5,0,17,不明,1
ashiya,2026-04-20,2,1,古川 誠之,A2,36.17,7.74,7.58,6.72,1,0.0,1,,,54.7,0.0,2026-05-15 00:14:29,22,50.0,83.3,17,,0.25,False,曇り,18.6,19.5,0,17,不明,1
ashiya,2026-04-20,2,2,渡辺 豊,B1,36.61,7.85,7.7,6.84,6,0.0,2,,,54.4,0.0,2026-05-15 00:14:29,28,16.7,16.7,35,,0.07,False,曇り,18.6,19.5,0,17,不明,1
ashiya,2026-04-20,2,3,守屋 大地,B1,36.81,8.03,7.62,6.77,4,-0.5,3,,,52.0,0.0,2026-05-15 00:14:29,32,16.7,16.7,38,,0.08,False,曇り,18.6,19.5,0,17,不明,1
ashiya,2026-04-20,2,4,金田 諭,A1,36.68,7.93,7.65,6.82,5,0.0,4,,,52.0,0.0,2026-05-15 00:14:29,36,57.1,71.4,10,,-0.08,False,曇り,18.6,19.5,0,17,不明,1
ashiya,2026-04-20,2,5,伊藤 尚汰,B1,36.79,8.04,7.58,6.72,1,0.0,5,,,50.0,2.0,2026-05-15 00:14:29,21,16.7,16.7,32,,-0.08,False,曇り,18.6,19.5,0,17,不明,1
ashiya,2026-04-20,2,6,得山 大輝,B2,37.09,8.05,7.69,6.75,3,0.0,6,,,51.5,0.5,2026-05-15 00:14:29,2,0.0,0.0,42,,-0.05,False,曇り,18.6,19.5,0,17,不明,1
ashiya,2026-04-20,3,1,廣瀬 真也,A2,36.91,7.93,7.65,6.71,3,0.0,1,,,51.5,0.5,2026-05-15 00:14:38,13,16.7,33.3,39,,0.04,False,曇り,18.8,19.5,0,17,不明,1
