chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
7.45,1.0,2026-04-29,2026-05-15 00:23:59,1,A2,0.0,,35.38,7.46,14.0,29.0,26.7,33.3,,鈴木 賢一,1,安河内鈴之介,0.03,6.68,2,0.0,ashiya,20.0,2.0,曇り,16.2,52.0,0.0,9.0,南,2.0
7.61,2.0,2026-04-29,2026-05-15 00:23:59,2,B1,0.0,,36.87,7.65,27.0,28.0,31.2,56.2,,角谷 健吾,1,松尾 宣邦,0.15,6.75,5,0.0,ashiya,20.0,2.0,曇り,16.2,52.3,0.0,9.0,南,2.0
7.57,3.0,2026-04-29,2026-05-15 00:23:59,3,B1,0.0,,36.31,7.8,37.0,34.0,20.0,33.3,,藤森 拓海,1,松本 真広,0.19,6.64,1,0.5,ashiya,20.0,2.0,曇り,16.2,52.0,0.0,9.0,南,2.0
7.5,4.0,2026-04-29,2026-05-15 00:23:59,4,B1,0.0,,36.22,7.82,33.0,16.0,40.0,46.7,,田中 太一郎,1,稗田 聖也,-0.12,6.7,3,-0.5,ashiya,20.0,2.0,曇り,16.2,52.4,0.0,9.0,南,2.0
7.56,5.0,2026-04-29,2026-05-15 00:23:59,5,B1,0.0,,36.74,7.7,18.0,14.0,43.8,62.5,,桑原 悠,1,山口 修路,-0.01,6.72,4,0.0,ashiya,20.0,2.0,曇り,16.2,52.0,0.0,9.0,南,2.0
7.6,6.0,2026-04-29,2026-05-15 00:23:59,6,B1,0.0,,36.89,7.99,24.0,8.0,56.2,62.5,,坂元 浩仁,1,林 恵祐,0.03,6.75,5,0.0,ashiya,20.0,2.0,曇り,16.2,60.7,0.0,9.0,南,2.0
7.53,1.0,2026-04-29,2026-05-15 00:24:06,1,A2,0.0,,35.84,7.44,43.0,2.0,81.2,93.8,,安河内 将,2,河野 真也,0.03,6.62,1,0.0,ashiya,19.9,2.0,晴,16.9,52.0,0.0,11.0,南西,2.0
7.56,2.0,2026-04-29,2026-05-15 00:24:06,2,B1,0.0,,36.36,7.75,48.0,38.0,16.7,66.7,,,2,三苫 晃幸,-0.06,6.68,2,-0.5,ashiya,19.9,2.0,晴,16.9,53.9,0.0,11.0,南西,2.0
7.57,3.0,2026-04-29,2026-05-15 00:24:06,3,B1,0.0,,36.5,7.81,30.0,22.0,33.3,53.3,,夏山 亮平,2,松田 隆司,-0.1,6.7,5,0.0,ashiya,19.9,2.0,晴,16.9,53.6,0.0,11.0,南西,2.0
7.54,4.0,2026-04-29,2026-05-15 00:24:06,4,A1,0.0,,36.44,7.62,41.0,3.0,70.6,76.5,,石田 章央,2,西山 貴浩,-0.07,6.68,2,0.0,ashiya,19.9,2.0,晴,16.9,52.1,0.0,11.0,南西,2.0
7.64,5.0,2026-04-29,2026-05-15 00:24:06,5,B2,0.0,,37.01,7.82,54.0,25.0,33.3,33.3,,,2,桂林 寛,-0.01,6.75,6,0.0,ashiya,19.9,2.0,晴,16.9,52.8,0.0,11.0,南西,2.0
7.57,6.0,2026-04-29,2026-05-15 00:24:06,6,B1,0.0,,37.09,7.73,46.0,46.0,0.0,21.4,,嘉手苅 徹哉,2,橋本 英一,0.11,6.68,2,0.0,ashiya,19.9,2.0,晴,16.9,52.7,0.0,11.0,南西,2.0
7.57,1.0,2026-04-29,2026-05-15 00:24:12,1,A2,1.0,,36.25,7.72,51.0,9.0,50.0,50.0,,,3,池田 剛規,0.05,6.71,2,0.5,ashiya,20.0,2.0,晴,16.7,52.2,0.0,9.0,南,2.0
7.57,2.0,2026-04-29,2026-05-15 00:24:12,2,B1,1.0,,36.56,7.8,12.0,4.0,60.0,66.7,,宮本 夏樹,3,川添 英正,0.08,6.74,4,-0.5,ashiya,20.0,2.0,晴,16.7,52.4,0.0,9.0,南,2.0
7.56,3.0,2026-04-29,2026-05-15 00:24:12,3,A1,1.0,,35.93,7.59,13.0,13.0,43.8,62.5,,廣瀬 真也,3,高倉 和士,0.06,6.67,1,0.0,ashiya,20.0,2.0,晴,16.7,52.0,0.0,9.0,南,2.0
7.61,6.0,2026-04-29,2026-05-15 00:24:12,4,B1,1.0,,36.46,7.68,53.0,40.0,16.7,16.7,,,3,小川 晃司,0.07,6.75,6,0.0,ashiya,20.0,2.0,晴,16.7,50.5,1.5,9.0,南,2.0
7.46,4.0,2026-04-29,2026-05-15 00:24:12,5,A2,1.0,,37.42,8.07,21.0,17.0,40.0,46.7,,伊藤 尚汰,3,枝尾 賢,0.26,6.74,4,0.0,ashiya,20.0,2.0,晴,16.7,52.2,0.0,9.0,南,2.0
7.69,5.0,2026-04-29,2026-05-15 00:24:12,6,B1,1.0,,37.45,8.2,26.0,43.0,13.3,20.0,リング×２,柴田 朋哉,3,西村 秀樹,0.1,6.72,3,-0.5,ashiya,20.0,2.0,晴,16.7,52.0,0.0,9.0,南,2.0
7.56,1.0,2026-04-29,2026-05-15 00:24:18,1,A1,0.0,,36.13,7.61,31.0,21.0,33.3,46.7,,大町 利克,4,羽野 直也,0.14,6.7,2,0.0,ashiya,20.0,2.0,曇り,16.9,54.0,0.0,11.0,南西,2.0
7.59,2.0,2026-04-29,2026-05-15 00:24:18,2,A2,0.0,,36.45,7.81,20.0,32.0,21.4,50.0,,吉村 誠,4,岡村 将也,0.13,6.72,6,-0.5,ashiya,20.0,2.0,曇り,16.9,52.9,0.0,11.0,南西,2.0
7.57,3.0,2026-04-29,2026-05-15 00:24:18,3,B1,0.0,,36.94,7.76,38.0,35.0,20.0,20.0,リング×２,赤池 修平,4,上野 秀和,0.01,6.71,5,0.0,ashiya,20.0,2.0,曇り,16.9,54.8,0.0,11.0,南西,2.0
7.57,4.0,2026-04-29,2026-05-15 00:24:18,4,A1,0.0,,36.49,7.63,60.0,7.0,57.1,71.4,,,4,原田 才一郎,0.27,6.7,2,0.0,ashiya,20.0,2.0,曇り,16.9,52.0,0.0,11.0,南西,2.0
