venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
biwako,2026-04-23,1,1,小林 孝彰,A2,37.4,5.54,8.03,6.77,1,0.0,1,,,52.0,0.0,2026-05-15 00:38:19,64,33.3,50.0,25,,0.03,False,雨,13,18,3,7,南東,3
biwako,2026-04-23,1,2,菅沼 佳昭,B1,38.15,5.75,8.0,6.81,3,0.0,2,,,51.5,0.5,2026-05-15 00:38:19,23,26.7,46.7,30,安達 裕樹,0.02,False,雨,13,18,3,7,南東,3
biwako,2026-04-23,1,3,伊達 正利,B1,38.53,6.08,8.13,6.81,3,0.0,3,,,54.9,0.0,2026-05-15 00:38:19,31,33.3,58.3,24,一色 颯輝,0.15,False,雨,13,18,3,7,南東,3
biwako,2026-04-23,1,4,柴田 友和,B1,38.0,5.97,8.07,6.85,6,0.0,4,,,52.0,0.0,2026-05-15 00:38:19,30,8.3,33.3,38,梅原 祥平,0.15,False,雨,13,18,3,7,南東,3
biwako,2026-04-23,1,5,高村 諒,B2,38.36,6.23,7.93,6.83,5,0.0,5,,,52.4,0.0,2026-05-15 00:38:19,38,16.7,33.3,35,,0.33,False,雨,13,18,3,7,南東,3
biwako,2026-04-23,1,6,安藤 瑠希,B2,37.46,5.91,7.87,6.79,2,0.0,6,,,52.3,0.0,2026-05-15 00:38:19,33,9.1,9.1,36,宇土 泰就,0.45,False,雨,13,18,3,7,南東,3
biwako,2026-04-23,2,1,石川 真二,A1,37.51,5.66,7.93,6.9,6,-0.5,1,,,52.8,0.0,2026-05-15 00:38:25,61,66.7,66.7,5,,0.03,False,雨,13,18,4,7,南東,4
biwako,2026-04-23,2,2,篠原 晟弥,A2,37.87,5.87,8.0,6.85,5,0.5,2,,,52.0,0.0,2026-05-15 00:38:25,65,40.0,40.0,16,,0.12,False,雨,13,18,4,7,南東,4
biwako,2026-04-23,2,3,村松 栄太,B1,37.7,6.17,7.97,6.77,2,0.0,3,,,52.3,0.0,2026-05-15 00:38:25,21,46.2,69.2,11,安河内鈴之介,0.07,False,雨,13,18,4,7,南東,4
biwako,2026-04-23,2,4,鈴木 結平太,B2,38.43,6.23,8.0,6.79,3,0.0,4,,,51.0,1.0,2026-05-15 00:38:25,14,28.6,57.1,28,高野 哲史,0.19,False,雨,13,18,4,7,南東,4
biwako,2026-04-23,2,5,村田 浩司,B1,37.8,6.17,8.07,6.76,1,0.0,5,,,54.0,0.0,2026-05-15 00:38:25,17,46.2,46.2,12,大場 敏,0.07,False,雨,13,18,4,7,南東,4
biwako,2026-04-23,2,6,竹内 来,B2,38.07,6.2,8.37,6.84,4,0.0,6,,,52.1,0.0,2026-05-15 00:38:25,63,0.0,25.0,39,,0.09,False,雨,13,18,4,7,南東,4
biwako,2026-04-23,3,1,宇留田 翔平,A2,37.45,5.7,8.18,6.83,2,0.0,1,,,53.6,0.0,2026-05-15 00:38:33,62,16.7,33.3,34,,-0.07,False,雨,13,18,4,7,南東,4
biwako,2026-04-23,3,2,河野 主樹,B1,37.86,6.07,8.03,6.89,4,0.0,2,,,52.0,0.0,2026-05-15 00:38:33,35,8.3,33.3,37,藤森 拓海,-0.06,False,雨,13,18,4,7,南東,4
biwako,2026-04-23,3,3,山本 光雄,B1,38.03,6.2,8.13,6.87,3,-0.5,3,,,52.9,0.0,2026-05-15 00:38:33,69,40.0,40.0,20,,-0.07,False,雨,13,18,4,7,南東,4
biwako,2026-04-23,3,4,坂井 康嗣,B1,38.8,6.47,7.98,6.89,4,0.0,4,,,52.0,0.0,2026-05-15 00:38:33,28,38.5,46.2,22,廣瀬 篤哉,0.04,False,雨,13,18,4,7,南東,4
