venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
biwako,2026-05-04,1,1,木下 雄介,,2026-05-15 00:48:15,73,25.0,25.0,30,藤田 康生
biwako,2026-05-04,1,2,表 憲一,,2026-05-15 00:48:15,61,64.3,64.3,4,石川 真二
biwako,2026-05-04,1,3,大町 利克,,2026-05-15 00:48:15,46,37.5,50.0,15,安井 瑞紀
biwako,2026-05-04,1,4,村上 功祐,,2026-05-15 00:48:15,48,37.5,50.0,16,武井 莉里佳
biwako,2026-05-04,1,5,藤原 孝斗,,2026-05-15 00:48:15,38,21.4,35.7,35,高村 諒
biwako,2026-05-04,1,6,吉永 浩則,,2026-05-15 00:48:15,39,29.4,29.4,28,西川 真人
biwako,2026-05-04,2,1,守田 俊介,,2026-05-15 00:48:40,45,47.1,70.6,7,大池 佑来
biwako,2026-05-04,2,2,井上 尚悟,,2026-05-15 00:48:40,62,35.7,50.0,19,宇留田 翔平
biwako,2026-05-04,2,3,汐崎 正則,,2026-05-15 00:48:40,13,28.6,47.6,29,若林 麗
biwako,2026-05-04,2,4,高山 智至,,2026-05-15 00:48:40,59,30.8,53.8,26,有山 望
biwako,2026-05-04,2,5,山田 晃大,,2026-05-15 00:48:40,44,35.7,50.0,18,杉田 篤光
biwako,2026-05-04,2,6,高村 諒,,2026-05-15 00:48:40,66,16.7,25.0,37,川上 聡介
biwako,2026-05-04,3,1,深井 利寿,,2026-05-15 00:49:06,72,54.5,72.7,5,奥田 誠
biwako,2026-05-04,3,2,八木 治樹,,2026-05-15 00:49:06,51,14.3,42.9,41,小林 愛実
biwako,2026-05-04,3,3,南野 利騰,,2026-05-15 00:49:06,58,71.4,78.6,2,馬場 貴也
biwako,2026-05-04,3,4,君島 秀三,,2026-05-15 00:49:06,47,30.0,30.0,27,佐竹 太一
biwako,2026-05-04,3,5,片橋 幸貴,,2026-05-15 00:49:06,50,15.4,23.1,38,河上 年昭
biwako,2026-05-04,3,6,柘植 政浩,,2026-05-15 00:49:06,56,14.3,21.4,42,樫葉 新心
biwako,2026-05-04,4,1,繁野谷 圭介,,2026-05-15 00:49:31,54,40.0,53.3,9,末永 由楽
biwako,2026-05-04,4,2,夏山 亮平,,2026-05-15 00:49:31,68,35.7,57.1,22,中島 秀治
biwako,2026-05-04,4,3,松山 将吾,,2026-05-15 00:49:31,41,37.5,56.2,14,大田 直弥
biwako,2026-05-04,4,4,是澤 孝宏,,2026-05-15 00:49:31,11,40.0,65.0,10,栗原 一馬
biwako,2026-05-04,4,5,丸野 一樹,,2026-05-15 00:49:31,16,45.8,54.2,8,鈴木 茂高
biwako,2026-05-04,4,6,濱崎 誠,,2026-05-15 00:49:31,52,15.4,15.4,40,中曽 瑠華
biwako,2026-05-04,5,1,北中 元樹,,2026-05-15 00:49:57,17,38.1,47.6,13,村田 浩司
biwako,2026-05-04,5,2,藤原 孝斗,,2026-05-15 00:49:57,38,21.4,35.7,35,高村 諒
biwako,2026-05-04,5,3,香川 颯太,,2026-05-15 00:49:57,40,35.7,35.7,21,薗頭 心
biwako,2026-05-04,5,4,青木 玄太,,2026-05-15 00:49:57,19,31.8,68.2,25,畑 竜生
biwako,2026-05-04,5,5,木村 亮太,,2026-05-15 00:49:57,53,33.3,60.0,24,荒川 健太
biwako,2026-05-04,5,6,澤田 尚也,,2026-05-15 00:49:57,18,65.2,73.9,3,石田 勇斗
biwako,2026-05-04,6,1,吉川 昭男,,2026-05-15 00:50:22,63,15.4,38.5,39,竹内 来
biwako,2026-05-04,6,2,廣部 大明,,2026-05-15 00:50:22,71,25.0,33.3,31,香川 陽太
biwako,2026-05-04,6,3,新出 浩司,,2026-05-15 00:50:22,65,21.4,35.7,34,篠原 晟弥
biwako,2026-05-04,6,4,表 憲一,,2026-05-15 00:50:22,61,64.3,64.3,4,石川 真二
biwako,2026-05-04,6,5,廣瀬 凜,,2026-05-15 00:50:22,14,34.8,56.5,23,鈴木 結平太
biwako,2026-05-04,6,6,藤原 仙二,,2026-05-15 00:50:22,57,35.7,50.0,20,山本 幸也
biwako,2026-05-04,7,1,吉川 晴人,,2026-05-15 00:50:49,43,13.3,46.7,44,高木 圭大
biwako,2026-05-04,7,2,久田 武,,2026-05-15 00:50:49,64,21.4,42.9,36,小林 孝彰
biwako,2026-05-04,7,3,宮迫 暢彦,,2026-05-15 00:50:49,69,23.1,30.8,32,山本 光雄
biwako,2026-05-04,7,4,柘植 政浩,,2026-05-15 00:50:49,56,14.3,21.4,42,樫葉 新心
biwako,2026-05-04,7,5,高山 智至,,2026-05-15 00:50:49,59,30.8,53.8,26,有山 望
biwako,2026-05-04,7,6,馬場 貴也,,2026-05-15 00:50:49,15,47.6,52.4,6,為本 智也
biwako,2026-05-04,8,1,木村 仁紀,,2026-05-15 00:51:14,67,38.5,69.2,12,松井 洪弥
biwako,2026-05-04,8,2,沢田 昭宏,,2026-05-15 00:51:14,20,36.4,50.0,17,楠原 翔太
biwako,2026-05-04,8,3,西川 真人,,2026-05-15 00:51:14,55,13.3,26.7,43,大橋 純一郎
biwako,2026-05-04,8,4,井上 尚悟,,2026-05-15 00:51:14,62,35.7,50.0,19,宇留田 翔平
biwako,2026-05-04,8,5,夏山 亮平,,2026-05-15 00:51:14,68,35.7,57.1,22,中島 秀治
biwako,2026-05-04,8,6,和田 操拓,,2026-05-15 00:51:14,49,23.1,23.1,33,伊藤 玲奈
biwako,2026-05-04,9,1,村上 功祐,,2026-05-15 00:51:40,48,37.5,50.0,16,武井 莉里佳
biwako,2026-05-04,9,2,汐崎 正則,,2026-05-15 00:51:40,13,28.6,47.6,29,若林 麗
biwako,2026-05-04,9,3,北中 元樹,,2026-05-15 00:51:40,17,38.1,47.6,13,村田 浩司
biwako,2026-05-04,9,4,橋本 年光,,2026-05-15 00:51:40,70,40.0,73.3,11,下寺 秀和
biwako,2026-05-04,9,5,八木 治樹,,2026-05-15 00:51:40,51,14.3,42.9,41,小林 愛実
biwako,2026-05-04,9,6,繁野谷 圭介,,2026-05-15 00:51:40,54,40.0,53.3,9,末永 由楽
biwako,2026-05-04,10,1,藤原 仙二,,2026-05-15 00:52:07,57,35.7,50.0,20,山本 幸也
biwako,2026-05-04,10,2,丸野 一樹,,2026-05-15 00:52:07,16,45.8,54.2,8,鈴木 茂高
biwako,2026-05-04,10,3,君島 秀三,,2026-05-15 00:52:07,47,30.0,30.0,27,佐竹 太一
biwako,2026-05-04,10,4,香川 颯太,,2026-05-15 00:52:07,40,35.7,35.7,21,薗頭 心
