chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
8.07,1.0,2026-05-06,2026-05-15 00:54:49,1,B1,0.0,,36.55,5.43,58.0,2.0,55.6,61.1,,馬場 貴也,1,南野 利騰,0.04,6.71,1,0.0,biwako,18.0,2.0,曇り,16.0,53.3,0.0,7.0,南東,2.0
8.07,2.0,2026-05-06,2026-05-15 00:54:49,2,B1,0.0,,37.64,5.82,46.0,18.0,33.3,50.0,,安井 瑞紀,1,大町 利克,0.12,6.84,5,0.0,biwako,18.0,2.0,曇り,16.0,53.6,0.0,7.0,南東,2.0
7.9,3.0,2026-05-06,2026-05-15 00:54:49,3,A2,0.0,,36.96,5.68,43.0,39.0,15.8,42.1,,高木 圭大,1,吉川 晴人,0.02,6.74,2,-0.5,biwako,18.0,2.0,曇り,16.0,54.1,0.0,7.0,南東,2.0
7.93,4.0,2026-05-06,2026-05-15 00:54:49,4,B1,0.0,,37.07,5.67,69.0,33.0,20.0,26.7,,山本 光雄,1,宮迫 暢彦,0.07,6.77,4,0.0,biwako,18.0,2.0,曇り,16.0,52.6,0.0,7.0,南東,2.0
7.9,5.0,2026-05-06,2026-05-15 00:54:49,5,B2,0.0,,37.78,6.05,66.0,40.0,14.3,21.4,,川上 聡介,1,高村 諒,0.08,6.75,3,0.5,biwako,18.0,2.0,曇り,16.0,52.7,0.0,7.0,南東,2.0
8.1,6.0,2026-05-06,2026-05-15 00:54:49,6,A2,0.0,,37.37,5.6,48.0,16.0,35.0,50.0,,武井 莉里佳,1,村上 功祐,0.14,6.86,6,0.0,biwako,18.0,2.0,曇り,16.0,55.8,0.0,7.0,南東,2.0
7.9,1.0,2026-05-06,2026-05-15 00:54:57,1,A1,0.0,,36.56,5.5,18.0,4.0,55.6,66.7,,石田 勇斗,2,澤田 尚也,0.13,6.54,1,0.5,biwako,18.0,4.0,曇り,17.0,52.3,0.0,11.0,南西,5.0
7.74,2.0,2026-05-06,2026-05-15 00:54:57,2,B1,0.0,,37.92,6.07,65.0,36.0,18.8,31.2,,篠原 晟弥,2,新出 浩司,0.09,6.75,6,0.0,biwako,18.0,4.0,曇り,17.0,53.0,0.0,11.0,南西,5.0
7.73,3.0,2026-05-06,2026-05-15 00:54:57,3,B1,0.0,,37.91,5.83,38.0,37.0,16.7,27.8,,高村 諒,2,藤原 孝斗,0.11,6.67,3,0.0,biwako,18.0,4.0,曇り,17.0,53.4,0.0,11.0,南西,5.0
7.8,4.0,2026-05-06,2026-05-15 00:54:57,4,B1,0.0,,37.95,6.0,13.0,28.0,24.0,44.0,,若林 麗,2,汐崎 正則,0.12,6.73,5,0.0,biwako,18.0,4.0,曇り,17.0,52.4,0.0,11.0,南西,5.0
7.67,5.0,2026-05-06,2026-05-15 00:54:57,5,B1,0.0,,37.29,6.0,62.0,23.0,27.8,38.9,,宇留田 翔平,2,井上 尚悟,0.18,6.68,4,0.0,biwako,18.0,4.0,曇り,17.0,52.0,0.0,11.0,南西,5.0
7.63,6.0,2026-05-06,2026-05-15 00:54:57,6,A2,0.0,,37.43,5.9,56.0,38.0,16.7,22.2,,樫葉 新心,2,柘植 政浩,0.08,6.66,2,0.0,biwako,18.0,4.0,曇り,17.0,51.0,1.0,11.0,南西,5.0
7.9,1.0,2026-05-06,2026-05-15 00:55:05,1,B2,0.0,,36.86,5.55,40.0,21.0,27.8,27.8,,薗頭 心,3,香川 颯太,0.16,6.57,1,0.0,biwako,18.0,3.0,曇り,16.0,52.0,0.0,13.0,西,3.0
7.67,2.0,2026-05-06,2026-05-15 00:55:05,2,B1,0.0,,37.48,5.87,53.0,20.0,29.4,52.9,,荒川 健太,3,木村 亮太,0.09,6.7,5,0.0,biwako,18.0,3.0,曇り,16.0,52.1,0.0,13.0,西,3.0
7.77,3.0,2026-05-06,2026-05-15 00:55:05,3,B1,0.0,,37.49,5.83,61.0,3.0,55.6,61.1,,石川 真二,3,表 憲一,0.29,6.64,2,0.0,biwako,18.0,3.0,曇り,16.0,53.2,0.0,13.0,西,3.0
7.83,4.0,2026-05-06,2026-05-15 00:55:05,4,A2,0.0,,38.16,6.0,11.0,11.0,37.5,62.5,,栗原 一馬,3,是澤 孝宏,0.21,6.68,4,0.0,biwako,18.0,3.0,曇り,16.0,52.0,0.0,13.0,西,3.0
7.82,5.0,2026-05-06,2026-05-15 00:55:05,5,A2,0.0,,37.9,5.87,20.0,19.0,33.3,50.0,リング×２,楠原 翔太,3,沢田 昭宏,,6.73,6,0.0,biwako,18.0,3.0,曇り,16.0,53.4,0.0,13.0,西,3.0
7.93,6.0,2026-05-06,2026-05-15 00:55:05,6,B2,0.0,,37.52,5.77,71.0,31.0,21.4,35.7,,香川 陽太,3,廣部 大明,0.05,6.65,3,0.0,biwako,18.0,3.0,曇り,16.0,52.0,0.0,13.0,西,3.0
