venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
edogawa,2026-04-27,1,1,内山 文典,,2026-05-15 01:10:44,36,35.0,54.0,13,増田 進
edogawa,2026-04-27,1,2,萩原 知哉,,2026-05-15 01:10:44,67,31.0,48.5,31,上之 晃弘
edogawa,2026-04-27,1,3,高山 弘斗,,2026-05-15 01:10:44,13,28.6,40.3,37,船岡 洋一郎
edogawa,2026-04-27,1,4,寺島 吉彦,,2026-05-15 01:10:44,55,37.5,58.5,8,吉川 勇作
edogawa,2026-04-27,1,5,中島 航,,2026-05-15 01:10:44,12,31.7,48.4,26,竹之内 極
edogawa,2026-04-27,1,6,港 理樹,,2026-05-15 01:10:44,62,38.5,53.2,7,川合 理司
edogawa,2026-04-27,2,1,大塚 雅治,,2026-05-15 01:10:49,52,30.6,44.5,33,小野 達哉
edogawa,2026-04-27,2,2,多田 有佑,,2026-05-15 01:10:49,56,44.9,57.3,2,藤原 仙二
edogawa,2026-04-27,2,3,磯村 匠,,2026-05-15 01:10:49,71,40.1,52.2,5,中 亮太
edogawa,2026-04-27,2,4,森作 雄大,,2026-05-15 01:10:49,27,33.2,46.8,18,岩橋 裕馬
edogawa,2026-04-27,2,5,大池 佑来,,2026-05-15 01:10:49,57,33.2,53.5,19,山下 流心
edogawa,2026-04-27,2,6,尾道 佳諭,,2026-05-15 01:10:49,50,27.2,46.9,44,西尾 亮輔
edogawa,2026-04-27,3,1,関根 彰人,,2026-05-15 01:10:53,16,30.2,44.2,34,武田 正紀
edogawa,2026-04-27,3,2,田邉 亮蔵,,2026-05-15 01:10:53,61,31.8,49.4,23,飯島 昌弘
edogawa,2026-04-27,3,3,山田 亮太,,2026-05-15 01:10:53,58,31.3,47.6,29,藤山 翔大
edogawa,2026-04-27,3,4,奥平 拓也,,2026-05-15 01:10:53,17,30.1,44.5,35,鈴木 章司
edogawa,2026-04-27,3,5,池田 雷太,,2026-05-15 01:10:53,69,43.8,59.9,3,澤 大介
edogawa,2026-04-27,3,6,飯山 泰,,2026-05-15 01:10:53,59,33.9,49.4,17,上原 健次郎
