chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
7.54,1.0,2026-04-29,2026-05-15 01:35:18,1,B2,0.0,,36.54,5.63,14.0,22.0,37.5,64.6,,,1,大山 千広,,6.8,3,-0.5,fukuoka,18.0,3.0,曇り,17.0,47.2,0.0,10.0,南南西,3.0
7.46,2.0,2026-04-29,2026-05-15 01:35:18,2,B1,0.0,,36.93,5.37,74.0,13.0,43.2,56.8,,真子 奈津実,1,藤森 拓海,0.04,6.84,6,-0.5,fukuoka,18.0,3.0,曇り,17.0,53.0,0.0,10.0,南南西,3.0
7.34,3.0,2026-04-29,2026-05-15 01:35:18,3,B1,0.0,,36.9,5.79,47.0,43.0,26.1,50.0,,奥村 明日香,1,大島 隆乃介,0.1,6.8,3,0.0,fukuoka,18.0,3.0,曇り,17.0,51.5,0.5,10.0,南南西,3.0
7.36,4.0,2026-04-29,2026-05-15 01:35:18,4,B1,0.0,,36.87,5.51,63.0,37.0,30.0,43.3,,,1,國崎 良春,0.1,6.81,5,0.0,fukuoka,18.0,3.0,曇り,17.0,52.0,0.0,10.0,南南西,3.0
7.41,5.0,2026-04-29,2026-05-15 01:35:18,5,B1,0.0,,37.17,5.71,67.0,18.0,39.2,64.7,,青木 玄太,1,黒田 剛,0.05,6.76,1,-0.5,fukuoka,18.0,3.0,曇り,17.0,52.0,0.0,10.0,南南西,3.0
7.38,6.0,2026-04-29,2026-05-15 01:35:18,6,B1,0.0,,37.33,5.5,49.0,24.0,36.8,47.4,,,1,山下 心一,0.1,6.78,2,0.0,fukuoka,18.0,3.0,曇り,17.0,52.0,0.0,10.0,南南西,3.0
7.5,1.0,2026-04-29,2026-05-15 01:35:24,1,B1,0.0,,37.27,5.62,56.0,4.0,54.0,74.0,,,2,占部 一真,0.17,6.84,6,-0.5,fukuoka,18.0,3.0,曇り,17.0,52.0,0.0,10.0,南南西,3.0
7.51,2.0,2026-04-29,2026-05-15 01:35:24,2,B1,0.0,,36.56,5.3,15.0,7.0,46.0,56.0,,山川 美由紀,2,齊藤 廉,0.13,6.79,4,0.0,fukuoka,18.0,3.0,曇り,17.0,52.1,0.0,10.0,南南西,3.0
7.43,3.0,2026-04-29,2026-05-15 01:35:24,3,B1,0.0,,37.02,5.45,72.0,28.0,35.4,60.4,,,2,奥村 明日香,0.05,6.77,1,-0.5,fukuoka,18.0,3.0,曇り,17.0,43.5,3.5,10.0,南南西,3.0
7.4,4.0,2026-04-29,2026-05-15 01:35:24,4,A1,0.0,,37.67,5.8,71.0,6.0,47.4,68.4,リング×２,山下 夏鈴,2,新開 航,0.05,6.78,3,0.0,fukuoka,18.0,3.0,曇り,17.0,51.5,0.5,10.0,南南西,3.0
7.51,5.0,2026-04-29,2026-05-15 01:35:24,5,B2,0.0,,37.67,5.64,52.0,20.0,38.5,51.3,,平野 和明,2,嘉手苅 徹哉,0.33,6.77,1,0.0,fukuoka,18.0,3.0,曇り,17.0,52.0,0.0,10.0,南南西,3.0
7.52,6.0,2026-04-29,2026-05-15 01:35:24,6,B2,0.0,,37.34,5.57,25.0,9.0,45.8,66.7,,末永 和也,2,安武 一也,0.13,6.82,5,0.0,fukuoka,18.0,3.0,曇り,17.0,52.4,0.0,10.0,南南西,3.0
7.46,1.0,2026-04-29,2026-05-15 01:35:31,1,B1,0.0,,37.46,5.64,66.0,27.0,35.7,45.2,,長田 頼宗,3,仲本 舜,0.11,6.86,3,0.0,fukuoka,18.0,3.0,曇り,17.0,52.3,0.0,10.0,南南西,3.0
7.6,2.0,2026-04-29,2026-05-15 01:35:31,2,B1,0.0,,37.3,5.57,55.0,16.0,40.8,51.0,,,3,山本 幸也,0.08,6.86,3,0.0,fukuoka,18.0,3.0,曇り,17.0,55.2,0.0,10.0,南南西,3.0
7.51,3.0,2026-04-29,2026-05-15 01:35:31,3,A1,0.0,,36.94,5.45,16.0,5.0,53.6,69.6,,高憧 四季,3,仲谷 颯仁,0.06,6.83,1,0.0,fukuoka,18.0,3.0,曇り,17.0,52.0,0.0,10.0,南南西,3.0
7.49,4.0,2026-04-29,2026-05-15 01:35:31,4,B1,0.0,,38.13,6.0,20.0,41.0,28.3,47.8,,,3,中尾 彩香,0.01,6.83,1,-0.5,fukuoka,18.0,3.0,曇り,17.0,47.2,0.0,10.0,南南西,3.0
7.53,5.0,2026-04-29,2026-05-15 01:35:31,5,A2,0.0,,37.8,5.93,58.0,44.0,21.4,35.7,,村上 奈穂,3,楠原 翔太,0.03,6.87,5,0.0,fukuoka,18.0,3.0,曇り,17.0,53.5,0.0,10.0,南南西,3.0
7.63,6.0,2026-04-29,2026-05-15 01:35:31,6,B2,0.0,,37.43,5.7,38.0,34.0,30.6,50.0,,,3,宮本 琉正,-0.05,6.91,6,-0.5,fukuoka,18.0,3.0,曇り,17.0,56.4,0.0,10.0,南南西,3.0
7.44,1.0,2026-04-29,2026-05-15 01:35:39,1,B1,0.0,,36.17,5.59,39.0,2.0,56.1,80.5,,山下 友貴,4,香月 大輝,0.4,6.74,1,0.5,fukuoka,18.0,3.0,曇り,17.0,52.0,0.0,10.0,南南西,3.0
7.27,2.0,2026-04-29,2026-05-15 01:35:39,2,B1,0.0,,36.7,5.77,30.0,8.0,46.0,51.3,ギヤ,石村 日奈那,4,西川 拓利,0.04,6.77,2,0.0,fukuoka,18.0,3.0,曇り,17.0,52.0,0.0,10.0,南南西,3.0
