venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
fukuoka,2026-05-09,1,1,清水 敦揮,A1,37.18,5.5,7.56,6.87,3,0.0,1,,,54.7,0,2026-05-15 01:45:08,13,36.2,56.9,13,川合 理司,-0.04,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,1,2,草場 康幸,B1,37.1,5.72,7.59,6.86,2,-0.5,2,,,53.6,0,2026-05-15 01:45:08,55,35.6,49.1,14,山本 幸也,-0.03,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,1,3,坂本 一真,B1,36.96,6.18,7.5,6.84,1,-0.5,3,,,52.0,0,2026-05-15 01:45:08,20,28.6,46.4,24,中尾 彩香,0.11,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,1,4,大西 隆洋,B1,37.4,6.37,7.64,6.9,6,-0.5,4,,リング×２,56.7,0,2026-05-15 01:45:08,66,28.8,36.5,23,仲本 舜,0.15,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,1,5,林 恵祐,B1,37.67,5.89,7.68,6.88,4,0.0,5,,,59.6,0,2026-05-15 01:45:08,48,20.0,36.4,39,北山 康介,0.15,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,1,6,田中 大輝,B2,37.58,5.5,7.64,6.88,4,-0.5,6,,,53.1,0,2026-05-15 01:45:08,63,29.8,43.3,20,國崎 良春,0.19,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,2,1,宇野 博之,B1,37.7,5.71,7.46,6.82,3,-0.5,1,,,54.9,0,2026-05-15 01:45:14,18,11.4,20.0,45,藤山 湧太,-0.01,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,2,2,田添 康介,B1,38.2,6.01,7.6,6.87,4,-0.5,2,,,56.7,0,2026-05-15 01:45:14,69,13.9,22.2,44,今出 晋二,0.21,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,2,3,蒲原 健太,A2,37.19,5.67,7.38,6.81,2,0.0,3,,,52.1,0,2026-05-15 01:45:14,47,22.8,47.4,38,大島 隆乃介,-0.12,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,2,4,秋田 健太郎,B1,37.54,5.63,7.5,6.91,6,0.0,4,,,59.7,0,2026-05-15 01:45:14,21,38.0,52.0,8,阪本 勇介,0.08,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,2,5,西原 明生,B1,37.77,5.8,7.67,6.88,5,0.0,5,,,54.7,0,2026-05-15 01:45:14,29,28.4,49.2,25,三原 司,0.08,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,2,6,原田 才一郎,A1,37.92,5.59,7.4,6.7,1,0.0,6,,,52.0,0,2026-05-15 01:45:14,54,29.8,45.6,21,竹之内 極,0.06,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,3,1,本岡 勝利,B1,37.1,5.46,7.52,6.87,5,0.0,1,,,53.2,0,2026-05-15 01:45:21,53,19.6,34.8,41,松村 敏,0.02,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,3,2,泉 具巳,B1,37.37,5.53,7.52,6.88,6,-0.5,2,,,54.9,0,2026-05-15 01:45:21,45,23.1,48.1,37,大場 敏,-0.03,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,3,3,佐々木 翔斗,A2,37.37,5.63,7.38,6.77,1,0.0,3,,,53.0,0,2026-05-15 01:45:21,23,37.3,54.2,10,渡辺 浩司,-0.05,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,3,4,出畑 孝成,B1,37.59,5.95,7.34,6.79,2,0.0,4,,,53.8,0,2026-05-15 01:45:21,14,40.7,66.1,3,大山 千広,0.08,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,3,5,多田 有佑,B1,37.89,5.57,7.44,6.85,4,-0.5,5,,,52.6,0,2026-05-15 01:45:21,70,27.5,45.1,30,鈴木 智啓,0.12,False,晴,18,19,3,10,南南西,3
fukuoka,2026-05-09,3,6,城間 盛渚,B1,37.8,5.79,7.57,6.82,3,0.5,6,,,52.0,0,2026-05-15 01:45:21,51,8.9,20.0,46,松本 弓雄,0.06,False,晴,18,19,3,10,南南西,3
