venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
gamagori,2026-04-21,1,1,多田 有佑,B1,36.71,4.94,6.17,6.61,1,-0.5,1,,,52.9,0,2026-05-15 01:56:19,30,33.0,48.5,11,信濃 由行,0.21,False,曇り,20,14,4,1,北,2
gamagori,2026-04-21,1,2,上野 秀和,B1,36.82,5.12,6.17,6.63,3,-0.5,2,,,54.5,0,2026-05-15 01:56:19,57,31.1,49.2,22,齊藤 仁,0.11,False,曇り,20,14,4,1,北,2
gamagori,2026-04-21,1,3,中尾 彩香,B1,37.62,5.31,6.31,6.62,2,0.0,3,,,47.0,0,2026-05-15 01:56:19,22,30.9,46.3,23,尾道 佳諭,0.17,False,曇り,20,14,4,1,北,2
gamagori,2026-04-21,1,4,池田 浩美,B1,37.61,5.3,6.35,6.74,5,-0.5,4,,,50.9,0,2026-05-15 01:56:19,41,24.6,38.7,35,山口 達也,0.04,False,曇り,20,14,4,1,北,2
gamagori,2026-04-21,1,5,鈴木 柊介,B2,37.58,5.0,6.34,6.76,6,-0.5,5,,,56.7,0,2026-05-15 01:56:19,33,34.7,52.1,6,末永 祐輝,0.07,False,曇り,20,14,4,1,北,2
gamagori,2026-04-21,1,6,堀内 亜海,B2,38.63,5.57,6.2,6.7,4,0.0,6,,,55.2,0,2026-05-15 01:56:19,62,31.4,45.4,20,畑 和宏,0.07,False,曇り,20,14,4,1,北,2
gamagori,2026-04-21,2,1,藤原 孝斗,B1,36.98,4.91,6.29,6.74,4,-0.5,1,,,52.4,0,2026-05-15 01:56:24,31,32.8,49.0,14,高山 弘斗,0.01,True,晴,21,14,6,15,北西,3
gamagori,2026-04-21,2,2,國崎 良春,B1,38.27,5.04,6.33,6.72,3,-0.5,2,,,52.0,0,2026-05-15 01:56:24,25,18.8,28.7,43,日笠 勝弘,0.11,True,晴,21,14,6,15,北西,3
gamagori,2026-04-21,2,3,村上 宗太郎,B1,38.11,5.39,6.24,6.63,1,-0.5,3,,,52.5,0,2026-05-15 01:56:24,74,24.0,46.2,36,眞田 英二,0.06,True,晴,21,14,6,15,北西,3
gamagori,2026-04-21,2,4,田中 京介,A2,37.96,5.49,6.38,6.74,4,-0.5,4,,,54.2,0,2026-05-15 01:56:24,70,33.7,52.6,9,佐藤 大介,0.19,True,晴,21,14,6,15,北西,3
gamagori,2026-04-21,2,5,木下 虎之輔,B2,37.93,5.17,6.34,6.7,2,-0.5,6,,,55.3,0,2026-05-15 01:56:24,75,25.2,40.6,32,真田 聖也,0.07,True,晴,21,14,6,15,北西,3
gamagori,2026-04-21,2,6,中嶋 世奈,B2,38.02,5.45,6.27,6.76,6,-0.5,5,,,48.8,0,2026-05-15 01:56:24,28,31.9,43.2,17,秦 英悟,0.17,True,晴,21,14,6,15,北西,3
gamagori,2026-04-21,3,1,石川 哲秀,B1,37.81,5.25,6.34,6.73,3,-0.5,1,,,56.6,0,2026-05-15 01:56:30,64,37.4,57.4,2,大澤 誠也,0.08,False,晴,22,14,2,1,北,1
gamagori,2026-04-21,3,2,池田 雷太,B1,36.87,5.15,6.17,6.66,1,-0.5,2,,,52.9,0,2026-05-15 01:56:30,17,34.6,53.2,7,宮田 龍馬,-0.04,False,晴,22,14,2,1,北,1
gamagori,2026-04-21,3,3,山下 昂大,A2,37.62,5.64,6.14,6.75,4,-0.5,3,,,54.0,0,2026-05-15 01:56:30,12,20.0,40.9,42,山室 展弘,-0.05,False,晴,22,14,2,1,北,1
gamagori,2026-04-21,3,4,深川 和仁,B1,36.99,5.58,6.14,6.67,2,-0.5,4,,,54.3,0,2026-05-15 01:56:30,52,31.6,51.3,19,菊池 宏志,0.11,False,晴,22,14,2,1,北,1
gamagori,2026-04-21,3,5,浜野 孝志,A2,36.88,5.35,6.22,6.82,6,-0.5,5,,,57.6,0,2026-05-15 01:56:30,71,25.9,43.5,30,近藤 颯斗,0.16,False,晴,22,14,2,1,北,1
gamagori,2026-04-21,3,6,出畑 孝成,B1,36.88,5.36,6.13,6.75,4,-0.5,6,,,53.1,0,2026-05-15 01:56:30,66,25.5,41.2,31,寺本 昇平,0.15,False,晴,22,14,2,1,北,1
gamagori,2026-04-21,4,1,萩原 知哉,B1,36.83,4.9,6.19,6.69,2,-0.5,1,,,52.7,0,2026-05-15 01:56:37,56,32.6,50.7,15,加藤 高史,-0.02,False,晴,21,14,3,1,北,1
gamagori,2026-04-21,4,2,石田 政吾,B1,37.42,5.0,6.43,6.78,4,-0.5,2,,,53.1,0,2026-05-15 01:56:37,51,27.9,37.7,27,伊久間 陽優,0.04,False,晴,21,14,3,1,北,1
gamagori,2026-04-21,4,3,樋口 範政,B1,37.35,5.34,6.25,6.74,3,-0.5,3,,,55.2,0,2026-05-15 01:56:37,69,18.4,38.8,44,犬童 千秋,0.01,False,晴,21,14,3,1,北,1
gamagori,2026-04-21,4,4,中川 りな,A2,37.11,5.15,6.22,6.64,1,0.0,4,,,49.9,0,2026-05-15 01:56:37,37,26.8,43.1,29,諏訪 玲奈,-0.01,False,晴,21,14,3,1,北,1
gamagori,2026-04-21,4,5,上原 崚,A2,37.29,5.0,6.22,6.78,4,-0.5,5,,,52.0,0,2026-05-15 01:56:37,68,32.4,49.7,16,細川 明人,0.05,False,晴,21,14,3,1,北,1
gamagori,2026-04-21,4,6,栗原 謙治,B2,38.38,5.24,6.29,6.78,4,-0.5,6,,,57.4,0,2026-05-15 01:56:37,67,21.3,38.9,41,前田 翔,0.13,False,晴,21,14,3,1,北,1
gamagori,2026-04-21,5,1,池田 浩美,B1,37.9,5.03,6.35,6.78,5,-0.5,1,,,50.9,0,2026-05-15 01:56:43,41,24.6,38.7,35,山口 達也,0.16,True,晴,21,14,2,1,北,1
gamagori,2026-04-21,5,2,中越 博紀,A2,37.35,5.01,6.26,6.73,2,-0.5,2,,,52.4,0,2026-05-15 01:56:43,61,33.7,48.0,10,村松 栄太,0.21,True,晴,21,14,2,1,北,1
gamagori,2026-04-21,5,3,間嶋 仁志,B1,37.87,5.08,6.42,6.82,6,-0.5,3,,,54.5,0,2026-05-15 01:56:43,11,31.3,45.8,21,上條 暢嵩,0.18,True,晴,21,14,2,1,北,1
gamagori,2026-04-21,5,4,大串 重幸,A2,38.04,5.37,6.28,6.74,3,-0.5,4,,,52.5,0,2026-05-15 01:56:43,45,23.7,38.7,38,杉江 浩明,0.17,True,晴,21,14,2,1,北,1
gamagori,2026-04-21,5,5,堀内 亜海,B2,38.43,5.24,6.3,6.76,4,0.0,6,,,55.2,0,2026-05-15 01:56:43,62,31.4,45.4,20,畑 和宏,0.04,True,晴,21,14,2,1,北,1
gamagori,2026-04-21,5,6,本田 愛,B1,37.23,5.24,6.08,6.68,1,0.0,5,,,47.0,0,2026-05-15 01:56:43,65,35.5,56.7,5,渋谷 明憲,0.09,True,晴,21,14,2,1,北,1
gamagori,2026-04-21,6,1,平瀬 城啓,B1,37.43,5.22,6.29,6.65,1,-0.5,1,,,54.5,0,2026-05-15 01:56:52,73,22.7,37.3,40,落合 直子,-0.06,False,晴,21,14,3,15,北西,1
gamagori,2026-04-21,6,2,高橋 竜矢,A1,36.57,4.91,6.15,6.71,3,-0.5,2,,リング×２,52.0,0,2026-05-15 01:56:52,43,31.9,50.5,18,藤田 靖弘,0.01,False,晴,21,14,3,15,北西,1
gamagori,2026-04-21,6,3,亀本 勇樹,B1,37.94,5.3,6.37,6.73,5,-0.5,3,,リング×２,58.4,0,2026-05-15 01:56:52,53,23.8,43.4,37,小池 修平,0.22,False,晴,21,14,3,15,北西,1
gamagori,2026-04-21,6,4,多田 有佑,B1,37.23,5.17,6.21,6.69,2,-0.5,4,,,52.9,0,2026-05-15 01:56:52,30,33.0,48.5,11,信濃 由行,0.08,False,晴,21,14,3,15,北西,1
gamagori,2026-04-21,6,5,中嶋 世奈,B2,37.74,6.72,6.18,6.75,6,-0.5,5,,,48.8,0,2026-05-15 01:56:52,28,31.9,43.2,17,秦 英悟,0.02,False,晴,21,14,3,15,北西,1
gamagori,2026-04-21,6,6,馬場 剛,A2,37.33,6.23,6.1,6.72,4,-0.5,6,,,52.0,0,2026-05-15 01:56:52,50,25.0,40.6,33,飯山 泰,-0.01,False,晴,21,14,3,15,北西,1
gamagori,2026-04-21,7,1,角 ひとみ,A2,37.37,5.17,6.2,6.62,1,-0.5,1,,リング×２,45.0,2,2026-05-15 01:56:59,16,32.9,54.9,12,石原 凪紗,0.18,False,晴,20,14,2,1,北,1
gamagori,2026-04-21,7,2,渡邊 哲也,B1,37.43,5.07,6.38,6.75,4,-0.5,2,,,57.3,0,2026-05-15 01:56:59,48,28.0,43.5,26,西村 秀樹,0.2,False,晴,20,14,2,1,北,1
gamagori,2026-04-21,7,3,長谷川 雅和,B1,37.36,5.73,6.28,6.78,6,-0.5,3,,,53.6,0,2026-05-15 01:56:59,14,24.7,34.8,34,林 祐介,0.01,False,晴,20,14,2,1,北,1
gamagori,2026-04-21,7,4,山下 昂大,A2,38.0,5.27,6.33,6.77,5,-0.5,4,,,54.0,0,2026-05-15 01:56:59,12,20.0,40.9,42,山室 展弘,0.39,False,晴,20,14,2,1,北,1
gamagori,2026-04-21,7,5,上野 秀和,B1,37.22,5.11,6.23,6.68,2,-0.5,5,,,54.5,0,2026-05-15 01:56:59,57,31.1,49.2,22,齊藤 仁,-0.01,False,晴,20,14,2,1,北,1
gamagori,2026-04-21,7,6,木下 虎之輔,B2,37.27,5.26,6.23,6.69,3,-0.5,6,,,55.3,0,2026-05-15 01:56:59,75,25.2,40.6,32,真田 聖也,0.07,False,晴,20,14,2,1,北,1
gamagori,2026-04-21,8,1,内堀 学,A2,37.43,5.11,6.27,6.72,1,-0.5,1,,キャブ,52.0,0,2026-05-15 01:57:06,19,32.9,50.0,13,刑部 亜里紗,-0.02,False,晴,19,14,2,1,北,1
gamagori,2026-04-21,8,2,石川 哲秀,B1,37.84,5.34,6.23,6.78,4,-0.5,2,,,56.6,0,2026-05-15 01:57:06,64,37.4,57.4,2,大澤 誠也,0.23,False,晴,19,14,2,1,北,1
gamagori,2026-04-21,8,3,田中 京介,A2,37.75,5.6,6.27,6.76,3,-0.5,3,,,54.2,0,2026-05-15 01:57:06,70,33.7,52.6,9,佐藤 大介,0.05,False,晴,19,14,2,1,北,1
gamagori,2026-04-21,8,4,樋口 範政,B1,37.49,5.21,6.33,6.74,2,-0.5,4,,,55.2,0,2026-05-15 01:57:06,69,18.4,38.8,44,犬童 千秋,0.03,False,晴,19,14,2,1,北,1
gamagori,2026-04-21,8,5,出畑 孝成,B1,37.61,5.17,6.32,6.82,6,-0.5,5,,電気,53.1,0,2026-05-15 01:57:06,66,25.5,41.2,31,寺本 昇平,0.08,False,晴,19,14,2,1,北,1
gamagori,2026-04-21,8,6,鈴木 柊介,B2,37.43,5.2,6.38,6.79,5,-0.5,6,,,56.7,0,2026-05-15 01:57:06,33,34.7,52.1,6,末永 祐輝,-0.05,False,晴,19,14,2,1,北,1
gamagori,2026-04-21,9,1,中川 りな,A2,36.33,4.83,6.21,6.66,1,-0.5,1,,,49.9,0,2026-05-15 01:57:12,37,26.8,43.1,29,諏訪 玲奈,0.08,False,晴,18,14,3,1,北,1
gamagori,2026-04-21,9,2,萬 正嗣,B1,37.8,5.21,6.29,6.84,6,-0.5,2,,,56.5,0,2026-05-15 01:57:12,32,30.4,51.6,24,西川 真人,0.24,False,晴,18,14,3,1,北,1
gamagori,2026-04-21,9,3,深川 和仁,B1,37.17,5.17,6.23,6.74,3,-0.5,3,,,54.3,0,2026-05-15 01:57:12,52,31.6,51.3,19,菊池 宏志,0.07,False,晴,18,14,3,1,北,1
gamagori,2026-04-21,9,4,藤原 孝斗,B1,37.58,5.59,6.28,6.77,5,-0.5,4,,,52.4,0,2026-05-15 01:57:12,31,32.8,49.0,14,高山 弘斗,0.07,False,晴,18,14,3,1,北,1
gamagori,2026-04-21,9,5,中越 博紀,A2,37.31,5.19,6.17,6.76,4,-0.5,5,,,52.4,0,2026-05-15 01:57:12,61,33.7,48.0,10,村松 栄太,-0.01,False,晴,18,14,3,1,北,1
gamagori,2026-04-21,9,6,中尾 彩香,B1,38.01,5.7,6.25,6.69,2,0.5,6,,,47.0,0,2026-05-15 01:57:12,22,30.9,46.3,23,尾道 佳諭,0.05,False,晴,18,14,3,1,北,1
gamagori,2026-04-21,10,1,馬場 剛,A2,37.32,4.91,6.3,6.8,4,-0.5,1,,,52.0,0,2026-05-15 01:57:19,50,25.0,40.6,33,飯山 泰,0.1,True,晴,17,14,3,1,北,1
gamagori,2026-04-21,10,2,浜野 孝志,A2,37.41,4.96,6.33,6.82,6,-0.5,3,,,57.6,0,2026-05-15 01:57:19,71,25.9,43.5,30,近藤 颯斗,-0.03,True,晴,17,14,3,1,北,1
gamagori,2026-04-21,10,3,上原 崚,A2,36.66,4.87,6.33,6.79,3,-0.5,4,,,52.0,0,2026-05-15 01:57:19,68,32.4,49.7,16,細川 明人,0.08,True,晴,17,14,3,1,北,1
gamagori,2026-04-21,10,4,本田 愛,B1,37.3,4.97,6.27,6.71,2,0.0,5,,,47.0,0,2026-05-15 01:57:19,65,35.5,56.7,5,渋谷 明憲,-0.02,True,晴,17,14,3,1,北,1
gamagori,2026-04-21,10,5,間嶋 仁志,B1,38.6,5.06,6.29,6.81,5,-0.5,2,,,54.5,0,2026-05-15 01:57:19,11,31.3,45.8,21,上條 暢嵩,0.09,True,晴,17,14,3,1,北,1
gamagori,2026-04-21,10,6,村上 宗太郎,B1,37.92,5.27,6.23,6.7,1,-0.5,6,,,52.5,0,2026-05-15 01:57:19,74,24.0,46.2,36,眞田 英二,-0.01,True,晴,17,14,3,1,北,1
gamagori,2026-04-21,11,1,高橋 竜矢,A1,36.17,4.76,6.28,6.73,2,-0.5,2,,,52.0,0,2026-05-15 01:57:27,43,31.9,50.5,18,藤田 靖弘,-0.09,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,11,2,大串 重幸,A2,37.23,5.09,6.17,6.75,3,-0.5,3,,,52.5,0,2026-05-15 01:57:27,45,23.7,38.7,38,杉江 浩明,0.05,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,11,3,石田 政吾,B1,37.43,5.13,6.27,6.84,6,-0.5,6,,,53.1,0,2026-05-15 01:57:27,51,27.9,37.7,27,伊久間 陽優,0.01,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,11,4,内堀 学,A2,37.29,5.08,6.24,6.83,5,-0.5,1,,,52.0,0,2026-05-15 01:57:27,19,32.9,50.0,13,刑部 亜里紗,-0.01,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,11,5,池田 雷太,B1,36.51,5.6,6.14,6.77,4,-0.5,4,,,52.9,0,2026-05-15 01:57:27,17,34.6,53.2,7,宮田 龍馬,0.05,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,11,6,角 ひとみ,A2,37.37,5.37,6.17,6.67,1,-0.5,5,,,45.0,2,2026-05-15 01:57:27,16,32.9,54.9,12,石原 凪紗,-0.01,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,12,1,松村 敏,A1,36.44,4.76,6.29,6.75,2,-0.5,2,,,52.4,0,2026-05-15 01:57:33,24,29.6,44.6,25,渡邉 優美,0.13,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,12,2,松崎 祐太郎,A1,37.37,5.1,6.33,6.78,4,0.0,3,,リング×４,52.0,0,2026-05-15 01:57:33,15,27.7,43.8,28,本橋 克洋,0.06,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,12,3,田上 凜,B1,37.83,5.71,6.05,6.55,1,3.0,6,,,47.0,0,2026-05-15 01:57:33,29,36.8,52.9,3,安藤 裕貴,-0.23,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,12,4,河合 佑樹,A1,37.13,5.2,6.19,6.8,5,-0.5,1,,,52.0,0,2026-05-15 01:57:33,20,33.7,54.6,8,江夏 満,0.06,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,12,5,吉田 一郎,A2,36.68,5.14,6.17,6.76,3,-0.5,4,,,52.0,0,2026-05-15 01:57:33,46,35.6,49.4,4,山口 晃朋,-0.06,True,晴,16,14,2,1,北,1
gamagori,2026-04-21,12,6,中野 夢斗,A2,37.25,4.98,6.27,6.8,5,-0.5,5,,,52.6,0,2026-05-15 01:57:33,47,22.9,37.7,39,烏野 賢太,-0.13,True,晴,16,14,2,1,北,1
