chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
6.24,1.0,2026-05-26,2026-05-26 20:40:49,1,B1,0.0,,37.81,5.14,63,7,42.3,57.7,,池田 浩二,1,北川 敏弘,0.05,6.59,3.0,-0.5,gamagori,18.0,1.0,晴,24.0,53.7,0.0,9.0,南,2.0
6.21,2.0,2026-05-26,2026-05-26 20:40:49,2,B1,0.0,,37.45,5.26,21,11,40.1,63.9,,橋口 真樹,1,吉川 勇作,-0.05,6.6,5.0,-0.5,gamagori,18.0,1.0,晴,24.0,54.3,0.0,9.0,南,2.0
6.17,3.0,2026-05-26,2026-05-26 20:40:49,3,B2,0.0,,37.99,5.37,72,5,42.6,59.7,,永井 源,1,後藤 孝義,0.15,6.57,1.0,0.0,gamagori,18.0,1.0,晴,24.0,52.0,0.0,9.0,南,2.0
6.16,4.0,2026-05-26,2026-05-26 20:40:49,4,B1,0.0,,37.27,5.2,58,15,38.8,55.8,,岩瀬 裕亮,1,上村 宏太,0.13,6.58,2.0,-0.5,gamagori,18.0,1.0,晴,24.0,53.1,0.0,9.0,南,2.0
6.2,5.0,2026-05-26,2026-05-26 20:40:49,5,A2,0.0,,37.27,5.13,13,10,40.2,55.2,,都築 正治,1,安東 幸治,-0.01,6.59,3.0,0.0,gamagori,18.0,1.0,晴,24.0,54.4,0.0,9.0,南,2.0
6.29,6.0,2026-05-26,2026-05-26 20:40:49,6,B1,0.0,,37.45,5.07,65,32,33.3,54.3,,笠野 友紀恵,1,松浦 勝,0.05,6.68,6.0,-0.5,gamagori,18.0,1.0,晴,24.0,57.6,0.0,9.0,南,2.0
6.3,1.0,2026-05-26,2026-05-26 20:40:59,1,B1,0.0,,36.98,4.87,57,36,32.8,51.1,,廣中 智紗衣,2,大久保信一郎,-0.01,6.48,1.0,0.0,gamagori,18.0,1.0,晴,24.0,52.0,0.0,13.0,西,3.0
6.29,2.0,2026-05-26,2026-05-26 20:40:59,2,A2,0.0,,36.69,4.91,77,4,46.1,59.3,,鈴木 章司,2,野末 智一,0.11,6.52,3.0,-0.5,gamagori,18.0,1.0,晴,24.0,52.0,0.0,13.0,西,3.0
6.27,3.0,2026-05-26,2026-05-26 20:40:59,3,B1,0.0,,37.22,5.42,34,2,51.2,65.4,,前田 滉,2,伊藤 啓三,0.1,6.5,2.0,0.0,gamagori,18.0,1.0,晴,24.0,52.3,0.0,13.0,西,3.0
6.31,4.0,2026-05-26,2026-05-26 20:40:59,4,A1,0.0,,37.43,5.3,60,3,47.4,66.9,,鈴木 雄登,2,山下 大輝,0.08,6.54,4.0,0.0,gamagori,18.0,1.0,晴,24.0,51.0,1.0,13.0,西,3.0
6.22,5.0,2026-05-26,2026-05-26 20:40:59,5,B1,0.0,,37.41,5.24,40,12,39.9,56.1,,河内 一馬,2,中村 守成,0.03,6.61,6.0,-0.5,gamagori,18.0,1.0,晴,24.0,53.1,0.0,13.0,西,3.0
6.21,6.0,2026-05-26,2026-05-26 20:40:59,6,B1,0.0,,37.59,5.37,32,41,30.1,51.8,リング×２,永田 楽,2,西村 勝,0.02,6.56,5.0,-0.5,gamagori,18.0,1.0,晴,24.0,54.7,0.0,13.0,西,3.0
