venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
hamanako,2026-04-22,1,1,山本 稔太朗,B1,37.05,5.08,7.93,6.63,2,-0.5,1,,,53.5,0.0,2026-05-15 02:21:28,52,0.0,25.0,41,,0.14,True,曇り,20,18,3,11,南西,1
hamanako,2026-04-22,1,2,山口 隆史,B1,37.42,5.23,7.93,6.62,1,-0.5,2,,,53.6,0.0,2026-05-15 02:21:28,2,42.9,64.3,18,大場 恒季,0.19,True,曇り,20,18,3,11,南西,1
hamanako,2026-04-22,1,4,井上 未都,B1,37.06,5.04,7.93,6.65,3,0.0,3,,,46.5,0.5,2026-05-15 02:21:28,54,0.0,40.0,42,,0.07,True,曇り,20,18,3,11,南西,1
hamanako,2026-04-22,1,5,中村 かなえ,B2,37.01,5.42,7.82,6.69,4,-0.5,4,,,47.8,0.0,2026-05-15 02:21:28,48,0.0,0.0,38,,0.04,True,曇り,20,18,3,11,南西,1
hamanako,2026-04-22,1,6,三品 隆浩,B1,37.37,5.37,7.79,6.73,5,-0.5,5,,,52.6,0.0,2026-05-15 02:21:28,50,0.0,20.0,40,,0.08,True,曇り,20,18,3,11,南西,1
hamanako,2026-04-22,2,1,坂本 一真,B1,36.55,5.0,7.88,6.68,2,0.0,1,,,51.5,0.5,2026-05-15 02:21:34,53,0.0,0.0,43,,0.31,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,2,2,大田 直弥,A2,37.61,5.45,7.86,6.7,3,-0.5,2,,,52.8,0.0,2026-05-15 02:21:34,24,40.0,60.0,23,篠原 晟弥,0.23,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,2,3,桑原 将光,B1,37.95,5.49,7.92,6.73,6,-0.5,3,,,53.1,0.0,2026-05-15 02:21:34,17,42.9,42.9,19,香川 陽太,0.18,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,2,4,森永 隆,A2,37.06,5.27,7.81,6.66,1,0.0,4,,,52.0,0.0,2026-05-15 02:21:34,58,60.0,80.0,5,,0.13,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,2,5,伏島 祐介,A2,37.5,5.63,7.93,6.71,4,-0.5,6,,,52.8,0.0,2026-05-15 02:21:34,57,20.0,20.0,33,,0.12,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,2,6,牟田 奨太,B1,38.01,5.27,7.93,6.72,5,-0.5,5,,,54.5,0.0,2026-05-15 02:21:34,34,37.5,81.2,25,飛田 江己,0.14,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,3,1,石原 凪紗,B2,36.71,5.45,7.58,6.61,2,-0.5,1,,,47.0,0.0,2026-05-15 02:21:40,44,13.3,33.3,37,杉山 太陽,-0.11,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,3,2,喜多須 杏奈,B1,37.19,5.38,7.91,6.65,3,-0.5,2,,,49.3,0.0,2026-05-15 02:21:40,36,58.8,76.5,7,田中 駿兵,-0.09,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,3,3,永田 秀二,A2,37.65,5.15,7.92,6.65,3,0.0,6,,,55.5,0.0,2026-05-15 02:21:40,1,14.3,21.4,35,瀬川 大地,0.13,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,3,4,寺島 吉彦,B1,37.83,5.43,7.98,6.5,1,3.0,5,,,50.5,1.5,2026-05-15 02:21:40,56,25.0,25.0,30,,0.14,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,3,5,長谷川 充,B1,37.44,5.35,7.79,6.71,6,-0.5,3,,,52.0,0.0,2026-05-15 02:21:40,14,16.7,25.0,34,鈴木 唯央,0.08,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,3,6,野中 一平,A1,37.65,5.66,7.78,6.66,5,0.0,4,,,52.1,0.0,2026-05-15 02:21:40,26,50.0,66.7,15,鰐部 太空海,0.01,True,晴,20,18,3,11,南西,1
hamanako,2026-04-22,4,1,梶野 学志,A1,37.06,5.12,8.01,6.71,5,-0.5,1,,,52.6,0.0,2026-05-15 02:21:45,64,33.3,50.0,28,,0.17,False,晴,20,18,3,11,南西,1
hamanako,2026-04-22,4,2,渡邊 裕貴,B1,36.8,5.21,7.93,6.68,3,-0.5,2,,,52.6,0.0,2026-05-15 02:21:45,13,40.0,66.7,22,小林 孝彰,0.18,False,晴,20,18,3,11,南西,1
hamanako,2026-04-22,4,3,内山 文典,B1,37.12,5.28,8.02,6.69,4,-0.5,3,,,52.5,0.0,2026-05-15 02:21:45,4,28.6,35.7,29,安藤 瑠希,0.09,False,晴,20,18,3,11,南西,1
hamanako,2026-04-22,4,4,川田 正人,B1,37.46,5.54,7.91,6.63,2,-0.5,4,,,52.0,0.0,2026-05-15 02:21:45,61,0.0,40.0,44,,0.05,False,晴,20,18,3,11,南西,1
hamanako,2026-04-22,4,5,荒牧 凪沙,B1,36.76,5.37,7.75,6.58,1,0.0,5,,,52.0,0.0,2026-05-15 02:21:45,49,40.0,40.0,24,,0.14,False,晴,20,18,3,11,南西,1
hamanako,2026-04-22,4,6,黒田 誠司,B2,37.28,5.48,7.86,6.75,6,-0.5,6,,,53.8,0.0,2026-05-15 02:21:45,63,20.0,40.0,31,,0.23,False,晴,20,18,3,11,南西,1
hamanako,2026-04-22,5,1,伊藤 栞,B1,36.84,5.14,7.96,6.65,3,-0.5,1,,,56.3,0.0,2026-05-15 02:21:54,6,14.3,21.4,36,高橋 龍治,0.07,True,晴,20,19,3,11,南西,1
hamanako,2026-04-22,5,2,石川 吉鎬,A2,37.43,5.23,7.91,6.71,6,-0.5,2,,,55.9,0.0,2026-05-15 02:21:54,38,37.5,56.2,26,村松 将平,0.12,True,晴,20,19,3,11,南西,1
hamanako,2026-04-22,5,3,石川 諒,B1,37.01,5.3,7.99,6.63,2,-0.5,3,,,52.2,0.0,2026-05-15 02:21:54,15,47.1,82.3,16,中村 魁生,0.1,True,晴,20,19,3,11,南西,1
