chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
8.05,1.0,2026-04-27,2026-05-15 02:25:33,1,B1,0.0,,37.21,5.15,64.0,20.0,27.3,36.4,,梶野 学志,1,村松 遥輝,0.09,6.72,1,0.0,hamanako,18.0,1.0,曇り,17.0,52.7,0.0,1.0,北,2.0
8.03,2.0,2026-04-27,2026-05-15 02:25:33,2,B1,0.0,,37.29,5.34,57.0,36.0,10.0,20.0,,伏島 祐介,1,新田 智彰,0.13,6.8,5,-0.5,hamanako,18.0,1.0,曇り,17.0,55.3,0.0,1.0,北,2.0
8.01,3.0,2026-04-27,2026-05-15 02:25:33,3,B1,0.0,,37.64,5.22,16.0,18.0,28.6,28.6,,遠藤 圭吾,1,小川 知行,0.12,6.73,2,-0.5,hamanako,18.0,1.0,曇り,17.0,52.7,0.0,1.0,北,2.0
7.97,4.0,2026-04-27,2026-05-15 02:25:33,4,B1,0.0,,37.48,5.39,12.0,47.0,0.0,30.0,,竹内 来,1,伊倉 光,0.14,6.74,3,-0.5,hamanako,18.0,1.0,曇り,17.0,52.0,0.0,1.0,北,2.0
8.18,5.0,2026-04-27,2026-05-15 02:25:33,5,B1,0.0,,37.62,5.47,41.0,44.0,0.0,0.0,,宮崎 奏磨,1,山谷 央,0.19,6.76,4,-0.5,hamanako,18.0,1.0,曇り,17.0,52.0,0.0,1.0,北,2.0
8.11,6.0,2026-04-27,2026-05-15 02:25:33,6,B1,0.0,,37.79,5.44,18.0,15.0,33.3,66.7,,坂本 雄紀,1,山口 晃朋,0.2,6.81,6,0.0,hamanako,18.0,1.0,曇り,17.0,52.0,0.0,1.0,北,2.0
8.11,1.0,2026-04-27,2026-05-15 02:25:41,1,B1,0.0,,37.44,5.36,52.0,26.0,22.2,44.4,,山本 稔太朗,2,原田 秀弥,0.02,6.76,4,-0.5,hamanako,18.0,1.0,曇り,18.0,54.9,0.0,5.0,東,2.0
8.08,2.0,2026-04-27,2026-05-15 02:25:41,2,A2,0.0,,37.23,5.44,31.0,30.0,20.0,30.0,,浦野 海,2,大豆生田 蒼,0.07,6.71,2,0.0,hamanako,18.0,1.0,曇り,18.0,47.0,0.0,5.0,東,2.0
7.96,3.0,2026-04-27,2026-05-15 02:25:41,3,B1,0.0,,37.59,5.57,58.0,5.0,50.0,80.0,,森永 隆,2,山本 浩輔,0.15,6.71,2,0.0,hamanako,18.0,1.0,曇り,18.0,52.2,0.0,5.0,東,2.0
7.89,4.0,2026-04-27,2026-05-15 02:25:41,4,A2,0.0,,37.45,5.18,55.0,2.0,55.6,66.7,,川島 拓郎,2,柳内 敬太,0.11,6.69,1,0.0,hamanako,18.0,1.0,曇り,18.0,52.0,0.0,5.0,東,2.0
7.88,5.0,2026-04-27,2026-05-15 02:25:41,5,B1,0.0,,37.81,5.93,9.0,19.0,27.3,27.3,,藤原 駿,2,河合 三弘,0.16,6.78,5,-0.5,hamanako,18.0,1.0,曇り,18.0,52.9,0.0,5.0,東,2.0
7.98,6.0,2026-04-27,2026-05-15 02:25:41,6,B1,0.0,,38.16,5.75,21.0,21.0,25.0,50.0,,石田 勇斗,2,大崎 翔,0.14,6.78,5,0.0,hamanako,18.0,1.0,曇り,18.0,55.8,0.0,5.0,東,2.0
8.34,1.0,2026-04-27,2026-05-15 02:25:48,1,B1,0.0,,37.93,5.62,29.0,32.0,16.7,33.3,,木山 大聖,3,石川 哲秀,0.16,6.83,4,0.0,hamanako,18.0,1.0,曇り,19.0,57.0,0.0,1.0,北,2.0
8.2,2.0,2026-04-27,2026-05-15 02:25:48,2,A1,0.0,,37.27,5.41,56.0,10.0,40.0,50.0,,寺島 吉彦,3,和田 兼輔,0.15,6.78,3,0.0,hamanako,18.0,1.0,曇り,19.0,52.0,0.0,1.0,北,2.0
8.16,3.0,2026-04-27,2026-05-15 02:25:48,3,A2,0.0,,37.42,5.54,51.0,34.0,16.7,16.7,,坂 咲友理,3,吉島 祥之,0.17,6.83,4,-0.5,hamanako,18.0,1.0,曇り,19.0,53.0,0.0,1.0,北,2.0
8.09,4.0,2026-04-27,2026-05-15 02:25:48,4,B2,0.0,,37.31,5.5,59.0,14.0,33.3,55.6,,渡邊 雄一郎,3,山道 諄也,0.02,6.76,2,0.0,hamanako,18.0,1.0,曇り,19.0,53.3,0.0,1.0,北,2.0
8.16,5.0,2026-04-27,2026-05-15 02:25:48,5,B1,0.0,,37.05,5.55,53.0,46.0,0.0,11.1,,坂本 一真,3,間野 兼礼,0.16,6.75,1,-0.5,hamanako,18.0,1.0,曇り,19.0,52.2,0.0,1.0,北,2.0
8.11,6.0,2026-04-27,2026-05-15 02:25:48,6,B1,0.0,,37.54,5.48,19.0,22.0,25.0,33.3,,田中 宏典,3,今坂 晃広,0.05,6.83,4,-0.5,hamanako,18.0,1.0,曇り,19.0,54.0,0.0,1.0,北,2.0
8.04,1.0,2026-04-27,2026-05-15 02:25:55,1,A1,0.0,,38.0,5.43,48.0,25.0,22.2,33.3,,中村 かなえ,4,藤山 雅弘,0.04,6.72,1,-0.5,hamanako,18.0,1.0,曇り,19.0,52.0,0.0,1.0,北,3.0
8.3,2.0,2026-04-27,2026-05-15 02:25:55,2,B1,0.0,,37.85,5.44,28.0,37.0,10.0,20.0,,豊田 祥生,4,加藤 啓太,0.13,6.81,4,-0.5,hamanako,18.0,1.0,曇り,19.0,52.0,0.0,1.0,北,3.0
8.39,3.0,2026-04-27,2026-05-15 02:25:55,3,B1,0.0,,37.95,5.48,43.0,39.0,8.3,16.7,,若林 麗,4,阿波 勝哉,0.2,6.82,5,-0.5,hamanako,18.0,1.0,曇り,19.0,54.8,0.0,1.0,北,3.0
8.01,4.0,2026-04-27,2026-05-15 02:25:55,4,B1,0.0,,37.67,5.58,54.0,28.0,20.0,50.0,,井上 未都,4,白井 友晴,0.12,6.75,2,-0.5,hamanako,18.0,1.0,曇り,19.0,52.3,0.0,1.0,北,3.0
7.93,5.0,2026-04-27,2026-05-15 02:25:55,5,B1,0.0,,37.84,5.46,65.0,29.0,20.0,40.0,,山ノ内 雅人,4,樋江井 舞,0.14,6.78,3,0.0,hamanako,18.0,1.0,曇り,19.0,46.0,1.0,1.0,北,3.0
8.33,6.0,2026-04-27,2026-05-15 02:25:55,6,B1,0.0,,37.87,5.69,6.0,35.0,11.1,16.7,,伊藤 栞,4,秋田 健太郎,0.06,6.89,6,-0.5,hamanako,18.0,1.0,曇り,19.0,59.6,0.0,1.0,北,3.0
8.14,1.0,2026-04-27,2026-05-15 02:26:01,1,B1,0.0,,37.79,5.41,25.0,16.0,30.8,38.5,,島川 海輝,5,表 健太,0.11,6.92,6,-0.5,hamanako,19.0,1.0,晴,20.0,54.9,0.0,1.0,北,3.0
