chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
7.67,1.0,2026-04-28,2026-05-15 02:47:13,1,B1,0.0,,37.9,5.96,43.0,7.0,40.5,62.9,,中村 将隆,1,吉田 宗弘,0.1,7.11,6,0.0,heiwajima,18.0,4.0,晴,22.0,51.5,0.5,5.0,東,6.0
7.63,2.0,2026-04-28,2026-05-15 02:47:13,2,B1,0.0,,38.56,6.22,58.0,36.0,29.9,42.9,,渡邉 健,1,仁科 さやか,0.33,7.07,5,-0.5,heiwajima,18.0,4.0,晴,22.0,47.4,0.0,5.0,東,6.0
7.77,3.0,2026-04-28,2026-05-15 02:47:13,3,B2,0.0,,38.23,5.94,64.0,43.0,26.1,41.2,,相原 利章,1,豊田 訓靖,0.17,7.05,3,0.0,heiwajima,18.0,4.0,晴,22.0,52.4,0.0,5.0,東,6.0
7.74,4.0,2026-04-28,2026-05-15 02:47:13,4,B1,0.0,,38.47,6.1,28.0,31.0,31.4,46.4,,梶原 正,1,高橋 真吾,0.13,7.06,4,-0.5,heiwajima,18.0,4.0,晴,22.0,57.4,0.0,5.0,東,6.0
7.57,5.0,2026-04-28,2026-05-15 02:47:13,5,A2,0.0,,37.61,5.73,25.0,9.0,39.8,57.4,,鳥居塚 孝博,1,浜本 裕己,0.07,7.04,2,0.0,heiwajima,18.0,4.0,晴,22.0,51.5,0.5,5.0,東,6.0
7.67,6.0,2026-04-28,2026-05-15 02:47:13,6,B1,0.0,,38.3,5.93,38.0,30.0,31.5,47.0,,前原 哉,1,乙津 康志,0.03,7.01,1,-0.5,heiwajima,18.0,4.0,晴,22.0,52.0,0.0,5.0,東,6.0
7.63,1.0,2026-04-28,2026-05-15 02:47:21,1,B1,0.0,,37.73,5.73,55.0,4.0,45.9,61.4,,照屋 厚仁,2,野田部 宏子,0.12,6.89,2,0.0,heiwajima,18.0,3.0,晴,22.0,52.9,0.0,5.0,東,5.0
7.57,2.0,2026-04-28,2026-05-15 02:47:21,2,B1,0.0,,37.43,5.8,45.0,18.0,35.1,54.0,,伊倉 光,2,伊久間 陽優,0.09,7.0,6,-0.5,heiwajima,18.0,3.0,晴,22.0,52.3,0.0,5.0,東,5.0
7.67,3.0,2026-04-28,2026-05-15 02:47:21,3,A2,0.0,,37.62,5.77,67.0,28.0,32.1,49.5,,大橋 栄里佳,2,宇野 弥生,0.04,6.94,4,0.0,heiwajima,18.0,3.0,晴,22.0,48.4,0.0,5.0,東,5.0
7.62,4.0,2026-04-28,2026-05-15 02:47:21,4,A2,0.0,,37.46,5.67,34.0,3.0,46.8,64.3,,三角 哲男,2,佐々木 和伸,-0.01,6.9,3,-0.5,heiwajima,18.0,3.0,晴,22.0,55.0,0.0,5.0,東,5.0
