venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
heiwajima,2026-05-14,1,1,高石 梨菜,B2,37.35,5.63,7.4,6.86,1,-0.5,1,,,47.0,0.0,2026-05-14 11:51:39,22,33.0,47.2,26,梶野 学志,0.02,True,晴,23,21,2,1,北,3
heiwajima,2026-05-14,1,2,伊藤 喜智,B1,37.45,5.59,7.5,6.92,5,0.0,2,,,52.0,0.0,2026-05-14 11:51:39,54,42.0,52.2,7,大澤 真菜,0.18,True,晴,23,21,2,1,北,3
heiwajima,2026-05-14,1,3,岸本 隆,B1,37.3,5.43,7.49,6.95,6,-0.5,3,,,55.2,0.0,2026-05-14 11:51:39,75,30.8,47.8,38,小倉 康典,0.02,True,晴,23,21,2,1,北,3
heiwajima,2026-05-14,1,4,渡辺 崇,B1,37.28,5.52,7.47,6.87,2,-0.5,4,,,54.8,0.0,2026-05-14 11:51:39,55,44.7,60.8,4,齊藤 仁,0.04,True,晴,23,21,2,1,北,3
heiwajima,2026-05-14,1,5,市川 瑚幸,B2,37.5,6.2,7.4,6.88,3,0.0,6,,,47.0,0.0,2026-05-14 11:51:39,14,36.3,51.8,14,小川 知行,0.05,True,晴,23,21,2,1,北,3
heiwajima,2026-05-14,1,6,木村 仁紀,A1,38.03,5.64,7.47,6.9,4,-0.5,5,,,52.1,0.0,2026-05-14 11:51:39,45,33.9,53.3,23,佐藤 ほのか,0.07,True,晴,23,21,2,1,北,3
heiwajima,2026-05-14,2,1,古賀 繁輝,A1,37.18,5.45,7.36,6.76,2,-0.5,1,,,56.0,0.0,2026-05-14 12:10:42,44,43.8,61.6,5,金田 諭,0.07,False,晴,23,21,2,1,北,3
heiwajima,2026-05-14,2,2,寺嶋 雄,B1,37.92,5.8,7.55,6.82,4,0.0,2,,,52.0,0.0,2026-05-14 12:10:42,19,35.9,51.1,15,深水 慎一郎,0.06,False,晴,23,21,2,1,北,3
heiwajima,2026-05-14,2,3,小野 勇作,B1,37.23,5.63,7.49,6.76,2,-0.5,3,,,50.5,1.5,2026-05-14 12:10:42,34,46.6,64.7,3,西舘 健,0.04,False,晴,23,21,2,1,北,3
heiwajima,2026-05-14,2,4,中里 優子,B1,37.87,5.77,7.42,6.83,5,-0.5,4,,,48.5,0.0,2026-05-14 12:10:42,39,28.4,51.4,46,松本 浩貴,0.1,False,晴,23,21,2,1,北,3
