chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
7.77,1.0,2026-04-25,2026-05-15 03:09:12,1,A2,0.0,,36.99,5.2,16.0,2.0,49.6,66.4,,永田 啓二,1,丹下 将,0.17,6.64,1,-0.5,karatsu,17.0,1.0,晴,13.0,56.1,0.0,17.0,不明,0.0
7.9,2.0,2026-04-25,2026-05-15 03:09:12,2,B1,0.0,,36.3,5.64,51.0,39.0,25.4,47.5,,小林 基樹,1,佐竹 友樹,0.25,6.68,2,-0.5,karatsu,17.0,1.0,晴,13.0,52.0,0.0,17.0,不明,0.0
7.76,3.0,2026-04-25,2026-05-15 03:09:12,3,B1,0.0,,37.14,5.7,27.0,11.0,37.5,60.0,,原田 佑実,1,酒井 陽祐,0.18,6.7,3,-0.5,karatsu,17.0,1.0,晴,13.0,52.0,0.0,17.0,不明,0.0
7.97,4.0,2026-04-25,2026-05-15 03:09:12,4,B1,0.0,,37.13,5.52,1.0,28.0,31.3,44.8,,山本 梨菜,1,牧山 敦也,0.17,6.78,6,0.0,karatsu,17.0,1.0,晴,13.0,52.0,0.0,17.0,不明,0.0
7.67,5.0,2026-04-25,2026-05-15 03:09:12,5,B1,0.0,,37.07,5.7,15.0,7.0,41.6,54.4,,宮本 琉正,1,高木 圭大,0.12,6.72,5,-0.5,karatsu,17.0,1.0,晴,13.0,53.0,0.0,17.0,不明,0.0
7.6,6.0,2026-04-25,2026-05-15 03:09:12,6,B1,0.0,,36.67,5.6,60.0,26.0,32.0,49.2,,数原 魁,1,大澤 大夢,0.24,6.7,3,-0.5,karatsu,17.0,1.0,晴,13.0,53.1,0.0,17.0,不明,0.0
7.7,1.0,2026-04-25,2026-05-15 03:09:18,1,A1,1.0,,36.17,5.1,54.0,20.0,34.8,51.5,,門田 栞,2,葛原 大陽,0.03,6.74,5,-0.5,karatsu,17.0,2.0,晴,16.0,52.3,0.0,4.0,東北東,2.0
7.53,2.0,2026-04-25,2026-05-15 03:09:18,2,A1,1.0,,36.27,5.27,48.0,22.0,33.6,46.1,,平山 智加,2,渡邉 和将,-0.01,6.71,3,-0.5,karatsu,17.0,2.0,晴,16.0,51.0,1.0,4.0,東北東,2.0
7.77,6.0,2026-04-25,2026-05-15 03:09:18,3,B1,1.0,,37.23,5.73,4.0,5.0,41.8,60.7,,下河 誉史,2,眞鳥 康太,-0.19,6.55,1,3.0,karatsu,17.0,2.0,晴,16.0,52.4,0.0,4.0,東北東,2.0
7.55,3.0,2026-04-25,2026-05-15 03:09:18,4,B1,1.0,,36.83,5.75,18.0,17.0,35.2,56.0,,下出 卓矢,2,村上 彰一,0.01,6.65,2,0.0,karatsu,17.0,2.0,晴,16.0,55.7,0.0,4.0,東北東,2.0
7.7,4.0,2026-04-25,2026-05-15 03:09:18,5,B1,1.0,,37.17,5.83,24.0,19.0,34.8,54.5,,浅井 翼,2,早川 尚人,0.19,6.72,4,-0.5,karatsu,17.0,2.0,晴,16.0,54.9,0.0,4.0,東北東,2.0
7.73,5.0,2026-04-25,2026-05-15 03:09:18,6,B1,1.0,,37.01,5.63,30.0,43.0,22.4,36.7,リング×２,木場 雄二郎,2,田中 宏典,-0.17,6.75,6,0.0,karatsu,17.0,2.0,晴,16.0,52.9,0.0,4.0,東北東,2.0
7.81,1.0,2026-04-25,2026-05-15 03:09:25,1,A2,0.0,,37.0,5.37,21.0,15.0,35.6,47.0,,小野 生奈,3,榎 幸司,-0.02,6.76,4,-0.5,karatsu,17.0,2.0,晴,17.0,52.0,0.0,4.0,東北東,2.0
7.74,2.0,2026-04-25,2026-05-15 03:09:25,2,B2,0.0,,36.7,5.45,33.0,46.0,21.4,41.3,,永田 義紘,3,峰重 侑治,0.07,6.75,2,-0.5,karatsu,17.0,2.0,晴,17.0,51.0,1.0,4.0,東北東,2.0
7.69,3.0,2026-04-25,2026-05-15 03:09:25,3,B1,0.0,,36.9,5.36,52.0,32.0,29.8,49.1,,浜本 裕己,3,片岡 秀樹,0.15,6.8,5,0.0,karatsu,17.0,2.0,晴,17.0,55.5,0.0,4.0,東北東,2.0
7.67,4.0,2026-04-25,2026-05-15 03:09:25,4,A1,0.0,,36.73,5.57,29.0,13.0,36.7,51.6,,後藤 盛也,3,小野 達哉,0.05,6.69,1,-0.5,karatsu,17.0,2.0,晴,17.0,52.0,0.0,4.0,東北東,2.0
7.83,5.0,2026-04-25,2026-05-15 03:09:25,5,B1,0.0,,37.02,5.68,36.0,31.0,29.9,50.4,,加藤 高史,3,前田 健太郎,0.08,6.84,6,-0.5,karatsu,17.0,2.0,晴,17.0,56.9,0.0,4.0,東北東,2.0
7.68,6.0,2026-04-25,2026-05-15 03:09:25,6,B1,0.0,,36.89,5.73,5.0,10.0,37.6,56.8,,安達 美帆,3,水原 慎,0.06,6.75,2,-0.5,karatsu,17.0,2.0,晴,17.0,51.5,0.5,4.0,東北東,2.0
7.63,1.0,2026-04-25,2026-05-15 03:09:35,1,B1,0.0,,36.55,5.27,38.0,45.0,21.8,37.6,,角浜 修,4,大久保信一郎,-0.01,6.77,5,0.0,karatsu,17.0,3.0,晴,17.0,52.0,0.0,4.0,東北東,3.0
7.7,2.0,2026-04-25,2026-05-15 03:09:35,2,A2,0.0,,36.16,5.37,13.0,30.0,29.9,46.5,,渡邉 真奈美,4,木下 大將,0.09,6.75,3,-0.5,karatsu,17.0,3.0,晴,17.0,52.5,0.0,4.0,東北東,3.0
7.73,3.0,2026-04-25,2026-05-15 03:09:35,3,B1,0.0,,36.77,5.33,7.0,4.0,43.8,61.7,,川原 祐明,4,富田 恕生,0.16,6.68,2,0.0,karatsu,17.0,3.0,晴,17.0,52.6,0.0,4.0,東北東,3.0
7.77,4.0,2026-04-25,2026-05-15 03:09:35,4,A2,0.0,,37.5,5.63,53.0,44.0,22.1,44.3,,西川 真人,4,田川 大貴,0.07,6.83,6,-0.5,karatsu,17.0,3.0,晴,17.0,53.9,0.0,4.0,東北東,3.0
7.67,5.0,2026-04-25,2026-05-15 03:09:35,5,B1,0.0,,37.32,5.83,55.0,34.0,29.0,47.3,,赤峰 和也,4,塩崎 優司,0.11,6.76,4,0.0,karatsu,17.0,3.0,晴,17.0,52.4,0.0,4.0,東北東,3.0
7.9,6.0,2026-04-25,2026-05-15 03:09:35,6,B1,0.0,,37.68,5.8,8.0,6.0,41.8,59.0,,吉田 宗弘,4,重富 伸也,0.14,6.62,1,1.5,karatsu,17.0,3.0,晴,17.0,53.0,0.0,4.0,東北東,3.0
7.63,1.0,2026-04-25,2026-05-15 03:09:43,1,B1,0.0,,36.97,5.53,17.0,37.0,27.2,35.1,シリンダ,雑賀 勇貴,5,藤井 徹,-0.05,6.78,6,-0.5,karatsu,17.0,1.0,晴,18.0,52.0,0.0,2.0,北北東,1.0
7.67,2.0,2026-04-25,2026-05-15 03:09:43,2,A1,0.0,,36.57,5.54,47.0,16.0,35.4,50.8,,坂 咲友理,5,井上 忠政,0.08,6.67,1,-0.5,karatsu,17.0,1.0,晴,18.0,52.0,0.0,2.0,北北東,1.0
7.6,3.0,2026-04-25,2026-05-15 03:09:43,3,B1,0.0,,36.43,5.47,32.0,3.0,44.4,58.5,,上野 俊樹,5,山崎 義明,0.02,6.69,3,0.0,karatsu,17.0,1.0,晴,18.0,52.0,0.0,2.0,北北東,1.0
7.79,4.0,2026-04-25,2026-05-15 03:09:43,4,B1,0.0,,36.91,5.33,9.0,23.0,33.3,52.3,,菅野 はやか,5,東 潤樹,0.16,6.72,4,-0.5,karatsu,17.0,1.0,晴,18.0,53.5,0.0,2.0,北北東,1.0
7.6,5.0,2026-04-25,2026-05-15 03:09:43,5,A2,0.0,,36.97,5.53,14.0,27.0,31.5,47.2,リング×２,佐藤 ほのか,5,竹腰 正樹,-0.06,6.76,5,-0.5,karatsu,17.0,1.0,晴,18.0,52.2,0.0,2.0,北北東,1.0
7.67,6.0,2026-04-25,2026-05-15 03:09:43,6,B1,0.0,,36.27,5.46,12.0,24.0,32.8,46.4,,角 ひとみ,5,三木 晴斗,-0.03,6.68,2,0.0,karatsu,17.0,1.0,晴,18.0,52.8,0.0,2.0,北北東,1.0
7.82,1.0,2026-04-25,2026-05-15 03:09:49,1,B1,0.0,,37.1,5.55,15.0,7.0,41.6,54.4,,宮本 琉正,6,高木 圭大,0.03,6.72,1,-0.5,karatsu,17.0,2.0,晴,18.0,53.0,0.0,4.0,東北東,2.0
7.8,2.0,2026-04-25,2026-05-15 03:09:49,2,B1,0.0,,37.23,5.57,22.0,14.0,36.6,52.8,,野田 なづき,6,村岡 賢,0.01,6.73,2,-0.5,karatsu,17.0,2.0,晴,18.0,54.0,0.0,4.0,東北東,2.0
7.67,3.0,2026-04-25,2026-05-15 03:09:49,3,B1,0.0,,37.33,5.6,58.0,33.0,29.5,52.3,,谷川 里江,6,中村 栄治,0.16,6.74,3,-0.5,karatsu,17.0,2.0,晴,18.0,51.5,0.5,4.0,東北東,2.0
7.91,4.0,2026-04-25,2026-05-15 03:09:49,4,A2,0.0,,38.23,5.84,26.0,29.0,30.8,53.8,,魚谷 香織,6,三浦 洋次朗,0.01,6.83,6,-0.5,karatsu,17.0,2.0,晴,18.0,50.5,1.5,4.0,東北東,2.0
7.87,5.0,2026-04-25,2026-05-15 03:09:49,5,B1,0.0,,37.67,5.52,6.0,35.0,28.6,45.1,,草場 康幸,6,大庭 元明,0.12,6.82,5,-0.5,karatsu,17.0,2.0,晴,18.0,55.3,0.0,4.0,東北東,2.0
7.83,6.0,2026-04-25,2026-05-15 03:09:49,6,A1,0.0,,36.67,5.29,3.0,42.0,23.3,44.7,,池田 剛規,6,中辻 博訓,-0.01,6.81,4,-0.5,karatsu,17.0,2.0,晴,18.0,52.0,0.0,4.0,東北東,2.0
7.9,1.0,2026-04-25,2026-05-15 03:09:55,1,B1,0.0,,36.97,5.47,1.0,28.0,31.3,44.8,,山本 梨菜,7,牧山 敦也,0.14,6.79,4,-0.5,karatsu,17.0,2.0,晴,19.0,52.0,0.0,4.0,東北東,2.0
7.89,2.0,2026-04-25,2026-05-15 03:09:55,2,B1,0.0,,36.94,5.46,57.0,41.0,23.4,36.9,,田邉 亮蔵,7,岩川 仁士,0.21,6.8,5,-0.5,karatsu,17.0,2.0,晴,19.0,53.7,0.0,4.0,東北東,2.0
7.84,3.0,2026-04-25,2026-05-15 03:09:55,3,B1,0.0,,36.67,5.49,18.0,17.0,35.2,56.0,,下出 卓矢,7,村上 彰一,0.08,6.71,2,0.0,karatsu,17.0,2.0,晴,19.0,55.7,0.0,4.0,東北東,2.0
7.83,4.0,2026-04-25,2026-05-15 03:09:55,4,A1,0.0,,36.98,5.73,2.0,18.0,34.9,50.0,,西岡 育未,7,白神 優,0.09,6.74,3,-0.5,karatsu,17.0,2.0,晴,19.0,52.6,0.0,4.0,東北東,2.0
7.85,5.0,2026-04-25,2026-05-15 03:09:55,5,A2,0.0,,37.39,5.78,21.0,15.0,35.6,47.0,,小野 生奈,7,榎 幸司,0.25,6.8,5,-0.5,karatsu,17.0,2.0,晴,19.0,52.0,0.0,4.0,東北東,2.0
7.66,6.0,2026-04-25,2026-05-15 03:09:55,6,B1,0.0,,37.87,5.7,45.0,38.0,25.6,45.0,,西岡 蒼志,7,柴田 大輔,0.09,6.7,1,-0.5,karatsu,17.0,2.0,晴,19.0,52.0,0.0,4.0,東北東,2.0
7.93,1.0,2026-04-25,2026-05-15 03:10:02,1,B1,1.0,,37.58,5.73,19.0,12.0,37.0,48.9,,関野 文,8,後藤 陽介,-0.07,6.79,6,0.0,karatsu,17.0,4.0,晴,19.0,56.3,0.0,4.0,東北東,4.0
7.8,6.0,2026-04-25,2026-05-15 03:10:02,2,B1,1.0,,37.57,5.66,8.0,6.0,41.8,59.0,電気,吉田 宗弘,8,重富 伸也,-0.01,6.68,2,1.5,karatsu,17.0,4.0,晴,19.0,52.6,0.0,4.0,東北東,4.0
7.76,2.0,2026-04-25,2026-05-15 03:10:02,3,B1,1.0,,36.93,5.46,51.0,39.0,25.4,47.5,,小林 基樹,8,佐竹 友樹,0.11,6.74,3,-0.5,karatsu,17.0,4.0,晴,19.0,52.3,0.0,4.0,東北東,4.0
7.71,4.0,2026-04-25,2026-05-15 03:10:02,4,B1,1.0,,36.96,5.61,30.0,43.0,22.4,36.7,,木場 雄二郎,8,田中 宏典,-0.02,6.75,5,0.0,karatsu,17.0,4.0,晴,19.0,52.6,0.0,4.0,東北東,4.0
7.77,5.0,2026-04-25,2026-05-15 03:10:02,5,B1,1.0,,36.87,5.73,10.0,9.0,39.4,59.1,,川添 英正,8,森清 友翔,0.11,6.67,1,0.0,karatsu,17.0,4.0,晴,19.0,53.6,0.0,4.0,東北東,4.0
7.72,3.0,2026-04-25,2026-05-15 03:10:02,6,A1,1.0,,36.99,5.67,41.0,36.0,28.5,49.2,,山一 鉄也,8,白水 勝也,0.03,6.74,3,0.0,karatsu,17.0,4.0,晴,19.0,51.0,1.0,4.0,東北東,4.0
8.07,1.0,2026-04-25,2026-05-15 03:10:09,1,B1,1.0,,37.63,5.47,36.0,31.0,29.9,50.4,,加藤 高史,9,前田 健太郎,-0.02,6.82,5,-0.5,karatsu,17.0,4.0,晴,19.0,56.9,0.0,4.0,東北東,4.0
7.73,2.0,2026-04-25,2026-05-15 03:10:09,2,B1,1.0,,37.08,5.84,37.0,21.0,33.9,47.6,,小芦 るり華,9,吉武 真也,-0.14,6.73,1,-0.5,karatsu,17.0,4.0,晴,19.0,52.3,0.0,4.0,東北東,4.0
7.91,3.0,2026-04-25,2026-05-15 03:10:09,3,A2,1.0,,37.33,5.57,16.0,2.0,49.6,66.4,,永田 啓二,9,丹下 将,-0.1,6.76,3,-0.5,karatsu,17.0,4.0,晴,19.0,56.1,0.0,4.0,東北東,4.0
7.63,4.0,2026-04-25,2026-05-15 03:10:09,4,A2,1.0,,36.97,6.3,13.0,30.0,29.9,46.5,,渡邉 真奈美,9,木下 大將,-0.02,6.75,2,-0.5,karatsu,17.0,4.0,晴,19.0,52.5,0.0,4.0,東北東,4.0
7.83,6.0,2026-04-25,2026-05-15 03:10:09,5,B2,1.0,,37.43,6.17,46.0,25.0,32.5,48.4,,高橋 二朗,9,相馬 翔,0.01,6.85,6,0.0,karatsu,17.0,4.0,晴,19.0,55.6,0.0,4.0,東北東,4.0
7.6,5.0,2026-04-25,2026-05-15 03:10:09,6,A1,1.0,,36.94,6.56,48.0,22.0,33.6,46.1,,平山 智加,9,渡邉 和将,-0.04,6.81,4,-0.5,karatsu,17.0,4.0,晴,19.0,51.0,1.0,4.0,東北東,4.0
7.77,1.0,2026-04-25,2026-05-15 03:10:18,1,B1,0.0,,36.8,5.4,42.0,8.0,40.5,52.1,,河合 三弘,10,井上 茂,0.13,6.77,1,-0.5,karatsu,17.0,4.0,晴,19.0,52.9,0.0,4.0,東北東,4.0
7.9,2.0,2026-04-25,2026-05-15 03:10:18,2,A1,0.0,,36.7,5.57,3.0,42.0,23.3,44.7,,池田 剛規,10,中辻 博訓,-0.04,6.85,4,-0.5,karatsu,17.0,4.0,晴,19.0,52.0,0.0,4.0,東北東,4.0
7.87,3.0,2026-04-25,2026-05-15 03:10:18,3,B2,0.0,,36.83,5.49,33.0,46.0,21.4,41.3,,永田 義紘,10,峰重 侑治,-0.04,6.81,2,-0.5,karatsu,17.0,4.0,晴,19.0,51.0,1.0,4.0,東北東,4.0
7.88,4.0,2026-04-25,2026-05-15 03:10:18,4,A2,0.0,,37.17,5.69,14.0,27.0,31.5,47.2,,佐藤 ほのか,10,竹腰 正樹,0.11,6.81,2,-0.5,karatsu,17.0,4.0,晴,19.0,52.2,0.0,4.0,東北東,4.0
7.74,5.0,2026-04-25,2026-05-15 03:10:18,5,A2,0.0,,37.57,5.93,53.0,44.0,22.1,44.3,リング×２,西川 真人,10,田川 大貴,0.01,6.9,5,-0.5,karatsu,17.0,4.0,晴,19.0,53.9,0.0,4.0,東北東,4.0
7.84,6.0,2026-04-25,2026-05-15 03:10:18,6,A2,0.0,,37.41,5.75,56.0,40.0,23.7,43.9,ピストン×２_シリンダ_シャフト,宮武 英司,10,蒲原 健太,0.01,6.91,6,0.0,karatsu,17.0,4.0,晴,19.0,52.0,0.0,4.0,東北東,4.0
7.71,1.0,2026-04-25,2026-05-15 03:10:24,1,B1,0.0,,36.37,5.2,7.0,4.0,43.8,61.7,,川原 祐明,11,富田 恕生,-0.01,6.73,3,0.0,karatsu,17.0,5.0,晴,19.0,52.6,0.0,4.0,東北東,5.0
7.73,2.0,2026-04-25,2026-05-15 03:10:24,2,B1,0.0,,37.07,5.7,60.0,26.0,32.0,49.2,,数原 魁,11,大澤 大夢,-0.02,6.71,1,-0.5,karatsu,17.0,5.0,晴,19.0,53.1,0.0,4.0,東北東,5.0
7.87,3.0,2026-04-25,2026-05-15 03:10:24,3,A1,0.0,,36.84,5.76,54.0,20.0,34.8,51.5,,門田 栞,11,葛原 大陽,0.04,6.78,4,-0.5,karatsu,17.0,5.0,晴,19.0,52.3,0.0,4.0,東北東,5.0
7.85,4.0,2026-04-25,2026-05-15 03:10:24,4,B1,0.0,,37.3,5.75,6.0,35.0,28.6,45.1,,草場 康幸,11,大庭 元明,0.16,6.81,5,-0.5,karatsu,17.0,5.0,晴,19.0,55.3,0.0,4.0,東北東,5.0
7.86,5.0,2026-04-25,2026-05-15 03:10:24,5,B1,0.0,,36.67,5.87,32.0,3.0,44.4,58.5,,上野 俊樹,11,山崎 義明,-0.01,6.72,2,0.0,karatsu,17.0,5.0,晴,19.0,52.0,0.0,4.0,東北東,5.0
7.97,6.0,2026-04-25,2026-05-15 03:10:24,6,B1,0.0,,37.1,5.73,57.0,41.0,23.4,36.9,,田邉 亮蔵,11,岩川 仁士,0.01,6.82,6,-0.5,karatsu,17.0,5.0,晴,19.0,53.7,0.0,4.0,東北東,5.0
7.73,1.0,2026-04-25,2026-05-15 03:10:30,1,A1,0.0,,36.57,5.33,2.0,18.0,34.9,50.0,,西岡 育未,12,白神 優,0.15,6.79,3,-0.5,karatsu,17.0,4.0,晴,19.0,52.6,0.0,4.0,東北東,4.0
7.81,2.0,2026-04-25,2026-05-15 03:10:30,2,B1,0.0,,37.0,5.5,27.0,11.0,37.5,60.0,,原田 佑実,12,酒井 陽祐,0.15,6.81,4,-0.5,karatsu,17.0,4.0,晴,19.0,52.0,0.0,4.0,東北東,4.0
7.67,3.0,2026-04-25,2026-05-15 03:10:30,3,A1,0.0,,36.83,5.53,29.0,13.0,36.7,51.6,,後藤 盛也,12,小野 達哉,0.1,6.77,2,-0.5,karatsu,17.0,4.0,晴,19.0,52.0,0.0,4.0,東北東,4.0
7.72,4.0,2026-04-25,2026-05-15 03:10:30,4,B1,0.0,,36.97,5.57,38.0,45.0,21.8,37.6,,角浜 修,12,大久保信一郎,0.13,6.88,5,0.0,karatsu,17.0,4.0,晴,19.0,52.0,0.0,4.0,東北東,4.0
7.77,5.0,2026-04-25,2026-05-15 03:10:30,5,A1,0.0,,37.07,5.47,47.0,16.0,35.4,50.8,,坂 咲友理,12,井上 忠政,0.12,6.74,1,-0.5,karatsu,17.0,4.0,晴,19.0,52.0,0.0,4.0,東北東,4.0
7.47,6.0,2026-04-25,2026-05-15 03:10:30,6,B1,0.0,,37.22,6.25,58.0,33.0,29.5,52.3,,谷川 里江,12,中村 栄治,0.09,6.89,6,-0.5,karatsu,17.0,4.0,晴,19.0,51.5,0.5,4.0,東北東,4.0
