venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
karatsu,2026-05-24,1,1,鳥飼 眞,A2,36.7,5.37,7.8,6.73,2,-0.5,1,,,50.5,1.5,2026-05-24 08:25:50,5,34.0,53.5,21,藤田 浩人,0.05,False,曇り,20,23,1,4,東北東,1
karatsu,2026-05-24,1,2,大西 賢,B1,37.03,5.84,7.72,6.77,3,-0.5,2,,,52.0,0.0,2026-05-24 08:25:50,29,34.8,49.0,18,下田 哲也,0.22,False,曇り,20,23,1,4,東北東,1
karatsu,2026-05-24,1,3,山戸 信二,B1,37.5,6.28,7.74,6.72,1,0.0,3,,,51.0,1.0,2026-05-24 08:25:50,14,32.9,51.4,26,泥谷 一毅,0.48,False,曇り,20,23,1,4,東北東,1
karatsu,2026-05-24,1,4,冨田 秀幸,B1,37.4,6.27,7.95,6.82,6,-0.5,4,,,52.0,0.0,2026-05-24 08:25:50,45,24.1,43.5,44,小野 勇作,0.15,False,曇り,20,23,1,4,東北東,1
karatsu,2026-05-24,1,5,増田 進,B1,37.44,6.14,7.8,6.77,3,-0.5,5,,,52.0,0.0,2026-05-24 08:25:50,25,38.3,53.2,11,岡本 翔太郎,0.03,False,曇り,20,23,1,4,東北東,1
karatsu,2026-05-24,1,6,伊藤 玲奈,B1,37.2,5.86,7.63,6.79,5,-0.5,6,,,47.0,0.0,2026-05-24 08:25:50,16,54.0,70.5,2,深川 真二,0.02,False,曇り,20,23,1,4,東北東,1
karatsu,2026-05-24,2,1,向井 美鈴,A2,36.87,5.37,7.77,6.73,2,-0.5,1,,,43.5,3.5,2026-05-24 08:48:22,42,39.6,55.0,8,鐘ヶ江 真司,0.09,False,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,2,2,渡邉 雄朗,A1,38.03,5.71,7.81,6.64,1,0.0,2,,,52.0,0.0,2026-05-24 08:48:22,4,43.7,60.3,5,門間 雄大,0.02,False,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,2,3,草場 康幸,B1,37.17,5.53,7.79,6.79,5,-0.5,3,,,53.3,0.0,2026-05-24 08:48:22,54,34.4,51.9,19,川辺 郭人,0.03,False,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,2,4,田添 康介,B1,37.43,5.71,7.91,6.73,2,0.0,4,,,57.4,0.0,2026-05-24 08:48:22,50,40.7,51.4,6,日高 龍之介,0.02,False,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,2,5,大谷 直弘,B1,37.3,5.58,7.85,6.74,4,-0.5,5,,,53.0,0.0,2026-05-24 08:48:22,41,28.9,51.0,36,岩永 節也,-0.01,False,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,2,6,須藤 隆雄,B1,37.47,5.59,7.78,6.8,6,-0.5,6,,,54.0,0.0,2026-05-24 08:48:22,53,22.7,46.0,45,村田 浩司,0.05,False,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,3,1,井上 恵一,A2,36.79,5.42,7.96,6.74,2,0.0,1,,,54.5,0.0,2026-05-24 09:12:21,55,28.3,47.2,37,末永 祐輝,0.26,True,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,3,2,吉田 祐貴,B2,36.7,5.4,7.79,6.77,4,-0.5,3,,,54.6,0.0,2026-05-24 09:12:21,46,34.2,49.7,20,楠原 翔太,-0.02,True,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,3,3,山下 友貴,B1,37.17,5.6,7.69,6.73,1,-0.5,4,,,43.5,3.5,2026-05-24 09:12:21,20,36.9,55.3,14,白井 友晴,0.09,True,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,3,4,堤 啓輔,B1,37.07,5.5,7.84,6.84,6,-0.5,5,,,52.0,0.0,2026-05-24 09:12:21,17,26.8,34.6,41,石井 伸長,0.33,True,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,3,5,柴田 光,A1,36.77,5.79,7.73,6.74,2,-0.5,2,,,52.8,0.0,2026-05-24 09:12:21,10,39.1,57.0,10,長谷川 親王,0.03,True,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,3,6,庄司 孝輔,B1,36.97,5.59,7.81,6.82,5,0.0,6,,,52.6,0.0,2026-05-24 09:12:21,37,33.8,47.0,23,前川 守嗣,0.19,True,曇り,20,23,2,4,東北東,2
karatsu,2026-05-24,4,1,小林 孝弘,B1,36.97,5.49,7.87,6.77,5,-0.5,1,,,52.2,0.0,2026-05-24 09:38:53,22,37.8,55.2,13,常住 蓮,-0.04,False,曇り,21,23,2,6,東南東,2
karatsu,2026-05-24,4,2,櫻本 あゆみ,A2,37.43,5.5,7.83,6.72,1,0.0,2,,,48.1,0.0,2026-05-24 09:38:53,32,46.0,59.5,4,青木 玄太,0.08,False,曇り,21,23,2,6,東南東,2
karatsu,2026-05-24,4,3,小野 京平,B2,37.27,6.01,7.79,6.81,6,0.0,3,,,55.3,0.0,2026-05-24 09:38:53,59,29.8,42.9,35,深山 祐二,0.11,False,曇り,21,23,2,6,東南東,2
karatsu,2026-05-24,4,4,永田 秀二,A2,36.81,5.54,7.97,6.74,2,0.0,4,,,55.1,0.0,2026-05-24 09:38:53,26,33.8,56.3,22,古賀 繁輝,0.06,False,曇り,21,23,2,6,東南東,2
karatsu,2026-05-24,4,5,永松 良教,B1,37.1,5.55,7.87,6.76,3,0.0,5,,,54.6,0.0,2026-05-24 09:38:53,11,31.6,50.4,31,酒見 峻介,0.09,False,曇り,21,23,2,6,東南東,2
karatsu,2026-05-24,4,6,富永 大一,A2,37.38,5.65,7.63,6.76,3,-0.5,6,,,52.7,0.0,2026-05-24 09:38:53,56,25.2,43.5,42,石川 吉鎬,0.01,False,曇り,21,23,2,6,東南東,2
karatsu,2026-05-24,5,1,森下 愛梨,A2,37.37,5.86,7.72,6.76,2,-0.5,1,,,50.4,0.0,2026-05-24 10:16:11,48,32.6,45.6,28,竹田 広樹,0.07,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,5,2,野長瀬 正孝,A2,36.77,5.5,7.7,6.73,1,-0.5,2,,,52.0,0.0,2026-05-24 10:16:11,28,40.7,54.3,7,田中 宏典,0.06,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,5,3,花本 剛,B1,37.57,5.57,7.93,6.81,6,-0.5,3,,,58.3,0.0,2026-05-24 10:16:11,60,32.7,49.4,27,杉山 勝匡,0.08,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,5,4,山本 寛久,A1,37.1,5.53,7.91,6.78,3,0.0,4,,,51.5,0.5,2026-05-24 10:16:11,34,31.3,47.0,32,松江 秀徳,0.09,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,5,5,立間 充宏,B1,37.52,5.61,7.87,6.8,5,-0.5,5,,,54.5,0.0,2026-05-24 10:16:11,2,35.1,51.3,17,下河 雅史,0.12,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,5,6,大西 賢,B1,38.02,5.72,7.9,6.78,3,-0.5,6,,,52.0,0.0,2026-05-24 10:16:11,29,34.8,49.0,18,下田 哲也,0.15,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,6,1,大谷 直弘,B1,37.23,5.63,7.86,6.74,2,-0.5,1,,,53.0,0.0,2026-05-24 10:29:58,41,28.9,51.0,36,岩永 節也,0.05,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,6,2,山田 亮太,A2,37.73,5.52,7.97,6.85,6,-0.5,2,,,52.0,0.0,2026-05-24 10:29:58,58,27.8,48.3,38,今泉 博人,0.14,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,6,3,上村 純一,A1,37.73,5.66,7.85,6.74,2,-0.5,3,,,52.6,0.0,2026-05-24 10:29:58,52,32.4,50.7,29,木幡 純也,0.04,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,6,4,寳田 亮治,B1,37.3,5.77,7.83,6.81,5,0.0,4,,,52.2,0.0,2026-05-24 10:29:58,43,31.6,44.4,30,梶山 涼斗,0.07,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,6,5,三嶌 さらら,B1,37.73,5.83,7.78,6.73,1,-0.5,5,,,47.0,0.0,2026-05-24 10:29:58,13,27.7,45.2,39,武重 雄介,0.04,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,6,6,増田 進,B1,38.03,5.53,7.99,6.78,4,-0.5,6,,,52.0,0.0,2026-05-24 10:29:58,25,38.3,53.2,11,岡本 翔太郎,0.11,False,曇り,21,23,2,4,東北東,2
karatsu,2026-05-24,7,1,冨田 秀幸,B1,37.3,5.56,7.97,6.82,4,-0.5,1,,,52.0,0.0,2026-05-24 11:00:01,45,24.1,43.5,44,小野 勇作,0.17,False,曇り,22,23,3,4,東北東,3
karatsu,2026-05-24,7,2,山口 達也,A1,37.04,5.47,7.68,6.81,3,-0.5,2,,ピストン×２_リング×２_電気,53.8,0.0,2026-05-24 11:00:01,40,46.5,67.4,3,山田 和佐,-0.05,False,曇り,22,23,3,4,東北東,3
karatsu,2026-05-24,7,3,村越 篤,A2,37.4,5.86,7.91,6.78,1,0.0,3,,,54.0,0.0,2026-05-24 11:00:01,49,39.5,54.8,9,中島 昂章,-0.01,False,曇り,22,23,3,4,東北東,3
karatsu,2026-05-24,7,4,妻鳥 晋也,B1,37.41,5.83,7.82,6.78,1,0.0,4,,,55.5,0.0,2026-05-24 11:00:01,21,35.9,48.6,16,塩田 雄一,0.05,False,曇り,22,23,3,4,東北東,3
karatsu,2026-05-24,7,5,谷川 祐一,A2,37.13,5.68,7.87,6.83,5,0.0,5,,,52.2,0.0,2026-05-24 11:00:01,15,36.2,49.3,15,樅山 拓馬,0.07,False,曇り,22,23,3,4,東北東,3
karatsu,2026-05-24,7,6,田添 康介,B1,37.4,5.47,7.99,6.84,6,0.0,6,,,57.4,0.0,2026-05-24 11:00:01,50,40.7,51.4,6,日高 龍之介,0.06,False,曇り,22,23,3,4,東北東,3
karatsu,2026-05-24,8,1,永松 良教,B1,36.77,5.33,7.77,6.73,2,-0.5,1,,,54.6,0.0,2026-05-24 11:29:55,11,31.6,50.4,31,酒見 峻介,0.06,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,8,2,庄司 孝輔,B1,36.97,5.28,7.71,6.74,3,0.0,2,,,52.6,0.0,2026-05-24 11:29:55,37,33.8,47.0,23,前川 守嗣,-0.03,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,8,3,福来 剛,A1,36.47,5.36,7.69,6.69,1,0.0,3,,,52.0,0.0,2026-05-24 11:29:55,18,33.6,53.3,24,西村 秀樹,0.15,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,8,4,伊藤 玲奈,B1,37.27,5.6,7.71,6.75,5,-0.5,4,,,47.0,0.0,2026-05-24 11:29:55,16,54.0,70.5,2,深川 真二,0.05,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,8,5,廣瀬 篤哉,B1,37.77,5.57,7.9,6.78,6,-0.5,5,,,57.4,0.0,2026-05-24 11:29:55,38,26.9,43.9,40,君島 秀三,0.06,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,8,6,大石 真央,B1,37.53,5.5,7.8,6.74,3,-0.5,6,,,45.0,2.0,2026-05-24 11:29:55,8,38.3,53.7,12,植田 太一,0.01,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,9,1,山下 友貴,B1,37.13,5.26,7.78,6.74,1,-0.5,1,,,43.5,3.5,2026-05-24 12:00:42,20,36.9,55.3,14,白井 友晴,0.06,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,9,2,草場 康幸,B1,37.53,5.53,7.72,6.79,5,-0.5,2,,,53.7,0.0,2026-05-24 12:00:42,54,34.4,51.9,19,川辺 郭人,0.01,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,9,3,渡辺 浩司,A1,37.07,5.47,7.79,6.76,4,0.0,3,,,52.0,0.0,2026-05-24 12:00:42,31,30.1,49.6,34,中島 友和,0.06,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,9,4,諏訪 玲奈,B2,36.73,6.16,7.6,6.74,1,-0.5,4,,,48.1,0.0,2026-05-24 12:00:42,24,32.9,53.9,25,桑原 啓,0.03,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,9,5,山戸 信二,B1,37.58,5.91,7.77,6.75,3,0.0,5,,,51.5,0.5,2026-05-24 12:00:42,14,32.9,51.4,26,泥谷 一毅,0.07,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,9,6,佐藤 太亮,B1,37.3,5.6,7.73,6.8,6,-0.5,6,,,51.0,1.0,2026-05-24 12:00:42,23,24.2,39.1,43,恵良 琴美,0.02,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,10,1,堤 啓輔,B1,36.97,5.37,7.92,6.84,3,-0.5,1,,,52.0,0.0,2026-05-24 12:28:51,17,26.8,34.6,41,石井 伸長,-0.09,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,10,2,鳥飼 眞,A2,37.1,5.55,7.93,6.76,1,-0.5,2,,,50.5,1.5,2026-05-24 12:28:51,5,34.0,53.5,21,藤田 浩人,-0.02,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,10,3,森下 愛梨,A2,37.83,6.03,7.91,6.79,2,-0.5,3,,,50.4,0.0,2026-05-24 12:28:51,48,32.6,45.6,28,竹田 広樹,0.37,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,10,4,小林 孝弘,B1,37.87,5.77,7.96,6.86,5,-0.5,4,,,52.2,0.0,2026-05-24 12:28:51,22,37.8,55.2,13,常住 蓮,0.06,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,10,5,向井 美鈴,A2,37.4,5.93,7.77,6.87,6,-0.5,5,,,43.5,3.5,2026-05-24 12:28:51,42,39.6,55.0,8,鐘ヶ江 真司,-0.05,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,10,6,寳田 亮治,B1,37.54,5.93,7.87,6.84,3,0.0,6,,,52.2,0.0,2026-05-24 12:28:51,43,31.6,44.4,30,梶山 涼斗,0.12,False,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,11,1,渡邉 雄朗,A1,38.03,5.67,7.89,6.69,1,0.0,1,,,52.0,0.0,2026-05-24 13:02:52,4,43.7,60.3,5,門間 雄大,-0.1,True,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,11,2,富永 大一,A2,37.15,5.75,7.76,6.82,4,-0.5,3,,,52.7,0.0,2026-05-24 13:02:52,56,25.2,43.5,42,石川 吉鎬,-0.02,True,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,11,3,井上 恵一,A2,37.26,6.24,7.87,6.89,6,0.0,4,,,54.5,0.0,2026-05-24 13:02:52,55,28.3,47.2,37,末永 祐輝,-0.03,True,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,11,4,樋口 亮,A2,37.4,6.0,7.97,6.83,5,-0.5,5,,,52.5,0.0,2026-05-24 13:02:52,1,30.2,42.3,33,中野 和裕,0.1,True,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,11,5,野長瀬 正孝,A2,37.03,5.65,7.88,6.81,2,-0.5,2,,,52.0,0.0,2026-05-24 13:02:52,28,40.7,54.3,7,田中 宏典,-0.04,True,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,11,6,村越 篤,A2,37.6,5.7,7.93,6.81,2,0.0,6,,,54.0,0.0,2026-05-24 13:02:52,49,39.5,54.8,9,中島 昂章,0.12,True,晴,23,23,3,4,東北東,3
karatsu,2026-05-24,12,1,福来 剛,A1,36.32,5.25,7.87,6.78,1,0.0,1,,,52.0,0.0,2026-05-24 13:58:08,18,33.6,53.3,24,西村 秀樹,0.08,False,曇り,22,23,5,4,東北東,5
karatsu,2026-05-24,12,2,須藤 隆雄,B1,37.52,6.4,7.89,6.88,5,-0.5,2,,,54.0,0.0,2026-05-24 13:58:08,53,22.7,46.0,45,村田 浩司,0.17,False,曇り,22,23,5,4,東北東,5
karatsu,2026-05-24,12,3,谷川 祐一,A2,37.33,5.87,7.88,6.79,2,0.0,3,,,52.2,0.0,2026-05-24 13:58:08,15,36.2,49.3,15,樅山 拓馬,0.08,False,曇り,22,23,5,4,東北東,5
karatsu,2026-05-24,12,4,上村 純一,A1,37.6,5.78,7.91,6.79,2,-0.5,4,,,52.6,0.0,2026-05-24 13:58:08,52,32.4,50.7,29,木幡 純也,-0.06,False,曇り,22,23,5,4,東北東,5
karatsu,2026-05-24,12,5,山本 寛久,A1,36.83,5.67,8.0,6.84,4,0.0,5,,,51.5,0.5,2026-05-24 13:58:08,34,31.3,47.0,32,松江 秀徳,0.02,False,曇り,22,23,5,4,東北東,5
karatsu,2026-05-24,12,6,永田 秀二,A2,37.2,5.9,7.83,6.91,6,0.0,6,,,55.1,0.0,2026-05-24 13:58:08,26,33.8,56.3,22,古賀 繁輝,0.07,False,曇り,22,23,5,4,東北東,5
