chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
7.44,1.0,2026-05-15,2026-05-16 08:46:37,1,B1,0.0,,,4.6,66,44,16.0,28.0,,増田 進,1,山本 景士郎,0.13,6.84,6.0,0.0,kiryu,16.0,4.0,晴,20.0,52.0,0.0,10.0,南南西,5.0
7.53,2.0,2026-05-15,2026-05-16 08:46:37,2,B1,0.0,,,4.78,18,36,22.2,33.3,,北中 元樹,1,乙津 康志,0.14,6.74,5.0,-0.5,kiryu,16.0,4.0,晴,20.0,52.0,0.0,10.0,南南西,5.0
7.55,3.0,2026-05-15,2026-05-16 08:46:37,3,A2,0.0,,,4.7,63,43,16.5,29.1,,石村 日奈那,1,畔柳 俊吾,-0.06,6.69,3.0,-0.5,kiryu,16.0,4.0,晴,20.0,51.5,0.5,10.0,南南西,5.0
7.46,4.0,2026-05-15,2026-05-16 08:46:37,4,B1,0.0,,,4.71,44,20,31.3,49.5,,宮内 由紀英,1,石岡 将太,-0.03,6.65,2.0,-0.5,kiryu,16.0,4.0,晴,20.0,54.6,0.0,10.0,南南西,5.0
7.58,5.0,2026-05-15,2026-05-16 08:46:37,5,B1,0.0,,,4.69,49,13,34.4,43.3,,高山 秀雄,1,前田 健太郎,0.19,6.6,1.0,-0.5,kiryu,16.0,4.0,晴,20.0,56.6,0.0,10.0,南南西,5.0
7.51,6.0,2026-05-15,2026-05-16 08:46:37,6,B2,0.0,,,4.6,31,9,35.7,48.0,,関 浩哉,1,鈴木 結平太,0.24,6.69,3.0,-0.5,kiryu,16.0,4.0,晴,20.0,51.0,1.0,10.0,南南西,5.0
7.35,1.0,2026-05-15,2026-05-16 08:46:48,1,B1,0.0,,,4.34,51,32,26.0,37.0,,高木 茉白,2,伊倉 光,0.03,6.83,6.0,-0.5,kiryu,16.0,4.0,晴,20.0,52.3,0.0,10.0,南南西,5.0
7.34,2.0,2026-05-15,2026-05-16 08:46:48,2,A1,0.0,,,4.48,65,11,35.4,50.4,,栗原 一馬,2,藤山 雅弘,-0.02,6.75,4.0,-0.5,kiryu,16.0,4.0,晴,20.0,52.6,0.0,10.0,南南西,5.0
7.34,3.0,2026-05-15,2026-05-16 08:46:48,3,A2,0.0,,,4.32,13,28,27.7,48.5,,本橋 克洋,2,木下 雄介,0.02,6.64,2.0,-0.5,kiryu,16.0,4.0,晴,20.0,52.0,0.0,10.0,南南西,5.0
7.49,4.0,2026-05-15,2026-05-16 08:46:48,4,B1,0.0,,,4.49,41,7,35.9,51.1,,毒島 誠,2,鈴木 雅希,-0.1,6.8,5.0,-0.5,kiryu,16.0,4.0,晴,20.0,52.2,0.0,10.0,南南西,5.0
