venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
kiryu,2026-05-29,1,1,本吉 正樹,,2026-05-29 23:23:14,40,33.0,50.9,17,竹田 吉行
kiryu,2026-05-29,1,2,野口 勝弘,,2026-05-29 23:23:14,72,34.0,54.7,13,今泉 徹
kiryu,2026-05-29,1,3,本田 愛,,2026-05-29 23:23:14,61,13.1,27.9,46,岡瀬 正人
kiryu,2026-05-29,1,4,亀山 雅幸,,2026-05-29 23:23:14,65,36.1,50.4,7,藤山 雅弘
kiryu,2026-05-29,1,5,鈴木 柊介,,2026-05-29 23:23:14,25,25.0,35.7,34,後藤 盛也
kiryu,2026-05-29,1,6,佐竹 友樹,,2026-05-29 23:23:14,43,27.8,51.5,27,杉山 裕也
kiryu,2026-05-29,2,1,宮武 英司,,2026-05-29 23:25:14,58,22.1,37.2,37,村岡 賢人
kiryu,2026-05-29,2,2,中辻 博訓,,2026-05-29 23:25:14,49,34.6,44.2,12,大賀 龍之介
kiryu,2026-05-29,2,3,中曽 瑠華,,2026-05-29 23:25:14,30,49.5,63.2,2,高橋 竜矢
kiryu,2026-05-29,2,4,松井 賢治,,2026-05-29 23:25:14,46,35.2,48.1,11,阿波 勝哉
kiryu,2026-05-29,2,5,倉尾 大介,,2026-05-29 23:25:14,47,31.4,45.5,21,海老澤 泰行
kiryu,2026-05-29,2,6,深川 和仁,,2026-05-29 23:25:14,70,30.3,44.0,24,松田 隆司
kiryu,2026-05-29,3,1,木幡 純也,,2026-05-29 23:27:11,24,31.0,60.2,22,蒲原 健太
kiryu,2026-05-29,3,2,久保原 秀人,,2026-05-29 23:27:11,12,47.1,62.7,3,田中 信一郎
kiryu,2026-05-29,3,3,杉村 賢也,,2026-05-29 23:27:11,26,33.9,53.2,14,安部 慎一
kiryu,2026-05-29,3,4,渡邉 俊介,,2026-05-29 23:27:11,19,23.0,35.6,36,徳増 秀樹
kiryu,2026-05-29,3,5,増本 杏珠,,2026-05-29 23:27:11,18,21.4,32.1,40,乙津 康志
kiryu,2026-05-29,3,6,前田 将太,,2026-05-29 23:27:11,35,43.6,56.4,4,石橋 道友
kiryu,2026-05-29,4,1,市川 美宏,,2026-05-29 23:29:09,17,33.1,48.8,16,丹下 将
kiryu,2026-05-29,4,2,門間 雄大,,2026-05-29 23:29:09,11,27.9,50.4,26,加藤 翔馬
kiryu,2026-05-29,4,3,西田 和加,,2026-05-29 23:29:09,38,40.0,60.0,5,三角 哲男
kiryu,2026-05-29,4,4,庄司 樹良々,,2026-05-29 23:29:09,16,22.0,39.0,38,宮本 夏樹
kiryu,2026-05-29,4,5,宮崎 奨,,2026-05-29 23:29:09,48,31.0,54.0,23,藤田 浩人
kiryu,2026-05-29,4,6,小山 勉,,2026-05-29 23:29:09,22,27.7,34.9,28,富山 弘幸
kiryu,2026-05-29,5,1,折下 寛法,,2026-05-29 23:31:06,36,31.7,43.9,19,相馬 翔
kiryu,2026-05-29,5,2,大澤 風葵,,2026-05-29 23:31:06,54,19.2,35.9,42,横田 茂
kiryu,2026-05-29,5,3,小松 卓司,,2026-05-29 23:31:06,68,17.7,39.2,43,重冨 勇哉
kiryu,2026-05-29,5,4,森 智也,,2026-05-29 23:31:06,37,31.7,48.3,20,熊倉 幹太
kiryu,2026-05-29,5,5,鈴谷 一平,,2026-05-29 23:31:06,74,35.8,56.1,9,福田 翔吾
kiryu,2026-05-29,5,6,鈴木 柊介,,2026-05-29 23:31:06,25,25.0,35.7,34,後藤 盛也
kiryu,2026-05-29,6,1,中村 尊,,2026-05-29 23:33:04,71,26.7,43.8,30,広瀬 聖仁
kiryu,2026-05-29,6,2,田邉 亮蔵,,2026-05-29 23:33:04,52,20.9,32.8,41,小倉 康典
kiryu,2026-05-29,6,3,中岡 健人,,2026-05-29 23:33:04,75,29.4,42.2,25,中村 将隆
kiryu,2026-05-29,6,4,原 加央理,,2026-05-29 23:33:04,51,26.4,36.8,31,伊倉 光
kiryu,2026-05-29,6,5,宮武 英司,,2026-05-29 23:33:04,58,22.1,37.2,37,村岡 賢人
kiryu,2026-05-29,6,6,塚越 陸斗,,2026-05-29 23:33:04,23,27.3,37.7,29,和田 拓也
kiryu,2026-05-29,7,1,渡邉 俊介,,2026-05-29 23:35:01,19,23.0,35.6,36,徳増 秀樹
kiryu,2026-05-29,7,2,川添 英正,,2026-05-29 23:35:01,63,15.5,29.8,44,畔柳 俊吾
kiryu,2026-05-29,7,3,梶野 学志,,2026-05-29 23:35:01,34,33.6,55.5,15,堀本 和也
kiryu,2026-05-29,7,4,本吉 正樹,,2026-05-29 23:35:01,40,33.0,50.9,17,竹田 吉行
kiryu,2026-05-29,7,5,冨名腰 桃奈,,2026-05-29 23:35:01,45,37.5,59.8,6,嶋 義信
kiryu,2026-05-29,7,6,谷島 咲希,,2026-05-29 23:35:01,55,24.0,34.4,35,清水 紀克
kiryu,2026-05-29,8,1,杉村 賢也,,2026-05-29 23:36:58,26,33.9,53.2,14,安部 慎一
kiryu,2026-05-29,8,2,西田 和加,,2026-05-29 23:36:58,38,40.0,60.0,5,三角 哲男
kiryu,2026-05-29,8,3,佐竹 友樹,,2026-05-29 23:36:58,43,27.8,51.5,27,杉山 裕也
kiryu,2026-05-29,8,4,中曽 瑠華,,2026-05-29 23:36:58,30,49.5,63.2,2,高橋 竜矢
kiryu,2026-05-29,8,5,杉山 正樹,,2026-05-29 23:36:58,21,31.9,48.3,18,市橋 卓士
kiryu,2026-05-29,8,6,野田部 宏子,,2026-05-29 23:36:58,29,26.2,43.0,32,木村 浩士
kiryu,2026-05-29,9,1,亀山 雅幸,,2026-05-29 23:38:57,65,36.1,50.4,7,藤山 雅弘
kiryu,2026-05-29,9,2,鈴谷 一平,,2026-05-29 23:38:57,74,35.8,56.1,9,福田 翔吾
kiryu,2026-05-29,9,3,石田 政吾,,2026-05-29 23:38:57,39,21.8,35.9,39,野末 智一
kiryu,2026-05-29,9,4,増本 杏珠,,2026-05-29 23:38:57,18,21.4,32.1,40,乙津 康志
kiryu,2026-05-29,9,5,吉村 誠,,2026-05-29 23:38:57,42,25.3,36.8,33,谷口 健一
kiryu,2026-05-29,9,6,庄司 樹良々,,2026-05-29 23:38:57,16,22.0,39.0,38,宮本 夏樹
kiryu,2026-05-29,10,1,野口 勝弘,,2026-05-29 23:40:57,72,34.0,54.7,13,今泉 徹
kiryu,2026-05-29,10,2,前田 将太,,2026-05-29 23:40:57,35,43.6,56.4,4,石橋 道友
kiryu,2026-05-29,10,3,田邉 亮蔵,,2026-05-29 23:40:57,52,20.9,32.8,41,小倉 康典
kiryu,2026-05-29,10,4,小山 勉,,2026-05-29 23:40:57,22,27.7,34.9,28,富山 弘幸
kiryu,2026-05-29,10,5,上田 健太,,2026-05-29 23:40:57,64,35.9,52.8,8,下河 雅史
kiryu,2026-05-29,10,6,小松 卓司,,2026-05-29 23:40:57,68,17.7,39.2,43,重冨 勇哉
kiryu,2026-05-29,11,1,中辻 博訓,,2026-05-29 23:42:54,49,34.6,44.2,12,大賀 龍之介
kiryu,2026-05-29,11,2,宮崎 奨,,2026-05-29 23:42:54,48,31.0,54.0,23,藤田 浩人
kiryu,2026-05-29,11,3,入澤 友治,,2026-05-29 23:42:54,66,15.0,27.5,45,山本 景士郎
kiryu,2026-05-29,11,4,占部 一真,,2026-05-29 23:42:54,62,35.6,56.5,10,上田 洋平
kiryu,2026-05-29,11,5,本田 愛,,2026-05-29 23:42:54,61,13.1,27.9,46,岡瀬 正人
kiryu,2026-05-29,11,6,梶野 学志,,2026-05-29 23:42:54,34,33.6,55.5,15,堀本 和也
kiryu,2026-05-29,12,1,杉山 正樹,,2026-05-29 23:44:50,21,31.9,48.3,18,市橋 卓士
kiryu,2026-05-29,12,2,倉尾 大介,,2026-05-29 23:44:50,47,31.4,45.5,21,海老澤 泰行
kiryu,2026-05-29,12,3,門間 雄大,,2026-05-29 23:44:50,11,27.9,50.4,26,加藤 翔馬
kiryu,2026-05-29,12,4,冨名腰 桃奈,,2026-05-29 23:44:50,45,37.5,59.8,6,嶋 義信
kiryu,2026-05-29,12,5,中村 尊,,2026-05-29 23:44:50,71,26.7,43.8,30,広瀬 聖仁
kiryu,2026-05-29,12,6,森 智也,,2026-05-29 23:44:50,37,31.7,48.3,20,熊倉 幹太
