venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
kiryu,2026-05-30,1,1,本吉 正樹,B1,,5.01,7.42,6.68,3,-0.5,1,,,54.4,0.0,2026-05-30 23:18:30,40,32.5,50.0,17,竹田 吉行,0.05,False,晴,29,19,6,12,西南西,5
kiryu,2026-05-30,1,2,野口 勝弘,A2,,4.87,7.52,6.74,5,-0.5,2,,,50.5,1.5,2026-05-30 23:18:30,72,33.3,53.7,13,今泉 徹,0.06,False,晴,29,19,6,12,西南西,5
kiryu,2026-05-30,1,3,本田 愛,B1,,4.81,7.5,6.54,1,-0.5,3,,,47.0,0.0,2026-05-30 23:18:30,61,12.7,27.0,46,岡瀬 正人,0.06,False,晴,29,19,6,12,西南西,5
kiryu,2026-05-30,1,4,亀山 雅幸,A2,,4.58,7.34,6.72,4,0.0,4,,,52.0,0.0,2026-05-30 23:18:30,65,35.5,49.6,7,藤山 雅弘,-0.01,False,晴,29,19,6,12,西南西,5
kiryu,2026-05-30,1,5,鈴木 柊介,B2,,4.83,7.63,6.75,6,-0.5,5,,,55.7,0.0,2026-05-30 23:18:30,25,24.4,34.9,34,後藤 盛也,0.02,False,晴,29,19,6,12,西南西,5
kiryu,2026-05-30,1,6,佐竹 友樹,B1,,4.51,7.48,6.55,2,-0.5,6,,,52.9,0.0,2026-05-30 23:18:30,43,27.3,50.5,27,杉山 裕也,0.05,False,晴,29,19,6,12,西南西,5
kiryu,2026-05-30,2,1,宮武 英司,B1,,4.5,7.41,6.77,6,0.0,1,,,52.6,0.0,2026-05-30 23:18:35,58,21.6,36.4,37,村岡 賢人,0.21,True,晴,28,18,5,12,西南西,4
kiryu,2026-05-30,2,2,中辻 博訓,A1,,4.58,7.26,6.6,2,0.0,2,,,52.5,0.0,2026-05-30 23:18:35,49,34.0,43.4,12,大賀 龍之介,0.19,True,晴,28,18,5,12,西南西,4
kiryu,2026-05-30,2,3,中曽 瑠華,B2,,4.81,7.5,6.56,1,-0.5,3,,,51.3,0.0,2026-05-30 23:18:35,30,48.4,61.9,2,高橋 竜矢,0.48,True,晴,28,18,5,12,西南西,4
kiryu,2026-05-30,2,4,松井 賢治,A2,,4.69,7.45,6.66,3,0.0,4,,リング×２,52.0,0.0,2026-05-30 23:18:35,46,34.9,47.7,11,阿波 勝哉,0.24,True,晴,28,18,5,12,西南西,4
kiryu,2026-05-30,2,5,倉尾 大介,A2,,4.98,7.47,6.66,3,-0.5,6,,,53.4,0.0,2026-05-30 23:18:35,47,30.9,44.7,21,海老澤 泰行,0.03,True,晴,28,18,5,12,西南西,4
kiryu,2026-05-30,2,6,深川 和仁,B1,,4.63,7.51,6.71,5,-0.5,5,,,53.0,0.0,2026-05-30 23:18:35,70,30.0,43.6,24,松田 隆司,0.08,True,晴,28,18,5,12,西南西,4
kiryu,2026-05-30,3,1,木幡 純也,B1,,4.72,7.54,6.74,3,-0.5,1,,,52.1,0.0,2026-05-30 23:18:41,24,30.7,59.7,22,蒲原 健太,0.02,True,晴,27,18,5,12,西南西,4
kiryu,2026-05-30,3,2,久保原 秀人,B1,,4.9,7.52,6.84,5,-0.5,3,,,54.0,0.0,2026-05-30 23:18:41,12,46.6,62.1,3,田中 信一郎,0.13,True,晴,27,18,5,12,西南西,4
