chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
6.57,1.0,2026-05-06,2026-05-15 04:09:43,1,B1,0.0,,36.87,5.63,41.0,38.0,30.2,46.6,,前田 聖文,1,今出 晋二,0.11,6.72,5,-0.5,kojima,17.0,3.0,曇り,16.0,55.1,0.0,11.0,南西,2.0
6.8,2.0,2026-05-06,2026-05-15 04:09:43,2,B1,0.0,,37.0,5.63,25.0,43.0,24.6,40.2,,吉永 泰弘,1,小川 日紀太,0.11,6.7,4,-0.5,kojima,17.0,3.0,曇り,16.0,52.5,0.0,11.0,南西,2.0
6.8,3.0,2026-05-06,2026-05-15 04:09:43,3,B1,0.0,,37.7,5.47,65.0,19.0,37.3,56.4,,原村 拓也,1,小林 愛実,0.19,6.75,6,0.0,kojima,17.0,3.0,曇り,16.0,45.5,1.5,11.0,南西,2.0
6.77,4.0,2026-05-06,2026-05-15 04:09:43,4,B1,0.0,,37.8,5.47,66.0,36.0,30.7,47.2,,西村 拓也,1,東 潤樹,-0.02,6.69,3,-0.5,kojima,17.0,3.0,曇り,16.0,53.5,0.0,11.0,南西,2.0
6.83,5.0,2026-05-06,2026-05-15 04:09:43,5,B1,0.0,,36.73,5.43,33.0,45.0,23.6,31.5,,森安 弘雅,1,木山 大聖,-0.06,6.68,1,0.0,kojima,17.0,3.0,曇り,16.0,50.5,1.5,11.0,南西,2.0
6.87,6.0,2026-05-06,2026-05-15 04:09:43,6,B1,0.0,,37.37,6.07,60.0,6.0,44.4,63.2,,浅見 昌克,1,福嶋 智之,0.17,6.68,1,1.5,kojima,17.0,3.0,曇り,16.0,53.3,0.0,11.0,南西,2.0
6.43,1.0,2026-05-06,2026-05-15 04:09:49,1,B2,0.0,,36.83,6.17,63.0,11.0,39.8,52.5,,酒見 峻介,2,土屋 南,-0.03,6.76,2,-0.5,kojima,17.0,3.0,曇り,17.0,46.5,0.5,11.0,南西,2.0
6.5,2.0,2026-05-06,2026-05-15 04:09:49,2,B1,0.0,,36.77,5.9,39.0,10.0,41.3,54.5,,渡部 悟,2,長尾 萌加,0.02,6.68,1,-0.5,kojima,17.0,3.0,曇り,17.0,46.0,1.0,11.0,南西,2.0
6.6,3.0,2026-05-06,2026-05-15 04:09:49,3,A2,0.0,,37.47,6.0,59.0,40.0,28.2,46.8,,山下 流心,2,藤原 早菜,0.05,6.78,3,-0.5,kojima,17.0,3.0,曇り,17.0,46.0,1.0,11.0,南西,2.0
6.63,4.0,2026-05-06,2026-05-15 04:09:49,4,B1,0.0,,36.93,5.67,24.0,33.0,31.8,46.4,,渥美 卓郎,2,金田 幸子,0.1,6.81,4,-0.5,kojima,17.0,3.0,曇り,17.0,44.0,3.0,11.0,南西,2.0
6.73,5.0,2026-05-06,2026-05-15 04:09:49,5,B2,0.0,,36.87,5.6,20.0,2.0,53.8,73.1,,鈴谷 一平,2,諏訪 玲奈,0.01,6.83,5,-0.5,kojima,17.0,3.0,曇り,17.0,47.4,0.0,11.0,南西,2.0
6.7,6.0,2026-05-06,2026-05-15 04:09:49,6,B1,0.0,,37.6,5.57,15.0,28.0,32.5,47.1,,吉田 一心,2,福島 陽子,0.05,6.84,6,-0.5,kojima,17.0,3.0,曇り,17.0,47.9,0.0,11.0,南西,2.0
6.77,1.0,2026-05-06,2026-05-15 04:09:55,1,A2,0.0,,37.0,5.5,38.0,25.0,34.2,47.1,,佐藤 太亮,3,木山 和幸,-0.02,6.7,2,-0.5,kojima,17.0,3.0,曇り,17.0,50.5,1.5,11.0,南西,3.0
6.7,2.0,2026-05-06,2026-05-15 04:09:55,2,B1,0.0,,37.37,5.37,49.0,37.0,30.4,46.4,,前出 達吉,3,山地 正樹,-0.03,6.79,6,-0.5,kojima,17.0,3.0,曇り,17.0,52.0,0.0,11.0,南西,3.0
6.8,3.0,2026-05-06,2026-05-15 04:09:55,3,B1,0.0,,37.13,5.4,67.0,20.0,35.9,53.0,,中村 日向,3,福田 理,0.02,6.7,2,-0.5,kojima,17.0,3.0,曇り,17.0,54.5,0.0,11.0,南西,3.0
6.8,4.0,2026-05-06,2026-05-15 04:09:55,4,A1,0.0,,36.7,5.33,34.0,41.0,28.1,42.1,,丸岡 正典,3,川崎 智幸,0.12,6.77,5,0.0,kojima,17.0,3.0,曇り,17.0,52.5,0.0,11.0,南西,3.0
6.77,5.0,2026-05-06,2026-05-15 04:09:55,5,A1,0.0,,36.53,5.27,12.0,5.0,44.9,59.1,,神田 達也,3,山本 寛久,0.12,6.7,2,-0.5,kojima,17.0,3.0,曇り,17.0,52.0,0.0,11.0,南西,3.0
6.63,6.0,2026-05-06,2026-05-15 04:09:55,6,A1,0.0,,37.33,5.6,21.0,7.0,42.7,58.9,,梅木 敬太,3,藤原 啓史朗,0.05,6.55,1,3.0,kojima,17.0,3.0,曇り,17.0,50.5,1.5,11.0,南西,3.0
6.7,1.0,2026-05-06,2026-05-15 04:10:02,1,A1,0.0,,36.47,5.43,29.0,23.0,34.4,51.6,,松尾 光広,4,藤原 碧生,0.05,6.8,5,0.0,kojima,17.0,3.0,曇り,17.0,52.1,0.0,11.0,南西,3.0
6.8,2.0,2026-05-06,2026-05-15 04:10:02,2,B1,0.0,,37.43,5.7,22.0,24.0,34.2,48.7,,中辻 崇人,4,柴田 大輔,0.1,6.7,2,0.0,kojima,17.0,3.0,曇り,17.0,52.0,0.0,11.0,南西,3.0
6.57,3.0,2026-05-06,2026-05-15 04:10:02,3,B1,0.0,,36.97,6.13,18.0,27.0,33.1,46.8,,樋口 亮,4,大原 祥昌,0.11,6.71,3,-0.5,kojima,17.0,3.0,曇り,17.0,52.7,0.0,11.0,南西,3.0
6.83,4.0,2026-05-06,2026-05-15 04:10:02,4,A2,0.0,,37.3,5.43,47.0,46.0,21.4,43.6,,梅原 祥平,4,末永 由楽,0.08,6.76,4,-0.5,kojima,17.0,3.0,曇り,17.0,52.2,0.0,11.0,南西,3.0
6.83,5.0,2026-05-06,2026-05-15 04:10:02,5,B1,0.0,,37.1,5.77,26.0,32.0,32.0,52.5,,河野 大,4,荒井 輝年,-0.03,6.69,1,-0.5,kojima,17.0,3.0,曇り,17.0,53.6,0.0,11.0,南西,3.0
6.83,6.0,2026-05-06,2026-05-15 04:10:02,6,A1,0.0,,37.37,5.4,53.0,14.0,38.7,55.6,,清水 紀克,4,山口 達也,-0.03,6.94,6,-0.5,kojima,17.0,3.0,曇り,17.0,53.3,0.0,11.0,南西,3.0
6.6,1.0,2026-05-06,2026-05-15 04:10:07,1,A2,0.0,,36.77,5.83,64.0,42.0,26.4,42.6,,松下 哲也,5,岡瀬 正人,0.05,6.71,1,-0.5,kojima,17.0,3.0,曇り,17.0,52.0,0.0,11.0,南西,2.0
6.67,2.0,2026-05-06,2026-05-15 04:10:07,2,B1,0.0,,37.27,5.6,54.0,26.0,33.6,53.8,,守田 俊介,5,田頭 虎親,-0.02,6.84,6,-0.5,kojima,17.0,3.0,曇り,17.0,52.0,0.0,11.0,南西,2.0
6.67,3.0,2026-05-06,2026-05-15 04:10:07,3,A1,0.0,,37.13,5.4,69.0,34.0,31.1,47.9,,川野 芽唯,5,平尾 崇典,-0.07,6.77,3,0.0,kojima,17.0,3.0,曇り,17.0,50.0,2.0,11.0,南西,2.0
6.77,4.0,2026-05-06,2026-05-15 04:10:07,4,B1,0.0,,36.97,5.5,19.0,30.0,32.0,54.4,,山田 和佐,5,金田 大輔,0.22,6.78,4,0.0,kojima,17.0,3.0,曇り,17.0,51.0,1.0,11.0,南西,2.0
6.7,5.0,2026-05-06,2026-05-15 04:10:07,5,A2,0.0,,37.27,5.27,55.0,4.0,47.5,70.0,,室田 泰史,5,林 祐介,0.12,6.71,1,-0.5,kojima,17.0,3.0,曇り,17.0,55.1,0.0,11.0,南西,2.0
6.67,6.0,2026-05-06,2026-05-15 04:10:07,6,B2,0.0,,37.4,5.47,31.0,17.0,37.9,55.2,,平岡 重典,5,三村 岳人,0.21,6.83,5,-0.5,kojima,17.0,3.0,曇り,17.0,51.5,0.5,11.0,南西,2.0
6.7,1.0,2026-05-06,2026-05-15 04:10:14,1,B1,0.0,,37.0,5.6,57.0,13.0,39.2,54.2,,松本 一毅,6,梅原 祥平,0.26,6.68,1,-0.5,kojima,17.0,3.0,晴,18.0,51.5,0.5,11.0,南西,3.0
6.83,2.0,2026-05-06,2026-05-15 04:10:14,2,B1,0.0,,37.07,5.53,36.0,35.0,30.8,51.3,,鈴木 勝博,6,渡辺 崇,0.25,6.72,2,-0.5,kojima,17.0,3.0,晴,18.0,54.5,0.0,11.0,南西,3.0
6.77,3.0,2026-05-06,2026-05-15 04:10:14,3,A2,0.0,,36.97,5.27,35.0,3.0,49.6,63.4,,渡邉 俊介,6,妹尾 忠幸,0.34,6.8,5,-0.5,kojima,17.0,3.0,晴,18.0,54.7,0.0,11.0,南西,3.0
6.73,4.0,2026-05-06,2026-05-15 04:10:14,4,B1,0.0,,37.07,5.63,50.0,9.0,42.0,60.7,,岩津 徹郎,6,峰重 力也,0.1,6.77,4,-0.5,kojima,17.0,3.0,晴,18.0,52.0,0.0,11.0,南西,3.0
6.73,5.0,2026-05-06,2026-05-15 04:10:14,5,A1,0.0,,36.93,5.3,43.0,44.0,24.2,47.7,,佐々木 翔斗,6,渡邉 和将,0.13,6.81,6,0.0,kojima,17.0,3.0,晴,18.0,50.0,2.0,11.0,南西,3.0
6.73,6.0,2026-05-06,2026-05-15 04:10:14,6,A1,0.0,,37.1,5.4,61.0,31.0,32.0,46.4,,得山 大輝,6,白神 優,0.11,6.75,3,-0.5,kojima,17.0,3.0,晴,18.0,52.0,0.0,11.0,南西,3.0
6.53,1.0,2026-05-06,2026-05-15 04:10:20,1,A1,0.0,,36.87,5.8,45.0,29.0,32.5,41.7,,安河内 健,7,重成 一人,0.16,6.74,1,0.0,kojima,17.0,3.0,晴,18.0,55.9,0.0,13.0,西,3.0
6.8,2.0,2026-05-06,2026-05-15 04:10:20,2,B1,0.0,,36.97,5.37,56.0,12.0,39.3,54.1,,島村 隆幸,7,佐藤 太亮,0.27,6.8,2,-0.5,kojima,17.0,3.0,晴,18.0,51.5,0.5,13.0,西,3.0
6.73,3.0,2026-05-06,2026-05-15 04:10:20,3,B2,0.0,,37.03,5.57,58.0,16.0,38.0,57.0,,成貞 琳平,7,前原 哉,0.22,6.84,4,-0.5,kojima,17.0,3.0,晴,18.0,45.5,1.5,13.0,西,3.0
6.83,4.0,2026-05-06,2026-05-15 04:10:20,4,B1,0.0,,37.3,5.37,67.0,20.0,35.9,53.0,,中村 日向,7,福田 理,0.06,6.85,5,-0.5,kojima,17.0,3.0,晴,18.0,54.5,0.0,13.0,西,3.0
6.77,5.0,2026-05-06,2026-05-15 04:10:20,5,B1,0.0,,37.53,5.37,23.0,22.0,34.7,53.2,,向井田 佑紀,7,守屋 大地,0.14,6.89,6,0.0,kojima,17.0,3.0,晴,18.0,52.0,0.0,13.0,西,3.0
