venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
kojima,2026-05-14,1,1,中田 友也,A2,37.4,5.57,6.73,6.89,3,-0.5,1,,,56.6,0.0,2026-05-14 10:47:05,47,22.8,45.7,42,末永 由楽,0.2,False,晴,20,19,3,11,南西,3
kojima,2026-05-14,1,2,早川 尚人,B1,38.17,5.8,6.7,6.92,5,0.0,2,,,55.3,0.0,2026-05-14 10:47:05,54,32.0,51.6,28,田頭 虎親,0.16,False,晴,20,19,3,11,南西,3
kojima,2026-05-14,1,3,三嶌 さらら,B1,37.57,5.77,6.8,6.82,1,-0.5,3,,,47.0,0.0,2026-05-14 10:47:05,22,34.1,48.4,21,柴田 大輔,0.08,False,晴,20,19,3,11,南西,3
kojima,2026-05-14,1,4,品田 直樹,B1,37.27,5.7,6.77,6.9,4,-0.5,4,,,52.7,0.0,2026-05-14 10:47:05,50,39.3,58.2,8,峰重 力也,0.04,False,晴,20,19,3,11,南西,3
kojima,2026-05-14,1,5,深川 和仁,B1,37.4,5.7,6.77,7.02,6,-0.5,5,,,53.8,0.0,2026-05-14 10:47:05,11,20.7,34.7,45,石橋 道友,-0.08,False,晴,20,19,3,11,南西,3
kojima,2026-05-14,1,6,寺田 夢生,B2,37.3,5.93,6.83,6.84,2,0.0,6,,,46.5,0.5,2026-05-14 10:47:05,40,24.4,49.6,39,藤井 公人,0.04,False,晴,20,19,3,11,南西,3
kojima,2026-05-14,2,1,米田 隆弘,B1,37.77,5.77,6.83,6.85,5,-0.5,1,,,53.9,0.0,2026-05-14 11:08:06,48,24.0,44.0,40,角山 雄哉,0.23,False,晴,21,19,1,13,西,1
kojima,2026-05-14,2,2,坂本 奈央,B2,37.97,6.0,6.7,6.76,2,-0.5,2,,,47.9,0.0,2026-05-14 11:08:06,62,37.2,57.4,14,森定 晃史,0.12,False,晴,21,19,1,13,西,1
kojima,2026-05-14,2,3,尾道 佳諭,B1,38.07,5.77,6.77,6.66,1,0.0,3,,,53.1,0.0,2026-05-14 11:08:06,21,40.6,57.1,5,藤原 啓史朗,0.01,False,晴,21,19,1,13,西,1
kojima,2026-05-14,2,4,森 弘行,B1,37.7,5.73,6.77,6.78,3,0.0,4,,,52.0,0.0,2026-05-14 11:08:06,60,42.9,61.1,4,福嶋 智之,0.07,False,晴,21,19,1,13,西,1
kojima,2026-05-14,2,5,渡 修平,B1,37.8,5.73,6.8,6.81,4,-0.5,5,,,52.0,0.0,2026-05-14 11:08:06,38,34.6,47.4,20,木山 和幸,0.07,False,晴,21,19,1,13,西,1
kojima,2026-05-14,2,6,西丸 敦基,B1,36.67,5.53,6.77,6.94,6,0.0,6,,,53.1,0.0,2026-05-14 11:08:06,46,23.5,37.4,41,尾崎 雄二,0.12,False,晴,21,19,1,13,西,1
kojima,2026-05-14,3,1,木場 悠介,B1,37.2,5.77,6.63,6.7,2,0.0,1,,,51.5,0.5,2026-05-14 11:39:31,57,37.7,53.8,13,梅原 祥平,-0.02,False,晴,22,19,2,13,西,3
kojima,2026-05-14,3,2,冨名腰 桃奈,B1,37.13,5.83,6.77,6.65,1,0.0,2,,,46.5,0.5,2026-05-14 11:39:31,27,35.8,49.2,17,網代 良芽,0.18,False,晴,22,19,2,13,西,3
kojima,2026-05-14,3,3,加木 郁,B1,36.97,5.73,6.73,6.75,3,-0.5,3,,,52.0,0.0,2026-05-14 11:39:31,31,38.4,55.2,9,三村 岳人,0.13,False,晴,22,19,2,13,西,3
kojima,2026-05-14,3,4,関根 彰人,B1,37.27,5.67,6.7,6.82,5,-0.5,4,,,52.3,0.0,2026-05-14 11:39:31,14,25.4,42.4,36,松尾 基成,0.05,False,晴,22,19,2,13,西,3
kojima,2026-05-14,3,5,井本 昌也,A1,36.7,5.67,6.73,6.85,6,0.0,5,,,52.0,0.0,2026-05-14 11:39:31,26,34.8,53.8,19,荒井 輝年,-0.04,False,晴,22,19,2,13,西,3
kojima,2026-05-14,3,6,小川 晃司,B1,37.53,5.63,6.8,6.77,4,-0.5,6,,,51.0,1.0,2026-05-14 11:39:31,32,20.8,37.5,44,三宅 健太,0.11,False,晴,22,19,2,13,西,3
kojima,2026-05-14,4,1,品川 二千翔,A2,36.8,6.03,6.57,6.77,1,-0.5,1,,,51.0,1.0,2026-05-14 12:10:04,25,25.0,40.9,37,小川 日紀太,0.13,True,晴,22,19,2,13,西,3
kojima,2026-05-14,4,2,細川 明人,B1,37.43,5.83,6.73,6.77,1,-0.5,2,,,55.1,0.0,2026-05-14 12:10:04,16,39.5,54.3,7,長谷川 暖,0.26,True,晴,22,19,2,13,西,3
kojima,2026-05-14,4,3,明石 正之,B1,37.2,5.87,6.63,6.86,5,-0.5,4,,,52.0,0.0,2026-05-14 12:10:04,58,37.7,56.1,12,前原 哉,-0.04,True,晴,22,19,2,13,西,3
