chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
6.03,1.0,2026-04-25,2026-05-15 04:26:45,1,B1,0.0,,37.03,5.37,50.0,2.0,38.4,51.0,,,1,上田 隆章,0.26,6.72,1,0.0,marugame,16.0,3.0,晴,21.0,52.0,0.0,15.0,北西,3.0
5.93,2.0,2026-04-25,2026-05-15 04:26:45,2,B1,0.0,,38.33,5.37,22.0,25.0,29.6,48.0,,岩永 雅人,1,三嶌 こころ,0.21,6.89,6,-0.5,marugame,16.0,3.0,晴,21.0,50.9,0.0,15.0,北西,3.0
6.03,3.0,2026-04-25,2026-05-15 04:26:45,3,B1,0.0,,37.27,5.3,33.0,29.0,28.6,43.6,,堀本 和也,1,松下 知幸,0.12,6.75,4,0.0,marugame,16.0,3.0,晴,21.0,51.5,0.5,15.0,北西,3.0
6.17,4.0,2026-04-25,2026-05-15 04:26:45,4,B1,0.0,,37.27,5.13,6.0,26.0,29.5,43.6,,,1,川上 清人,0.11,6.74,2,-0.5,marugame,16.0,3.0,晴,21.0,63.5,0.0,15.0,北西,3.0
5.93,5.0,2026-04-25,2026-05-15 04:26:45,5,B1,0.0,,38.07,5.83,23.0,42.0,23.7,44.1,,,1,塩田 雄一,0.02,6.8,5,-0.5,marugame,16.0,3.0,晴,21.0,49.5,2.5,15.0,北西,3.0
6.0,6.0,2026-04-25,2026-05-15 04:26:45,6,B1,0.0,,37.17,5.97,35.0,35.0,25.8,42.6,,,1,大西 隆洋,0.01,6.74,2,-0.5,marugame,16.0,3.0,晴,21.0,56.4,0.0,15.0,北西,3.0
5.83,1.0,2026-04-25,2026-05-15 04:26:51,1,B1,0.0,,37.53,5.37,13.0,41.0,23.9,37.4,,川井 萌,2,長谷川 親王,0.03,6.71,1,-0.5,marugame,16.0,4.0,晴,21.0,56.8,0.0,15.0,北西,4.0
5.93,2.0,2026-04-25,2026-05-15 04:26:51,2,B1,0.0,,37.5,5.2,21.0,19.0,31.0,51.0,,,2,深川 和仁,0.18,6.8,5,-0.5,marugame,16.0,4.0,晴,21.0,53.2,0.0,15.0,北西,4.0
5.93,3.0,2026-04-25,2026-05-15 04:26:51,3,A2,0.0,,37.7,5.5,4.0,22.0,30.6,50.3,,,2,濱野 斗馬,-0.02,6.74,3,-0.5,marugame,16.0,4.0,晴,21.0,52.2,0.0,15.0,北西,4.0
5.83,4.0,2026-04-25,2026-05-15 04:26:51,4,B1,0.0,,37.9,6.0,49.0,44.0,23.3,46.0,,,2,大廣 咲季,-0.01,6.77,4,-0.5,marugame,16.0,4.0,晴,21.0,46.0,1.0,15.0,北西,4.0
6.03,5.0,2026-04-25,2026-05-15 04:26:51,5,A1,0.0,,36.77,5.6,26.0,36.0,25.6,41.9,,市橋 卓士,2,木谷 賢太,0.08,6.71,1,-0.5,marugame,16.0,4.0,晴,21.0,52.1,0.0,15.0,北西,4.0
