venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
marugame,2026-05-20,1,1,池上 隆行,B1,37.63,5.73,5.73,6.78,3,0.0,1,,,51.0,1.0,2026-05-21 07:27:06,46,35.7,47.4,22,宇野 弥生,0.07,False,晴,26,18,4,13,西,4
marugame,2026-05-20,1,2,松尾 基成,B1,37.73,5.7,5.8,6.69,2,-0.5,2,,,55.4,0.0,2026-05-21 07:27:06,36,36.9,54.0,16,野田 彩加,,False,晴,26,18,4,13,西,4
marugame,2026-05-20,1,3,吉田 光,B1,37.7,5.7,5.93,6.81,4,-0.5,3,,,51.0,1.0,2026-05-21 07:27:06,16,37.0,62.3,15,三浦 永理,0.07,False,晴,26,18,4,13,西,4
marugame,2026-05-20,1,4,山口 隆史,B1,37.3,5.43,5.9,6.68,1,0.0,4,,,53.0,0.0,2026-05-21 07:27:06,55,34.7,52.3,27,田上 凜,0.21,False,晴,26,18,4,13,西,4
marugame,2026-05-20,1,5,萬 正嗣,B1,37.7,5.53,6.03,6.83,5,-0.5,5,,,55.8,0.0,2026-05-21 07:27:06,53,32.6,48.0,29,今井 美亜,0.14,False,晴,26,18,4,13,西,4
marugame,2026-05-20,1,6,久保 翔耶,B2,37.7,6.27,6.1,6.85,6,0.0,6,,,52.1,0.0,2026-05-21 07:27:06,21,28.1,46.1,36,喜多須 杏奈,0.3,False,晴,26,18,4,13,西,4
marugame,2026-05-20,2,1,藤丸 光一,B1,37.57,5.33,6.07,6.69,1,-0.5,1,,電気,50.0,2.0,2026-05-21 07:27:16,18,27.0,41.6,39,海野 ゆかり,0.09,False,晴,26,18,4,15,北西,4
marugame,2026-05-20,2,2,松本 弓雄,B1,38.0,5.37,6.1,6.8,3,0.0,2,,リング×１,52.1,0.0,2026-05-21 07:27:16,62,35.1,51.1,26,渡邉 優美,0.16,False,晴,26,18,4,15,北西,4
marugame,2026-05-20,2,3,赤坂 俊輔,A1,38.17,5.33,6.0,6.82,5,-0.5,3,,キャブ,52.0,0.0,2026-05-21 07:27:16,27,33.1,48.5,28,門田 栞,0.11,False,晴,26,18,4,15,北西,4
marugame,2026-05-20,2,4,村松 栄太,B1,38.13,5.53,6.0,6.85,6,0.0,4,,ピストン×２_リング×１,52.7,0.0,2026-05-21 07:27:16,50,37.6,51.4,13,遠藤 エミ,0.24,False,晴,26,18,4,15,北西,4
marugame,2026-05-20,2,5,大場 恒季,A2,37.63,5.57,5.97,6.8,3,0.0,5,,,52.0,0.0,2026-05-21 07:27:16,17,28.9,44.6,32,浜田 亜理沙,0.01,False,晴,26,18,4,15,北西,4
marugame,2026-05-20,2,6,上村 慎太郎,B1,37.97,6.4,6.1,6.78,2,-0.5,6,,,51.5,0.5,2026-05-21 07:27:16,45,39.3,59.5,10,神里 琴音,-0.01,False,晴,26,18,4,15,北西,4
marugame,2026-05-20,3,1,小林 基樹,B2,38.03,5.57,5.93,6.7,1,-0.5,1,,,52.6,0.0,2026-05-21 07:27:25,31,28.3,39.0,34,柴田 百恵,0.09,False,曇り,25,18,3,15,北西,3
marugame,2026-05-20,3,2,渡邉 健,B1,37.63,5.6,5.97,6.8,4,-0.5,2,,,57.9,0.0,2026-05-21 07:27:25,41,25.6,38.1,43,大久保 佑香,-0.01,False,曇り,25,18,3,15,北西,3
marugame,2026-05-20,3,3,古結 宏,A1,37.8,5.53,5.9,6.86,5,-0.5,3,,,52.0,0.0,2026-05-21 07:27:25,22,28.2,47.7,35,山口 真喜子,0.09,False,曇り,25,18,3,15,北西,3
marugame,2026-05-20,3,4,谷口 知優,B1,37.7,5.5,5.83,6.87,6,-0.5,4,,,52.0,0.0,2026-05-21 07:27:25,57,35.2,49.4,24,武井 莉里佳,,False,曇り,25,18,3,15,北西,3
marugame,2026-05-20,3,5,真庭 明志,A2,37.13,5.3,5.97,6.74,3,0.0,5,,,52.0,0.0,2026-05-21 07:27:25,60,44.3,59.3,5,平高 奈菜,0.09,False,曇り,25,18,3,15,北西,3
marugame,2026-05-20,3,6,松尾 光広,B1,38.37,5.93,6.1,6.71,2,0.0,6,,,52.1,0.0,2026-05-21 07:27:25,40,35.7,52.0,23,清水 愛海,0.21,False,曇り,25,18,3,15,北西,3
marugame,2026-05-20,4,1,折下 寛法,B1,37.4,5.77,5.73,6.69,1,-0.5,1,,,51.5,0.5,2026-05-21 07:27:35,20,53.4,72.0,2,登 みひ果,0.05,False,曇り,25,18,4,13,西,4
marugame,2026-05-20,4,2,烏野 賢太,A2,37.33,5.67,5.97,6.77,4,-0.5,2,,,52.0,0.0,2026-05-21 07:27:35,58,36.7,53.8,18,宮崎 安奈,0.01,False,曇り,25,18,4,13,西,4
marugame,2026-05-20,4,3,太田 和美,A1,37.07,5.33,5.97,6.73,3,-0.5,3,,,52.7,0.0,2026-05-21 07:27:35,64,32.0,43.6,30,小芦 るり華,-0.03,False,曇り,25,18,4,13,西,4
marugame,2026-05-20,4,4,國弘 翔平,B1,37.57,5.63,6.03,6.7,2,-0.5,4,,,50.5,1.5,2026-05-21 07:27:35,12,39.4,56.9,9,刑部 亜里紗,0.07,False,曇り,25,18,4,13,西,4
marugame,2026-05-20,4,5,浅見 宗孝,B1,37.2,5.5,6.03,6.78,5,-0.5,5,,,54.8,0.0,2026-05-21 07:27:35,48,44.8,61.7,3,土屋 蘭,0.16,False,曇り,25,18,4,13,西,4
marugame,2026-05-20,4,6,安武 一也,B2,37.73,6.6,5.97,6.81,6,-0.5,6,,,52.0,0.0,2026-05-21 07:27:35,34,44.6,61.6,4,野田 なづき,0.31,False,曇り,25,18,4,13,西,4
marugame,2026-05-20,5,1,山本 幸也,B1,37.77,5.57,5.67,6.75,2,0.0,1,,,55.2,0.0,2026-05-21 07:27:42,24,37.3,54.4,14,山田 理央,0.06,True,曇り,25,18,3,15,北西,3
marugame,2026-05-20,5,2,飯山 晃三,B1,38.43,5.6,5.87,6.79,5,-0.5,2,,,58.9,0.0,2026-05-21 07:27:42,7,43.8,63.7,8,前田 紗希,0.09,True,曇り,25,18,3,15,北西,3
marugame,2026-05-20,5,3,栗山 繁洋,B1,37.93,5.53,5.9,6.78,4,-0.5,3,,,52.0,0.0,2026-05-21 07:27:42,54,37.6,54.7,12,米丸 乃絵,0.13,True,曇り,25,18,3,15,北西,3
marugame,2026-05-20,5,4,馬袋 義則,A1,37.43,5.6,5.9,6.77,3,-0.5,4,,,52.5,0.0,2026-05-21 07:27:42,15,30.1,48.8,31,寺田 千恵,0.08,True,曇り,25,18,3,15,北西,3
marugame,2026-05-20,5,5,笠置 博之,A2,38.5,5.9,6.0,6.59,1,3.0,6,,,53.4,0.0,2026-05-21 07:27:42,44,25.9,38.9,42,川原 祐明,0.05,True,曇り,25,18,3,15,北西,3
marugame,2026-05-20,5,6,多羅尾 達之,B1,37.93,5.83,6.23,6.87,6,-0.5,5,,,50.5,1.5,2026-05-21 07:27:42,43,27.0,44.9,40,湯淺 紀香,0.01,True,曇り,25,18,3,15,北西,3
marugame,2026-05-20,6,1,一瀬 明,A2,37.13,5.47,5.87,6.77,1,-0.5,1,,,52.0,0.0,2026-05-21 07:27:49,2,36.0,50.6,19,岩崎 芳美,0.24,True,曇り,24,18,3,15,北西,3
marugame,2026-05-20,6,2,川崎 智幸,A1,36.93,5.63,5.77,6.84,6,0.0,2,,,53.2,0.0,2026-05-21 07:27:49,13,24.3,37.3,45,長谷川 親王,0.34,True,曇り,24,18,3,15,北西,3
marugame,2026-05-20,6,3,木村 光宏,B1,38.0,5.6,5.87,6.82,4,-0.5,3,,リング×１,52.9,0.0,2026-05-21 07:27:49,3,37.7,52.2,11,北村 寧々,0.11,True,曇り,24,18,3,15,北西,3
marugame,2026-05-20,6,4,山下 流心,B1,37.73,5.5,6.0,6.83,5,0.0,4,,,52.6,0.0,2026-05-21 07:27:49,1,28.9,45.2,33,魚谷 香織,0.11,True,曇り,24,18,3,15,北西,3
marugame,2026-05-20,6,5,久保 翔耶,B2,37.73,5.53,5.9,6.77,1,0.0,6,,,52.1,0.0,2026-05-21 07:27:49,21,28.1,46.1,36,喜多須 杏奈,-0.07,True,曇り,24,18,3,15,北西,3
marugame,2026-05-20,6,6,大澤 風葵,A2,37.63,5.6,6.03,6.79,3,-0.5,5,,,52.0,0.0,2026-05-21 07:27:49,30,35.9,58.1,20,長嶋 万記,0.14,True,曇り,24,18,3,15,北西,3
marugame,2026-05-20,7,1,渡邉 翼,A2,37.63,5.7,5.73,6.78,2,0.0,1,,,50.5,1.5,2026-05-21 07:27:56,52,35.9,55.3,21,山川 美由紀,-0.05,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,7,2,仲口 博崇,A1,37.13,5.7,5.7,6.76,1,-0.5,2,,,52.1,0.0,2026-05-21 07:27:56,19,25.4,42.4,44,石丸 海渡,-0.06,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,7,3,村松 栄太,B1,37.4,5.67,5.83,6.82,5,0.0,3,,ピストン×２,52.7,0.0,2026-05-21 07:27:56,50,37.6,51.4,13,遠藤 エミ,-0.02,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,7,4,吉田 光,B1,38.5,5.77,5.93,6.81,3,-0.5,4,,,51.0,1.0,2026-05-21 07:27:56,16,37.0,62.3,15,三浦 永理,-0.01,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,7,5,松尾 光広,B1,38.37,6.3,5.7,6.81,3,0.0,5,,,52.1,0.0,2026-05-21 07:27:56,40,35.7,52.0,23,清水 愛海,-0.11,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,7,6,中村 魁生,A1,37.37,5.77,6.1,6.83,6,-0.5,6,,,52.0,0.0,2026-05-21 07:27:56,33,27.6,42.3,37,實森 美祐,-0.07,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,8,1,中田 元泰,A1,37.33,5.37,5.9,6.72,2,-0.5,1,,,52.3,0.0,2026-05-21 07:28:03,23,24.1,43.4,46,塩田 雄一,0.18,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,8,2,都築 正治,A2,37.7,5.5,5.9,6.77,3,0.0,2,,,52.2,0.0,2026-05-21 07:28:03,10,27.4,44.6,38,中田 夕貴,0.08,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,8,3,岡部 大輔,B1,37.8,5.33,5.97,6.81,4,0.0,3,,,52.2,0.0,2026-05-21 07:28:03,39,35.1,45.5,25,堀之内紀代子,-0.02,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,8,4,真庭 明志,A2,37.53,5.4,5.83,6.85,6,0.0,4,,,52.0,0.0,2026-05-21 07:28:03,60,44.3,59.3,5,平高 奈菜,-0.01,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,8,5,松尾 基成,B1,37.87,5.37,5.93,6.82,5,-0.5,5,,,55.4,0.0,2026-05-21 07:28:03,36,36.9,54.0,16,野田 彩加,0.11,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,8,6,國弘 翔平,B1,37.9,5.57,6.13,6.71,1,-0.5,6,,,50.5,1.5,2026-05-21 07:28:03,12,39.4,56.9,9,刑部 亜里紗,0.02,False,曇り,23,18,3,15,北西,3
marugame,2026-05-20,9,1,木谷 賢太,A1,36.97,6.0,5.7,6.77,2,0.0,1,,,52.0,0.0,2026-05-21 07:28:10,32,43.8,59.3,6,平山 智加,0.01,False,曇り,23,18,1,15,北西,1
marugame,2026-05-20,9,2,小林 基樹,B2,38.77,5.63,6.0,6.74,1,-0.5,2,,,52.6,0.0,2026-05-21 07:28:10,31,28.3,39.0,34,柴田 百恵,0.17,False,曇り,23,18,1,15,北西,1
marugame,2026-05-20,9,3,佐々木 大河,A2,37.93,5.9,5.87,6.77,2,-0.5,3,,リング×２,52.0,0.0,2026-05-21 07:28:10,29,43.8,60.4,7,川野 芽唯,-0.04,False,曇り,23,18,1,15,北西,1
marugame,2026-05-20,9,4,平石 和男,A2,37.23,6.2,5.87,6.83,4,-0.5,4,,,51.0,1.0,2026-05-21 07:28:10,59,36.8,59.7,17,小野 生奈,0.02,False,曇り,23,18,1,15,北西,1
marugame,2026-05-20,9,5,安武 一也,B2,38.2,6.4,5.8,6.84,6,-0.5,5,,,52.0,0.0,2026-05-21 07:28:10,34,44.6,61.6,4,野田 なづき,0.07,False,曇り,23,18,1,15,北西,1
marugame,2026-05-20,9,6,萬 正嗣,B1,38.5,5.97,6.23,6.83,4,0.0,6,,,55.8,0.0,2026-05-21 07:28:10,53,32.6,48.0,29,今井 美亜,0.11,False,曇り,23,18,1,15,北西,1
marugame,2026-05-20,10,1,海野 康志郎,A1,37.1,5.3,5.97,6.78,3,-0.5,1,,,54.5,0.0,2026-05-21 07:28:17,66,26.2,41.2,41,嶋田 貴支,0.09,False,曇り,23,18,2,15,北西,2
marugame,2026-05-20,10,2,古結 宏,A1,37.8,5.53,5.83,6.77,2,-0.5,2,,,52.0,0.0,2026-05-21 07:28:17,22,28.2,47.7,35,山口 真喜子,0.11,False,曇り,23,18,2,15,北西,2
marugame,2026-05-20,10,3,飯山 晃三,B1,38.47,5.7,5.87,6.8,4,-0.5,3,,,58.9,0.0,2026-05-21 07:28:17,7,43.8,63.7,8,前田 紗希,0.07,False,曇り,23,18,2,15,北西,2
marugame,2026-05-20,10,4,折下 寛法,B1,38.03,5.67,5.9,6.7,1,-0.5,4,,,51.5,0.5,2026-05-21 07:28:17,20,53.4,72.0,2,登 みひ果,0.06,False,曇り,23,18,2,15,北西,2
