venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
mikuni,2026-05-17,1,1,北川 潤二,A2,36.1,5.3,6.65,6.73,4,-0.5,1,,,55.9,0.0,2026-05-17 08:25:41,70,28.6,44.9,27,樋口 喜彦,0.05,False,晴,17,21,0,17,不明,0
mikuni,2026-05-17,1,2,櫻井 優,B1,37.0,5.67,6.72,6.78,6,0.0,2,,,52.3,0.0,2026-05-17 08:25:41,21,9.5,28.6,45,三原 司,0.08,False,晴,17,21,0,17,不明,0
mikuni,2026-05-17,1,3,向所 浩二,B1,37.18,5.52,6.82,6.58,1,0.5,3,,,58.8,0.0,2026-05-17 08:25:41,32,21.9,43.9,35,坂野 さくら,0.08,False,晴,17,21,0,17,不明,0
mikuni,2026-05-17,1,4,大森 翼,B1,37.08,5.68,6.6,6.71,3,-0.5,4,,,52.0,0.0,2026-05-17 08:25:41,28,42.2,66.7,8,黒柳 浩孝,0.26,False,晴,17,21,0,17,不明,0
mikuni,2026-05-17,1,5,石井 裕美,B1,37.3,5.7,6.73,6.73,4,0.0,5,,,49.8,0.0,2026-05-17 08:25:41,56,11.1,22.2,44,岩川 仁士,0.21,False,晴,17,21,0,17,不明,0
mikuni,2026-05-17,1,6,久田 武,B1,37.23,5.73,6.62,6.7,2,-0.5,6,,,52.1,0.0,2026-05-17 08:25:41,49,31.7,43.9,21,前出 達吉,0.12,False,晴,17,21,0,17,不明,0
mikuni,2026-05-17,2,1,梶野 学志,A1,37.23,5.65,6.77,6.86,6,-0.5,1,,,52.1,0.0,2026-05-17 08:48:18,39,17.9,48.7,40,深川 麻奈美,0.03,True,晴,18,22,0,17,不明,0
mikuni,2026-05-17,2,2,山崎 裕司,A2,38.07,6.52,6.7,6.67,1,0.0,2,,,53.2,0.0,2026-05-17 08:48:18,69,25.6,35.9,29,小黒 竜吾,0.21,True,晴,18,22,0,17,不明,0
mikuni,2026-05-17,2,3,寺島 吉彦,B1,37.55,5.75,6.83,6.72,2,-0.5,3,,,50.0,2.0,2026-05-17 08:48:18,22,17.5,20.0,41,樋口 亮,0.23,True,晴,18,22,0,17,不明,0
mikuni,2026-05-17,2,4,谷川 将太,B1,37.35,5.83,6.78,6.72,2,0.0,4,,,53.2,0.0,2026-05-17 08:48:18,38,22.2,41.7,34,山本 兼士,0.11,True,晴,18,22,0,17,不明,0
