chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
6.6,1.0,2026-05-25,2026-05-25 08:29:33,1,A1,0.0,,36.83,5.68,33,16,40.0,58.0,ピストン×１_リング×１,山本 浩輔,1,武田 光史,0.09,6.62,1.0,-0.5,mikuni,22.0,2.0,晴,20.0,52.1,0.0,12.0,西南西,2.0
6.67,2.0,2026-05-25,2026-05-25 08:29:33,2,B1,0.0,,36.82,5.43,11,41,18.2,34.1,キャブ,中西 月輝,1,野間 大樹,0.11,6.7,4.0,0.0,mikuni,22.0,2.0,晴,20.0,52.2,0.0,12.0,西南西,2.0
6.77,3.0,2026-05-25,2026-05-25 08:29:33,3,B1,0.0,,37.5,5.83,68,45,15.2,30.4,,柳瀬 幹太,1,杢野 誓良,0.09,6.73,6.0,0.0,mikuni,22.0,2.0,晴,20.0,51.5,0.5,12.0,西南西,2.0
6.68,4.0,2026-05-25,2026-05-25 08:29:33,4,B1,0.0,,36.9,5.37,22,43,17.8,22.2,,寺島 吉彦,1,大場 広孝,0.12,6.72,5.0,-0.5,mikuni,22.0,2.0,晴,20.0,56.6,0.0,12.0,西南西,2.0
6.68,5.0,2026-05-25,2026-05-25 08:29:33,5,B1,0.0,,36.62,5.6,52,27,30.6,44.9,,後藤 隼之,1,山崎 義明,0.13,6.67,2.0,-0.5,mikuni,22.0,2.0,晴,20.0,52.0,0.0,12.0,西南西,2.0
6.7,6.0,2026-05-25,2026-05-25 08:29:33,6,B2,0.0,,37.45,5.78,25,17,39.1,52.2,,木下 翔太,1,高村 諒,0.16,6.69,3.0,-0.5,mikuni,22.0,2.0,晴,20.0,52.2,0.0,12.0,西南西,2.0
6.8,2.0,2026-05-25,2026-05-25 08:55:32,1,A2,1.0,,37.03,5.33,67,36,22.7,38.6,,表 憲一,2,別府 昌樹,0.18,6.84,6.0,0.0,mikuni,21.0,0.0,晴,22.0,54.6,0.0,17.0,不明,0.0
6.72,1.0,2026-05-25,2026-05-25 08:55:32,2,A1,1.0,,37.43,5.7,13,24,33.3,48.9,,柴田 朋哉,2,中村 晃朋,0.18,6.74,3.0,0.0,mikuni,21.0,0.0,晴,22.0,51.0,1.0,17.0,不明,0.0
6.63,3.0,2026-05-25,2026-05-25 08:55:32,3,B2,1.0,,37.27,5.87,19,32,26.5,49.0,,小野 桜,2,廣部 大明,0.25,6.71,1.0,-0.5,mikuni,21.0,0.0,晴,22.0,52.2,0.0,17.0,不明,0.0
6.72,4.0,2026-05-25,2026-05-25 08:55:32,4,B1,1.0,,37.52,5.62,56,40,18.6,27.9,,石井 裕美,2,谷本 幸司,0.11,6.75,4.0,-0.5,mikuni,21.0,0.0,晴,22.0,51.5,0.5,17.0,不明,0.0
6.67,5.0,2026-05-25,2026-05-25 08:55:32,5,B1,1.0,,37.02,5.6,65,7,46.2,63.5,,松田 祐季,2,浜崎 準也,0.34,6.72,2.0,-0.5,mikuni,21.0,0.0,晴,22.0,52.0,0.0,17.0,不明,0.0
6.8,6.0,2026-05-25,2026-05-25 08:55:32,6,B1,1.0,,37.62,5.6,34,22,34.1,40.9,,菅野 はやか,2,服部 達哉,0.09,6.75,4.0,-0.5,mikuni,21.0,0.0,晴,22.0,53.2,0.0,17.0,不明,0.0
6.78,1.0,2026-05-25,2026-05-25 09:22:32,1,A1,0.0,,37.22,5.68,62,23,34.0,52.0,,水摩 敦,3,松田 祐季,0.17,6.74,1.0,-0.5,mikuni,22.0,1.0,晴,22.0,52.0,0.0,14.0,西北西,1.0
6.95,2.0,2026-05-25,2026-05-25 09:22:32,2,B1,0.0,,37.75,5.8,24,10,42.5,63.8,,倉持 莉々,3,黄金井 力良,0.08,6.75,2.0,-0.5,mikuni,22.0,1.0,晴,22.0,54.6,0.0,14.0,西北西,1.0
6.73,3.0,2026-05-25,2026-05-25 09:22:32,3,A2,0.0,,37.4,5.78,20,14,41.3,63.0,,平田 健之佑,3,柘植 政浩,0.02,6.77,5.0,0.0,mikuni,22.0,1.0,晴,22.0,51.0,1.0,14.0,西北西,1.0
6.9,4.0,2026-05-25,2026-05-25 09:22:32,4,B1,0.0,,37.58,5.72,58,21,35.6,51.1,,木田 峰由季,3,河合 三弘,-0.04,6.81,6.0,-0.5,mikuni,22.0,1.0,晴,22.0,53.2,0.0,14.0,西北西,1.0
6.75,5.0,2026-05-25,2026-05-25 09:22:32,5,B1,0.0,,37.98,5.75,44,5,47.9,66.7,,萩原 秀人,3,野村 誠,-0.01,6.76,4.0,0.0,mikuni,22.0,1.0,晴,22.0,52.8,0.0,14.0,西北西,1.0
6.72,6.0,2026-05-25,2026-05-25 09:22:32,6,B1,0.0,,37.57,5.87,55,4,47.9,62.5,,遠藤 エミ,3,大澤 誠也,0.02,6.75,2.0,0.0,mikuni,22.0,1.0,晴,22.0,55.4,0.0,14.0,西北西,1.0
6.8,1.0,2026-05-25,2026-05-25 09:47:31,1,A2,0.0,,37.08,5.63,31,26,32.5,55.0,,浅見 昌克,4,三川 昂暁,0.15,6.82,3.0,0.0,mikuni,22.0,0.0,晴,23.0,53.2,0.0,17.0,不明,0.0
6.87,2.0,2026-05-25,2026-05-25 09:47:31,2,B1,0.0,,37.47,5.65,64,19,37.5,54.2,,平瀬 城啓,4,深水 慎一郎,0.21,6.79,2.0,-0.5,mikuni,22.0,0.0,晴,23.0,53.2,0.0,17.0,不明,0.0
6.78,3.0,2026-05-25,2026-05-25 09:47:31,3,A2,0.0,,37.15,5.6,35,18,37.8,48.9,,川上 聡介,4,天野 友和,0.07,6.76,1.0,-0.5,mikuni,22.0,0.0,晴,23.0,52.5,0.0,17.0,不明,0.0
6.83,4.0,2026-05-25,2026-05-25 09:47:31,4,B1,0.0,,37.43,5.67,32,38,20.8,43.8,,向所 浩二,4,高橋 二朗,0.08,6.84,6.0,0.5,mikuni,22.0,0.0,晴,23.0,52.0,0.0,17.0,不明,0.0
6.93,5.0,2026-05-25,2026-05-25 09:47:31,5,B1,0.0,,37.37,5.68,69,33,26.1,37.0,,山崎 裕司,4,岡田 憲行,0.02,6.82,3.0,-0.5,mikuni,22.0,0.0,晴,23.0,53.3,0.0,17.0,不明,0.0
6.92,6.0,2026-05-25,2026-05-25 09:47:31,6,A1,0.0,,37.6,5.75,27,20,37.2,55.8,,東本 勝利,4,新田 泰章,0.04,6.83,5.0,-0.5,mikuni,22.0,0.0,晴,23.0,52.8,0.0,17.0,不明,0.0
6.78,1.0,2026-05-25,2026-05-25 10:14:43,1,A2,0.0,,36.8,5.58,23,11,42.3,55.8,,中辻 博訓,5,谷村 一哉,0.01,6.78,4.0,-0.5,mikuni,22.0,3.0,晴,23.0,53.6,0.0,4.0,東北東,3.0
6.73,2.0,2026-05-25,2026-05-25 10:14:43,2,B1,0.0,,37.68,5.92,14,28,28.9,37.8,,角山 雄哉,5,小川 知行,0.02,6.74,2.0,-0.5,mikuni,22.0,3.0,晴,23.0,52.1,0.0,4.0,東北東,3.0
6.73,3.0,2026-05-25,2026-05-25 10:14:43,3,A1,0.0,,37.18,5.83,30,8,45.1,66.7,,中本 大樹,5,宮田 龍馬,0.07,6.69,1.0,0.0,mikuni,22.0,3.0,晴,23.0,52.0,0.0,4.0,東北東,3.0
6.73,4.0,2026-05-25,2026-05-25 10:14:43,4,B1,0.0,,37.72,5.95,50,31,26.5,46.9,,梅木 敬太,5,木下 陽介,0.16,6.74,2.0,0.0,mikuni,22.0,3.0,晴,23.0,56.6,0.0,4.0,東北東,3.0
6.77,5.0,2026-05-25,2026-05-25 10:14:43,5,A2,0.0,,37.23,5.67,66,9,44.2,61.5,,武田 光史,5,坂元 浩仁,0.16,6.83,6.0,-0.5,mikuni,22.0,3.0,晴,23.0,53.4,0.0,4.0,東北東,3.0
6.8,6.0,2026-05-25,2026-05-25 10:14:43,6,B1,0.0,,38.05,5.88,59,34,24.4,51.1,リング×２_キャブ_シリンダ,石田 政吾,5,下田 哲也,0.15,6.81,5.0,0.0,mikuni,22.0,3.0,晴,23.0,54.8,0.0,4.0,東北東,3.0
6.9,1.0,2026-05-25,2026-05-25 10:37:41,1,B1,0.0,,37.62,5.87,16,46,14.9,34.0,,中曽 瑠華,6,菊池 峰晴,0.04,6.87,6.0,-0.5,mikuni,22.0,4.0,晴,23.0,53.3,0.0,4.0,東北東,4.0
6.82,2.0,2026-05-25,2026-05-25 10:37:41,2,B1,0.0,,37.53,6.02,56,40,18.6,27.9,,石井 裕美,6,谷本 幸司,0.14,6.86,5.0,-0.5,mikuni,22.0,4.0,晴,23.0,51.5,0.5,4.0,東北東,4.0
6.75,3.0,2026-05-25,2026-05-25 10:37:41,3,A2,0.0,,37.22,5.9,29,35,23.4,38.3,,山地 正樹,6,出畑 孝典,0.02,6.79,1.0,0.0,mikuni,22.0,4.0,晴,23.0,52.2,0.0,4.0,東北東,4.0
6.87,4.0,2026-05-25,2026-05-25 10:37:41,4,A1,0.0,,37.5,5.9,36,30,27.1,52.1,,丹下 健,6,上平 真二,-0.05,6.85,3.0,-0.5,mikuni,22.0,4.0,晴,23.0,52.0,0.0,4.0,東北東,4.0
6.83,5.0,2026-05-25,2026-05-25 10:37:41,5,B1,0.0,,37.43,5.67,45,6,46.9,67.3,,今村 天次朗,6,泉 啓文,-0.01,6.85,3.0,-0.5,mikuni,22.0,4.0,晴,23.0,58.2,0.0,4.0,東北東,4.0
6.87,6.0,2026-05-25,2026-05-25 10:37:41,6,A2,0.0,,37.55,5.82,54,3,48.9,57.5,,中島 孝平,6,江本 真治,0.08,6.82,2.0,0.0,mikuni,22.0,4.0,晴,23.0,53.1,0.0,4.0,東北東,4.0
6.83,1.0,2026-05-25,2026-05-25 11:09:03,1,B1,0.0,,37.58,5.95,43,13,41.5,58.5,,高倉 孝太,7,明石 正之,-0.01,6.8,2.0,-0.5,mikuni,23.0,4.0,晴,23.0,52.1,0.0,4.0,東北東,4.0
6.78,2.0,2026-05-25,2026-05-25 11:09:03,2,A1,0.0,,37.3,5.85,33,16,40.0,58.0,,山本 浩輔,7,武田 光史,-0.06,6.87,5.0,-0.5,mikuni,23.0,4.0,晴,23.0,52.1,0.0,4.0,東北東,4.0
7.0,3.0,2026-05-25,2026-05-25 11:09:03,3,B1,0.0,,37.77,5.87,34,22,34.1,40.9,,菅野 はやか,7,服部 達哉,0.07,6.91,6.0,-0.5,mikuni,23.0,4.0,晴,23.0,53.2,0.0,4.0,東北東,4.0
6.77,4.0,2026-05-25,2026-05-25 11:09:03,4,A2,0.0,,37.87,6.3,20,14,41.3,63.0,,平田 健之佑,7,柘植 政浩,-0.13,6.84,4.0,0.0,mikuni,23.0,4.0,晴,23.0,51.0,1.0,4.0,東北東,4.0
6.92,5.0,2026-05-25,2026-05-25 11:09:03,5,B1,0.0,,38.13,6.18,51,2,50.0,69.2,,山下 大輝,7,小林 文彦,-0.18,6.78,1.0,0.5,mikuni,23.0,4.0,晴,23.0,52.0,0.0,4.0,東北東,4.0
6.78,6.0,2026-05-25,2026-05-25 11:09:03,6,B2,0.0,,38.32,6.5,26,37,21.7,37.0,,松下 一也,7,宮崎 奏磨,-0.05,6.8,2.0,0.0,mikuni,23.0,4.0,晴,23.0,52.5,0.0,4.0,東北東,4.0
6.82,1.0,2026-05-25,2026-05-25 11:37:14,1,B1,1.0,,37.07,5.65,65,7,46.2,63.5,,松田 祐季,8,浜崎 準也,-0.09,6.8,3.0,-0.5,mikuni,23.0,5.0,晴,23.0,52.0,0.0,4.0,東北東,5.0
7.03,2.0,2026-05-25,2026-05-25 11:37:14,2,B1,1.0,,37.93,5.83,58,21,35.6,51.1,,木田 峰由季,8,河合 三弘,-0.02,6.9,6.0,-0.5,mikuni,23.0,5.0,晴,23.0,53.2,0.0,4.0,東北東,5.0
6.8,4.0,2026-05-25,2026-05-25 11:37:14,3,A1,1.0,,37.32,5.77,49,25,33.3,43.8,,久田 武,8,原田 才一郎,0.37,6.76,2.0,0.0,mikuni,23.0,5.0,晴,23.0,52.0,0.0,4.0,東北東,5.0
6.83,5.0,2026-05-25,2026-05-25 11:37:14,4,A2,1.0,,36.8,5.52,46,12,42.0,66.0,,今垣 光太郎,8,中島 秀治,0.08,6.75,1.0,-0.5,mikuni,23.0,5.0,晴,23.0,52.3,0.0,4.0,東北東,5.0
6.87,6.0,2026-05-25,2026-05-25 11:37:14,5,B1,1.0,,37.13,5.68,22,43,17.8,22.2,,寺島 吉彦,8,大場 広孝,0.18,6.88,5.0,-0.5,mikuni,23.0,5.0,晴,23.0,56.6,0.0,4.0,東北東,5.0
6.75,3.0,2026-05-25,2026-05-25 11:37:14,6,A2,1.0,,37.33,5.83,48,29,27.7,40.4,,塩嶋 泰空,8,吉川 昭男,-0.04,6.81,4.0,-0.5,mikuni,23.0,5.0,晴,23.0,53.2,0.0,4.0,東北東,5.0
6.82,1.0,2026-05-25,2026-05-25 12:09:59,1,B1,0.0,,36.82,5.52,11,41,18.2,34.1,,中西 月輝,9,野間 大樹,0.09,6.83,3.0,0.0,mikuni,23.0,5.0,晴,23.0,52.2,0.0,4.0,東北東,5.0
6.82,2.0,2026-05-25,2026-05-25 12:09:59,2,A1,0.0,,37.03,5.78,30,8,45.1,66.7,,中本 大樹,9,宮田 龍馬,0.05,6.73,1.0,0.0,mikuni,23.0,5.0,晴,23.0,52.0,0.0,4.0,東北東,5.0
6.85,3.0,2026-05-25,2026-05-25 12:09:59,3,B1,0.0,,37.85,5.9,63,15,40.8,51.0,リング×１,下出 卓矢,9,高倉 孝太,0.21,6.86,4.0,0.0,mikuni,23.0,5.0,晴,23.0,50.5,1.5,4.0,東北東,5.0
6.88,4.0,2026-05-25,2026-05-25 12:09:59,4,A2,0.0,,38.3,6.1,38,39,20.4,40.9,,谷川 将太,9,杉田 篤光,0.16,6.86,4.0,0.0,mikuni,23.0,5.0,晴,23.0,52.2,0.0,4.0,東北東,5.0
6.87,5.0,2026-05-25,2026-05-25 12:09:59,5,A1,0.0,,37.98,5.83,62,23,34.0,52.0,,水摩 敦,9,松田 祐季,0.04,6.87,6.0,-0.5,mikuni,23.0,5.0,晴,23.0,52.0,0.0,4.0,東北東,5.0
6.83,6.0,2026-05-25,2026-05-25 12:09:59,6,B1,0.0,,37.67,5.87,32,38,20.8,43.8,,向所 浩二,9,高橋 二朗,0.09,6.82,2.0,0.5,mikuni,23.0,5.0,晴,23.0,52.0,0.0,4.0,東北東,5.0
6.82,1.0,2026-05-25,2026-05-25 12:40:22,1,B1,1.0,,37.15,5.75,44,5,47.9,66.7,,萩原 秀人,10,野村 誠,-0.03,6.81,2.0,0.0,mikuni,23.0,3.0,晴,23.0,52.8,0.0,6.0,東南東,3.0
6.88,2.0,2026-05-25,2026-05-25 12:40:22,2,A2,1.0,,37.2,5.58,67,36,22.7,38.6,,表 憲一,10,別府 昌樹,0.03,6.94,6.0,0.0,mikuni,23.0,3.0,晴,23.0,54.6,0.0,6.0,東南東,3.0
6.7,3.0,2026-05-25,2026-05-25 12:40:22,3,B1,1.0,,37.22,5.87,39,42,17.8,48.9,,梶野 学志,10,土井 歩夢,-0.02,6.82,4.0,-0.5,mikuni,23.0,3.0,晴,23.0,52.0,0.0,6.0,東南東,3.0
6.87,5.0,2026-05-25,2026-05-25 12:40:22,4,A2,1.0,,37.28,5.63,31,26,32.5,55.0,,浅見 昌克,10,三川 昂暁,0.28,6.87,5.0,0.0,mikuni,23.0,3.0,晴,23.0,53.2,0.0,6.0,東南東,3.0
6.78,6.0,2026-05-25,2026-05-25 12:40:22,5,B2,1.0,,37.62,5.93,25,17,39.1,52.2,,木下 翔太,10,高村 諒,0.26,6.77,1.0,-0.5,mikuni,23.0,3.0,晴,23.0,52.2,0.0,6.0,東南東,3.0
