chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
7.18,1.0,2026-05-02,2026-05-15 05:12:37,1,A2,0.0,,37.16,5.58,70.0,30.0,33.3,43.2,,森高 一真,1,山崎 裕司,0.08,6.64,1,-0.5,miyajima,15.0,2.0,晴,14.0,52.4,0.0,7.0,南東,2.0
7.2,2.0,2026-05-02,2026-05-15 05:12:37,2,B1,0.0,,37.5,5.35,81.0,34.0,32.4,45.3,,浅見 昌克,1,山本 景士郎,0.01,6.68,3,-0.5,miyajima,15.0,2.0,晴,14.0,52.0,0.0,7.0,南東,2.0
7.25,3.0,2026-05-02,2026-05-15 05:12:37,3,B1,0.0,,37.48,5.59,15.0,28.0,33.3,51.7,,江夏 満,1,山下 流心,,6.77,6,-0.5,miyajima,15.0,2.0,晴,14.0,54.0,0.0,7.0,南東,2.0
7.22,4.0,2026-05-02,2026-05-15 05:12:37,4,B1,0.0,,37.07,5.71,21.0,6.0,43.6,62.4,,石倉 洋行,1,角浜 修,-0.02,6.67,2,0.0,miyajima,15.0,2.0,晴,14.0,52.2,0.0,7.0,南東,2.0
7.15,5.0,2026-05-02,2026-05-15 05:12:37,5,B1,0.0,,36.91,5.46,24.0,26.0,33.9,48.0,,清水 敦揮,1,向井田 佑紀,,6.71,5,-0.5,miyajima,15.0,2.0,晴,14.0,51.0,1.0,7.0,南東,2.0
7.14,6.0,2026-05-02,2026-05-15 05:12:37,6,B1,0.0,,36.87,5.48,39.0,27.0,33.6,54.3,,上平 真二,1,村松 栄太,,6.69,4,-0.5,miyajima,15.0,2.0,晴,14.0,52.1,0.0,7.0,南東,2.0
7.25,1.0,2026-05-02,2026-05-15 05:12:43,1,B1,0.0,,37.15,5.84,61.0,15.0,39.4,51.8,,柴田 光,2,横田 茂,0.07,6.65,1,0.0,miyajima,15.0,2.0,晴,15.0,51.0,1.0,7.0,南東,2.0
7.19,2.0,2026-05-02,2026-05-15 05:12:43,2,A2,0.0,,37.62,5.95,82.0,20.0,34.8,47.7,,坪井 康晴,2,正木 聖賢,0.05,6.68,3,-0.5,miyajima,15.0,2.0,晴,15.0,54.6,0.0,7.0,南東,2.0
7.25,3.0,2026-05-02,2026-05-15 05:12:43,3,A1,0.0,,36.81,5.93,11.0,23.0,34.5,51.1,,赤岩 善生,2,新田 泰章,0.16,6.65,1,-0.5,miyajima,15.0,2.0,晴,15.0,52.2,0.0,7.0,南東,2.0
7.27,4.0,2026-05-02,2026-05-15 05:12:43,4,A2,0.0,,36.96,5.91,23.0,31.0,33.1,53.1,ギヤ,田口 節子,2,柏野 幸二,0.02,6.71,6,0.0,miyajima,15.0,2.0,晴,15.0,51.0,1.0,7.0,南東,2.0
7.15,5.0,2026-05-02,2026-05-15 05:12:43,5,B1,0.0,,37.65,5.82,66.0,8.0,43.3,55.2,,福島 勇樹,2,井上 大輔,0.01,6.69,4,0.5,miyajima,15.0,2.0,晴,15.0,52.0,0.0,7.0,南東,2.0
7.21,6.0,2026-05-02,2026-05-15 05:12:43,6,B2,0.0,,37.14,5.6,27.0,38.0,31.3,46.6,,太田 和美,2,谷 海夏人,0.13,6.7,5,-0.5,miyajima,15.0,2.0,晴,15.0,52.0,0.0,7.0,南東,2.0
7.14,1.0,2026-05-02,2026-05-15 05:12:50,1,A2,0.0,,36.81,5.72,20.0,37.0,31.9,52.8,,佐々木 康幸,3,宗行 治哉,-0.02,6.76,5,-0.5,miyajima,15.0,2.0,晴,15.0,52.0,0.0,7.0,南東,2.0
7.21,2.0,2026-05-02,2026-05-15 05:12:50,2,A2,0.0,,36.61,5.72,55.0,11.0,41.6,61.7,,石渡 鉄兵,3,津田 陸翔,-0.05,6.66,3,0.0,miyajima,15.0,2.0,晴,15.0,52.4,0.0,7.0,南東,2.0
7.11,3.0,2026-05-02,2026-05-15 05:12:50,3,B1,0.0,,36.99,5.64,18.0,19.0,35.6,54.4,,湯川 浩司,3,齋藤 真之,0.05,6.77,6,0.0,miyajima,15.0,2.0,晴,15.0,52.8,0.0,7.0,南東,2.0
7.11,4.0,2026-05-02,2026-05-15 05:12:50,4,A1,0.0,,36.8,5.42,56.0,33.0,32.6,47.9,,中島 孝平,3,大上 卓人,-0.01,6.65,2,0.0,miyajima,15.0,2.0,晴,15.0,51.5,0.5,7.0,南東,2.0
7.16,5.0,2026-05-02,2026-05-15 05:12:50,5,B1,0.0,,36.84,5.53,63.0,36.0,32.0,46.3,,萩原 秀人,3,小林 礼央,-0.11,6.71,4,0.0,miyajima,15.0,2.0,晴,15.0,51.5,0.5,7.0,南東,2.0
7.14,6.0,2026-05-02,2026-05-15 05:12:50,6,B2,0.0,,37.09,5.8,65.0,13.0,41.3,52.0,,今垣 光太郎,3,得山 大輝,-0.09,6.6,1,0.5,miyajima,15.0,2.0,晴,15.0,51.5,0.5,7.0,南東,2.0
7.27,1.0,2026-05-02,2026-05-15 05:12:56,1,B1,0.0,,38.02,5.76,68.0,46.0,28.4,42.6,,仲口 博崇,4,半田 尚也,0.01,6.82,6,-0.5,miyajima,15.0,3.0,晴,16.0,54.4,0.0,7.0,南東,3.0
7.21,2.0,2026-05-02,2026-05-15 05:12:56,2,A1,0.0,,37.31,5.6,16.0,25.0,34.1,51.9,,原田 幸哉,4,入海 馨,-0.09,6.67,1,0.0,miyajima,15.0,3.0,晴,16.0,53.9,0.0,7.0,南東,3.0
7.2,3.0,2026-05-02,2026-05-15 05:12:56,3,A1,0.0,,36.61,5.71,53.0,32.0,32.9,43.6,,林 美憲,4,田中 辰彦,-0.09,6.74,4,-0.5,miyajima,15.0,3.0,晴,16.0,53.3,0.0,7.0,南東,3.0
7.12,4.0,2026-05-02,2026-05-15 05:12:56,4,B1,0.0,,36.81,5.98,72.0,3.0,45.3,63.3,,平田 忠則,4,橋本 明,-0.01,6.72,3,-0.5,miyajima,15.0,3.0,晴,16.0,52.3,0.0,7.0,南東,3.0
7.2,5.0,2026-05-02,2026-05-15 05:12:56,5,A2,0.0,,37.61,5.66,57.0,4.0,45.0,59.3,,池田 浩二,4,西野 翔太,,6.71,2,-0.5,miyajima,15.0,3.0,晴,16.0,52.0,0.0,7.0,南東,3.0
