venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
miyajima,2026-05-30,1,1,山田 佑樹,B1,37.29,5.84,7.11,6.78,6,-0.5,1,,,55.1,0.0,2026-05-30 23:21:46,62,33.7,50.3,11,抹香 雄三,0.19,False,晴,20,21,2,7,南東,2
miyajima,2026-05-30,1,2,上之 晃弘,B1,37.92,5.76,7.29,6.74,4,0.0,2,,,52.0,0.0,2026-05-30 23:21:46,69,25.0,37.5,34,武田 正紀,0.12,False,晴,20,21,2,7,南東,2
miyajima,2026-05-30,1,3,佐藤 謙史朗,B2,37.27,5.66,7.09,6.69,1,0.0,3,,,54.1,0.0,2026-05-30 23:21:46,64,20.9,41.0,45,中島 友和,0.26,False,晴,20,21,2,7,南東,2
miyajima,2026-05-30,1,4,松田 真実,B1,37.73,5.94,7.07,6.75,5,-0.5,4,,,47.0,0.0,2026-05-30 23:21:46,73,28.1,48.4,30,三馬 崇史,0.07,False,晴,20,21,2,7,南東,2
miyajima,2026-05-30,1,5,山下 和彦,A2,37.76,5.73,7.22,6.72,2,-0.5,5,,電気,52.1,0.0,2026-05-30 23:21:46,68,27.3,41.0,31,半田 尚也,0.03,False,晴,20,21,2,7,南東,2
miyajima,2026-05-30,1,6,磯村 匠,B1,37.14,6.22,7.03,6.72,2,0.5,6,,,52.0,0.0,2026-05-30 23:21:46,13,21.0,39.2,44,胡本 悟志,0.08,False,晴,20,21,2,7,南東,2
miyajima,2026-05-30,2,1,佐々木 英樹,B1,37.72,5.98,7.17,6.8,6,-0.5,1,,,53.2,0.0,2026-05-30 23:21:55,35,23.3,40.7,41,石原 光,0.23,False,晴,21,21,1,7,南東,1
miyajima,2026-05-30,2,2,花本 夏樹,B1,38.13,6.11,7.19,6.77,4,-0.5,2,,,52.4,0.0,2026-05-30 23:21:55,77,28.8,51.0,28,井芹 大志,0.07,False,晴,21,21,1,7,南東,1
miyajima,2026-05-30,2,3,西岡 蒼志,B1,37.61,5.75,7.16,6.76,2,-0.5,3,,,53.8,0.0,2026-05-30 23:21:55,28,21.1,36.7,43,上馬場 風依,0.01,False,晴,21,21,1,7,南東,1
miyajima,2026-05-30,2,4,藤田 美代,B1,37.58,5.82,7.1,6.69,1,-0.5,4,,,45.0,2.0,2026-05-30 23:21:55,74,23.2,38.0,42,木山 和幸,0.03,False,晴,21,21,1,7,南東,1
miyajima,2026-05-30,2,5,神田 達也,B1,37.77,5.49,7.19,6.77,4,0.0,5,,,53.1,0.0,2026-05-30 23:21:55,15,33.7,51.7,10,鎌倉 涼,0.07,False,晴,21,21,1,7,南東,1
miyajima,2026-05-30,2,6,志賀 美優,B2,37.93,5.73,7.25,6.76,2,-0.5,6,,,51.6,0.0,2026-05-30 23:21:55,53,29.6,39.5,24,宮城 那菜,0.04,False,晴,21,21,1,7,南東,1
miyajima,2026-05-30,3,1,宇留田 翔平,A2,37.75,5.47,7.22,6.79,5,0.0,1,,,54.0,0.0,2026-05-30 23:22:03,50,23.6,36.8,40,中村 有裕,0.02,False,晴,22,21,1,7,南東,2
miyajima,2026-05-30,3,2,秋山 広一,A2,37.35,5.64,7.24,6.75,4,-0.5,2,,,52.5,0.0,2026-05-30 23:22:03,14,25.0,33.5,35,沼田 七華,0.04,False,晴,22,21,1,7,南東,2
miyajima,2026-05-30,3,3,堀越 雄貴,B1,37.54,5.55,7.25,6.65,1,0.0,3,,,51.5,0.5,2026-05-30 23:22:03,51,39.9,56.4,5,北川 幸典,-0.09,False,晴,22,21,1,7,南東,2
miyajima,2026-05-30,3,4,坂本 奈央,B2,38.1,5.8,7.22,6.7,3,-0.5,4,,,47.7,0.0,2026-05-30 23:22:03,59,30.1,44.8,21,亀本 勇樹,0.06,False,晴,22,21,1,7,南東,2
miyajima,2026-05-30,3,5,山田 真聖,B1,37.66,5.38,7.12,6.79,5,0.0,5,,,58.6,0.0,2026-05-30 23:22:03,76,23.9,42.5,39,高山 智至,-0.06,False,晴,22,21,1,7,南東,2
miyajima,2026-05-30,3,6,若狭 奈美子,A1,37.84,5.76,7.21,6.65,1,-0.5,6,,,46.0,1.0,2026-05-30 23:22:03,61,40.1,52.6,4,横田 茂,-0.03,False,晴,22,21,1,7,南東,2
miyajima,2026-05-30,4,1,多田 有佑,B1,37.08,5.51,7.2,6.72,5,-0.5,1,,,52.0,0.0,2026-05-30 23:22:10,78,29.6,45.3,25,山本 凱立,0.25,True,晴,23,21,2,11,南西,2
