venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
naruto,2026-04-22,1,1,木村 仁紀,A1,36.95,5.73,6.93,6.71,1,0.0,1,,,53.2,0.0,2026-05-15 05:21:43,24,14.3,14.3,19,,0.05,False,晴,14,15,0,17,不明,1
naruto,2026-04-22,1,2,大井 清貴,B1,37.4,5.93,7.13,6.77,2,0.0,2,,,54.3,0.0,2026-05-15 05:21:43,77,,,30,,0.1,False,晴,14,15,0,17,不明,1
naruto,2026-04-22,1,3,向井田 直弥,B2,37.4,5.9,7.23,6.79,4,-0.5,3,,,45.5,6.5,2026-05-15 05:21:43,16,27.3,63.6,15,,0.01,False,晴,14,15,0,17,不明,1
naruto,2026-04-22,1,4,中里 昌志,B1,37.17,5.97,7.17,6.83,5,-0.5,4,,,52.0,0.0,2026-05-15 05:21:43,78,,,43,,0.12,False,晴,14,15,0,17,不明,1
naruto,2026-04-22,1,5,松井 貫太,B1,36.73,5.83,7.0,6.78,3,-0.5,5,,,52.0,0.0,2026-05-15 05:21:43,13,0.0,0.0,24,,0.17,False,晴,14,15,0,17,不明,1
naruto,2026-04-22,1,6,安藤 裕貴,B1,36.97,5.83,7.07,6.84,6,0.0,6,,,53.2,0.0,2026-05-15 05:21:43,21,33.3,33.3,11,,0.19,False,晴,14,15,0,17,不明,1
naruto,2026-04-22,2,1,松本 博昭,A2,36.75,5.82,6.83,6.78,5,-0.5,1,,,54.4,0.0,2026-05-15 05:21:51,17,36.4,72.7,10,,0.1,False,晴,16,15,1,11,南西,1
naruto,2026-04-22,2,2,草川 壮良,B1,36.94,5.96,6.87,6.77,3,0.0,2,,,51.5,0.5,2026-05-15 05:21:51,73,,,40,,0.17,False,晴,16,15,1,11,南西,1
naruto,2026-04-22,2,3,星野 政彦,B2,37.37,5.89,7.0,6.77,3,0.0,3,,,52.3,0.0,2026-05-15 05:21:51,28,0.0,25.0,25,,0.08,False,晴,16,15,1,11,南西,1
naruto,2026-04-22,2,4,森下 勇,B1,37.57,5.8,7.2,6.89,6,-0.5,4,,,55.1,0.0,2026-05-15 05:21:51,80,,,27,,0.08,False,晴,16,15,1,11,南西,1
naruto,2026-04-22,2,5,滝沢 崚,B2,37.45,5.95,7.13,6.72,2,-0.5,5,,,52.0,0.0,2026-05-15 05:21:51,12,50.0,70.0,7,,0.04,False,晴,16,15,1,11,南西,1
naruto,2026-04-22,2,6,渡辺 浩司,A1,37.2,5.77,6.99,6.71,1,0.0,6,,,52.2,0.0,2026-05-15 05:21:51,71,,,34,,0.08,False,晴,16,15,1,11,南西,1
naruto,2026-04-22,3,1,岡瀬 正人,A2,36.31,5.8,6.97,6.73,2,-0.5,1,,,52.0,0.0,2026-05-15 05:21:58,22,18.2,45.5,18,,0.05,False,曇り,17,15,2,11,南西,2
naruto,2026-04-22,3,2,武重 雄介,A2,37.31,5.83,7.02,6.79,5,0.0,2,,,54.7,0.0,2026-05-15 05:21:58,25,10.0,10.0,20,,0.18,False,曇り,17,15,2,11,南西,2
naruto,2026-04-22,3,3,大谷 健太,B2,37.04,5.85,7.07,6.76,3,0.0,3,,,52.0,0.0,2026-05-15 05:21:58,76,,,39,,0.07,False,曇り,17,15,2,11,南西,2
naruto,2026-04-22,3,4,松田 竜馬,B1,37.07,5.98,7.0,6.71,1,0.0,4,,,54.8,0.0,2026-05-15 05:21:58,29,50.0,60.0,5,,0.15,False,曇り,17,15,2,11,南西,2
naruto,2026-04-22,3,5,小林 甘寧,B1,36.64,5.53,7.1,6.8,6,-0.5,5,,,52.6,0.0,2026-05-15 05:21:58,66,,,31,,0.15,False,曇り,17,15,2,11,南西,2
naruto,2026-04-22,3,6,丸岡 正典,A2,36.83,5.77,7.1,6.78,4,0.0,6,,,52.6,0.0,2026-05-15 05:21:58,20,40.0,70.0,8,,0.22,False,曇り,17,15,2,11,南西,2
naruto,2026-04-22,4,1,佐々木 完太,A1,37.46,5.77,7.1,6.77,3,0.0,1,,,52.0,0.0,2026-05-15 05:22:04,74,,,28,,0.13,False,晴,17,15,2,11,南西,2
naruto,2026-04-22,4,2,岡谷 健吾,B1,37.2,5.97,7.0,6.74,2,-0.5,2,,,55.4,0.0,2026-05-15 05:22:04,82,,,26,,0.08,False,晴,17,15,2,11,南西,2
naruto,2026-04-22,4,3,金子 猛志,A2,37.27,5.64,7.2,6.89,6,0.0,3,,,58.6,0.0,2026-05-15 05:22:04,19,30.0,40.0,13,,0.13,False,晴,17,15,2,11,南西,2
naruto,2026-04-22,4,4,山口 広樹,B1,37.39,5.67,7.1,6.82,5,0.0,4,,,53.8,0.0,2026-05-15 05:22:04,31,60.0,90.0,4,,0.29,False,晴,17,15,2,11,南西,2
naruto,2026-04-22,4,5,酒見 峻介,A2,37.37,5.87,7.07,6.81,4,1.0,5,,,52.0,0.0,2026-05-15 05:22:04,14,63.6,72.7,3,,0.19,False,晴,17,15,2,11,南西,2
naruto,2026-04-22,4,6,荒井 輝年,B1,36.47,5.77,7.07,6.67,1,-0.5,6,,,54.3,0.0,2026-05-15 05:22:04,15,50.0,50.0,6,,0.11,False,晴,17,15,2,11,南西,2
naruto,2026-04-22,5,1,垂水 悠,B1,36.6,5.57,6.97,6.69,1,-0.5,1,,,54.8,0.0,2026-05-15 05:22:09,68,,,35,,0.08,False,晴,18,15,2,11,南西,2
naruto,2026-04-22,5,2,中渡 修作,B1,37.43,5.73,7.07,6.75,3,0.0,2,,,52.9,0.0,2026-05-15 05:22:09,84,,,33,,0.11,False,晴,18,15,2,11,南西,2
naruto,2026-04-22,5,3,妹尾 忠幸,A2,37.77,5.6,7.1,6.8,4,0.0,3,,,54.9,0.0,2026-05-15 05:22:09,83,,,36,,0.11,False,晴,18,15,2,11,南西,2
naruto,2026-04-22,5,4,廣瀬 凜,A2,37.53,5.63,7.07,6.7,2,0.0,4,,,51.5,0.5,2026-05-15 05:22:09,18,37.5,37.5,9,,,False,晴,18,15,2,11,南西,2
naruto,2026-04-22,5,5,貫地谷 直人,B1,37.07,5.53,7.2,6.83,5,0.0,5,,,55.8,0.0,2026-05-15 05:22:09,11,30.0,50.0,12,,0.12,False,晴,18,15,2,11,南西,2
naruto,2026-04-22,5,6,中村 裕将,B1,37.1,5.73,7.17,6.86,6,0.0,6,,,55.7,0.0,2026-05-15 05:22:09,23,20.0,20.0,16,,0.1,False,晴,18,15,2,11,南西,2
naruto,2026-04-22,6,1,一柳 和孝,B1,36.63,5.57,6.97,6.66,2,0.0,1,,,52.8,0.0,2026-05-15 05:22:17,72,,,44,,0.02,True,曇り,18,15,2,11,南西,2
naruto,2026-04-22,6,2,上瀧 絢也,B2,37.52,5.64,7.13,6.76,4,-0.5,2,,,53.6,0.0,2026-05-15 05:22:17,65,0.0,0.0,22,,0.06,True,曇り,18,15,2,11,南西,2
naruto,2026-04-22,6,3,黒柳 浩孝,A2,37.49,5.63,7.17,6.82,5,0.0,3,,,54.8,0.0,2026-05-15 05:22:17,26,30.0,30.0,14,,0.08,True,曇り,18,15,2,11,南西,2
naruto,2026-04-22,6,4,松井 貫太,B1,36.76,5.51,7.18,6.7,3,-0.5,4,,,52.0,0.0,2026-05-15 05:22:17,13,0.0,0.0,24,,0.18,True,曇り,18,15,2,11,南西,2
naruto,2026-04-22,6,5,笠置 博之,A2,37.03,6.43,6.98,6.6,1,3.0,6,,,53.2,0.0,2026-05-15 05:22:17,70,,,41,,-0.03,True,曇り,18,15,2,11,南西,2
naruto,2026-04-22,6,6,吉岡 誠,B1,37.93,5.97,7.15,6.82,5,0.0,5,,,56.0,0.0,2026-05-15 05:22:17,69,,,38,,0.1,True,曇り,18,15,2,11,南西,2
naruto,2026-04-22,7,1,松田 竜馬,B1,36.83,5.97,6.97,6.75,2,0.0,1,,,54.8,0.0,2026-05-15 05:22:23,29,50.0,60.0,5,,0.08,False,曇り,18,15,1,11,南西,1
naruto,2026-04-22,7,2,池上 隆行,B1,37.0,5.93,6.97,6.81,4,0.0,2,,,51.5,0.5,2026-05-15 05:22:23,10,0.0,0.0,23,,0.13,False,曇り,18,15,1,11,南西,1
naruto,2026-04-22,7,3,廣瀬 将亨,A2,36.63,5.63,7.03,6.77,3,-0.5,3,,,56.5,0.0,2026-05-15 05:22:23,30,10.0,40.0,21,,0.24,False,曇り,18,15,1,11,南西,1
naruto,2026-04-22,7,4,土屋 智則,A1,37.03,5.67,7.07,6.74,1,0.0,4,,,52.0,0.0,2026-05-15 05:22:23,79,,,37,,0.2,False,曇り,18,15,1,11,南西,1
naruto,2026-04-22,7,5,草川 壮良,B1,37.0,5.83,7.13,6.81,4,0.0,5,,,51.5,0.5,2026-05-15 05:22:23,73,,,40,,0.07,False,曇り,18,15,1,11,南西,1
naruto,2026-04-22,7,6,中里 昌志,B1,37.07,5.77,7.17,6.87,6,-0.5,6,,,52.0,0.0,2026-05-15 05:22:23,78,,,43,,0.08,False,曇り,18,15,1,11,南西,1
naruto,2026-04-22,8,1,寳田 亮治,B1,36.93,5.7,7.07,6.75,4,0.0,1,,,52.1,0.0,2026-05-15 05:22:29,27,70.0,70.0,2,,0.17,False,曇り,19,15,1,13,西,1
naruto,2026-04-22,8,2,中井 俊祐,B1,37.63,6.03,7.07,6.82,6,0.0,2,,,52.9,0.0,2026-05-15 05:22:29,75,,,42,,0.05,False,曇り,19,15,1,13,西,1
naruto,2026-04-22,8,3,岡瀬 正人,A2,37.07,5.7,7.1,6.74,2,-0.5,3,,,52.0,0.0,2026-05-15 05:22:29,22,18.2,45.5,18,,0.15,False,曇り,19,15,1,13,西,1
naruto,2026-04-22,8,4,岡谷 健吾,B1,37.07,5.77,7.07,6.74,2,-0.5,4,,,55.4,0.0,2026-05-15 05:22:29,82,,,26,,-0.14,False,曇り,19,15,1,13,西,1
naruto,2026-04-22,8,5,富澤 祐作,B1,36.43,5.73,7.07,6.72,1,0.0,5,,,54.7,0.0,2026-05-15 05:22:29,67,,,32,,-0.12,False,曇り,19,15,1,13,西,1
naruto,2026-04-22,8,6,田中 駿兵,A1,36.4,5.6,6.97,6.76,5,-0.5,6,,,52.0,0.0,2026-05-15 05:22:29,81,,,29,,-0.2,False,曇り,19,15,1,13,西,1
naruto,2026-04-22,9,1,近藤 稔也,B1,36.66,6.16,6.85,6.68,1,-0.5,1,,,52.0,0.0,2026-05-15 05:22:35,32,20.0,40.0,17,,0.19,False,晴,19,15,1,13,西,1
naruto,2026-04-22,9,2,滝沢 崚,B2,37.3,5.91,7.15,6.7,2,-0.5,2,,,52.0,0.0,2026-05-15 05:22:35,12,50.0,70.0,7,,0.15,False,晴,19,15,1,13,西,1
naruto,2026-04-22,9,3,中渡 修作,B1,37.36,5.97,7.19,6.84,5,0.0,3,,,52.9,0.0,2026-05-15 05:22:35,84,,,33,,0.07,False,晴,19,15,1,13,西,1
naruto,2026-04-22,9,4,丸岡 正典,A2,36.94,5.86,7.02,6.73,3,-0.5,4,,,52.6,0.0,2026-05-15 05:22:35,20,40.0,70.0,8,,0.04,False,晴,19,15,1,13,西,1
naruto,2026-04-22,9,5,向井田 直弥,B2,37.64,5.93,7.14,6.76,4,-0.5,5,,,45.5,6.5,2026-05-15 05:22:35,16,27.3,63.6,15,,0.07,False,晴,19,15,1,13,西,1
naruto,2026-04-22,9,6,金子 猛志,A2,37.21,5.9,7.2,6.86,6,0.0,6,,,58.6,0.0,2026-05-15 05:22:35,19,30.0,40.0,13,,0.07,False,晴,19,15,1,13,西,1
naruto,2026-04-22,10,1,黒柳 浩孝,A2,37.03,6.0,6.98,6.82,1,0.0,1,,,54.0,0.0,2026-05-15 05:22:41,26,30.0,30.0,14,,-0.01,True,曇り,18,15,1,5,東,1
naruto,2026-04-22,10,2,山口 広樹,B1,36.57,5.93,6.94,6.88,4,-0.5,2,,,54.0,0.0,2026-05-15 05:22:41,31,60.0,90.0,4,,0.05,True,曇り,18,15,1,5,東,1
naruto,2026-04-22,10,3,廣瀬 凜,A2,37.1,5.93,7.07,6.82,1,0.0,3,,,51.0,1.0,2026-05-15 05:22:41,18,37.5,37.5,9,,-0.09,True,曇り,18,15,1,5,東,1
naruto,2026-04-22,10,4,小林 甘寧,B1,36.63,5.87,7.22,6.88,4,-0.5,5,,,52.8,0.0,2026-05-15 05:22:41,66,,,31,,0.01,True,曇り,18,15,1,5,東,1
naruto,2026-04-22,10,5,大井 清貴,B1,38.27,5.9,7.31,6.88,4,0.0,6,,,53.9,0.0,2026-05-15 05:22:41,77,,,30,,0.12,True,曇り,18,15,1,5,東,1
naruto,2026-04-22,10,6,星野 政彦,B2,38.07,5.87,7.27,6.84,3,0.0,4,,,52.0,0.0,2026-05-15 05:22:41,28,0.0,25.0,25,,-0.2,True,曇り,18,15,1,5,東,1
naruto,2026-04-22,11,1,笠置 博之,A2,37.16,6.31,7.01,6.74,1,0.0,1,,,53.2,0.0,2026-05-15 05:22:46,70,,,41,,0.02,False,曇り,17,15,2,5,東,2
naruto,2026-04-22,11,2,酒見 峻介,A2,37.7,6.37,6.95,6.86,5,1.0,2,,電気,52.0,0.0,2026-05-15 05:22:46,14,63.6,72.7,3,,-0.08,False,曇り,17,15,2,5,東,2
naruto,2026-04-22,11,3,垂水 悠,B1,37.0,6.07,7.1,6.83,4,-0.5,3,,,54.8,0.0,2026-05-15 05:22:46,68,,,35,,-0.02,False,曇り,17,15,2,5,東,2
naruto,2026-04-22,11,4,武重 雄介,A2,37.9,6.2,7.06,6.91,6,-0.5,4,,,54.7,0.0,2026-05-15 05:22:46,25,10.0,10.0,20,,-0.04,False,曇り,17,15,2,5,東,2
naruto,2026-04-22,11,5,松本 博昭,A2,38.27,6.4,7.1,6.76,2,-0.5,5,,,54.4,0.0,2026-05-15 05:22:46,17,36.4,72.7,10,,0.01,False,曇り,17,15,2,5,東,2
naruto,2026-04-22,11,6,廣瀬 将亨,A2,36.97,5.9,7.02,6.79,3,-0.5,6,,,56.5,0.0,2026-05-15 05:22:46,30,10.0,40.0,21,,0.04,False,曇り,17,15,2,5,東,2
naruto,2026-04-22,12,1,土屋 智則,A1,36.07,5.97,6.9,6.82,4,0.0,1,,,52.0,0.0,2026-05-15 05:22:53,79,,,37,,0.07,False,曇り,16,15,1,5,東,1
naruto,2026-04-22,12,2,渡辺 浩司,A1,36.8,5.73,7.14,6.78,2,0.0,2,,リング×１,52.2,0.0,2026-05-15 05:22:53,71,,,34,,0.11,False,曇り,16,15,1,5,東,1
naruto,2026-04-22,12,3,佐々木 完太,A1,37.32,5.98,7.06,6.84,6,0.0,3,,,52.0,0.0,2026-05-15 05:22:53,74,,,28,,0.02,False,曇り,16,15,1,5,東,1
naruto,2026-04-22,12,4,田中 駿兵,A1,36.37,5.87,6.94,6.71,1,0.0,4,,,52.0,0.0,2026-05-15 05:22:53,81,,,29,,0.04,False,曇り,16,15,1,5,東,1
naruto,2026-04-22,12,5,木村 仁紀,A1,37.2,5.84,7.14,6.83,5,0.0,5,,,53.2,0.0,2026-05-15 05:22:53,24,14.3,14.3,19,,0.06,False,曇り,16,15,1,5,東,1
naruto,2026-04-22,12,6,妹尾 忠幸,A2,37.07,5.8,7.22,6.78,2,0.0,6,,,54.9,0.0,2026-05-15 05:22:53,83,,,36,,0.17,False,曇り,16,15,1,5,東,1
