chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
7.18,1.0,2026-04-29,2026-05-15 05:26:55,1,B1,0.0,,37.21,5.96,73.0,45.0,0.0,16.7,,,1,西岡 育未,0.13,6.8,2,-0.5,naruto,17.0,3.0,晴,18.0,47.0,0.0,5.0,東,3.0
7.27,2.0,2026-04-29,2026-05-15 05:26:55,2,B1,0.0,,36.98,6.29,69.0,41.0,0.0,0.0,,,1,伊藤 栞,0.26,6.83,3,-0.5,naruto,17.0,3.0,晴,18.0,57.2,0.0,5.0,東,3.0
7.31,3.0,2026-04-29,2026-05-15 05:26:55,3,B1,0.0,,38.34,6.39,79.0,10.0,50.0,87.5,,,1,高橋 淳美,0.19,6.86,4,0.0,naruto,17.0,3.0,晴,18.0,45.5,1.5,5.0,東,3.0
7.21,4.0,2026-04-29,2026-05-15 05:26:55,4,B2,0.0,,38.73,6.57,38.0,3.0,70.0,90.0,,,1,赤松 咲香,0.09,6.77,1,0.0,naruto,17.0,3.0,晴,18.0,51.2,0.0,5.0,東,3.0
7.3,5.0,2026-04-29,2026-05-15 05:26:55,5,A2,0.0,,37.32,5.82,71.0,4.0,62.5,87.5,,,1,大橋 栄里佳,0.1,6.89,6,0.0,naruto,17.0,3.0,晴,18.0,48.6,0.0,5.0,東,3.0
7.33,6.0,2026-04-29,2026-05-15 05:26:55,6,B1,0.0,,37.14,5.93,33.0,20.0,36.4,54.5,,,1,中北 涼,0.12,6.87,5,-0.5,naruto,17.0,3.0,晴,18.0,48.0,0.0,5.0,東,3.0
6.92,1.0,2026-04-29,2026-05-15 05:27:01,1,B1,0.0,,36.93,6.01,77.0,36.0,14.3,14.3,,,2,原 加央理,0.09,6.75,3,0.0,naruto,17.0,2.0,晴,19.0,45.5,1.5,5.0,東,2.0
7.33,2.0,2026-04-29,2026-05-15 05:27:01,2,A2,0.0,,38.17,5.83,66.0,22.0,28.6,28.6,,,2,豊田 結,0.11,6.82,4,-0.5,naruto,17.0,2.0,晴,19.0,52.6,0.0,5.0,東,2.0
7.31,3.0,2026-04-29,2026-05-15 05:27:01,3,B1,0.0,,38.79,6.08,72.0,37.0,14.3,42.9,,,2,本部 めぐみ,0.02,6.86,6,-0.5,naruto,17.0,2.0,晴,19.0,46.0,1.0,5.0,東,2.0
7.2,4.0,2026-04-29,2026-05-15 05:27:01,4,B1,0.0,,37.83,5.83,57.0,6.0,60.0,60.0,,,2,水野 望美,-0.03,6.73,2,-0.5,naruto,17.0,2.0,晴,19.0,47.0,0.0,5.0,東,2.0
7.2,5.0,2026-04-29,2026-05-15 05:27:01,5,B1,0.0,,38.13,6.1,78.0,42.0,0.0,50.0,,,2,武藤 綾子,0.08,6.83,5,0.0,naruto,17.0,2.0,晴,19.0,47.7,0.0,5.0,東,2.0
7.1,6.0,2026-04-29,2026-05-15 05:27:01,6,B2,0.0,,37.57,6.3,67.0,7.0,57.1,71.4,,,2,堀内 亜海,-0.06,6.72,1,0.0,naruto,17.0,2.0,晴,19.0,55.1,0.0,5.0,東,2.0
6.88,1.0,2026-04-29,2026-05-15 05:27:07,1,A1,0.0,,37.02,6.48,60.0,8.0,54.5,72.7,,,3,若狭 奈美子,-0.06,6.74,1,-0.5,naruto,17.0,2.0,曇り,19.0,47.0,0.0,5.0,東,2.0
6.67,2.0,2026-04-29,2026-05-15 05:27:07,2,B2,0.0,,37.22,7.11,61.0,17.0,40.0,50.0,,,3,宇恵 有香,-0.1,6.76,2,0.0,naruto,17.0,2.0,曇り,19.0,46.5,0.5,5.0,東,2.0
7.12,3.0,2026-04-29,2026-05-15 05:27:07,3,B2,0.0,,38.68,6.59,36.0,32.0,20.0,30.0,,,3,橋谷田 佳織,0.02,6.88,6,-0.5,naruto,17.0,2.0,曇り,19.0,41.0,6.0,5.0,東,2.0
7.2,4.0,2026-04-29,2026-05-15 05:27:07,4,B1,0.0,,37.73,6.23,12.0,16.0,41.2,52.9,,小林 遼太,3,坂 咲友理,-0.04,6.77,4,-0.5,naruto,17.0,2.0,曇り,19.0,45.5,1.5,5.0,東,2.0
