chokusen,course,date,fetched_at,frame,grade,has_start_change,is_normal_course,lap1,mawari,motor_no,motor_rank,motor_rate2,motor_rate3,parts_exchange,prev_user,race,racer,start_timing,tenji,tenji_rank,tilt,venue,water_degree,wave_height,weather,weather_degree,weight,weight_adjust,wind_direction,wind_direction_text,wind_speed
7.4,1.0,2026-04-28,2026-05-15 05:53:06,1,A2,0.0,,37.3,6.47,30.0,24.0,34.1,52.4,,大原 祥昌,1,真庭 明志,0.08,6.9,4,0.0,omura,19.0,1.0,曇り,20.0,52.0,0.0,5.0,東,1.0
7.4,2.0,2026-04-28,2026-05-15 05:53:06,2,B2,0.0,,37.87,6.5,18.0,36.0,30.3,48.6,,佐藤 太亮,1,内山 峻輔,0.09,6.91,5,-0.5,omura,19.0,1.0,曇り,20.0,53.8,0.0,5.0,東,1.0
7.3,3.0,2026-04-28,2026-05-15 05:53:06,3,B1,0.0,,37.21,6.59,56.0,43.0,26.5,42.5,,瀬川 大地,1,坪井 爽佑,0.11,6.88,2,-0.5,omura,19.0,1.0,曇り,20.0,52.0,0.0,5.0,東,1.0
7.37,4.0,2026-04-28,2026-05-15 05:53:06,4,B1,0.0,,37.22,6.52,32.0,22.0,34.7,53.0,,宮田 龍馬,1,後藤 盛也,0.08,6.88,2,0.0,omura,19.0,1.0,曇り,20.0,52.0,0.0,5.0,東,1.0
7.43,5.0,2026-04-28,2026-05-15 05:53:06,5,B1,0.0,,37.43,6.47,26.0,31.0,31.7,42.7,,吉原 快誓,1,泉 啓文,0.28,6.91,5,0.0,omura,19.0,1.0,曇り,20.0,58.7,0.0,5.0,東,1.0
7.3,6.0,2026-04-28,2026-05-15 05:53:06,6,A2,0.0,,37.17,6.73,20.0,5.0,43.4,61.6,,楠 将太郎,1,川原 正明,0.15,6.86,1,-0.5,omura,19.0,1.0,曇り,20.0,52.5,0.0,5.0,東,1.0
7.37,1.0,2026-04-28,2026-05-15 05:53:13,1,A2,0.0,,36.96,6.77,73.0,21.0,34.8,50.5,,木山 大聖,2,山下 和彦,0.17,6.91,2,-0.5,omura,19.0,1.0,曇り,20.0,52.0,0.0,7.0,南東,1.0
7.5,2.0,2026-04-28,2026-05-15 05:53:13,2,B1,0.0,,37.57,6.73,64.0,16.0,38.8,55.3,,加倉 侑征,2,中嶋 誠一郎,0.14,7.06,6,-0.5,omura,19.0,1.0,曇り,20.0,52.9,0.0,7.0,南東,1.0
7.47,3.0,2026-04-28,2026-05-15 05:53:13,3,A2,0.0,,38.07,6.7,63.0,38.0,29.7,45.8,,沼田 大都,2,四宮 与寛,0.11,6.93,3,-0.5,omura,19.0,1.0,曇り,20.0,52.0,0.0,7.0,南東,1.0
7.6,4.0,2026-04-28,2026-05-15 05:53:13,4,B1,0.0,,38.53,6.73,15.0,35.0,30.3,44.8,リング×１,坂井 滉哉,2,木幡 純也,-0.05,7.0,5,-0.5,omura,19.0,1.0,曇り,20.0,52.1,0.0,7.0,南東,1.0
7.43,5.0,2026-04-28,2026-05-15 05:53:13,5,A2,0.0,,38.08,6.55,25.0,30.0,32.2,54.1,,村松 将平,2,鳥飼 眞,0.11,6.89,1,0.0,omura,19.0,1.0,曇り,20.0,50.5,1.5,7.0,南東,1.0
7.5,6.0,2026-04-28,2026-05-15 05:53:13,6,B1,0.0,,38.54,6.89,28.0,32.0,31.6,45.6,,鳥居塚 嶺王,2,八戸 琉楓,0.28,6.98,4,0.0,omura,19.0,1.0,曇り,20.0,52.0,0.0,7.0,南東,1.0
7.33,1.0,2026-04-28,2026-05-15 05:53:19,1,B1,1.0,,37.25,6.85,22.0,18.0,37.9,60.1,,若林 義人,3,伊藤 玲奈,0.2,6.91,5,0.0,omura,19.0,1.0,曇り,19.0,47.0,0.0,5.0,東,1.0
7.23,2.0,2026-04-28,2026-05-15 05:53:19,2,A2,1.0,,36.93,6.77,29.0,3.0,46.0,64.1,,中本 大樹,3,北川 太一,0.1,6.85,2,-0.5,omura,19.0,1.0,曇り,19.0,52.0,0.0,5.0,東,1.0
