venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
omura,2026-05-10,1,1,岡 暢祐,B1,37.03,6.4,7.49,6.96,6,0.0,1,,,52.0,0.0,2026-05-15 06:02:23,30,33.9,53.4,23,真庭 明志,-0.03,False,晴,22,22,2,7,南東,1
omura,2026-05-10,1,2,西澤 日花里,B1,37.78,6.49,7.47,6.94,4,0.0,2,,,47.1,0.0,2026-05-15 06:02:23,33,37.4,56.8,16,谷川 祐一,-0.02,False,晴,22,22,2,7,南東,1
omura,2026-05-10,1,3,久富 政弘,B1,37.3,6.33,7.43,6.9,2,0.0,3,,,52.7,0.0,2026-05-15 06:02:23,20,42.8,60.5,5,川原 正明,0.01,False,晴,22,22,2,7,南東,1
omura,2026-05-10,1,4,山崎 昂介,B1,37.43,6.3,7.35,6.8,1,0.0,4,,,52.2,0.0,2026-05-15 06:02:23,48,41.8,56.3,7,中野 夢斗,0.08,False,晴,22,22,2,7,南東,1
omura,2026-05-10,1,5,中北 涼,B1,37.93,6.37,7.4,6.95,5,-0.5,5,,,47.2,0.0,2026-05-15 06:02:23,53,32.7,50.4,26,小宮 涼雅,0.03,False,晴,22,22,2,7,南東,1
omura,2026-05-10,1,6,山田 陽翔,B2,37.87,7.0,7.29,6.91,3,-0.5,6,,,52.0,0.0,2026-05-15 06:02:23,13,37.6,52.6,15,菅 章哉,0.27,False,晴,22,22,2,7,南東,1
omura,2026-05-10,2,1,寳田 亮治,B1,37.25,6.59,7.47,6.9,4,0.0,1,,,52.1,0.0,2026-05-15 06:02:29,26,30.8,42.2,31,泉 啓文,0.08,False,晴,22,22,2,7,南東,1
omura,2026-05-10,2,2,屋良 龍紀,B1,37.88,6.59,7.5,6.93,5,0.0,2,,,52.0,0.0,2026-05-15 06:02:29,44,32.2,47.7,28,大石 真央,-0.09,False,晴,22,22,2,7,南東,1
omura,2026-05-10,2,3,真庭 明志,A2,37.83,6.37,7.47,6.84,2,0.0,3,,,52.0,0.0,2026-05-15 06:02:29,23,38.9,60.7,14,前田 篤哉,-0.12,False,晴,22,22,2,7,南東,1
omura,2026-05-10,2,4,岡谷 健吾,B1,37.33,6.67,7.43,6.85,3,0.0,4,,,56.7,0.0,2026-05-15 06:02:29,36,34.5,53.6,22,古川 健,0.01,False,晴,22,22,2,7,南東,1
